	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1165	Alabama	US	03/22/2020	31.75300095	-86.68057478	0	0	0	Butler
322	Alabama	US	03/23/2020	31.75300095	-86.68057478	0	0	0	Butler
322	Alabama	US	03/24/2020	31.75300095	-86.68057478	0	0	0	Butler
322	Alabama	US	03/25/2020	31.75300095	-86.68057478	1	0	0	Butler
322	Alabama	US	03/26/2020	31.75300095	-86.68057478	1	0	0	Butler
322	Alabama	US	03/27/2020	31.75300095	-86.68057478	1	0	0	Butler
322	Alabama	US	03/28/2020	31.75300095	-86.68057478	1	0	0	Butler
322	Alabama	US	03/29/2020	31.75300095	-86.68057478	1	0	0	Butler
322	Alabama	US	03/30/2020	31.75300095	-86.68057478	1	0	0	Butler
222	Alabama	US	03/31/2020	31.75300095	-86.68057478	1	0	0	Butler
228	Alabama	US	04/01/2020	31.75300095	-86.68057478	1	0	0	Butler
236	Alabama	US	04/02/2020	31.75300095	-86.68057478	1	0	0	Butler
238	Alabama	US	04/03/2020	31.75300095	-86.68057478	1	0	0	Butler
242	Alabama	US	04/04/2020	31.75300095	-86.68057478	1	0	0	Butler
252	Alabama	US	04/05/2020	31.75300095	-86.68057478	1	0	0	Butler
253	Alabama	US	04/06/2020	31.75300095	-86.68057478	1	0	0	Butler
259	Alabama	US	04/07/2020	31.75300095	-86.68057478	2	0	0	Butler
263	Alabama	US	04/08/2020	31.75300095	-86.68057478	3	0	0	Butler
266	Alabama	US	04/09/2020	31.75300095	-86.68057478	3	0	0	Butler
267	Alabama	US	04/10/2020	31.75300095	-86.68057478	3	0	0	Butler
270	Alabama	US	04/11/2020	31.75300095	-86.68057478	6	0	0	Butler
273	Alabama	US	04/12/2020	31.75300095	-86.68057478	7	0	0	Butler
275	Alabama	US	04/13/2020	31.75300095	-86.68057478	8	0	0	Butler
276	Alabama	US	04/14/2020	31.75300095	-86.68057478	8	0	0	Butler
278	Alabama	US	04/15/2020	31.75300095	-86.68057478	11	0	0	Butler
278	Alabama	US	04/16/2020	31.75300095	-86.68057478	11	0	0	Butler
281	Alabama	US	04/17/2020	31.75300095	-86.68057478	13	0	0	Butler
281	Alabama	US	04/18/2020	31.75300095	-86.68057478	14	0	0	Butler
281	Alabama	US	04/19/2020	31.75300095	-86.68057478	15	0	0	Butler
281	Alabama	US	04/20/2020	31.75300095	-86.68057478	15	0	0	Butler
282	Alabama	US	04/21/2020	31.75300095	-86.68057478	15	0	0	Butler
283	Alabama	US	04/22/2020	31.75300095	-86.68057478	17	0	0	Butler
283	Alabama	US	04/23/2020	31.75300095	-86.68057478	19	0	0	Butler
283	Alabama	US	04/24/2020	31.75300095	-86.68057478	21	0	0	Butler
283	Alabama	US	04/25/2020	31.75300095	-86.68057478	28	0	0	Butler
284	Alabama	US	04/26/2020	31.75300095	-86.68057478	32	1	0	Butler
284	Alabama	US	04/27/2020	31.75300095	-86.68057478	34	1	0	Butler
285	Alabama	US	04/28/2020	31.75300095	-86.68057478	48	1	0	Butler
285	Alabama	US	04/29/2020	31.75300095	-86.68057478	53	1	0	Butler
285	Alabama	US	04/30/2020	31.75300095	-86.68057478	55	1	0	Butler
287	Alabama	US	05/01/2020	31.75300095	-86.68057478	68	1	0	Butler
288	Alabama	US	05/02/2020	31.75300095	-86.68057478	93	1	0	Butler
289	Alabama	US	05/03/2020	31.75300095	-86.68057478	104	1	0	Butler
290	Alabama	US	05/04/2020	31.75300095	-86.68057478	113	1	0	Butler
292	Alabama	US	05/05/2020	31.75300095	-86.68057478	118	2	0	Butler
293	Alabama	US	05/06/2020	31.75300095	-86.68057478	128	2	0	Butler
294	Alabama	US	05/07/2020	31.75300095	-86.68057478	152	2	0	Butler
294	Alabama	US	05/08/2020	31.75300095	-86.68057478	159	3	0	Butler
294	Alabama	US	05/09/2020	31.75300095	-86.68057478	175	6	0	Butler
295	Alabama	US	05/10/2020	31.75300095	-86.68057478	188	6	0	Butler
295	Alabama	US	05/11/2020	31.75300095	-86.68057478	196	6	0	Butler
295	Alabama	US	05/12/2020	31.75300095	-86.68057478	223	6	0	Butler
295	Alabama	US	05/13/2020	31.75300095	-86.68057478	231	6	0	Butler
296	Alabama	US	05/14/2020	31.75300095	-86.68057478	244	8	0	Butler
297	Alabama	US	05/15/2020	31.75300095	-86.68057478	254	9	0	Butler
297	Alabama	US	05/16/2020	31.75300095	-86.68057478	265	9	0	Butler
298	Alabama	US	05/17/2020	31.75300095	-86.68057478	278	9	0	Butler
299	Alabama	US	05/18/2020	31.75300095	-86.68057478	289	10	0	Butler
301	Alabama	US	05/19/2020	31.75300095	-86.68057478	297	10	0	Butler
301	Alabama	US	05/20/2020	31.75300095	-86.68057478	306	11	0	Butler
301	Alabama	US	05/21/2020	31.75300095	-86.68057478	315	11	0	Butler
302	Alabama	US	05/22/2020	31.75300095	-86.68057478	325	11	0	Butler
302	Alabama	US	05/23/2020	31.75300095	-86.68057478	329	11	0	Butler
302	Alabama	US	05/24/2020	31.75300095	-86.68057478	338	11	0	Butler
302	Alabama	US	05/25/2020	31.75300095	-86.68057478	360	12	0	Butler
302	Alabama	US	05/26/2020	31.75300095	-86.68057478	375	13	0	Butler
303	Alabama	US	05/27/2020	31.75300095	-86.68057478	387	13	0	Butler
303	Alabama	US	05/28/2020	31.75300095	-86.68057478	389	13	0	Butler
303	Alabama	US	05/29/2020	31.75300095	-86.68057478	394	16	0	Butler
303	Alabama	US	05/30/2020	31.75300095	-86.68057478	403	17	0	Butler
303	Alabama	US	05/31/2020	31.75300095	-86.68057478	413	18	0	Butler
304	Alabama	US	06/01/2020	31.75300095	-86.68057478	414	18	0	Butler
304	Alabama	US	06/02/2020	31.75300095	-86.68057478	418	18	0	Butler
304	Alabama	US	06/03/2020	31.75300095	-86.68057478	420	18	0	Butler
304	Alabama	US	06/04/2020	31.75300095	-86.68057478	430	18	0	Butler
305	Alabama	US	06/05/2020	31.75300095	-86.68057478	441	21	0	Butler
305	Alabama	US	06/06/2020	31.75300095	-86.68057478	447	22	0	Butler
305	Alabama	US	06/07/2020	31.75300095	-86.68057478	453	22	0	Butler
305	Alabama	US	06/08/2020	31.75300095	-86.68057478	462	24	0	Butler
305	Alabama	US	06/09/2020	31.75300095	-86.68057478	469	24	0	Butler
306	Alabama	US	06/10/2020	31.75300095	-86.68057478	482	24	0	Butler
307	Alabama	US	06/11/2020	31.75300095	-86.68057478	498	25	0	Butler
308	Alabama	US	06/12/2020	31.75300095	-86.68057478	517	25	0	Butler
308	Alabama	US	06/13/2020	31.75300095	-86.68057478	534	25	0	Butler
308	Alabama	US	06/14/2020	31.75300095	-86.68057478	542	25	0	Butler
309	Alabama	US	06/15/2020	31.75300095	-86.68057478	545	25	0	Butler
309	Alabama	US	06/16/2020	31.75300095	-86.68057478	548	25	0	Butler
309	Alabama	US	06/17/2020	31.75300095	-86.68057478	560	25	0	Butler
309	Alabama	US	06/18/2020	31.75300095	-86.68057478	562	25	0	Butler
309	Alabama	US	06/19/2020	31.75300095	-86.68057478	563	26	0	Butler
