	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
930	Alabama	US	03/22/2020	34.13020303	-86.86888037	3	0	0	Cullman
680	Alabama	US	03/23/2020	34.13020303	-86.86888037	3	0	0	Cullman
680	Alabama	US	03/24/2020	34.13020303	-86.86888037	4	0	0	Cullman
680	Alabama	US	03/25/2020	34.13020303	-86.86888037	6	0	0	Cullman
680	Alabama	US	03/26/2020	34.13020303	-86.86888037	6	0	0	Cullman
680	Alabama	US	03/27/2020	34.13020303	-86.86888037	7	0	0	Cullman
680	Alabama	US	03/28/2020	34.13020303	-86.86888037	7	0	0	Cullman
680	Alabama	US	03/29/2020	34.13020303	-86.86888037	7	0	0	Cullman
680	Alabama	US	03/30/2020	34.13020303	-86.86888037	8	0	0	Cullman
482	Alabama	US	03/31/2020	34.13020303	-86.86888037	9	0	0	Cullman
497	Alabama	US	04/01/2020	34.13020303	-86.86888037	9	1	0	Cullman
515	Alabama	US	04/02/2020	34.13020303	-86.86888037	9	1	0	Cullman
522	Alabama	US	04/03/2020	34.13020303	-86.86888037	15	1	0	Cullman
535	Alabama	US	04/04/2020	34.13020303	-86.86888037	15	1	0	Cullman
551	Alabama	US	04/05/2020	34.13020303	-86.86888037	15	1	0	Cullman
557	Alabama	US	04/06/2020	34.13020303	-86.86888037	20	1	0	Cullman
567	Alabama	US	04/07/2020	34.13020303	-86.86888037	22	1	0	Cullman
572	Alabama	US	04/08/2020	34.13020303	-86.86888037	22	1	0	Cullman
576	Alabama	US	04/09/2020	34.13020303	-86.86888037	30	1	0	Cullman
580	Alabama	US	04/10/2020	34.13020303	-86.86888037	30	1	0	Cullman
585	Alabama	US	04/11/2020	34.13020303	-86.86888037	31	1	0	Cullman
588	Alabama	US	04/12/2020	34.13020303	-86.86888037	40	1	0	Cullman
592	Alabama	US	04/13/2020	34.13020303	-86.86888037	40	1	0	Cullman
594	Alabama	US	04/14/2020	34.13020303	-86.86888037	41	1	0	Cullman
597	Alabama	US	04/15/2020	34.13020303	-86.86888037	42	1	0	Cullman
598	Alabama	US	04/16/2020	34.13020303	-86.86888037	44	1	0	Cullman
600	Alabama	US	04/17/2020	34.13020303	-86.86888037	44	1	0	Cullman
601	Alabama	US	04/18/2020	34.13020303	-86.86888037	45	1	0	Cullman
605	Alabama	US	04/19/2020	34.13020303	-86.86888037	45	0	0	Cullman
606	Alabama	US	04/20/2020	34.13020303	-86.86888037	46	0	0	Cullman
610	Alabama	US	04/21/2020	34.13020303	-86.86888037	48	0	0	Cullman
612	Alabama	US	04/22/2020	34.13020303	-86.86888037	48	0	0	Cullman
615	Alabama	US	04/23/2020	34.13020303	-86.86888037	48	0	0	Cullman
616	Alabama	US	04/24/2020	34.13020303	-86.86888037	51	0	0	Cullman
616	Alabama	US	04/25/2020	34.13020303	-86.86888037	53	0	0	Cullman
617	Alabama	US	04/26/2020	34.13020303	-86.86888037	54	0	0	Cullman
619	Alabama	US	04/27/2020	34.13020303	-86.86888037	56	0	0	Cullman
621	Alabama	US	04/28/2020	34.13020303	-86.86888037	56	0	0	Cullman
621	Alabama	US	04/29/2020	34.13020303	-86.86888037	58	0	0	Cullman
621	Alabama	US	04/30/2020	34.13020303	-86.86888037	58	0	0	Cullman
624	Alabama	US	05/01/2020	34.13020303	-86.86888037	59	0	0	Cullman
625	Alabama	US	05/02/2020	34.13020303	-86.86888037	59	0	0	Cullman
626	Alabama	US	05/03/2020	34.13020303	-86.86888037	60	0	0	Cullman
627	Alabama	US	05/04/2020	34.13020303	-86.86888037	60	0	0	Cullman
631	Alabama	US	05/05/2020	34.13020303	-86.86888037	60	0	0	Cullman
632	Alabama	US	05/06/2020	34.13020303	-86.86888037	61	0	0	Cullman
633	Alabama	US	05/07/2020	34.13020303	-86.86888037	63	0	0	Cullman
636	Alabama	US	05/08/2020	34.13020303	-86.86888037	64	0	0	Cullman
636	Alabama	US	05/09/2020	34.13020303	-86.86888037	65	0	0	Cullman
637	Alabama	US	05/10/2020	34.13020303	-86.86888037	67	0	0	Cullman
637	Alabama	US	05/11/2020	34.13020303	-86.86888037	67	0	0	Cullman
637	Alabama	US	05/12/2020	34.13020303	-86.86888037	69	0	0	Cullman
637	Alabama	US	05/13/2020	34.13020303	-86.86888037	69	0	0	Cullman
638	Alabama	US	05/14/2020	34.13020303	-86.86888037	69	0	0	Cullman
639	Alabama	US	05/15/2020	34.13020303	-86.86888037	70	0	0	Cullman
640	Alabama	US	05/16/2020	34.13020303	-86.86888037	71	0	0	Cullman
641	Alabama	US	05/17/2020	34.13020303	-86.86888037	71	0	0	Cullman
642	Alabama	US	05/18/2020	34.13020303	-86.86888037	72	0	0	Cullman
644	Alabama	US	05/19/2020	34.13020303	-86.86888037	73	0	0	Cullman
645	Alabama	US	05/20/2020	34.13020303	-86.86888037	73	0	0	Cullman
645	Alabama	US	05/21/2020	34.13020303	-86.86888037	75	0	0	Cullman
647	Alabama	US	05/22/2020	34.13020303	-86.86888037	75	0	0	Cullman
647	Alabama	US	05/23/2020	34.13020303	-86.86888037	76	0	0	Cullman
648	Alabama	US	05/24/2020	34.13020303	-86.86888037	78	0	0	Cullman
648	Alabama	US	05/25/2020	34.13020303	-86.86888037	80	0	0	Cullman
648	Alabama	US	05/26/2020	34.13020303	-86.86888037	86	0	0	Cullman
649	Alabama	US	05/27/2020	34.13020303	-86.86888037	91	0	0	Cullman
649	Alabama	US	05/28/2020	34.13020303	-86.86888037	99	0	0	Cullman
649	Alabama	US	05/29/2020	34.13020303	-86.86888037	118	0	0	Cullman
649	Alabama	US	05/30/2020	34.13020303	-86.86888037	136	0	0	Cullman
649	Alabama	US	05/31/2020	34.13020303	-86.86888037	147	0	0	Cullman
650	Alabama	US	06/01/2020	34.13020303	-86.86888037	151	1	0	Cullman
650	Alabama	US	06/02/2020	34.13020303	-86.86888037	154	1	0	Cullman
650	Alabama	US	06/03/2020	34.13020303	-86.86888037	156	1	0	Cullman
650	Alabama	US	06/04/2020	34.13020303	-86.86888037	168	1	0	Cullman
652	Alabama	US	06/05/2020	34.13020303	-86.86888037	185	1	0	Cullman
652	Alabama	US	06/06/2020	34.13020303	-86.86888037	197	1	0	Cullman
652	Alabama	US	06/07/2020	34.13020303	-86.86888037	203	1	0	Cullman
652	Alabama	US	06/08/2020	34.13020303	-86.86888037	207	1	0	Cullman
652	Alabama	US	06/09/2020	34.13020303	-86.86888037	217	1	0	Cullman
653	Alabama	US	06/10/2020	34.13020303	-86.86888037	226	1	0	Cullman
654	Alabama	US	06/11/2020	34.13020303	-86.86888037	242	1	0	Cullman
655	Alabama	US	06/12/2020	34.13020303	-86.86888037	257	1	0	Cullman
656	Alabama	US	06/13/2020	34.13020303	-86.86888037	269	1	0	Cullman
656	Alabama	US	06/14/2020	34.13020303	-86.86888037	278	1	0	Cullman
657	Alabama	US	06/15/2020	34.13020303	-86.86888037	281	1	0	Cullman
657	Alabama	US	06/16/2020	34.13020303	-86.86888037	286	1	0	Cullman
657	Alabama	US	06/17/2020	34.13020303	-86.86888037	295	1	0	Cullman
657	Alabama	US	06/18/2020	34.13020303	-86.86888037	304	1	0	Cullman
657	Alabama	US	06/19/2020	34.13020303	-86.86888037	306	1	0	Cullman
660	Alabama	US	06/20/2020	34.13020303	-86.86888037	307	1	0	Cullman
660	Alabama	US	06/21/2020	34.13020303	-86.86888037	310	1	0	Cullman
660	Alabama	US	06/22/2020	34.13020303	-86.86888037	317	1	0	Cullman
660	Alabama	US	06/23/2020	34.13020303	-86.86888037	330	3	0	Cullman
662	Alabama	US	06/24/2020	34.13020303	-86.86888037	354	3	0	Cullman
663	Alabama	US	06/25/2020	34.13020303	-86.86888037	369	3	0	Cullman
663	Alabama	US	06/26/2020	34.13020303	-86.86888037	376	3	0	Cullman
664	Alabama	US	06/27/2020	34.13020303	-86.86888037	376	3	0	Cullman
664	Alabama	US	06/28/2020	34.13020303	-86.86888037	397	3	0	Cullman
664	Alabama	US	06/29/2020	34.13020303	-86.86888037	402	3	0	Cullman
665	Alabama	US	06/30/2020	34.13020303	-86.86888037	405	3	0	Cullman
665	Alabama	US	07/01/2020	34.13020303	-86.86888037	417	3	0	Cullman
666	Alabama	US	07/02/2020	34.13020303	-86.86888037	438	4	0	Cullman
667	Alabama	US	07/03/2020	34.13020303	-86.86888037	441	4	0	Cullman
667	Alabama	US	07/04/2020	34.13020303	-86.86888037	457	4	0	Cullman
667	Alabama	US	07/05/2020	34.13020303	-86.86888037	460	4	0	Cullman
667	Alabama	US	07/06/2020	34.13020303	-86.86888037	471	4	0	Cullman
667	Alabama	US	07/07/2020	34.13020303	-86.86888037	493	5	0	Cullman
668	Alabama	US	07/08/2020	34.13020303	-86.86888037	530	5	0	Cullman
668	Alabama	US	07/09/2020	34.13020303	-86.86888037	550	5	0	Cullman
669	Alabama	US	07/10/2020	34.13020303	-86.86888037	568	6	0	Cullman
669	Alabama	US	07/11/2020	34.13020303	-86.86888037	608	6	0	Cullman
669	Alabama	US	07/12/2020	34.13020303	-86.86888037	662	6	0	Cullman
669	Alabama	US	07/13/2020	34.13020303	-86.86888037	678	6	0	Cullman
669	Alabama	US	07/14/2020	34.13020303	-86.86888037	705	6	0	Cullman
669	Alabama	US	07/15/2020	34.13020303	-86.86888037	724	6	0	Cullman
670	Alabama	US	07/16/2020	34.13020303	-86.86888037	752	6	0	Cullman
670	Alabama	US	07/17/2020	34.13020303	-86.86888037	765	7	0	Cullman
695	Alabama	US	07/18/2020	34.13020303	-86.86888037	797	7	0	Cullman
696	Alabama	US	07/19/2020	34.13020303	-86.86888037	818	7	0	Cullman
678	Alabama	US	07/20/2020	34.13020303	-86.86888037	831	7	0	Cullman
698	Alabama	US	07/21/2020	34.13020303	-86.86888037	854	7	0	Cullman
698	Alabama	US	07/22/2020	34.13020303	-86.86888037	880	7	0	Cullman
699	Alabama	US	07/23/2020	34.13020303	-86.86888037	916	7	0	Cullman
699	Alabama	US	07/24/2020	34.13020303	-86.86888037	943	8	0	Cullman
699	Alabama	US	07/25/2020	34.13020303	-86.86888037	961	8	0	Cullman
699	Alabama	US	07/26/2020	34.13020303	-86.86888037	997	9	0	Cullman
699	Alabama	US	07/27/2020	34.13020303	-86.86888037	1031	9	0	Cullman
699	Alabama	US	07/28/2020	34.13020303	-86.86888037	1055	10	0	Cullman
699	Alabama	US	07/29/2020	34.13020303	-86.86888037	1084	10	0	Cullman
699	Alabama	US	07/30/2020	34.13020303	-86.86888037	1115	11	0	Cullman
699	Alabama	US	07/31/2020	34.13020303	-86.86888037	1137	11	0	Cullman
699	Alabama	US	08/01/2020	34.13020303	-86.86888037	1159	11	0	Cullman
699	Alabama	US	08/02/2020	34.13020303	-86.86888037	1184	11	0	Cullman
699	Alabama	US	08/03/2020	34.13020303	-86.86888037	1201	11	0	Cullman
699	Alabama	US	08/04/2020	34.13020303	-86.86888037	1218	11	0	Cullman
700	Alabama	US	08/05/2020	34.13020303	-86.86888037	1239	12	0	Cullman
700	Alabama	US	08/06/2020	34.13020303	-86.86888037	1255	12	0	Cullman
700	Alabama	US	08/07/2020	34.13020303	-86.86888037	1276	12	0	Cullman
700	Alabama	US	08/08/2020	34.13020303	-86.86888037	1284	12	0	Cullman
700	Alabama	US	08/09/2020	34.13020303	-86.86888037	1290	12	0	Cullman
700	Alabama	US	08/10/2020	34.13020303	-86.86888037	1300	12	0	Cullman
699	Alabama	US	08/11/2020	34.13020303	-86.86888037	1311	12	0	Cullman
653	Alabama	US	08/12/2020	34.13020303	-86.86888037	1319	12	0	Cullman
653	Alabama	US	08/13/2020	34.13020303	-86.86888037	1326	12	0	Cullman
653	Alabama	US	08/14/2020	34.13020303	-86.86888037	1344	12	0	Cullman
653	Alabama	US	08/15/2020	34.13020303	-86.86888037	1350	12	0	Cullman
653	Alabama	US	08/16/2020	34.13020303	-86.86888037	1374	12	0	Cullman
653	Alabama	US	08/17/2020	34.13020303	-86.86888037	1396	12	0	Cullman
653	Alabama	US	08/18/2020	34.13020303	-86.86888037	1413	12	0	Cullman
653	Alabama	US	08/19/2020	34.13020303	-86.86888037	1433	12	0	Cullman
653	Alabama	US	08/20/2020	34.13020303	-86.86888037	1475	11	0	Cullman
653	Alabama	US	08/21/2020	34.13020303	-86.86888037	1493	12	0	Cullman
653	Alabama	US	08/22/2020	34.13020303	-86.86888037	1496	12	0	Cullman
653	Alabama	US	08/23/2020	34.13020303	-86.86888037	1514	12	0	Cullman
653	Alabama	US	08/24/2020	34.13020303	-86.86888037	1517	12	0	Cullman
653	Alabama	US	08/25/2020	34.13020303	-86.86888037	1539	12	0	Cullman
653	Alabama	US	08/26/2020	34.13020303	-86.86888037	1546	11	0	Cullman
653	Alabama	US	08/27/2020	34.13020303	-86.86888037	1556	11	0	Cullman
653	Alabama	US	08/28/2020	34.13020303	-86.86888037	1586	11	0	Cullman
653	Alabama	US	08/29/2020	34.13020303	-86.86888037	1596	12	0	Cullman
653	Alabama	US	08/30/2020	34.13020303	-86.86888037	1612	13	0	Cullman
653	Alabama	US	08/31/2020	34.13020303	-86.86888037	1628	13	0	Cullman
653	Alabama	US	09/01/2020	34.13020303	-86.86888037	1632	14	0	Cullman
653	Alabama	US	09/02/2020	34.13020303	-86.86888037	1646	14	0	Cullman
653	Alabama	US	09/03/2020	34.13020303	-86.86888037	1647	15	0	Cullman
653	Alabama	US	09/04/2020	34.13020303	-86.86888037	1653	15	0	Cullman
653	Alabama	US	09/05/2020	34.13020303	-86.86888037	1655	15	0	Cullman
653	Alabama	US	09/06/2020	34.13020303	-86.86888037	1679	15	0	Cullman
653	Alabama	US	09/07/2020	34.13020303	-86.86888037	1684	15	0	Cullman
653	Alabama	US	09/08/2020	34.13020303	-86.86888037	1695	15	0	Cullman
653	Alabama	US	09/09/2020	34.13020303	-86.86888037	1700	15	0	Cullman
653	Alabama	US	09/10/2020	34.13020303	-86.86888037	1702	15	0	Cullman
653	Alabama	US	09/11/2020	34.13020303	-86.86888037	1710	15	0	Cullman
653	Alabama	US	09/12/2020	34.13020303	-86.86888037	1729	15	0	Cullman
653	Alabama	US	09/13/2020	34.13020303	-86.86888037	1736	15	0	Cullman
653	Alabama	US	09/14/2020	34.13020303	-86.86888037	1748	15	0	Cullman
653	Alabama	US	09/15/2020	34.13020303	-86.86888037	1760	15	0	Cullman
653	Alabama	US	09/16/2020	34.13020303	-86.86888037	1765	17	0	Cullman
653	Alabama	US	09/17/2020	34.13020303	-86.86888037	1772	17	0	Cullman
653	Alabama	US	09/18/2020	34.13020303	-86.86888037	1796	17	0	Cullman
653	Alabama	US	09/19/2020	34.13020303	-86.86888037	1811	17	0	Cullman
653	Alabama	US	09/20/2020	34.13020303	-86.86888037	1828	17	0	Cullman
654	Alabama	US	09/21/2020	34.13020303	-86.86888037	1833	18	0	Cullman
654	Alabama	US	09/22/2020	34.13020303	-86.86888037	1839	19	0	Cullman
654	Alabama	US	09/23/2020	34.13020303	-86.86888037	1856	18	0	Cullman
654	Alabama	US	09/24/2020	34.13020303	-86.86888037	1860	19	0	Cullman
654	Alabama	US	09/25/2020	34.13020303	-86.86888037	1870	20	0	Cullman
654	Alabama	US	09/26/2020	34.13020303	-86.86888037	1878	20	0	Cullman
654	Alabama	US	09/27/2020	34.13020303	-86.86888037	1882	20	0	Cullman
654	Alabama	US	09/28/2020	34.13020303	-86.86888037	1892	20	0	Cullman
654	Alabama	US	09/29/2020	34.13020303	-86.86888037	1900	20	0	Cullman
654	Alabama	US	09/30/2020	34.13020303	-86.86888037	1905	20	0	Cullman
654	Alabama	US	10/01/2020	34.13020303	-86.86888037	1915	20	0	Cullman
654	Alabama	US	10/02/2020	34.13020303	-86.86888037	1928	20	0	Cullman
654	Alabama	US	10/03/2020	34.13020303	-86.86888037	1941	20	0	Cullman
654	Alabama	US	10/04/2020	34.13020303	-86.86888037	1953	20	0	Cullman
654	Alabama	US	10/05/2020	34.13020303	-86.86888037	1959	20	0	Cullman
654	Alabama	US	10/06/2020	34.13020303	-86.86888037	1980	20	0	Cullman
654	Alabama	US	10/07/2020	34.13020303	-86.86888037	1983	21	0	Cullman
654	Alabama	US	10/08/2020	34.13020303	-86.86888037	2006	21	0	Cullman
654	Alabama	US	10/09/2020	34.13020303	-86.86888037	2025	21	0	Cullman
654	Alabama	US	10/10/2020	34.13020303	-86.86888037	2036	21	0	Cullman
654	Alabama	US	10/11/2020	34.13020303	-86.86888037	2062	21	0	Cullman
655	Alabama	US	10/12/2020	34.13020303	-86.86888037	2098	21	0	Cullman
655	Alabama	US	10/13/2020	34.13020303	-86.86888037	2119	21	0	Cullman
655	Alabama	US	10/14/2020	34.13020303	-86.86888037	2156	21	0	Cullman
655	Alabama	US	10/15/2020	34.13020303	-86.86888037	2177	23	0	Cullman
655	Alabama	US	10/16/2020	34.13020303	-86.86888037	2202	23	0	Cullman
655	Alabama	US	10/17/2020	34.13020303	-86.86888037	2229	23	0	Cullman
655	Alabama	US	10/18/2020	34.13020303	-86.86888037	2248	23	0	Cullman
655	Alabama	US	10/19/2020	34.13020303	-86.86888037	2267	23	0	Cullman
655	Alabama	US	10/20/2020	34.13020303	-86.86888037	2301	23	0	Cullman
655	Alabama	US	10/21/2020	34.13020303	-86.86888037	2345	24	0	Cullman
655	Alabama	US	10/22/2020	34.13020303	-86.86888037	2388	24	0	Cullman
655	Alabama	US	10/23/2020	34.13020303	-86.86888037	2424	25	0	Cullman
655	Alabama	US	10/24/2020	34.13020303	-86.86888037	2470	24	0	Cullman
655	Alabama	US	10/25/2020	34.13020303	-86.86888037	2498	24	0	Cullman
655	Alabama	US	10/26/2020	34.13020303	-86.86888037	2547	24	0	Cullman
655	Alabama	US	10/27/2020	34.13020303	-86.86888037	2592	25	0	Cullman
656	Alabama	US	10/28/2020	34.13020303	-86.86888037	2659	25.0	0	Cullman
656	Alabama	US	10/29/2020	34.13020303	-86.86888037	2713	25	0	Cullman
656	Alabama	US	10/30/2020	34.13020303	-86.86888037	2773	25	0	Cullman
656	Alabama	US	10/31/2020	34.13020303	-86.86888037	2821	25	0	Cullman
656	Alabama	US	11/01/2020	34.13020303	-86.86888037	2856	25	0	Cullman
656	Alabama	US	11/02/2020	34.13020303	-86.86888037	2905	25	0	Cullman
656	Alabama	US	11/03/2020	34.13020303	-86.86888037	2947	25	0	Cullman
656	Alabama	US	11/04/2020	34.13020303	-86.86888037	2993	25	0	Cullman
656	Alabama	US	11/05/2020	34.13020303	-86.86888037	3083	26	0	Cullman
656	Alabama	US	11/06/2020	34.13020303	-86.86888037	3129	27	0	Cullman
656	Alabama	US	11/07/2020	34.13020303	-86.86888037	3190	27	0	Cullman
656	Alabama	US	11/08/2020	34.13020303	-86.86888037	3239	27	0	Cullman
656	Alabama	US	11/09/2020	34.13020303	-86.86888037	3328	27	0.0	Cullman
656	Alabama	US	11/10/2020	34.13020303	-86.86888037	3328	29	0.0	Cullman
656	Alabama	US	11/11/2020	34.13020303	-86.86888037	3398	30	0.0	Cullman
668	Alabama	US	11/12/2020	34.13020303	-86.86888037	3454	30	0	Cullman
668	Alabama	US	11/13/2020	34.13020303	-86.86888037	3596	30	0	Cullman
668	Alabama	US	11/14/2020	34.13020303	-86.86888037	3651	30	0	Cullman
668	Alabama	US	11/15/2020	34.13020303	-86.86888037	3701	30	0	Cullman
668	Alabama	US	11/16/2020	34.13020303	-86.86888037	3744	30	0	Cullman
668	Alabama	US	11/17/2020	34.13020303	-86.86888037	3799	30	0	Cullman
668	Alabama	US	11/18/2020	34.13020303	-86.86888037	3907	31	0	Cullman
668	Alabama	US	11/19/2020	34.13020303	-86.86888037	3940	32	0	Cullman
668	Alabama	US	11/20/2020	34.13020303	-86.86888037	3998	34	0	Cullman
668	Alabama	US	11/21/2020	34.13020303	-86.86888037	4065	36	0	Cullman
668	Alabama	US	11/22/2020	34.13020303	-86.86888037	4096	36	0	Cullman
668	Alabama	US	11/23/2020	34.13020303	-86.86888037	4126	36	0	Cullman
669	Alabama	US	11/24/2020	34.13020303	-86.86888037	4211	36	0	Cullman
669	Alabama	US	11/25/2020	34.13020303	-86.86888037	4280	38	0	Cullman
669	Alabama	US	11/26/2020	34.13020303	-86.86888037	4334	42	0	Cullman
669	Alabama	US	11/27/2020	34.13020303	-86.86888037	4354	42	0	Cullman
669	Alabama	US	11/28/2020	34.13020303	-86.86888037	4394	42	0	Cullman
669	Alabama	US	11/29/2020	34.13020303	-86.86888037	4474	42	0	Cullman
669	Alabama	US	11/30/2020	34.13020303	-86.86888037	4515	42	0	Cullman
669	Alabama	US	12/01/2020	34.13020303	-86.86888037	4624	43	0	Cullman
669	Alabama	US	12/02/2020	34.13020303	-86.86888037	4720	43	0	Cullman
669	Alabama	US	12/03/2020	34.13020303	-86.86888037	4802	46	0	Cullman
669	Alabama	US	12/04/2020	34.13020303	-86.86888037	4906	50	0	Cullman
669	Alabama	US	12/05/2020	34.13020303	-86.86888037	4985	53	0	Cullman
669	Alabama	US	12/06/2020	34.13020303	-86.86888037	5032	54	0	Cullman
669	Alabama	US	12/07/2020	34.13020303	-86.86888037	5070	54	0	Cullman
669	Alabama	US	12/08/2020	34.13020303	-86.86888037	5299	56	0	Cullman
669	Alabama	US	12/09/2020	34.13020303	-86.86888037	5377	56	0	Cullman
669	Alabama	US	12/10/2020	34.13020303	-86.86888037	5474	57	0	Cullman
669	Alabama	US	12/11/2020	34.13020303	-86.86888037	5541	57	0	Cullman
669	Alabama	US	12/12/2020	34.13020303	-86.86888037	5633	59	0	Cullman
669	Alabama	US	12/13/2020	34.13020303	-86.86888037	5700	59	0	Cullman
669	Alabama	US	12/14/2020	34.13020303	-86.86888037	5734	59	0	Cullman
669	Alabama	US	12/15/2020	34.13020303	-86.86888037	5831	61	0	Cullman
669	Alabama	US	12/16/2020	34.13020303	-86.86888037	5935	64	0	Cullman
669	Alabama	US	12/17/2020	34.13020303	-86.86888037	6064	64	0	Cullman
669	Alabama	US	12/18/2020	34.13020303	-86.86888037	6161	67	0	Cullman
669	Alabama	US	12/19/2020	34.13020303	-86.86888037	6241	69	0	Cullman
669	Alabama	US	12/20/2020	34.13020303	-86.86888037	6269	69	0	Cullman
669	Alabama	US	12/21/2020	34.13020303	-86.86888037	6294	69	0	Cullman
669	Alabama	US	12/22/2020	34.13020303	-86.86888037	6455	69	0	Cullman
669	Alabama	US	12/23/2020	34.13020303	-86.86888037	6591	70	0	Cullman
669	Alabama	US	12/24/2020	34.13020303	-86.86888037	6650	70	0	Cullman
669	Alabama	US	12/25/2020	34.13020303	-86.86888037	6707	70	0	Cullman
669	Alabama	US	12/26/2020	34.13020303	-86.86888037	6725	70	0	Cullman
669	Alabama	US	12/27/2020	34.13020303	-86.86888037	6752	74	0	Cullman
669	Alabama	US	12/28/2020	34.13020303	-86.86888037	6774	76	0	Cullman
669	Alabama	US	12/29/2020	34.13020303	-86.86888037	6862	76	0	Cullman
669	Alabama	US	12/30/2020	34.13020303	-86.86888037	6989	76	0	Cullman
669	Alabama	US	12/31/2020	34.13020303	-86.86888037	7079	78	0	Cullman
669	Alabama	US	01/01/2021	34.13020303	-86.86888037	7194	78	0	Cullman
669	Alabama	US	01/02/2021	34.13020303	-86.86888037	7242	78	0	Cullman
670	Alabama	US	01/03/2021	34.13020303	-86.86888037	7258	78	0	Cullman
670	Alabama	US	01/04/2021	34.13020303	-86.86888037	7291	78	0	Cullman
670	Alabama	US	01/05/2021	34.13020303	-86.86888037	7370	78	0	Cullman
670	Alabama	US	01/06/2021	34.13020303	-86.86888037	7446	78	0	Cullman
670	Alabama	US	01/07/2021	34.13020303	-86.86888037	7538	78	0	Cullman
670	Alabama	US	01/08/2021	34.13020303	-86.86888037	7613	78	0	Cullman
670	Alabama	US	01/09/2021	34.13020303	-86.86888037	7666	78	0	Cullman
670	Alabama	US	01/10/2021	34.13020303	-86.86888037	7702	79	0	Cullman
670	Alabama	US	01/11/2021	34.13020303	-86.86888037	7719	80	0	Cullman
670	Alabama	US	01/12/2021	34.13020303	-86.86888037	7796	81	0	Cullman
670	Alabama	US	01/13/2021	34.13020303	-86.86888037	7847	84	0	Cullman
