	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1181	Alabama	US	03/22/2020	31.1256789	-87.15918694	0	0	0	Escambia
885	Alabama	US	03/23/2020	31.1256789	-87.15918694	0	0	0	Escambia
885	Alabama	US	03/24/2020	31.1256789	-87.15918694	0	0	0	Escambia
885	Alabama	US	03/25/2020	31.1256789	-87.15918694	0	0	0	Escambia
884	Alabama	US	03/26/2020	31.1256789	-87.15918694	0	0	0	Escambia
884	Alabama	US	03/27/2020	31.1256789	-87.15918694	0	0	0	Escambia
884	Alabama	US	03/28/2020	31.1256789	-87.15918694	0	0	0	Escambia
884	Alabama	US	03/29/2020	31.1256789	-87.15918694	0	0	0	Escambia
884	Alabama	US	03/30/2020	31.1256789	-87.15918694	0	0	0	Escambia
613	Alabama	US	03/31/2020	31.1256789	-87.15918694	0	0	0	Escambia
631	Alabama	US	04/01/2020	31.1256789	-87.15918694	0	0	0	Escambia
653	Alabama	US	04/02/2020	31.1256789	-87.15918694	1	0	0	Escambia
666	Alabama	US	04/03/2020	31.1256789	-87.15918694	1	0	0	Escambia
681	Alabama	US	04/04/2020	31.1256789	-87.15918694	1	0	0	Escambia
703	Alabama	US	04/05/2020	31.1256789	-87.15918694	2	0	0	Escambia
713	Alabama	US	04/06/2020	31.1256789	-87.15918694	2	0	0	Escambia
727	Alabama	US	04/07/2020	31.1256789	-87.15918694	2	0	0	Escambia
733	Alabama	US	04/08/2020	31.1256789	-87.15918694	4	0	0	Escambia
738	Alabama	US	04/09/2020	31.1256789	-87.15918694	4	0	0	Escambia
743	Alabama	US	04/10/2020	31.1256789	-87.15918694	5	0	0	Escambia
749	Alabama	US	04/11/2020	31.1256789	-87.15918694	7	0	0	Escambia
753	Alabama	US	04/12/2020	31.1256789	-87.15918694	7	0	0	Escambia
757	Alabama	US	04/13/2020	31.1256789	-87.15918694	9	0	0	Escambia
760	Alabama	US	04/14/2020	31.1256789	-87.15918694	9	0	0	Escambia
764	Alabama	US	04/15/2020	31.1256789	-87.15918694	11	0	0	Escambia
765	Alabama	US	04/16/2020	31.1256789	-87.15918694	12	0	0	Escambia
766	Alabama	US	04/17/2020	31.1256789	-87.15918694	12	0	0	Escambia
768	Alabama	US	04/18/2020	31.1256789	-87.15918694	12	0	0	Escambia
772	Alabama	US	04/19/2020	31.1256789	-87.15918694	15	0	0	Escambia
775	Alabama	US	04/20/2020	31.1256789	-87.15918694	15	0	0	Escambia
