	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1184	Alabama	US	03/22/2020	34.44235334	-87.84289505	0	0	0	Franklin
956	Alabama	US	03/23/2020	34.44235334	-87.84289505	1	0	0	Franklin
956	Alabama	US	03/24/2020	34.44235334	-87.84289505	1	0	0	Franklin
956	Alabama	US	03/25/2020	34.44235334	-87.84289505	2	0	0	Franklin
955	Alabama	US	03/26/2020	34.44235334	-87.84289505	3	0	0	Franklin
955	Alabama	US	03/27/2020	34.44235334	-87.84289505	5	0	0	Franklin
955	Alabama	US	03/28/2020	34.44235334	-87.84289505	5	0	0	Franklin
955	Alabama	US	03/29/2020	34.44235334	-87.84289505	5	0	0	Franklin
955	Alabama	US	03/30/2020	34.44235334	-87.84289505	5	0	0	Franklin
663	Alabama	US	03/31/2020	34.44235334	-87.84289505	5	0	0	Franklin
681	Alabama	US	04/01/2020	34.44235334	-87.84289505	5	0	0	Franklin
704	Alabama	US	04/02/2020	34.44235334	-87.84289505	6	0	0	Franklin
716	Alabama	US	04/03/2020	34.44235334	-87.84289505	7	0	0	Franklin
731	Alabama	US	04/04/2020	34.44235334	-87.84289505	8	0	0	Franklin
758	Alabama	US	04/05/2020	34.44235334	-87.84289505	8	0	0	Franklin
768	Alabama	US	04/06/2020	34.44235334	-87.84289505	9	0	0	Franklin
784	Alabama	US	04/07/2020	34.44235334	-87.84289505	9	0	0	Franklin
790	Alabama	US	04/08/2020	34.44235334	-87.84289505	10	0	0	Franklin
796	Alabama	US	04/09/2020	34.44235334	-87.84289505	11	0	0	Franklin
801	Alabama	US	04/10/2020	34.44235334	-87.84289505	11	0	0	Franklin
807	Alabama	US	04/11/2020	34.44235334	-87.84289505	11	0	0	Franklin
813	Alabama	US	04/12/2020	34.44235334	-87.84289505	13	0	0	Franklin
819	Alabama	US	04/13/2020	34.44235334	-87.84289505	13	0	0	Franklin
822	Alabama	US	04/14/2020	34.44235334	-87.84289505	16	1	0	Franklin
826	Alabama	US	04/15/2020	34.44235334	-87.84289505	20	1	0	Franklin
827	Alabama	US	04/16/2020	34.44235334	-87.84289505	20	1	0	Franklin
828	Alabama	US	04/17/2020	34.44235334	-87.84289505	20	1	0	Franklin
830	Alabama	US	04/18/2020	34.44235334	-87.84289505	20	1	0	Franklin
