	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1214	Alaska	US	03/22/2020	58.45031811	-134.200436	0	0	0	Juneau
1461	Alaska	US	03/23/2020	58.45031811	-134.200436	1	0	0	Juneau
1461	Alaska	US	03/24/2020	58.45031811	-134.200436	1	0	0	Juneau
1461	Alaska	US	03/25/2020	58.45031811	-134.200436	2	0	0	Juneau
1460	Alaska	US	03/26/2020	58.45031811	-134.200436	2	0	0	Juneau
1460	Alaska	US	03/27/2020	58.45031811	-134.200436	3	0	0	Juneau
1460	Alaska	US	03/28/2020	58.45031811	-134.200436	4	0	0	Juneau
1460	Alaska	US	03/29/2020	58.45031811	-134.200436	4	0	0	Juneau
1460	Alaska	US	03/30/2020	58.45031811	-134.200436	5	0	0	Juneau
982	Alaska	US	03/31/2020	58.45031811	-134.200436	5	0	0	Juneau
1009	Alaska	US	04/01/2020	58.45031811	-134.200436	9	0	0	Juneau
1047	Alaska	US	04/02/2020	58.45031811	-134.200436	10	0	0	Juneau
1066	Alaska	US	04/03/2020	58.45031811	-134.200436	11	0	0	Juneau
1092	Alaska	US	04/04/2020	58.45031811	-134.200436	12	0	0	Juneau
1132	Alaska	US	04/05/2020	58.45031811	-134.200436	14	0	0	Juneau
1147	Alaska	US	04/06/2020	58.45031811	-134.200436	14	0	0	Juneau
1172	Alaska	US	04/07/2020	58.45031811	-134.200436	14	0	0	Juneau
1187	Alaska	US	04/08/2020	58.45031811	-134.200436	14	0	0	Juneau
1200	Alaska	US	04/09/2020	58.45031811	-134.200436	14	0	0	Juneau
1207	Alaska	US	04/10/2020	58.45031811	-134.200436	15	0	0	Juneau
1220	Alaska	US	04/11/2020	58.45031811	-134.200436	15	0	0	Juneau
1228	Alaska	US	04/12/2020	58.45031811	-134.200436	16	0	0	Juneau
1238	Alaska	US	04/13/2020	58.45031811	-134.200436	17	0	0	Juneau
1244	Alaska	US	04/14/2020	58.45031811	-134.200436	18	0	0	Juneau
1250	Alaska	US	04/15/2020	58.45031811	-134.200436	21	0	0	Juneau
1253	Alaska	US	04/16/2020	58.45031811	-134.200436	23	0	0	Juneau
1253	Alaska	US	04/17/2020	58.45031811	-134.200436	24	0	0	Juneau
1258	Alaska	US	04/18/2020	58.45031811	-134.200436	24	0	0	Juneau
1268	Alaska	US	04/19/2020	58.45031811	-134.200436	24	0	0	Juneau
1272	Alaska	US	04/20/2020	58.45031811	-134.200436	24	0	0	Juneau
1278	Alaska	US	04/21/2020	58.45031811	-134.200436	26	0	0	Juneau
1282	Alaska	US	04/22/2020	58.45031811	-134.200436	27	0	0	Juneau
1291	Alaska	US	04/23/2020	58.45031811	-134.200436	27	0	0	Juneau
