	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1146	Ketchikan Gateway	6	US	0	55.57445008	-130.975561	Alaska	0	03/22/2020
1498	Ketchikan Gateway	6	US	0	55.57445008	-130.975561	Alaska	0	03/23/2020
1498	Ketchikan Gateway	6	US	0	55.57445008	-130.975561	Alaska	0	03/24/2020
1498	Ketchikan Gateway	8	US	0	55.57445008	-130.975561	Alaska	0	03/25/2020
1497	Ketchikan Gateway	11	US	0	55.57445008	-130.975561	Alaska	0	03/26/2020
1497	Ketchikan Gateway	11	US	0	55.57445008	-130.975561	Alaska	0	03/27/2020
1497	Ketchikan Gateway	12	US	0	55.57445008	-130.975561	Alaska	0	03/28/2020
1497	Ketchikan Gateway	12	US	0	55.57445008	-130.975561	Alaska	0	03/29/2020
1497	Ketchikan Gateway	13	US	0	55.57445008	-130.975561	Alaska	0	03/30/2020
1012	Ketchikan Gateway	13	US	0	55.57445008	-130.975561	Alaska	0	03/31/2020
1039	Ketchikan Gateway	13	US	0	55.57445008	-130.975561	Alaska	0	04/01/2020
1078	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/02/2020
1097	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/03/2020
1123	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/04/2020
1163	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/05/2020
1178	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/06/2020
1203	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/07/2020
1218	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/08/2020
1231	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/09/2020
1238	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/10/2020
1251	Ketchikan Gateway	14	US	0	55.57445008	-130.975561	Alaska	0	04/11/2020
1260	Ketchikan Gateway	15	US	0	55.57445008	-130.975561	Alaska	0	04/12/2020
1270	Ketchikan Gateway	15	US	0	55.57445008	-130.975561	Alaska	0	04/13/2020
1276	Ketchikan Gateway	15	US	0	55.57445008	-130.975561	Alaska	0	04/14/2020
1282	Ketchikan Gateway	15	US	0	55.57445008	-130.975561	Alaska	0	04/15/2020
1285	Ketchikan Gateway	15	US	0	55.57445008	-130.975561	Alaska	0	04/16/2020
1284	Ketchikan Gateway	15	US	0	55.57445008	-130.975561	Alaska	0	04/17/2020
1289	Ketchikan Gateway	15	US	0	55.57445008	-130.975561	Alaska	0	04/18/2020
1299	Ketchikan Gateway	15	US	0	55.57445008	-130.975561	Alaska	0	04/19/2020
1303	Ketchikan Gateway	15	US	0	55.57445008	-130.975561	Alaska	0	04/20/2020
1309	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/21/2020
1313	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/22/2020
1322	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/23/2020
1324	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/24/2020
1325	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/25/2020
1331	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/26/2020
1333	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/27/2020
1338	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/28/2020
1340	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/29/2020
1346	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	04/30/2020
1353	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/01/2020
1357	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/02/2020
1359	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/03/2020
1361	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/04/2020
1366	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/05/2020
1369	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/06/2020
1372	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/07/2020
1376	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/08/2020
1376	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/09/2020
1377	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/10/2020
1377	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/11/2020
1379	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/12/2020
1379	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/13/2020
1380	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/14/2020
1384	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/15/2020
1385	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/16/2020
1386	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/17/2020
1387	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/18/2020
1389	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/19/2020
1392	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/20/2020
1392	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/21/2020
1397	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/22/2020
1398	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/23/2020
1401	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/24/2020
1401	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/25/2020
1402	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/26/2020
1403	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/27/2020
1403	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/28/2020
1406	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/29/2020
1407	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/30/2020
1408	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	05/31/2020
1410	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	06/01/2020
1414	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	06/02/2020
1415	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	06/03/2020
1416	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	06/04/2020
1418	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	06/05/2020
1418	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	06/06/2020
1418	Ketchikan Gateway	16	US	0	55.57445008	-130.975561	Alaska	0	06/07/2020
