	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1234	Arizona	US	03/22/2020	33.72854224	-113.9810029	0	0	0	La Paz
1543	Arizona	US	03/23/2020	33.72854224	-113.9810029	0	0	0	La Paz
1543	Arizona	US	03/24/2020	33.72854224	-113.9810029	0	0	0	La Paz
1543	Arizona	US	03/25/2020	33.72854224	-113.9810029	0	0	0	La Paz
1542	Arizona	US	03/26/2020	33.72854224	-113.9810029	2	0	0	La Paz
1542	Arizona	US	03/27/2020	33.72854224	-113.9810029	2	0	0	La Paz
1542	Arizona	US	03/28/2020	33.72854224	-113.9810029	2	0	0	La Paz
1542	Arizona	US	03/29/2020	33.72854224	-113.9810029	2	0	0	La Paz
1542	Arizona	US	03/30/2020	33.72854224	-113.9810029	2	0	0	La Paz
1035	Arizona	US	03/31/2020	33.72854224	-113.9810029	2	0	0	La Paz
1063	Arizona	US	04/01/2020	33.72854224	-113.9810029	2	0	0	La Paz
1105	Arizona	US	04/02/2020	33.72854224	-113.9810029	2	0	0	La Paz
1123	Arizona	US	04/03/2020	33.72854224	-113.9810029	2	0	0	La Paz
1149	Arizona	US	04/04/2020	33.72854224	-113.9810029	2	0	0	La Paz
1190	Arizona	US	04/05/2020	33.72854224	-113.9810029	3	0	0	La Paz
1206	Arizona	US	04/06/2020	33.72854224	-113.9810029	3	0	0	La Paz
1232	Arizona	US	04/07/2020	33.72854224	-113.9810029	3	0	0	La Paz
1247	Arizona	US	04/08/2020	33.72854224	-113.9810029	3	0	0	La Paz
1260	Arizona	US	04/09/2020	33.72854224	-113.9810029	4	0	0	La Paz
1267	Arizona	US	04/10/2020	33.72854224	-113.9810029	4	0	0	La Paz
1280	Arizona	US	04/11/2020	33.72854224	-113.9810029	4	0	0	La Paz
1291	Arizona	US	04/12/2020	33.72854224	-113.9810029	4	0	0	La Paz
1301	Arizona	US	04/13/2020	33.72854224	-113.9810029	4	0	0	La Paz
1307	Arizona	US	04/14/2020	33.72854224	-113.9810029	4	0	0	La Paz
1313	Arizona	US	04/15/2020	33.72854224	-113.9810029	5	0	0	La Paz
1317	Arizona	US	04/16/2020	33.72854224	-113.9810029	5	0	0	La Paz
1316	Arizona	US	04/17/2020	33.72854224	-113.9810029	5	0	0	La Paz
1322	Arizona	US	04/18/2020	33.72854224	-113.9810029	5	1	0	La Paz
1332	Arizona	US	04/19/2020	33.72854224	-113.9810029	5	1	0	La Paz
1336	Arizona	US	04/20/2020	33.72854224	-113.9810029	5	1	0	La Paz
1342	Arizona	US	04/21/2020	33.72854224	-113.9810029	6	1	0	La Paz
1346	Arizona	US	04/22/2020	33.72854224	-113.9810029	6	1	0	La Paz
1356	Arizona	US	04/23/2020	33.72854224	-113.9810029	6	1	0	La Paz
1358	Arizona	US	04/24/2020	33.72854224	-113.9810029	8	1	0	La Paz
1359	Arizona	US	04/25/2020	33.72854224	-113.9810029	7	1	0	La Paz
1365	Arizona	US	04/26/2020	33.72854224	-113.9810029	7	1	0	La Paz
1367	Arizona	US	04/27/2020	33.72854224	-113.9810029	7	1	0	La Paz
1372	Arizona	US	04/28/2020	33.72854224	-113.9810029	7	1	0	La Paz
1374	Arizona	US	04/29/2020	33.72854224	-113.9810029	8	1	0	La Paz
1380	Arizona	US	04/30/2020	33.72854224	-113.9810029	14	1	0	La Paz
1387	Arizona	US	05/01/2020	33.72854224	-113.9810029	15	1	0	La Paz
1391	Arizona	US	05/02/2020	33.72854224	-113.9810029	14	1	0	La Paz
1393	Arizona	US	05/03/2020	33.72854224	-113.9810029	14	1	0	La Paz
1395	Arizona	US	05/04/2020	33.72854224	-113.9810029	14	1	0	La Paz
1400	Arizona	US	05/05/2020	33.72854224	-113.9810029	16	1	0	La Paz
1403	Arizona	US	05/06/2020	33.72854224	-113.9810029	18	1	0	La Paz
1406	Arizona	US	05/07/2020	33.72854224	-113.9810029	20	1	0	La Paz
1411	Arizona	US	05/08/2020	33.72854224	-113.9810029	22	1	0	La Paz
1411	Arizona	US	05/09/2020	33.72854224	-113.9810029	22	1	0	La Paz
1412	Arizona	US	05/10/2020	33.72854224	-113.9810029	23	1	0	La Paz
1412	Arizona	US	05/11/2020	33.72854224	-113.9810029	23	1	0	La Paz
1414	Arizona	US	05/12/2020	33.72854224	-113.9810029	22	1	0	La Paz
1414	Arizona	US	05/13/2020	33.72854224	-113.9810029	25	1	0	La Paz
1415	Arizona	US	05/14/2020	33.72854224	-113.9810029	27	1	0	La Paz
1419	Arizona	US	05/15/2020	33.72854224	-113.9810029	36	1	0	La Paz
1420	Arizona	US	05/16/2020	33.72854224	-113.9810029	37	1	0	La Paz
1421	Arizona	US	05/17/2020	33.72854224	-113.9810029	38	1	0	La Paz
1422	Arizona	US	05/18/2020	33.72854224	-113.9810029	38	1	0	La Paz
1424	Arizona	US	05/19/2020	33.72854224	-113.9810029	38	1	0	La Paz
1428	Arizona	US	05/20/2020	33.72854224	-113.9810029	40	1	0	La Paz
1428	Arizona	US	05/21/2020	33.72854224	-113.9810029	45	1	0	La Paz
1433	Arizona	US	05/22/2020	33.72854224	-113.9810029	48	1	0	La Paz
1434	Arizona	US	05/23/2020	33.72854224	-113.9810029	49	1	0	La Paz
1437	Arizona	US	05/24/2020	33.72854224	-113.9810029	50	1	0	La Paz
1437	Arizona	US	05/25/2020	33.72854224	-113.9810029	51	1	0	La Paz
1438	Arizona	US	05/26/2020	33.72854224	-113.9810029	51	1	0	La Paz
1439	Arizona	US	05/27/2020	33.72854224	-113.9810029	54	1	0	La Paz
1439	Arizona	US	05/28/2020	33.72854224	-113.9810029	53	1	0	La Paz
1442	Arizona	US	05/29/2020	33.72854224	-113.9810029	54	1	0	La Paz
1444	Arizona	US	05/30/2020	33.72854224	-113.9810029	70	1	0	La Paz
1445	Arizona	US	05/31/2020	33.72854224	-113.9810029	78	1	0	La Paz
1447	Arizona	US	06/01/2020	33.72854224	-113.9810029	79	1	0	La Paz
1451	Arizona	US	06/02/2020	33.72854224	-113.9810029	92	1	0	La Paz
1452	Arizona	US	06/03/2020	33.72854224	-113.9810029	91	1	0	La Paz
1453	Arizona	US	06/04/2020	33.72854224	-113.9810029	110	1	0	La Paz
1455	Arizona	US	06/05/2020	33.72854224	-113.9810029	149	1	0	La Paz
1455	Arizona	US	06/06/2020	33.72854224	-113.9810029	158	1	0	La Paz
1455	Arizona	US	06/07/2020	33.72854224	-113.9810029	181	1	0	La Paz
1455	Arizona	US	06/08/2020	33.72854224	-113.9810029	183	1	0	La Paz
1457	Arizona	US	06/09/2020	33.72854224	-113.9810029	189	1	0	La Paz
1459	Arizona	US	06/10/2020	33.72854224	-113.9810029	205	1	0	La Paz
1460	Arizona	US	06/11/2020	33.72854224	-113.9810029	211	1	0	La Paz
1468	Arizona	US	06/12/2020	33.72854224	-113.9810029	217	1	0	La Paz
1469	Arizona	US	06/13/2020	33.72854224	-113.9810029	221	1	0	La Paz
1469	Arizona	US	06/14/2020	33.72854224	-113.9810029	221	1	0	La Paz
1471	Arizona	US	06/15/2020	33.72854224	-113.9810029	222	1	0	La Paz
1470	Arizona	US	06/16/2020	33.72854224	-113.9810029	238	3	0	La Paz
1472	Arizona	US	06/17/2020	33.72854224	-113.9810029	238	3	0	La Paz
1472	Arizona	US	06/18/2020	33.72854224	-113.9810029	245	3	0	La Paz
1472	Arizona	US	06/19/2020	33.72854224	-113.9810029	257	3	0	La Paz
1476	Arizona	US	06/20/2020	33.72854224	-113.9810029	268	3	0	La Paz
1476	Arizona	US	06/21/2020	33.72854224	-113.9810029	273	3	0	La Paz
1477	Arizona	US	06/22/2020	33.72854224	-113.9810029	279	3	0	La Paz
1478	Arizona	US	06/23/2020	33.72854224	-113.9810029	286	3	0	La Paz
1484	Arizona	US	06/24/2020	33.72854224	-113.9810029	289	4	0	La Paz
1489	Arizona	US	06/25/2020	33.72854224	-113.9810029	299	4	0	La Paz
1490	Arizona	US	06/26/2020	33.72854224	-113.9810029	309	5	0	La Paz
1491	Arizona	US	06/27/2020	33.72854224	-113.9810029	315	5	0	La Paz
1491	Arizona	US	06/28/2020	33.72854224	-113.9810029	328	5	0	La Paz
1491	Arizona	US	06/29/2020	33.72854224	-113.9810029	332	5	0	La Paz
1492	Arizona	US	06/30/2020	33.72854224	-113.9810029	342	5	0	La Paz
1492	Arizona	US	07/01/2020	33.72854224	-113.9810029	345	5	0	La Paz
1494	Arizona	US	07/02/2020	33.72854224	-113.9810029	346	6	0	La Paz
1497	Arizona	US	07/03/2020	33.72854224	-113.9810029	351	6	0	La Paz
1497	Arizona	US	07/04/2020	33.72854224	-113.9810029	357	6	0	La Paz
1497	Arizona	US	07/05/2020	33.72854224	-113.9810029	363	6	0	La Paz
1500	Arizona	US	07/06/2020	33.72854224	-113.9810029	371	6	0	La Paz
1500	Arizona	US	07/07/2020	33.72854224	-113.9810029	374	7	0	La Paz
1502	Arizona	US	07/08/2020	33.72854224	-113.9810029	381	7	0	La Paz
1502	Arizona	US	07/09/2020	33.72854224	-113.9810029	384	7	0	La Paz
1504	Arizona	US	07/10/2020	33.72854224	-113.9810029	394	7	0	La Paz
1504	Arizona	US	07/11/2020	33.72854224	-113.9810029	398	7	0	La Paz
1506	Arizona	US	07/12/2020	33.72854224	-113.9810029	407	7	0	La Paz
1508	Arizona	US	07/13/2020	33.72854224	-113.9810029	410	7	0	La Paz
1510	Arizona	US	07/14/2020	33.72854224	-113.9810029	412	7	0	La Paz
1510	Arizona	US	07/15/2020	33.72854224	-113.9810029	422	7	0	La Paz
1512	Arizona	US	07/16/2020	33.72854224	-113.9810029	422	7	0	La Paz
1512	Arizona	US	07/17/2020	33.72854224	-113.9810029	428	7	0	La Paz
1552	Arizona	US	07/18/2020	33.72854224	-113.9810029	434	8	0	La Paz
1553	Arizona	US	07/19/2020	33.72854224	-113.9810029	435	8	0	La Paz
1518	Arizona	US	07/20/2020	33.72854224	-113.9810029	435	8	0	La Paz
1556	Arizona	US	07/21/2020	33.72854224	-113.9810029	445	9	0	La Paz
1557	Arizona	US	07/22/2020	33.72854224	-113.9810029	445	9	0	La Paz
1558	Arizona	US	07/23/2020	33.72854224	-113.9810029	448	9	0	La Paz
1557	Arizona	US	07/24/2020	33.72854224	-113.9810029	457	9	0	La Paz
1558	Arizona	US	07/25/2020	33.72854224	-113.9810029	462	9	0	La Paz
1559	Arizona	US	07/26/2020	33.72854224	-113.9810029	463	9	0	La Paz
1559	Arizona	US	07/27/2020	33.72854224	-113.9810029	463	9	0	La Paz
1559	Arizona	US	07/28/2020	33.72854224	-113.9810029	466	9	0	La Paz
1560	Arizona	US	07/29/2020	33.72854224	-113.9810029	466	10	0	La Paz
1560	Arizona	US	07/30/2020	33.72854224	-113.9810029	468	10	0	La Paz
1561	Arizona	US	07/31/2020	33.72854224	-113.9810029	469	10	0	La Paz
1561	Arizona	US	08/01/2020	33.72854224	-113.9810029	472	10	0	La Paz
1561	Arizona	US	08/02/2020	33.72854224	-113.9810029	473	10	0	La Paz
1561	Arizona	US	08/03/2020	33.72854224	-113.9810029	474	10	0	La Paz
1561	Arizona	US	08/04/2020	33.72854224	-113.9810029	476	10	0	La Paz
1563	Arizona	US	08/05/2020	33.72854224	-113.9810029	476	10	0	La Paz
