	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1240	Arkansas	US	03/22/2020	36.3403856	-93.54270261	0	0	0	Carroll
393	Arkansas	US	03/23/2020	36.34038560000001	-93.54270261	0	0	0	Carroll
393	Arkansas	US	03/24/2020	36.34038560000001	-93.54270261	0	0	0	Carroll
393	Arkansas	US	03/25/2020	36.34038560000001	-93.54270261	0	0	0	Carroll
393	Arkansas	US	03/26/2020	36.34038560000001	-93.54270261	0	0	0	Carroll
393	Arkansas	US	03/27/2020	36.34038560000001	-93.54270261	0	0	0	Carroll
393	Arkansas	US	03/28/2020	36.3403856	-93.54270261	0	0	0	Carroll
393	Arkansas	US	03/29/2020	36.3403856	-93.54270261	0	0	0	Carroll
393	Arkansas	US	03/30/2020	36.3403856	-93.54270261	0	0	0	Carroll
291	Arkansas	US	04/02/2020	36.3403856	-93.54270261	1	0	0	Carroll
295	Arkansas	US	04/03/2020	36.34038560000001	-93.54270261	1	0	0	Carroll
300	Arkansas	US	04/04/2020	36.3403856	-93.54270261	1	0	0	Carroll
313	Arkansas	US	04/05/2020	36.34038560000001	-93.54270261	1	0	0	Carroll
314	Arkansas	US	04/06/2020	36.3403856	-93.54270261	1	0	0	Carroll
322	Arkansas	US	04/07/2020	36.34038560000001	-93.54270261	1	0	0	Carroll
326	Arkansas	US	04/08/2020	36.34038560000001	-93.54270261	1	0	0	Carroll
329	Arkansas	US	04/09/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
330	Arkansas	US	04/10/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
333	Arkansas	US	04/11/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
336	Arkansas	US	04/12/2020	36.3403856	-93.54270261	2	0	0	Carroll
338	Arkansas	US	04/13/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
339	Arkansas	US	04/14/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
341	Arkansas	US	04/15/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
341	Arkansas	US	04/16/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
342	Arkansas	US	04/17/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
343	Arkansas	US	04/18/2020	36.3403856	-93.54270261	2	0	0	Carroll
343	Arkansas	US	04/19/2020	36.3403856	-93.54270261	2	0	0	Carroll
343	Arkansas	US	04/20/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
344	Arkansas	US	04/21/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
345	Arkansas	US	04/22/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
346	Arkansas	US	04/23/2020	36.34038560000001	-93.54270261	2	0	0	Carroll
346	Arkansas	US	04/24/2020	36.34038560000001	-93.54270261	3	0	0	Carroll
346	Arkansas	US	04/25/2020	36.34038560000001	-93.54270261	4	0	0	Carroll
347	Arkansas	US	04/26/2020	36.34038560000001	-93.54270261	4	0	0	Carroll
348	Arkansas	US	04/27/2020	36.34038560000001	-93.54270261	4	0	0	Carroll
349	Arkansas	US	04/28/2020	36.34038560000001	-93.54270261	5	0	0	Carroll
349	Arkansas	US	04/29/2020	36.34038560000001	-93.54270261	5	0	0	Carroll
349	Arkansas	US	04/30/2020	36.34038560000001	-93.54270261	5	0	0	Carroll
352	Arkansas	US	05/01/2020	36.34038560000001	-93.54270261	5	0	0	Carroll
353	Arkansas	US	05/02/2020	36.34038560000001	-93.54270261	6	0	0	Carroll
354	Arkansas	US	05/03/2020	36.34038560000001	-93.54270261	6	0	0	Carroll
