	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
898	Conway	1	US	0	35.26205537	-92.70506566	Arkansas	0	03/22/2020
626	Conway	1	US	0	35.26205537	-92.70506566	Arkansas	0	03/23/2020
626	Conway	1	US	0	35.26205537	-92.70506566	Arkansas	0	03/24/2020
626	Conway	1	US	0	35.26205537	-92.70506566	Arkansas	0	03/25/2020
626	Conway	1	US	0	35.26205537	-92.70506566	Arkansas	0	03/26/2020
626	Conway	1	US	0	35.26205537	-92.70506566	Arkansas	0	03/27/2020
626	Conway	1	US	0	35.26205537	-92.70506566	Arkansas	0	03/28/2020
626	Conway	1	US	0	35.26205537	-92.70506566	Arkansas	0	03/29/2020
626	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	03/30/2020
447	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	03/31/2020
459	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	04/01/2020
476	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	04/02/2020
482	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	04/03/2020
493	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	04/04/2020
508	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	04/05/2020
511	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	04/06/2020
520	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	04/07/2020
525	Conway	1	US	1	35.26205537	-92.70506566	Arkansas	0	04/08/2020
528	Conway	4	US	1	35.26205537	-92.70506566	Arkansas	0	04/09/2020
531	Conway	4	US	1	35.26205537	-92.70506566	Arkansas	0	04/10/2020
536	Conway	4	US	1	35.26205537	-92.70506566	Arkansas	0	04/11/2020
539	Conway	4	US	1	35.26205537	-92.70506566	Arkansas	0	04/12/2020
542	Conway	4	US	1	35.26205537	-92.70506566	Arkansas	0	04/13/2020
544	Conway	4	US	1	35.26205537	-92.70506566	Arkansas	0	04/14/2020
547	Conway	5	US	1	35.26205537	-92.70506566	Arkansas	0	04/15/2020
548	Conway	5	US	1	35.26205537	-92.70506566	Arkansas	0	04/16/2020
550	Conway	5	US	1	35.26205537	-92.70506566	Arkansas	0	04/17/2020
551	Conway	5	US	1	35.26205537	-92.70506566	Arkansas	0	04/18/2020
555	Conway	5	US	1	35.26205537	-92.70506566	Arkansas	0	04/19/2020
556	Conway	5	US	1	35.26205537	-92.70506566	Arkansas	0	04/20/2020
560	Conway	5	US	1	35.26205537	-92.70506566	Arkansas	0	04/21/2020
562	Conway	5	US	1	35.26205537	-92.70506566	Arkansas	0	04/22/2020
565	Conway	8	US	1	35.26205537	-92.70506566	Arkansas	0	04/23/2020
566	Conway	10	US	1	35.26205537	-92.70506566	Arkansas	0	04/24/2020
566	Conway	10	US	1	35.26205537	-92.70506566	Arkansas	0	04/25/2020
567	Conway	11	US	1	35.26205537	-92.70506566	Arkansas	0	04/26/2020
568	Conway	12	US	1	35.26205537	-92.70506566	Arkansas	0	04/27/2020
570	Conway	12	US	1	35.26205537	-92.70506566	Arkansas	0	04/28/2020
570	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	04/29/2020
570	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	04/30/2020
573	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	05/01/2020
574	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	05/02/2020
575	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	05/03/2020
576	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	05/04/2020
580	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	05/05/2020
581	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	05/06/2020
582	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	05/07/2020
585	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	05/08/2020
585	Conway	13	US	1	35.26205537	-92.70506566	Arkansas	0	05/09/2020
