	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
884	Craighead	1	US	0	35.83018283	-90.63235729	Arkansas	0	03/22/2020
652	Craighead	4	US	0	35.83018283	-90.63235729	Arkansas	0	03/23/2020
652	Craighead	4	US	0	35.83018283	-90.63235729	Arkansas	0	03/24/2020
652	Craighead	4	US	0	35.83018283	-90.63235729	Arkansas	0	03/25/2020
652	Craighead	4	US	0	35.83018283	-90.63235729	Arkansas	0	03/26/2020
652	Craighead	4	US	0	35.83018283	-90.63235729	Arkansas	0	03/27/2020
652	Craighead	4	US	0	35.83018283	-90.63235729	Arkansas	0	03/28/2020
652	Craighead	6	US	0	35.83018283	-90.63235729	Arkansas	0	03/29/2020
652	Craighead	6	US	0	35.83018283	-90.63235729	Arkansas	0	03/30/2020
464	Craighead	8	US	0	35.83018283	-90.63235729	Arkansas	0	03/31/2020
477	Craighead	11	US	0	35.83018283	-90.63235729	Arkansas	0	04/01/2020
495	Craighead	12	US	0	35.83018283	-90.63235729	Arkansas	0	04/02/2020
501	Craighead	14	US	0	35.83018283	-90.63235729	Arkansas	0	04/03/2020
513	Craighead	16	US	0	35.83018283	-90.63235729	Arkansas	0	04/04/2020
528	Craighead	18	US	0	35.83018283	-90.63235729	Arkansas	0	04/05/2020
531	Craighead	20	US	0	35.83018283	-90.63235729	Arkansas	0	04/06/2020
541	Craighead	22	US	0	35.83018283	-90.63235729	Arkansas	0	04/07/2020
546	Craighead	23	US	0	35.83018283	-90.63235729	Arkansas	0	04/08/2020
550	Craighead	28	US	0	35.83018283	-90.63235729	Arkansas	0	04/09/2020
554	Craighead	29	US	0	35.83018283	-90.63235729	Arkansas	0	04/10/2020
559	Craighead	31	US	0	35.83018283	-90.63235729	Arkansas	0	04/11/2020
562	Craighead	31	US	0	35.83018283	-90.63235729	Arkansas	0	04/12/2020
566	Craighead	36	US	0	35.83018283	-90.63235729	Arkansas	0	04/13/2020
568	Craighead	36	US	0	35.83018283	-90.63235729	Arkansas	0	04/14/2020
571	Craighead	38	US	0	35.83018283	-90.63235729	Arkansas	0	04/15/2020
572	Craighead	40	US	1	35.83018283	-90.63235729	Arkansas	0	04/16/2020
574	Craighead	40	US	1	35.83018283	-90.63235729	Arkansas	0	04/17/2020
575	Craighead	42	US	1	35.83018283	-90.63235729	Arkansas	0	04/18/2020
579	Craighead	43	US	1	35.83018283	-90.63235729	Arkansas	0	04/19/2020
580	Craighead	44	US	1	35.83018283	-90.63235729	Arkansas	0	04/20/2020
584	Craighead	45	US	1	35.83018283	-90.63235729	Arkansas	0	04/21/2020
586	Craighead	48	US	1	35.83018283	-90.63235729	Arkansas	0	04/22/2020
589	Craighead	55	US	1	35.83018283	-90.63235729	Arkansas	0	04/23/2020
590	Craighead	58	US	1	35.83018283	-90.63235729	Arkansas	0	04/24/2020
590	Craighead	62	US	1	35.83018283	-90.63235729	Arkansas	0	04/25/2020
591	Craighead	62	US	1	35.83018283	-90.63235729	Arkansas	0	04/26/2020
593	Craighead	68	US	0	35.83018283	-90.63235729	Arkansas	0	04/27/2020
595	Craighead	70	US	0	35.83018283	-90.63235729	Arkansas	0	04/28/2020
595	Craighead	73	US	0	35.83018283	-90.63235729	Arkansas	0	04/29/2020
595	Craighead	74	US	0	35.83018283	-90.63235729	Arkansas	0	04/30/2020
598	Craighead	80	US	0	35.83018283	-90.63235729	Arkansas	0	05/01/2020
599	Craighead	81	US	0	35.83018283	-90.63235729	Arkansas	0	05/02/2020
600	Craighead	81	US	0	35.83018283	-90.63235729	Arkansas	0	05/03/2020
601	Craighead	84	US	0	35.83018283	-90.63235729	Arkansas	0	05/04/2020
605	Craighead	85	US	0	35.83018283	-90.63235729	Arkansas	0	05/05/2020
606	Craighead	88	US	0	35.83018283	-90.63235729	Arkansas	0	05/06/2020
607	Craighead	92	US	0	35.83018283	-90.63235729	Arkansas	0	05/07/2020
610	Craighead	92	US	0	35.83018283	-90.63235729	Arkansas	0	05/08/2020
610	Craighead	92	US	0	35.83018283	-90.63235729	Arkansas	0	05/09/2020
611	Craighead	97	US	0	35.83018283	-90.63235729	Arkansas	0	05/10/2020
611	Craighead	98	US	0	35.83018283	-90.63235729	Arkansas	0	05/11/2020
611	Craighead	103	US	0	35.83018283	-90.63235729	Arkansas	0	05/12/2020
611	Craighead	113	US	0	35.83018283	-90.63235729	Arkansas	0	05/13/2020
612	Craighead	127	US	0	35.83018283	-90.63235729	Arkansas	0	05/14/2020
613	Craighead	130	US	0	35.83018283	-90.63235729	Arkansas	0	05/15/2020
614	Craighead	137	US	0	35.83018283	-90.63235729	Arkansas	0	05/16/2020
615	Craighead	140	US	0	35.83018283	-90.63235729	Arkansas	0	05/17/2020
616	Craighead	141	US	0	35.83018283	-90.63235729	Arkansas	0	05/18/2020
618	Craighead	147	US	0	35.83018283	-90.63235729	Arkansas	0	05/19/2020
619	Craighead	153	US	0	35.83018283	-90.63235729	Arkansas	0	05/20/2020
619	Craighead	170	US	0	35.83018283	-90.63235729	Arkansas	0	05/21/2020
621	Craighead	174	US	0	35.83018283	-90.63235729	Arkansas	0	05/22/2020
621	Craighead	181	US	0	35.83018283	-90.63235729	Arkansas	0	05/23/2020
622	Craighead	185	US	0	35.83018283	-90.63235729	Arkansas	0	05/24/2020
622	Craighead	188	US	0	35.83018283	-90.63235729	Arkansas	0	05/25/2020
622	Craighead	190	US	0	35.83018283	-90.63235729	Arkansas	0	05/26/2020
623	Craighead	191	US	0	35.83018283	-90.63235729	Arkansas	0	05/27/2020
623	Craighead	203	US	0	35.83018283	-90.63235729	Arkansas	0	05/28/2020
623	Craighead	206	US	0	35.83018283	-90.63235729	Arkansas	0	05/29/2020
623	Craighead	212	US	0	35.83018283	-90.63235729	Arkansas	0	05/30/2020
623	Craighead	220	US	0	35.83018283	-90.63235729	Arkansas	0	05/31/2020
624	Craighead	228	US	0	35.83018283	-90.63235729	Arkansas	0	06/01/2020
624	Craighead	249	US	0	35.83018283	-90.63235729	Arkansas	0	06/02/2020
624	Craighead	257	US	0	35.83018283	-90.63235729	Arkansas	0	06/03/2020
624	Craighead	266	US	0	35.83018283	-90.63235729	Arkansas	0	06/04/2020
625	Craighead	279	US	0	35.83018283	-90.63235729	Arkansas	0	06/05/2020
625	Craighead	300	US	1	35.83018283	-90.63235729	Arkansas	0	06/06/2020
625	Craighead	302	US	1	35.83018283	-90.63235729	Arkansas	0	06/07/2020
625	Craighead	305	US	1	35.83018283	-90.63235729	Arkansas	0	06/08/2020
625	Craighead	318	US	1	35.83018283	-90.63235729	Arkansas	0	06/09/2020
626	Craighead	331	US	1	35.83018283	-90.63235729	Arkansas	0	06/10/2020
