	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1246	Dallas	0	US	0	33.97042763	-92.65167437	Arkansas	0	03/22/2020
709	Dallas	0	US	0	33.97042763	-92.65167437	Arkansas	0	03/23/2020
709	Dallas	0	US	0	33.97042763	-92.65167437	Arkansas	0	03/24/2020
709	Dallas	0	US	0	33.97042763	-92.65167437	Arkansas	0	03/25/2020
709	Dallas	0	US	0	33.97042763	-92.65167437	Arkansas	0	03/26/2020
709	Dallas	0	US	0	33.97042763	-92.65167437	Arkansas	0	03/27/2020
709	Dallas	0	US	0	33.97042763	-92.65167437	Arkansas	0	03/28/2020
709	Dallas	0	US	0	33.97042763	-92.65167437	Arkansas	0	03/29/2020
709	Dallas	0	US	0	33.97042763	-92.65167437	Arkansas	0	03/30/2020
580	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/06/2020
591	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/07/2020
596	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/08/2020
600	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/09/2020
604	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/10/2020
609	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/11/2020
613	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/12/2020
617	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/13/2020
619	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/14/2020
622	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/15/2020
623	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/16/2020
625	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/17/2020
626	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/18/2020
630	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/19/2020
631	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/20/2020
635	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/21/2020
637	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/22/2020
640	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/23/2020
641	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/24/2020
641	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/25/2020
642	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/26/2020
644	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/27/2020
646	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/28/2020
646	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/29/2020
646	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	04/30/2020
649	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/01/2020
650	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/02/2020
651	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/03/2020
652	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/04/2020
656	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/05/2020
657	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/06/2020
658	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/07/2020
661	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/08/2020
661	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/09/2020
662	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/10/2020
662	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/11/2020
662	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/12/2020
662	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/13/2020
663	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/14/2020
664	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/15/2020
665	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/16/2020
666	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/17/2020
667	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/18/2020
669	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/19/2020
670	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/20/2020
670	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/21/2020
672	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/22/2020
672	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/23/2020
673	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/24/2020
673	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/25/2020
673	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/26/2020
674	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/27/2020
674	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/28/2020
674	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/29/2020
674	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/30/2020
674	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	05/31/2020
675	Dallas	1	US	0	33.97042763	-92.65167437	Arkansas	0	06/01/2020
675	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/02/2020
675	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/03/2020
676	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/04/2020
678	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/05/2020
678	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/06/2020
678	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/07/2020
678	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/08/2020
678	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/09/2020
679	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/10/2020
680	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/11/2020
683	Dallas	3	US	0	33.97042763	-92.65167437	Arkansas	0	06/12/2020
