	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1272	Ouachita	0	US	0	33.58839816	-92.87795984	Arkansas	0	03/22/2020
2175	Ouachita	0	US	0	33.58839816	-92.87795984	Arkansas	0	03/23/2020
2175	Ouachita	0	US	0	33.58839816	-92.87795984	Arkansas	0	03/24/2020
2175	Ouachita	0	US	0	33.58839816	-92.87795984	Arkansas	0	03/25/2020
2174	Ouachita	0	US	0	33.58839816	-92.87795984	Arkansas	0	03/26/2020
2174	Ouachita	0	US	0	33.58839816	-92.87795984	Arkansas	0	03/27/2020
2174	Ouachita	0	US	0	33.58839816	-92.87795984	Arkansas	0	03/28/2020
2174	Ouachita	0	US	0	33.58839816	-92.87795984	Arkansas	0	03/29/2020
2174	Ouachita	0	US	0	33.58839816	-92.87795984	Arkansas	0	03/30/2020
1648	Ouachita	1	US	0	33.58839816	-92.87795984	Arkansas	0	04/04/2020
1701	Ouachita	1	US	0	33.58839816	-92.87795984	Arkansas	0	04/05/2020
1727	Ouachita	1	US	0	33.58839816	-92.87795984	Arkansas	0	04/06/2020
1765	Ouachita	1	US	0	33.58839816	-92.87795984	Arkansas	0	04/07/2020
1781	Ouachita	1	US	0	33.58839816	-92.87795984	Arkansas	0	04/08/2020
1801	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/09/2020
1815	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/10/2020
1833	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/11/2020
1846	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/12/2020
1860	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/13/2020
1867	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/14/2020
1877	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/15/2020
1885	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/16/2020
1887	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/17/2020
1893	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/18/2020
1904	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/19/2020
1911	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/20/2020
1919	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/21/2020
1926	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/22/2020
1937	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/23/2020
1942	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/24/2020
1946	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/25/2020
1952	Ouachita	5	US	0	33.58839816	-92.87795984	Arkansas	0	04/26/2020
1955	Ouachita	6	US	0	33.58839816	-92.87795984	Arkansas	0	04/27/2020
1962	Ouachita	6	US	0	33.58839816	-92.87795984	Arkansas	0	04/28/2020
1965	Ouachita	6	US	0	33.58839816	-92.87795984	Arkansas	0	04/29/2020
1971	Ouachita	6	US	0	33.58839816	-92.87795984	Arkansas	0	04/30/2020
1980	Ouachita	7	US	0	33.58839816	-92.87795984	Arkansas	0	05/01/2020
1984	Ouachita	7	US	0	33.58839816	-92.87795984	Arkansas	0	05/02/2020
1987	Ouachita	7	US	0	33.58839816	-92.87795984	Arkansas	0	05/03/2020
