	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
133	California	US	03/22/2020	38.44583082	-120.65696	1	0	0	Amador
54	California	US	03/23/2020	38.44583082	-120.65696	1	0	0	Amador
54	California	US	03/24/2020	38.44583082	-120.65696	1	0	0	Amador
54	California	US	03/25/2020	38.44583082	-120.65696	1	0	0	Amador
54	California	US	03/26/2020	38.44583082	-120.65696	1	0	0	Amador
54	California	US	03/27/2020	38.44583082	-120.65696	1	0	0	Amador
54	California	US	03/28/2020	38.44583082	-120.65696	2	0	0	Amador
54	California	US	03/29/2020	38.44583082	-120.65696	1	0	0	Amador
54	California	US	03/30/2020	38.44583082	-120.65696	1	0	0	Amador
36	California	US	03/31/2020	38.44583082	-120.65696	1	0	0	Amador
38	California	US	04/01/2020	38.44583082	-120.65696	1	0	0	Amador
41	California	US	04/02/2020	38.44583082	-120.65696	2	0	0	Amador
41	California	US	04/03/2020	38.44583082	-120.65696	2	0	0	Amador
43	California	US	04/04/2020	38.44583082	-120.65696	2	0	0	Amador
43	California	US	04/05/2020	38.44583082	-120.65696	2	0	0	Amador
43	California	US	04/06/2020	38.44583082	-120.65696	2	0	0	Amador
43	California	US	04/07/2020	38.44583082	-120.65696	2	0	0	Amador
43	California	US	04/08/2020	38.44583082	-120.65696	2	0	0	Amador
43	California	US	04/09/2020	38.44583082	-120.65696	2	0	0	Amador
43	California	US	04/10/2020	38.44583082	-120.65696	5	0	0	Amador
44	California	US	04/11/2020	38.44583082	-120.65696	6	0	0	Amador
44	California	US	04/12/2020	38.44583082	-120.65696	6	0	0	Amador
45	California	US	04/13/2020	38.44583082	-120.65696	6	0	0	Amador
45	California	US	04/14/2020	38.44583082	-120.65696	6	0	0	Amador
46	California	US	04/15/2020	38.44583082	-120.65696	7	0	0	Amador
46	California	US	04/16/2020	38.44583082	-120.65696	7	0	0	Amador
48	California	US	04/17/2020	38.44583082	-120.65696	7	0	0	Amador
48	California	US	04/18/2020	38.44583082	-120.65696	7	0	0	Amador
48	California	US	04/19/2020	38.44583082	-120.65696	7	0	0	Amador
48	California	US	04/20/2020	38.44583082	-120.65696	7	0	0	Amador
48	California	US	04/21/2020	38.44583082	-120.65696	7	0	0	Amador
48	California	US	04/22/2020	38.44583082	-120.65696	7	0	0	Amador
48	California	US	04/23/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	04/24/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	04/25/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	04/26/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	04/27/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	04/28/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	04/29/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	04/30/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	05/01/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	05/02/2020	38.44583082	-120.65696	8	0	0	Amador
48	California	US	05/03/2020	38.44583082	-120.65696	8	0	0	Amador
