	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
135	California	US	03/22/2020	39.66727762	-121.6005252	1	0	0	Butte
330	California	US	03/23/2020	39.66727762	-121.6005252	2	0	0	Butte
330	California	US	03/24/2020	39.66727762	-121.6005252	3	0	0	Butte
330	California	US	03/25/2020	39.66727762	-121.6005252	4	0	0	Butte
330	California	US	03/26/2020	39.66727762	-121.6005252	4	0	0	Butte
330	California	US	03/27/2020	39.66727762	-121.6005252	4	0	0	Butte
330	California	US	03/28/2020	39.66727762	-121.6005252	8	0	0	Butte
330	California	US	03/29/2020	39.66727762	-121.6005252	4	0	0	Butte
330	California	US	03/30/2020	39.66727762	-121.6005252	5	0	0	Butte
228	California	US	03/31/2020	39.66727762	-121.6005252	6	0	0	Butte
235	California	US	04/01/2020	39.66727762	-121.6005252	6	0	0	Butte
243	California	US	04/02/2020	39.66727762	-121.6005252	7	0	0	Butte
245	California	US	04/03/2020	39.66727762	-121.6005252	9	0	0	Butte
249	California	US	04/04/2020	39.66727762	-121.6005252	11	0	0	Butte
259	California	US	04/05/2020	39.66727762	-121.6005252	11	0	0	Butte
260	California	US	04/06/2020	39.66727762	-121.6005252	12	0	0	Butte
266	California	US	04/07/2020	39.66727762	-121.6005252	12	0	0	Butte
270	California	US	04/08/2020	39.66727762	-121.6005252	12	0	0	Butte
273	California	US	04/09/2020	39.66727762	-121.6005252	13	0	0	Butte
274	California	US	04/10/2020	39.66727762	-121.6005252	14	0	0	Butte
277	California	US	04/11/2020	39.66727762	-121.6005252	14	0	0	Butte
280	California	US	04/12/2020	39.66727762	-121.6005252	14	0	0	Butte
282	California	US	04/13/2020	39.66727762	-121.6005252	14	0	0	Butte
283	California	US	04/14/2020	39.66727762	-121.6005252	14	0	0	Butte
285	California	US	04/15/2020	39.66727762	-121.6005252	15	0	0	Butte
285	California	US	04/16/2020	39.66727762	-121.6005252	16	0	0	Butte
288	California	US	04/17/2020	39.66727762	-121.6005252	16	0	0	Butte
289	California	US	04/18/2020	39.66727762	-121.6005252	16	0	0	Butte
289	California	US	04/19/2020	39.66727762	-121.6005252	16	0	0	Butte
289	California	US	04/20/2020	39.66727762	-121.6005252	16	0	0	Butte
290	California	US	04/21/2020	39.66727762	-121.6005252	16	0	0	Butte
291	California	US	04/22/2020	39.66727762	-121.6005252	16	0	0	Butte
291	California	US	04/23/2020	39.66727762	-121.6005252	16	0	0	Butte
291	California	US	04/24/2020	39.66727762	-121.6005252	16	0	0	Butte
291	California	US	04/25/2020	39.66727762	-121.6005252	17	0	0	Butte
292	California	US	04/26/2020	39.66727762	-121.6005252	17	0	0	Butte
292	California	US	04/27/2020	39.66727762	-121.6005252	17	0	0	Butte
293	California	US	04/28/2020	39.66727762	-121.6005252	17	0	0	Butte
293	California	US	04/29/2020	39.66727762	-121.6005252	17	0	0	Butte
293	California	US	04/30/2020	39.66727762	-121.6005252	17	0	0	Butte
295	California	US	05/01/2020	39.66727762	-121.6005252	18	0	0	Butte
296	California	US	05/02/2020	39.66727762	-121.6005252	18	0	0	Butte
297	California	US	05/03/2020	39.66727762	-121.6005252	18	0	0	Butte
298	California	US	05/04/2020	39.66727762	-121.6005252	17	0	0	Butte
300	California	US	05/05/2020	39.66727762	-121.6005252	20	0	0	Butte
301	California	US	05/06/2020	39.66727762	-121.6005252	20	0	0	Butte
302	California	US	05/07/2020	39.66727762	-121.6005252	20	0	0	Butte
302	California	US	05/08/2020	39.66727762	-121.6005252	19	0	0	Butte
302	California	US	05/09/2020	39.66727762	-121.6005252	19	0	0	Butte
303	California	US	05/10/2020	39.66727762	-121.6005252	19	0	0	Butte
303	California	US	05/11/2020	39.66727762	-121.6005252	20	0	0	Butte
303	California	US	05/12/2020	39.66727762	-121.6005252	21	0	0	Butte
303	California	US	05/13/2020	39.66727762	-121.6005252	22	0	0	Butte
304	California	US	05/14/2020	39.66727762	-121.6005252	23	0	0	Butte
305	California	US	05/15/2020	39.66727762	-121.6005252	23	0	0	Butte
305	California	US	05/16/2020	39.66727762	-121.6005252	23	0	0	Butte
306	California	US	05/17/2020	39.66727762	-121.6005252	24	0	0	Butte
307	California	US	05/18/2020	39.66727762	-121.6005252	25	0	0	Butte
309	California	US	05/19/2020	39.66727762	-121.6005252	26	0	0	Butte
309	California	US	05/20/2020	39.66727762	-121.6005252	31	0	0	Butte
309	California	US	05/21/2020	39.66727762	-121.6005252	32	0	0	Butte
310	California	US	05/22/2020	39.66727762	-121.6005252	35	0	0	Butte
310	California	US	05/23/2020	39.66727762	-121.6005252	35	0	0	Butte
310	California	US	05/24/2020	39.66727762	-121.6005252	36	0	0	Butte
310	California	US	05/25/2020	39.66727762	-121.6005252	38	0	0	Butte
310	California	US	05/26/2020	39.66727762	-121.6005252	38	0	0	Butte
311	California	US	05/27/2020	39.66727762	-121.6005252	41	0	0	Butte
311	California	US	05/28/2020	39.66727762	-121.6005252	42	0	0	Butte
311	California	US	05/29/2020	39.66727762	-121.6005252	43	0	0	Butte
311	California	US	05/30/2020	39.66727762	-121.6005252	46	0	0	Butte
311	California	US	05/31/2020	39.66727762	-121.6005252	53	0	0	Butte
312	California	US	06/01/2020	39.66727762	-121.6005252	52	1	0	Butte
312	California	US	06/02/2020	39.66727762	-121.6005252	54	1	0	Butte
312	California	US	06/03/2020	39.66727762	-121.6005252	56	1	0	Butte
312	California	US	06/04/2020	39.66727762	-121.6005252	60	1	0	Butte
313	California	US	06/05/2020	39.66727762	-121.6005252	65	1	0	Butte
313	California	US	06/06/2020	39.66727762	-121.6005252	67	1	0	Butte
313	California	US	06/07/2020	39.66727762	-121.6005252	68	1	0	Butte
313	California	US	06/08/2020	39.66727762	-121.6005252	73	1	0	Butte
313	California	US	06/09/2020	39.66727762	-121.6005252	75	1	0	Butte
314	California	US	06/10/2020	39.66727762	-121.6005252	76	1	0	Butte
315	California	US	06/11/2020	39.66727762	-121.6005252	77	1	0	Butte
316	California	US	06/12/2020	39.66727762	-121.6005252	76	1	0	Butte
316	California	US	06/13/2020	39.66727762	-121.6005252	77	1	0	Butte
316	California	US	06/14/2020	39.66727762	-121.6005252	83	1	0	Butte
317	California	US	06/15/2020	39.66727762	-121.6005252	83	1	0	Butte
317	California	US	06/16/2020	39.66727762	-121.6005252	84	1	0	Butte
317	California	US	06/17/2020	39.66727762	-121.6005252	86	1	0	Butte
317	California	US	06/18/2020	39.66727762	-121.6005252	93	1	0	Butte
317	California	US	06/19/2020	39.66727762	-121.6005252	96	1	0	Butte
318	California	US	06/20/2020	39.66727762	-121.6005252	99	1	0	Butte
318	California	US	06/21/2020	39.66727762	-121.6005252	102	1	0	Butte
318	California	US	06/22/2020	39.66727762	-121.6005252	109	1	0	Butte
318	California	US	06/23/2020	39.66727762	-121.6005252	116	1	0	Butte
320	California	US	06/24/2020	39.66727762	-121.6005252	124	1	0	Butte
321	California	US	06/25/2020	39.66727762	-121.6005252	132	1	0	Butte
321	California	US	06/26/2020	39.66727762	-121.6005252	140	2	0	Butte
321	California	US	06/27/2020	39.66727762	-121.6005252	142	2	0	Butte
321	California	US	06/28/2020	39.66727762	-121.6005252	155	2	0	Butte
321	California	US	06/29/2020	39.66727762	-121.6005252	162	2	0	Butte
322	California	US	06/30/2020	39.66727762	-121.6005252	168	2	0	Butte
322	California	US	07/01/2020	39.66727762	-121.6005252	190	2	0	Butte
322	California	US	07/02/2020	39.66727762	-121.6005252	204	2	0	Butte
322	California	US	07/03/2020	39.66727762	-121.6005252	217	2	0	Butte
322	California	US	07/04/2020	39.66727762	-121.6005252	229	2	0	Butte
322	California	US	07/05/2020	39.66727762	-121.6005252	253	2	0	Butte
322	California	US	07/06/2020	39.66727762	-121.6005252	262	2	0	Butte
322	California	US	07/07/2020	39.66727762	-121.6005252	274	3	0	Butte
323	California	US	07/08/2020	39.66727762	-121.6005252	286	3	0	Butte
323	California	US	07/09/2020	39.66727762	-121.6005252	300	4	0	Butte
324	California	US	07/10/2020	39.66727762	-121.6005252	323	4	0	Butte
324	California	US	07/11/2020	39.66727762	-121.6005252	330	4	0	Butte
324	California	US	07/12/2020	39.66727762	-121.6005252	346	4	0	Butte
324	California	US	07/13/2020	39.66727762	-121.6005252	359	4	0	Butte
324	California	US	07/14/2020	39.66727762	-121.6005252	387	4	0	Butte
324	California	US	07/15/2020	39.66727762	-121.6005252	425	4	0	Butte
325	California	US	07/16/2020	39.66727762	-121.6005252	470	4	0	Butte
325	California	US	07/17/2020	39.66727762	-121.6005252	503	4	0	Butte
336	California	US	07/18/2020	39.66727762	-121.6005252	557	4	0	Butte
336	California	US	07/19/2020	39.66727762	-121.6005252	561	4	0	Butte
328	California	US	07/20/2020	39.66727762	-121.6005252	592	4	0	Butte
337	California	US	07/21/2020	39.66727762	-121.6005252	665	5	0	Butte
337	California	US	07/22/2020	39.66727762	-121.6005252	701	5	0	Butte
338	California	US	07/23/2020	39.66727762	-121.6005252	734	5	0	Butte
338	California	US	07/24/2020	39.66727762	-121.6005252	759	5	0	Butte
338	California	US	07/25/2020	39.66727762	-121.6005252	818	5	0	Butte
338	California	US	07/26/2020	39.66727762	-121.6005252	830	5	0	Butte
338	California	US	07/27/2020	39.66727762	-121.6005252	851	7	0	Butte
338	California	US	07/28/2020	39.66727762	-121.6005252	865	7	0	Butte
338	California	US	07/29/2020	39.66727762	-121.6005252	897	7	0	Butte
338	California	US	07/30/2020	39.66727762	-121.6005252	925	7	0	Butte
338	California	US	07/31/2020	39.66727762	-121.6005252	935	7	0	Butte
338	California	US	08/01/2020	39.66727762	-121.6005252	986	9	0	Butte
338	California	US	08/02/2020	39.66727762	-121.6005252	997	9	0	Butte
338	California	US	08/03/2020	39.66727762	-121.6005252	999	9	0	Butte
338	California	US	08/04/2020	39.66727762	-121.6005252	1022	10	0	Butte
339	California	US	08/05/2020	39.66727762	-121.6005252	1049	13	0	Butte
339	California	US	08/06/2020	39.66727762	-121.6005252	1071	13	0	Butte
339	California	US	08/07/2020	39.66727762	-121.6005252	1103	13	0	Butte
339	California	US	08/08/2020	39.66727762	-121.6005252	1151	15	0	Butte
339	California	US	08/09/2020	39.66727762	-121.6005252	1166	15	0	Butte
339	California	US	08/10/2020	39.66727762	-121.6005252	1185	15	0	Butte
869	California	US	08/11/2020	39.66727762	-121.6005252	1308	15	0	Butte
823	California	US	08/12/2020	39.66727762	-121.6005252	1329	15	0	Butte
823	California	US	08/13/2020	39.66727762	-121.6005252	1357	15	0	Butte
823	California	US	08/14/2020	39.66727762	-121.6005252	1396	15	0	Butte
823	California	US	08/15/2020	39.66727762	-121.6005252	1421	15	0	Butte
823	California	US	08/16/2020	39.66727762	-121.6005252	1444	15	0	Butte
823	California	US	08/17/2020	39.66727762	-121.6005252	1475	15	0	Butte
823	California	US	08/18/2020	39.66727762	-121.6005252	1503	16	0	Butte
823	California	US	08/19/2020	39.66727762	-121.6005252	1529	16	0	Butte
823	California	US	08/20/2020	39.66727762	-121.6005252	1561	18	0	Butte
823	California	US	08/21/2020	39.66727762	-121.6005252	1594	19	0	Butte
823	California	US	08/22/2020	39.66727762	-121.6005252	1630	22	0	Butte
823	California	US	08/23/2020	39.66727762	-121.6005252	1649	23	0	Butte
823	California	US	08/24/2020	39.66727762	-121.6005252	1661	23	0	Butte
823	California	US	08/25/2020	39.66727762	-121.6005252	1730	24	0	Butte
823	California	US	08/26/2020	39.66727762	-121.6005252	1777	25	0	Butte
823	California	US	08/27/2020	39.66727762	-121.6005252	1817	25	0	Butte
823	California	US	08/28/2020	39.66727762	-121.6005252	1901	25	0	Butte
823	California	US	08/29/2020	39.66727762	-121.6005252	1963	26	0	Butte
823	California	US	08/30/2020	39.66727762	-121.6005252	2003	26	0	Butte
823	California	US	08/31/2020	39.66727762	-121.6005252	2084	26	0	Butte
823	California	US	09/01/2020	39.66727762	-121.6005252	2161	26	0	Butte
823	California	US	09/02/2020	39.66727762	-121.6005252	2257	27	0	Butte
823	California	US	09/03/2020	39.66727762	-121.6005252	2290	27	0	Butte
823	California	US	09/04/2020	39.66727762	-121.6005252	2341	28	0	Butte
823	California	US	09/05/2020	39.66727762	-121.6005252	2422	30	0	Butte
823	California	US	09/06/2020	39.66727762	-121.6005252	2463	30	0	Butte
823	California	US	09/07/2020	39.66727762	-121.6005252	2467	30	0	Butte
823	California	US	09/08/2020	39.66727762	-121.6005252	2471	36	0	Butte
823	California	US	09/09/2020	39.66727762	-121.6005252	2579	37	0	Butte
823	California	US	09/10/2020	39.66727762	-121.6005252	2608	37	0	Butte
823	California	US	09/11/2020	39.66727762	-121.6005252	2623	37	0	Butte
823	California	US	09/12/2020	39.66727762	-121.6005252	2647	37	0	Butte
823	California	US	09/13/2020	39.66727762	-121.6005252	2659	37	0	Butte
823	California	US	09/14/2020	39.66727762	-121.6005252	2661	37	0	Butte
823	California	US	09/15/2020	39.66727762	-121.6005252	2714	38	0	Butte
823	California	US	09/16/2020	39.66727762	-121.6005252	2725	38	0	Butte
823	California	US	09/17/2020	39.66727762	-121.6005252	2741	38	0	Butte
823	California	US	09/18/2020	39.66727762	-121.6005252	2759	37	0	Butte
823	California	US	09/19/2020	39.66727762	-121.6005252	2769	38	0	Butte
823	California	US	09/20/2020	39.66727762	-121.6005252	2785	39	0	Butte
824	California	US	09/21/2020	39.66727762	-121.6005252	2790	41	0	Butte
824	California	US	09/22/2020	39.66727762	-121.6005252	2797	43	0	Butte
824	California	US	09/23/2020	39.66727762	-121.6005252	2811	43	0	Butte
824	California	US	09/24/2020	39.66727762	-121.6005252	2824	43	0	Butte
824	California	US	09/25/2020	39.66727762	-121.6005252	2840	43	0	Butte
824	California	US	09/26/2020	39.66727762	-121.6005252	2848	44	0	Butte
824	California	US	09/27/2020	39.66727762	-121.6005252	2854	44	0	Butte
824	California	US	09/28/2020	39.66727762	-121.6005252	2859	44	0	Butte
824	California	US	09/29/2020	39.66727762	-121.6005252	2870	44	0	Butte
824	California	US	09/30/2020	39.66727762	-121.6005252	2880	44	0	Butte
824	California	US	10/01/2020	39.66727762	-121.6005252	2887	45	0	Butte
