	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1285	California	US	03/22/2020	39.17881957	-122.2331726	0	0	0	Colusa
615	California	US	03/23/2020	39.17881957	-122.2331726	0	0	0	Colusa
615	California	US	03/24/2020	39.17881957	-122.2331726	0	0	0	Colusa
615	California	US	03/25/2020	39.17881957	-122.2331726	0	0	0	Colusa
615	California	US	03/26/2020	39.17881957	-122.2331726	0	0	0	Colusa
615	California	US	03/27/2020	39.17881957	-122.2331726	0	0	0	Colusa
615	California	US	03/28/2020	39.17881957	-122.2331726	2	0	0	Colusa
615	California	US	03/29/2020	39.17881957	-122.2331726	1	0	0	Colusa
615	California	US	03/30/2020	39.17881957	-122.2331726	1	0	0	Colusa
440	California	US	03/31/2020	39.17881957	-122.2331726	1	0	0	Colusa
452	California	US	04/01/2020	39.17881957	-122.2331726	1	0	0	Colusa
468	California	US	04/02/2020	39.17881957	-122.2331726	1	0	0	Colusa
474	California	US	04/03/2020	39.17881957	-122.2331726	1	0	0	Colusa
485	California	US	04/04/2020	39.17881957	-122.2331726	1	0	0	Colusa
500	California	US	04/05/2020	39.17881957	-122.2331726	1	0	0	Colusa
503	California	US	04/06/2020	39.17881957	-122.2331726	1	0	0	Colusa
512	California	US	04/07/2020	39.17881957	-122.2331726	2	0	0	Colusa
517	California	US	04/08/2020	39.17881957	-122.2331726	3	0	0	Colusa
520	California	US	04/09/2020	39.17881957	-122.2331726	3	0	0	Colusa
522	California	US	04/10/2020	39.17881957	-122.2331726	3	0	0	Colusa
527	California	US	04/11/2020	39.17881957	-122.2331726	3	0	0	Colusa
530	California	US	04/12/2020	39.17881957	-122.2331726	3	0	0	Colusa
533	California	US	04/13/2020	39.17881957	-122.2331726	3	0	0	Colusa
535	California	US	04/14/2020	39.17881957	-122.2331726	3	0	0	Colusa
538	California	US	04/15/2020	39.17881957	-122.2331726	3	0	0	Colusa
539	California	US	04/16/2020	39.17881957	-122.2331726	3	0	0	Colusa
541	California	US	04/17/2020	39.17881957	-122.2331726	3	0	0	Colusa
542	California	US	04/18/2020	39.17881957	-122.2331726	3	0	0	Colusa
546	California	US	04/19/2020	39.17881957	-122.2331726	3	0	0	Colusa
547	California	US	04/20/2020	39.17881957	-122.2331726	3	0	0	Colusa
551	California	US	04/21/2020	39.17881957	-122.2331726	3	0	0	Colusa
553	California	US	04/22/2020	39.17881957	-122.2331726	3	0	0	Colusa
556	California	US	04/23/2020	39.17881957	-122.2331726	3	0	0	Colusa
557	California	US	04/24/2020	39.17881957	-122.2331726	3	0	0	Colusa
557	California	US	04/25/2020	39.17881957	-122.2331726	3	0	0	Colusa
558	California	US	04/26/2020	39.17881957	-122.2331726	3	0	0	Colusa
559	California	US	04/27/2020	39.17881957	-122.2331726	3	0	0	Colusa
561	California	US	04/28/2020	39.17881957	-122.2331726	3	0	0	Colusa
561	California	US	04/29/2020	39.17881957	-122.2331726	3	0	0	Colusa
561	California	US	04/30/2020	39.17881957	-122.2331726	3	0	0	Colusa
564	California	US	05/01/2020	39.17881957	-122.2331726	3	0	0	Colusa
565	California	US	05/02/2020	39.17881957	-122.2331726	3	0	0	Colusa
566	California	US	05/03/2020	39.17881957	-122.2331726	3	0	0	Colusa
567	California	US	05/04/2020	39.17881957	-122.2331726	3	0	0	Colusa
571	California	US	05/05/2020	39.17881957	-122.2331726	3	0	0	Colusa
572	California	US	05/06/2020	39.17881957	-122.2331726	3	0	0	Colusa
573	California	US	05/07/2020	39.17881957	-122.2331726	3	0	0	Colusa
575	California	US	05/08/2020	39.17881957	-122.2331726	3	0	0	Colusa
575	California	US	05/09/2020	39.17881957	-122.2331726	3	0	0	Colusa
576	California	US	05/10/2020	39.17881957	-122.2331726	3	0	0	Colusa
576	California	US	05/11/2020	39.17881957	-122.2331726	3	0	0	Colusa
576	California	US	05/12/2020	39.17881957	-122.2331726	3	0	0	Colusa
576	California	US	05/13/2020	39.17881957	-122.2331726	3	0	0	Colusa
577	California	US	05/14/2020	39.17881957	-122.2331726	3	0	0	Colusa
578	California	US	05/15/2020	39.17881957	-122.2331726	3	0	0	Colusa
579	California	US	05/16/2020	39.17881957	-122.2331726	3	0	0	Colusa
580	California	US	05/17/2020	39.17881957	-122.2331726	3	0	0	Colusa
581	California	US	05/18/2020	39.17881957	-122.2331726	3	0	0	Colusa
583	California	US	05/19/2020	39.17881957	-122.2331726	3	0	0	Colusa
584	California	US	05/20/2020	39.17881957	-122.2331726	3	0	0	Colusa
584	California	US	05/21/2020	39.17881957	-122.2331726	4	0	0	Colusa
585	California	US	05/22/2020	39.17881957	-122.2331726	4	0	0	Colusa
585	California	US	05/23/2020	39.17881957	-122.2331726	4	0	0	Colusa
586	California	US	05/24/2020	39.17881957	-122.2331726	4	0	0	Colusa
586	California	US	05/25/2020	39.17881957	-122.2331726	4	0	0	Colusa
586	California	US	05/26/2020	39.17881957	-122.2331726	4	0	0	Colusa
587	California	US	05/27/2020	39.17881957	-122.2331726	5	0	0	Colusa
587	California	US	05/28/2020	39.17881957	-122.2331726	5	0	0	Colusa
587	California	US	05/29/2020	39.17881957	-122.2331726	5	0	0	Colusa
587	California	US	05/30/2020	39.17881957	-122.2331726	5	0	0	Colusa
587	California	US	05/31/2020	39.17881957	-122.2331726	5	0	0	Colusa
588	California	US	06/01/2020	39.17881957	-122.2331726	7	0	0	Colusa
588	California	US	06/02/2020	39.17881957	-122.2331726	7	0	0	Colusa
588	California	US	06/03/2020	39.17881957	-122.2331726	7	0	0	Colusa
588	California	US	06/04/2020	39.17881957	-122.2331726	7	0	0	Colusa
589	California	US	06/05/2020	39.17881957	-122.2331726	7	0	0	Colusa
589	California	US	06/06/2020	39.17881957	-122.2331726	7	0	0	Colusa
589	California	US	06/07/2020	39.17881957	-122.2331726	7	0	0	Colusa
589	California	US	06/08/2020	39.17881957	-122.2331726	7	0	0	Colusa
589	California	US	06/09/2020	39.17881957	-122.2331726	7	0	0	Colusa
590	California	US	06/10/2020	39.17881957	-122.2331726	7	0	0	Colusa
591	California	US	06/11/2020	39.17881957	-122.2331726	7	0	0	Colusa
592	California	US	06/12/2020	39.17881957	-122.2331726	7	0	0	Colusa
592	California	US	06/13/2020	39.17881957	-122.2331726	7	0	0	Colusa
592	California	US	06/14/2020	39.17881957	-122.2331726	7	0	0	Colusa
593	California	US	06/15/2020	39.17881957	-122.2331726	7	0	0	Colusa
593	California	US	06/16/2020	39.17881957	-122.2331726	7	0	0	Colusa
593	California	US	06/17/2020	39.17881957	-122.2331726	7	0	0	Colusa
593	California	US	06/18/2020	39.17881957	-122.2331726	7	0	0	Colusa
593	California	US	06/19/2020	39.17881957	-122.2331726	7	0	0	Colusa
595	California	US	06/20/2020	39.17881957	-122.2331726	7	0	0	Colusa
595	California	US	06/21/2020	39.17881957	-122.2331726	7	0	0	Colusa
595	California	US	06/22/2020	39.17881957	-122.2331726	7	0	0	Colusa
595	California	US	06/23/2020	39.17881957	-122.2331726	7	0	0	Colusa
597	California	US	06/24/2020	39.17881957	-122.2331726	11	0	0	Colusa
598	California	US	06/25/2020	39.17881957	-122.2331726	14	0	0	Colusa
598	California	US	06/26/2020	39.17881957	-122.2331726	17	0	0	Colusa
599	California	US	06/27/2020	39.17881957	-122.2331726	17	0	0	Colusa
599	California	US	06/28/2020	39.17881957	-122.2331726	17	0	0	Colusa
599	California	US	06/29/2020	39.17881957	-122.2331726	17	0	0	Colusa
600	California	US	06/30/2020	39.17881957	-122.2331726	33	0	0	Colusa
600	California	US	07/01/2020	39.17881957	-122.2331726	53	0	0	Colusa
601	California	US	07/02/2020	39.17881957	-122.2331726	60	0	0	Colusa
602	California	US	07/03/2020	39.17881957	-122.2331726	70	0	0	Colusa
602	California	US	07/04/2020	39.17881957	-122.2331726	76	0	0	Colusa
602	California	US	07/05/2020	39.17881957	-122.2331726	79	0	0	Colusa
602	California	US	07/06/2020	39.17881957	-122.2331726	80	0	0	Colusa
602	California	US	07/07/2020	39.17881957	-122.2331726	84	0	0	Colusa
603	California	US	07/08/2020	39.17881957	-122.2331726	90	0	0	Colusa
603	California	US	07/09/2020	39.17881957	-122.2331726	97	0	0	Colusa
604	California	US	07/10/2020	39.17881957	-122.2331726	103	0	0	Colusa
604	California	US	07/11/2020	39.17881957	-122.2331726	110	0	0	Colusa
604	California	US	07/12/2020	39.17881957	-122.2331726	116	0	0	Colusa
