	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
120	California	US	03/22/2020	36.75733899	-119.6466953	9	0	0	Fresno
991	California	US	03/23/2020	36.75733899	-119.6466953	11	0	0	Fresno
991	California	US	03/24/2020	36.75733899	-119.6466953	19	0	0	Fresno
991	California	US	03/25/2020	36.75733899	-119.6466953	22	0	0	Fresno
990	California	US	03/26/2020	36.75733899	-119.6466953	26	0	0	Fresno
990	California	US	03/27/2020	36.75733899	-119.6466953	30	0	0	Fresno
990	California	US	03/28/2020	36.75733899	-119.6466953	64	0	0	Fresno
990	California	US	03/29/2020	36.75733899	-119.6466953	33	0	0	Fresno
990	California	US	03/30/2020	36.75733899	-119.6466953	48	0	0	Fresno
690	California	US	03/31/2020	36.75733899	-119.6466953	61	0	0	Fresno
709	California	US	04/01/2020	36.75733899	-119.6466953	78	0	0	Fresno
732	California	US	04/02/2020	36.75733899	-119.6466953	96	0	0	Fresno
745	California	US	04/03/2020	36.75733899	-119.6466953	102	1	0	Fresno
760	California	US	04/04/2020	36.75733899	-119.6466953	106	1	0	Fresno
787	California	US	04/05/2020	36.75733899	-119.6466953	106	1	0	Fresno
798	California	US	04/06/2020	36.75733899	-119.6466953	126	1	0	Fresno
815	California	US	04/07/2020	36.75733899	-119.6466953	142	3	0	Fresno
821	California	US	04/08/2020	36.75733899	-119.6466953	155	3	0	Fresno
827	California	US	04/09/2020	36.75733899	-119.6466953	169	3	0	Fresno
832	California	US	04/10/2020	36.75733899	-119.6466953	190	3	0	Fresno
839	California	US	04/11/2020	36.75733899	-119.6466953	206	4	0	Fresno
845	California	US	04/12/2020	36.75733899	-119.6466953	210	4	0	Fresno
851	California	US	04/13/2020	36.75733899	-119.6466953	210	4	0	Fresno
854	California	US	04/14/2020	36.75733899	-119.6466953	250	6	0	Fresno
859	California	US	04/15/2020	36.75733899	-119.6466953	270	7	0	Fresno
860	California	US	04/16/2020	36.75733899	-119.6466953	295	7	0	Fresno
861	California	US	04/17/2020	36.75733899	-119.6466953	321	7	0	Fresno
863	California	US	04/18/2020	36.75733899	-119.6466953	325	7	0	Fresno
867	California	US	04/19/2020	36.75733899	-119.6466953	332	7	0	Fresno
870	California	US	04/20/2020	36.75733899	-119.6466953	362	7	0	Fresno
874	California	US	04/21/2020	36.75733899	-119.6466953	378	7	0	Fresno
877	California	US	04/22/2020	36.75733899	-119.6466953	394	7	0	Fresno
881	California	US	04/23/2020	36.75733899	-119.6466953	432	7	0	Fresno
882	California	US	04/24/2020	36.75733899	-119.6466953	455	7	0	Fresno
882	California	US	04/25/2020	36.75733899	-119.6466953	465	7	0	Fresno
885	California	US	04/26/2020	36.75733899	-119.6466953	483	7	0	Fresno
887	California	US	04/27/2020	36.75733899	-119.6466953	512	7	0	Fresno
890	California	US	04/28/2020	36.75733899	-119.6466953	534	7	0	Fresno
892	California	US	04/29/2020	36.75733899	-119.6466953	555	7	0	Fresno
893	California	US	04/30/2020	36.75733899	-119.6466953	573	7	0	Fresno
899	California	US	05/01/2020	36.75733899	-119.6466953	631	7	0	Fresno
900	California	US	05/02/2020	36.75733899	-119.6466953	643	8	0	Fresno
901	California	US	05/03/2020	36.75733899	-119.6466953	661	8	0	Fresno
903	California	US	05/04/2020	36.75733899	-119.6466953	697	8	0	Fresno
908	California	US	05/05/2020	36.75733899	-119.6466953	744	8	0	Fresno
910	California	US	05/06/2020	36.75733899	-119.6466953	793	8	0	Fresno
911	California	US	05/07/2020	36.75733899	-119.6466953	834	8	0	Fresno
915	California	US	05/08/2020	36.75733899	-119.6466953	861	8	0	Fresno
915	California	US	05/09/2020	36.75733899	-119.6466953	886	8	0	Fresno
916	California	US	05/10/2020	36.75733899	-119.6466953	920	8	0	Fresno
916	California	US	05/11/2020	36.75733899	-119.6466953	963	8	0	Fresno
916	California	US	05/12/2020	36.75733899	-119.6466953	1005	9	0	Fresno
917	California	US	05/13/2020	36.75733899	-119.6466953	1022	10	0	Fresno
918	California	US	05/14/2020	36.75733899	-119.6466953	1067	12	0	Fresno
921	California	US	05/15/2020	36.75733899	-119.6466953	1159	14	0	Fresno
922	California	US	05/16/2020	36.75733899	-119.6466953	1210	14	0	Fresno
923	California	US	05/17/2020	36.75733899	-119.6466953	1246	14	0	Fresno
924	California	US	05/18/2020	36.75733899	-119.6466953	1280	14	0	Fresno
926	California	US	05/19/2020	36.75733899	-119.6466953	1325	15	0	Fresno
928	California	US	05/20/2020	36.75733899	-119.6466953	1367	17	0	Fresno
928	California	US	05/21/2020	36.75733899	-119.6466953	1401	20	0	Fresno
930	California	US	05/22/2020	36.75733899	-119.6466953	1439	20	0	Fresno
930	California	US	05/23/2020	36.75733899	-119.6466953	1488	21	0	Fresno
931	California	US	05/24/2020	36.75733899	-119.6466953	1496	22	0	Fresno
931	California	US	05/25/2020	36.75733899	-119.6466953	1538	22	0	Fresno
931	California	US	05/26/2020	36.75733899	-119.6466953	1540	22	0	Fresno
932	California	US	05/27/2020	36.75733899	-119.6466953	1664	27	0	Fresno
932	California	US	05/28/2020	36.75733899	-119.6466953	1697	31	0	Fresno
933	California	US	05/29/2020	36.75733899	-119.6466953	1732	31	0	Fresno
934	California	US	05/30/2020	36.75733899	-119.6466953	1789	31	0	Fresno
934	California	US	05/31/2020	36.75733899	-119.6466953	1826	31	0	Fresno
935	California	US	06/01/2020	36.75733899	-119.6466953	1905	33	0	Fresno
937	California	US	06/02/2020	36.75733899	-119.6466953	1970	34	0	Fresno
937	California	US	06/03/2020	36.75733899	-119.6466953	1996	35	0	Fresno
938	California	US	06/04/2020	36.75733899	-119.6466953	2060	35	0	Fresno
940	California	US	06/05/2020	36.75733899	-119.6466953	2105	38	0	Fresno
940	California	US	06/06/2020	36.75733899	-119.6466953	2172	41	0	Fresno
940	California	US	06/07/2020	36.75733899	-119.6466953	2199	41	0	Fresno
940	California	US	06/08/2020	36.75733899	-119.6466953	2249	42	0	Fresno
940	California	US	06/09/2020	36.75733899	-119.6466953	2334	43	0	Fresno
941	California	US	06/10/2020	36.75733899	-119.6466953	2380	45	0	Fresno
942	California	US	06/11/2020	36.75733899	-119.6466953	2394	45	0	Fresno
947	California	US	06/12/2020	36.75733899	-119.6466953	2484	47	0	Fresno
948	California	US	06/13/2020	36.75733899	-119.6466953	2555	48	0	Fresno
948	California	US	06/14/2020	36.75733899	-119.6466953	2641	48	0	Fresno
950	California	US	06/15/2020	36.75733899	-119.6466953	2673	48	0	Fresno
949	California	US	06/16/2020	36.75733899	-119.6466953	2789	50	0	Fresno
949	California	US	06/17/2020	36.75733899	-119.6466953	2861	56	0	Fresno
949	California	US	06/18/2020	36.75733899	-119.6466953	3009	57	0	Fresno
949	California	US	06/19/2020	36.75733899	-119.6466953	3172	61	0	Fresno
953	California	US	06/20/2020	36.75733899	-119.6466953	3286	67	0	Fresno
953	California	US	06/21/2020	36.75733899	-119.6466953	3363	67	0	Fresno
954	California	US	06/22/2020	36.75733899	-119.6466953	3494	67	0	Fresno
954	California	US	06/23/2020	36.75733899	-119.6466953	3638	67	0	Fresno
958	California	US	06/24/2020	36.75733899	-119.6466953	3836	71	0	Fresno
961	California	US	06/25/2020	36.75733899	-119.6466953	4009	71	0	Fresno
961	California	US	06/26/2020	36.75733899	-119.6466953	4238	74	0	Fresno
962	California	US	06/27/2020	36.75733899	-119.6466953	4310	74	0	Fresno
962	California	US	06/28/2020	36.75733899	-119.6466953	4437	74	0	Fresno
962	California	US	06/29/2020	36.75733899	-119.6466953	4603	74	0	Fresno
963	California	US	06/30/2020	36.75733899	-119.6466953	4900	75	0	Fresno
963	California	US	07/01/2020	36.75733899	-119.6466953	5190	76	0	Fresno
964	California	US	07/02/2020	36.75733899	-119.6466953	5484	78	0	Fresno
965	California	US	07/03/2020	36.75733899	-119.6466953	5866	81	0	Fresno
965	California	US	07/04/2020	36.75733899	-119.6466953	6084	82	0	Fresno
965	California	US	07/05/2020	36.75733899	-119.6466953	6273	82	0	Fresno
965	California	US	07/06/2020	36.75733899	-119.6466953	6452	82	0	Fresno
965	California	US	07/07/2020	36.75733899	-119.6466953	6832	84	0	Fresno
966	California	US	07/08/2020	36.75733899	-119.6466953	7196	86	0	Fresno
966	California	US	07/09/2020	36.75733899	-119.6466953	7487	90	0	Fresno
968	California	US	07/10/2020	36.75733899	-119.6466953	7865	93	0	Fresno
968	California	US	07/11/2020	36.75733899	-119.6466953	8194	95	0	Fresno
969	California	US	07/12/2020	36.75733899	-119.6466953	8517	95	0	Fresno
970	California	US	07/13/2020	36.75733899	-119.6466953	8781	95	0	Fresno
970	California	US	07/14/2020	36.75733899	-119.6466953	9061	98	0	Fresno
970	California	US	07/15/2020	36.75733899	-119.6466953	9249	101	0	Fresno
972	California	US	07/16/2020	36.75733899	-119.6466953	9612	101	0	Fresno
972	California	US	07/17/2020	36.75733899	-119.6466953	10094	104	0	Fresno
1000	California	US	07/18/2020	36.75733899	-119.6466953	10521	106	0	Fresno
1001	California	US	07/19/2020	36.75733899	-119.6466953	10781	106	0	Fresno
978	California	US	07/20/2020	36.75733899	-119.6466953	11045	106	0	Fresno
1004	California	US	07/21/2020	36.75733899	-119.6466953	11567	107	0	Fresno
1004	California	US	07/22/2020	36.75733899	-119.6466953	11917	110	0	Fresno
1005	California	US	07/23/2020	36.75733899	-119.6466953	12331	112	0	Fresno
1004	California	US	07/24/2020	36.75733899	-119.6466953	12734	115	0	Fresno
1005	California	US	07/25/2020	36.75733899	-119.6466953	13036	117	0	Fresno
1006	California	US	07/26/2020	36.75733899	-119.6466953	13379	117	0	Fresno
1006	California	US	07/27/2020	36.75733899	-119.6466953	13663	117	0	Fresno
1006	California	US	07/28/2020	36.75733899	-119.6466953	14117	125	0	Fresno
1007	California	US	07/29/2020	36.75733899	-119.6466953	14502	125	0	Fresno
1007	California	US	07/30/2020	36.75733899	-119.6466953	14983	133	0	Fresno
1008	California	US	07/31/2020	36.75733899	-119.6466953	15279	133	0	Fresno
1008	California	US	08/01/2020	36.75733899	-119.6466953	15644	149	0	Fresno
1008	California	US	08/02/2020	36.75733899	-119.6466953	15955	151	0	Fresno
1008	California	US	08/03/2020	36.75733899	-119.6466953	16147	151	0	Fresno
1008	California	US	08/04/2020	36.75733899	-119.6466953	16480	154	0	Fresno
1009	California	US	08/05/2020	36.75733899	-119.6466953	16840	159	0	Fresno
1009	California	US	08/06/2020	36.75733899	-119.6466953	17251	161	0	Fresno
1009	California	US	08/07/2020	36.75733899	-119.6466953	17517	171	0	Fresno
