	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1288	California	US	03/22/2020	39.59875897	-122.3938452	0	0	0	Glenn
1052	California	US	03/23/2020	39.59875897	-122.3938452	0	0	0	Glenn
1052	California	US	03/24/2020	39.59875897	-122.3938452	0	0	0	Glenn
1052	California	US	03/25/2020	39.59875897	-122.3938452	0	0	0	Glenn
1051	California	US	03/26/2020	39.59875897	-122.3938452	0	0	0	Glenn
1051	California	US	03/27/2020	39.59875897	-122.3938452	0	0	0	Glenn
1051	California	US	03/28/2020	39.59875897	-122.3938452	2	0	0	Glenn
1051	California	US	03/29/2020	39.59875897	-122.3938452	1	0	0	Glenn
1051	California	US	03/30/2020	39.59875897	-122.3938452	2	0	0	Glenn
722	California	US	03/31/2020	39.59875897	-122.3938452	2	0	0	Glenn
742	California	US	04/01/2020	39.59875897	-122.3938452	2	0	0	Glenn
767	California	US	04/02/2020	39.59875897	-122.3938452	2	0	0	Glenn
781	California	US	04/03/2020	39.59875897	-122.3938452	2	0	0	Glenn
796	California	US	04/04/2020	39.59875897	-122.3938452	2	0	0	Glenn
828	California	US	04/05/2020	39.59875897	-122.3938452	2	0	0	Glenn
839	California	US	04/06/2020	39.59875897	-122.3938452	2	0	0	Glenn
857	California	US	04/07/2020	39.59875897	-122.3938452	2	0	0	Glenn
865	California	US	04/08/2020	39.59875897	-122.3938452	2	0	0	Glenn
871	California	US	04/09/2020	39.59875897	-122.3938452	2	0	0	Glenn
877	California	US	04/10/2020	39.59875897	-122.3938452	3	0	0	Glenn
884	California	US	04/11/2020	39.59875897	-122.3938452	3	0	0	Glenn
892	California	US	04/12/2020	39.59875897	-122.3938452	3	0	0	Glenn
898	California	US	04/13/2020	39.59875897	-122.3938452	3	0	0	Glenn
901	California	US	04/14/2020	39.59875897	-122.3938452	3	0	0	Glenn
907	California	US	04/15/2020	39.59875897	-122.3938452	3	0	0	Glenn
908	California	US	04/16/2020	39.59875897	-122.3938452	3	0	0	Glenn
908	California	US	04/17/2020	39.59875897	-122.3938452	3	0	0	Glenn
910	California	US	04/18/2020	39.59875897	-122.3938452	3	0	0	Glenn
916	California	US	04/19/2020	39.59875897	-122.3938452	3	0	0	Glenn
919	California	US	04/20/2020	39.59875897	-122.3938452	3	0	0	Glenn
923	California	US	04/21/2020	39.59875897	-122.3938452	3	0	0	Glenn
926	California	US	04/22/2020	39.59875897	-122.3938452	3	0	0	Glenn
932	California	US	04/23/2020	39.59875897	-122.3938452	3	0	0	Glenn
933	California	US	04/24/2020	39.59875897	-122.3938452	4	0	0	Glenn
933	California	US	04/25/2020	39.59875897	-122.3938452	4	0	0	Glenn
937	California	US	04/26/2020	39.59875897	-122.3938452	4	0	0	Glenn
939	California	US	04/27/2020	39.59875897	-122.3938452	4	0	0	Glenn
942	California	US	04/28/2020	39.59875897	-122.3938452	4	0	0	Glenn
944	California	US	04/29/2020	39.59875897	-122.3938452	4	0	0	Glenn
948	California	US	04/30/2020	39.59875897	-122.3938452	4	0	0	Glenn
954	California	US	05/01/2020	39.59875897	-122.3938452	4	0	0	Glenn
955	California	US	05/02/2020	39.59875897	-122.3938452	5	0	0	Glenn
956	California	US	05/03/2020	39.59875897	-122.3938452	5	0	0	Glenn
958	California	US	05/04/2020	39.59875897	-122.3938452	4	0	0	Glenn
963	California	US	05/05/2020	39.59875897	-122.3938452	3	0	0	Glenn
965	California	US	05/06/2020	39.59875897	-122.3938452	3	0	0	Glenn
967	California	US	05/07/2020	39.59875897	-122.3938452	5	0	0	Glenn
971	California	US	05/08/2020	39.59875897	-122.3938452	6	0	0	Glenn
971	California	US	05/09/2020	39.59875897	-122.3938452	6	0	0	Glenn
972	California	US	05/10/2020	39.59875897	-122.3938452	6	0	0	Glenn
972	California	US	05/11/2020	39.59875897	-122.3938452	6	0	0	Glenn
973	California	US	05/12/2020	39.59875897	-122.3938452	6	0	0	Glenn
973	California	US	05/13/2020	39.59875897	-122.3938452	6	0	0	Glenn
974	California	US	05/14/2020	39.59875897	-122.3938452	8	0	0	Glenn
977	California	US	05/15/2020	39.59875897	-122.3938452	9	0	0	Glenn
978	California	US	05/16/2020	39.59875897	-122.3938452	9	0	0	Glenn
979	California	US	05/17/2020	39.59875897	-122.3938452	9	0	0	Glenn
980	California	US	05/18/2020	39.59875897	-122.3938452	11	0	0	Glenn
982	California	US	05/19/2020	39.59875897	-122.3938452	12	0	0	Glenn
984	California	US	05/20/2020	39.59875897	-122.3938452	12	0	0	Glenn
984	California	US	05/21/2020	39.59875897	-122.3938452	12	0	0	Glenn
986	California	US	05/22/2020	39.59875897	-122.3938452	12	0	0	Glenn
986	California	US	05/23/2020	39.59875897	-122.3938452	12	0	0	Glenn
987	California	US	05/24/2020	39.59875897	-122.3938452	12	0	0	Glenn
987	California	US	05/25/2020	39.59875897	-122.3938452	12	0	0	Glenn
987	California	US	05/26/2020	39.59875897	-122.3938452	12	0	0	Glenn
988	California	US	05/27/2020	39.59875897	-122.3938452	14	0	0	Glenn
988	California	US	05/28/2020	39.59875897	-122.3938452	14	0	0	Glenn
990	California	US	05/29/2020	39.59875897	-122.3938452	14	0	0	Glenn
991	California	US	05/30/2020	39.59875897	-122.3938452	16	0	0	Glenn
991	California	US	05/31/2020	39.59875897	-122.3938452	16	0	0	Glenn
993	California	US	06/01/2020	39.59875897	-122.3938452	16	0	0	Glenn
995	California	US	06/02/2020	39.59875897	-122.3938452	16	0	0	Glenn
995	California	US	06/03/2020	39.59875897	-122.3938452	16	0	0	Glenn
996	California	US	06/04/2020	39.59875897	-122.3938452	16	0	0	Glenn
998	California	US	06/05/2020	39.59875897	-122.3938452	16	0	0	Glenn
998	California	US	06/06/2020	39.59875897	-122.3938452	16	0	0	Glenn
998	California	US	06/07/2020	39.59875897	-122.3938452	16	0	0	Glenn
998	California	US	06/08/2020	39.59875897	-122.3938452	17	0	0	Glenn
998	California	US	06/09/2020	39.59875897	-122.3938452	19	0	0	Glenn
999	California	US	06/10/2020	39.59875897	-122.3938452	21	0	0	Glenn
1000	California	US	06/11/2020	39.59875897	-122.3938452	21	0	0	Glenn
1005	California	US	06/12/2020	39.59875897	-122.3938452	21	0	0	Glenn
