	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
121	California	US	03/22/2020	33.0393082	-115.3669042	2	0	0	Imperial
1337	California	US	03/23/2020	33.0393082	-115.3669042	2	0	0	Imperial
1337	California	US	03/24/2020	33.0393082	-115.3669042	3	0	0	Imperial
1337	California	US	03/25/2020	33.0393082	-115.3669042	8	0	0	Imperial
1336	California	US	03/26/2020	33.0393082	-115.3669042	8	0	0	Imperial
1336	California	US	03/27/2020	33.0393082	-115.3669042	9	0	0	Imperial
1336	California	US	03/28/2020	33.0393082	-115.3669042	18	0	0	Imperial
1336	California	US	03/29/2020	33.0393082	-115.3669042	9	0	0	Imperial
1336	California	US	03/30/2020	33.0393082	-115.3669042	9	0	0	Imperial
896	California	US	03/31/2020	33.0393082	-115.3669042	17	0	0	Imperial
921	California	US	04/01/2020	33.0393082	-115.3669042	25	0	0	Imperial
957	California	US	04/02/2020	33.0393082	-115.3669042	24	0	0	Imperial
975	California	US	04/03/2020	33.0393082	-115.3669042	35	0	0	Imperial
997	California	US	04/04/2020	33.0393082	-115.3669042	42	1	0	Imperial
1034	California	US	04/05/2020	33.0393082	-115.3669042	42	1	0	Imperial
1049	California	US	04/06/2020	33.0393082	-115.3669042	47	1	0	Imperial
1071	California	US	04/07/2020	33.0393082	-115.3669042	53	2	0	Imperial
1083	California	US	04/08/2020	33.0393082	-115.3669042	59	2	0	Imperial
1092	California	US	04/09/2020	33.0393082	-115.3669042	67	2	0	Imperial
1099	California	US	04/10/2020	33.0393082	-115.3669042	70	2	0	Imperial
1111	California	US	04/11/2020	33.0393082	-115.3669042	78	2	0	Imperial
1119	California	US	04/12/2020	33.0393082	-115.3669042	78	2	0	Imperial
1128	California	US	04/13/2020	33.0393082	-115.3669042	82	2	0	Imperial
1131	California	US	04/14/2020	33.0393082	-115.3669042	86	2	0	Imperial
1137	California	US	04/15/2020	33.0393082	-115.3669042	115	2	0	Imperial
1140	California	US	04/16/2020	33.0393082	-115.3669042	132	2	0	Imperial
1141	California	US	04/17/2020	33.0393082	-115.3669042	135	2	0	Imperial
1146	California	US	04/18/2020	33.0393082	-115.3669042	137	2	0	Imperial
1156	California	US	04/19/2020	33.0393082	-115.3669042	144	2	0	Imperial
1160	California	US	04/20/2020	33.0393082	-115.3669042	149	2	0	Imperial
1166	California	US	04/21/2020	33.0393082	-115.3669042	165	2	0	Imperial
1170	California	US	04/22/2020	33.0393082	-115.3669042	170	3	0	Imperial
1178	California	US	04/23/2020	33.0393082	-115.3669042	181	4	0	Imperial
1180	California	US	04/24/2020	33.0393082	-115.3669042	232	6	0	Imperial
1181	California	US	04/25/2020	33.0393082	-115.3669042	232	6	0	Imperial
1186	California	US	04/26/2020	33.0393082	-115.3669042	272	6	0	Imperial
1188	California	US	04/27/2020	33.0393082	-115.3669042	290	6	0	Imperial
1193	California	US	04/28/2020	33.0393082	-115.3669042	295	6	0	Imperial
1195	California	US	04/29/2020	33.0393082	-115.3669042	300	6	0	Imperial
1201	California	US	04/30/2020	33.0393082	-115.3669042	322	6	0	Imperial
1207	California	US	05/01/2020	33.0393082	-115.3669042	337	6	0	Imperial
1210	California	US	05/02/2020	33.0393082	-115.3669042	345	6	0	Imperial
1212	California	US	05/03/2020	33.0393082	-115.3669042	351	6	0	Imperial
1214	California	US	05/04/2020	33.0393082	-115.3669042	351	6	0	Imperial
1219	California	US	05/05/2020	33.0393082	-115.3669042	389	6	0	Imperial
1222	California	US	05/06/2020	33.0393082	-115.3669042	399	6	0	Imperial
1225	California	US	05/07/2020	33.0393082	-115.3669042	442	6	0	Imperial
1229	California	US	05/08/2020	33.0393082	-115.3669042	467	7	0	Imperial
1229	California	US	05/09/2020	33.0393082	-115.3669042	474	7	0	Imperial
1230	California	US	05/10/2020	33.0393082	-115.3669042	509	7	0	Imperial
1230	California	US	05/11/2020	33.0393082	-115.3669042	562	9	0	Imperial
1232	California	US	05/12/2020	33.0393082	-115.3669042	602	9	0	Imperial
1232	California	US	05/13/2020	33.0393082	-115.3669042	610	11	0	Imperial
1233	California	US	05/14/2020	33.0393082	-115.3669042	652	13	0	Imperial
1237	California	US	05/15/2020	33.0393082	-115.3669042	680	14	0	Imperial
1238	California	US	05/16/2020	33.0393082	-115.3669042	716	14	0	Imperial
1239	California	US	05/17/2020	33.0393082	-115.3669042	719	14	0	Imperial
1240	California	US	05/18/2020	33.0393082	-115.3669042	771	14	0	Imperial
1242	California	US	05/19/2020	33.0393082	-115.3669042	1016	14	0	Imperial
