	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
125	California	US	03/22/2020	37.21513971	-119.7665589	4	0	0	Madera
1754	California	US	03/23/2020	37.21513971	-119.76655890000002	4	0	0	Madera
1754	California	US	03/24/2020	37.21513971	-119.76655890000002	6	0	0	Madera
1754	California	US	03/25/2020	37.21513971	-119.76655890000002	6	0	0	Madera
1753	California	US	03/26/2020	37.21513971	-119.76655890000002	8	0	0	Madera
1753	California	US	03/27/2020	37.21513971	-119.76655890000002	10	1	0	Madera
1753	California	US	03/28/2020	37.21513971	-119.7665589	22	2	0	Madera
1753	California	US	03/29/2020	37.21513971	-119.7665589	11	1	0	Madera
1753	California	US	03/30/2020	37.21513971	-119.7665589	14	1	0	Madera
1179	California	US	03/31/2020	37.21513971	-119.76655890000002	17	1	0	Madera
1211	California	US	04/01/2020	37.21513971	-119.76655890000002	17	1	0	Madera
1260	California	US	04/02/2020	37.21513971	-119.7665589	25	1	0	Madera
1285	California	US	04/03/2020	37.21513971	-119.76655890000002	28	2	0	Madera
1315	California	US	04/04/2020	37.21513971	-119.7665589	27	2	0	Madera
1359	California	US	04/05/2020	37.21513971	-119.76655890000002	27	2	0	Madera
1380	California	US	04/06/2020	37.21513971	-119.7665589	29	2	0	Madera
1410	California	US	04/07/2020	37.21513971	-119.76655890000002	28	2	0	Madera
1425	California	US	04/08/2020	37.21513971	-119.76655890000002	29	2	0	Madera
1441	California	US	04/09/2020	37.21513971	-119.76655890000002	29	2	0	Madera
1448	California	US	04/10/2020	37.21513971	-119.76655890000002	30	2	0	Madera
1464	California	US	04/11/2020	37.21513971	-119.76655890000002	30	2	0	Madera
1476	California	US	04/12/2020	37.21513971	-119.7665589	30	2	0	Madera
1486	California	US	04/13/2020	37.21513971	-119.76655890000002	30	2	0	Madera
1492	California	US	04/14/2020	37.21513971	-119.76655890000002	30	2	0	Madera
1500	California	US	04/15/2020	37.21513971	-119.76655890000002	31	2	0	Madera
1505	California	US	04/16/2020	37.21513971	-119.76655890000002	35	2	0	Madera
1504	California	US	04/17/2020	37.21513971	-119.76655890000002	35	2	0	Madera
1510	California	US	04/18/2020	37.21513971	-119.7665589	35	2	0	Madera
1520	California	US	04/19/2020	37.21513971	-119.7665589	35	2	0	Madera
1524	California	US	04/20/2020	37.21513971	-119.76655890000002	36	2	0	Madera
1531	California	US	04/21/2020	37.21513971	-119.76655890000002	38	2	0	Madera
1536	California	US	04/22/2020	37.21513971	-119.76655890000002	38	2	0	Madera
1546	California	US	04/23/2020	37.21513971	-119.76655890000002	38	2	0	Madera
1548	California	US	04/24/2020	37.21513971	-119.76655890000002	40	2	0	Madera
1550	California	US	04/25/2020	37.21513971	-119.76655890000002	40	2	0	Madera
1556	California	US	04/26/2020	37.21513971	-119.76655890000002	40	2	0	Madera
1558	California	US	04/27/2020	37.21513971	-119.76655890000002	43	2	0	Madera
1563	California	US	04/28/2020	37.21513971	-119.76655890000002	45	2	0	Madera
1566	California	US	04/29/2020	37.21513971	-119.76655890000002	46	2	0	Madera
1572	California	US	04/30/2020	37.21513971	-119.76655890000002	47	2	0	Madera
1580	California	US	05/01/2020	37.21513971	-119.76655890000002	47	2	0	Madera
1584	California	US	05/02/2020	37.21513971	-119.76655890000002	47	2	0	Madera
1586	California	US	05/03/2020	37.21513971	-119.76655890000002	47	2	0	Madera
1588	California	US	05/04/2020	37.21513971	-119.76655890000002	53	2	0	Madera
1594	California	US	05/05/2020	37.21513971	-119.76655890000002	54	2	0	Madera
1597	California	US	05/06/2020	37.21513971	-119.76655890000002	56	2	0	Madera
1601	California	US	05/07/2020	37.21513971	-119.76655890000002	55	2	0	Madera
1606	California	US	05/08/2020	37.21513971	-119.76655890000002	58	2	0	Madera
1607	California	US	05/09/2020	37.21513971	-119.76655890000002	62	2	0	Madera
1608	California	US	05/10/2020	37.21513971	-119.76655890000002	66	2	0	Madera
1608	California	US	05/11/2020	37.21513971	-119.76655890000002	69	2	0	Madera
1610	California	US	05/12/2020	37.21513971	-119.76655890000002	70	2	0	Madera
1610	California	US	05/13/2020	37.21513971	-119.76655890000002	70	2	0	Madera
1611	California	US	05/14/2020	37.21513971	-119.76655890000002	70	2	0	Madera
1615	California	US	05/15/2020	37.21513971	-119.76655890000002	72	2	0	Madera
1617	California	US	05/16/2020	37.21513971	-119.76655890000002	71	2	0	Madera
1619	California	US	05/17/2020	37.21513971	-119.76655890000002	70	2	0	Madera
1620	California	US	05/18/2020	37.21513971	-119.76655890000002	75	2	0	Madera
1622	California	US	05/19/2020	37.21513971	-119.76655890000002	81	2	0	Madera
1627	California	US	05/20/2020	37.21513971	-119.76655890000002	83	2	0	Madera
1628	California	US	05/21/2020	37.21513971	-119.76655890000002	83	2	0	Madera
1633	California	US	05/22/2020	37.21513971	-119.76655890000002	83	2	0	Madera
1635	California	US	05/23/2020	37.21513971	-119.76655890000002	84	2	0	Madera
1638	California	US	05/24/2020	37.21513971	-119.76655890000002	84	2	0	Madera
1638	California	US	05/25/2020	37.21513971	-119.76655890000002	84	2	0	Madera
1639	California	US	05/26/2020	37.21513971	-119.76655890000002	84	2	0	Madera
1641	California	US	05/27/2020	37.21513971	-119.76655890000002	92	2	0	Madera
1642	California	US	05/28/2020	37.21513971	-119.76655890000002	94	2	0	Madera
1645	California	US	05/29/2020	37.21513971	-119.76655890000002	99	2	0	Madera
1647	California	US	05/30/2020	37.21513971	-119.76655890000002	102	2	0	Madera
1648	California	US	05/31/2020	37.21513971	-119.76655890000002	102	2	0	Madera
1650	California	US	06/01/2020	37.21513971	-119.76655890000002	104	2	0	Madera
1654	California	US	06/02/2020	37.21513971	-119.76655890000002	111	2	0	Madera
1655	California	US	06/03/2020	37.21513971	-119.76655890000002	118	3	0	Madera
1656	California	US	06/04/2020	37.21513971	-119.76655890000002	128	3	0	Madera
1658	California	US	06/05/2020	37.21513971	-119.76655890000002	145	3	0	Madera
1659	California	US	06/06/2020	37.21513971	-119.76655890000002	150	3	0	Madera
1659	California	US	06/07/2020	37.21513971	-119.76655890000002	150	3	0	Madera
1659	California	US	06/08/2020	37.21513971	-119.76655890000002	155	3	0	Madera
1661	California	US	06/09/2020	37.21513971	-119.76655890000002	173	3	0	Madera
1663	California	US	06/10/2020	37.21513971	-119.76655890000002	177	3	0	Madera
1664	California	US	06/11/2020	37.21513971	-119.76655890000002	180	3	0	Madera
1672	California	US	06/12/2020	37.21513971	-119.76655890000002	189	3	0	Madera
1673	California	US	06/13/2020	37.21513971	-119.76655890000002	205	3	0	Madera
1673	California	US	06/14/2020	37.21513971	-119.76655890000002	205	3	0	Madera
1675	California	US	06/15/2020	37.21513971	-119.76655890000002	205	3	0	Madera
1674	California	US	06/16/2020	37.21513971	-119.76655890000002	241	3	0	Madera
