	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
106	California	US	03/22/2020	38.07122463	-122.7210631	30	0	0	Marin
1790	California	US	03/23/2020	38.07122463	-122.7210631	30	0	0	Marin
1790	California	US	03/24/2020	38.07122463	-122.7210631	44	0	0	Marin
1790	California	US	03/25/2020	38.07122463	-122.7210631	47	0	0	Marin
1789	California	US	03/26/2020	38.07122463	-122.7210631	56	0	0	Marin
1789	California	US	03/27/2020	38.07122463	-122.7210631	58	0	0	Marin
1789	California	US	03/28/2020	38.07122463	-122.7210631	116	0	0	Marin
1789	California	US	03/29/2020	38.07122463	-122.7210631	60	0	0	Marin
1789	California	US	03/30/2020	38.07122463	-122.7210631	78	0	0	Marin
1206	California	US	03/31/2020	38.07122463	-122.7210631	85	1	0	Marin
1239	California	US	04/01/2020	38.07122463	-122.7210631	87	1	0	Marin
1289	California	US	04/02/2020	38.07122463	-122.7210631	102	1	0	Marin
1315	California	US	04/03/2020	38.07122463	-122.7210631	106	6	0	Marin
1346	California	US	04/04/2020	38.07122463	-122.7210631	111	6	0	Marin
1390	California	US	04/05/2020	38.07122463	-122.7210631	114	6	0	Marin
1412	California	US	04/06/2020	38.07122463	-122.7210631	120	7	0	Marin
1442	California	US	04/07/2020	38.07122463	-122.7210631	123	7	0	Marin
1457	California	US	04/08/2020	38.07122463	-122.7210631	126	7	0	Marin
1475	California	US	04/09/2020	38.07122463	-122.7210631	127	7	0	Marin
1482	California	US	04/10/2020	38.07122463	-122.7210631	129	6	0	Marin
1498	California	US	04/11/2020	38.07122463	-122.7210631	137	6	0	Marin
1510	California	US	04/12/2020	38.07122463	-122.7210631	139	6	0	Marin
1520	California	US	04/13/2020	38.07122463	-122.7210631	145	6	0	Marin
1526	California	US	04/14/2020	38.07122463	-122.7210631	148	9	0	Marin
1534	California	US	04/15/2020	38.07122463	-122.7210631	163	10	0	Marin
1539	California	US	04/16/2020	38.07122463	-122.7210631	171	10	0	Marin
1538	California	US	04/17/2020	38.07122463	-122.7210631	190	10	0	Marin
1544	California	US	04/18/2020	38.07122463	-122.7210631	194	10	0	Marin
1554	California	US	04/19/2020	38.07122463	-122.7210631	195	10	0	Marin
1558	California	US	04/20/2020	38.07122463	-122.7210631	201	10	0	Marin
1565	California	US	04/21/2020	38.07122463	-122.7210631	203	10	0	Marin
1570	California	US	04/22/2020	38.07122463	-122.7210631	203	11	0	Marin
1580	California	US	04/23/2020	38.07122463	-122.7210631	210	11	0	Marin
1582	California	US	04/24/2020	38.07122463	-122.7210631	212	11	0	Marin
1585	California	US	04/25/2020	38.07122463	-122.7210631	216	12	0	Marin
1591	California	US	04/26/2020	38.07122463	-122.7210631	226	12	0	Marin
1593	California	US	04/27/2020	38.07122463	-122.7210631	228	12	0	Marin
1598	California	US	04/28/2020	38.07122463	-122.7210631	229	12	0	Marin
1601	California	US	04/29/2020	38.07122463	-122.7210631	235	13	0	Marin
