	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1294	California	US	03/22/2020	37.18922369	-120.7209035	0	0	0	Merced
1897	California	US	03/23/2020	37.18922369	-120.7209035	0	0	0	Merced
1897	California	US	03/24/2020	37.18922369	-120.7209035	0	0	0	Merced
1897	California	US	03/25/2020	37.18922369	-120.7209035	0	0	0	Merced
1896	California	US	03/26/2020	37.18922369	-120.7209035	1	0	0	Merced
1896	California	US	03/27/2020	37.18922369	-120.7209035	3	0	0	Merced
1896	California	US	03/28/2020	37.18922369	-120.7209035	8	0	0	Merced
1896	California	US	03/29/2020	37.18922369	-120.7209035	4	0	0	Merced
1896	California	US	03/30/2020	37.18922369	-120.7209035	6	0	0	Merced
1278	California	US	03/31/2020	37.18922369	-120.7209035	6	0	0	Merced
1312	California	US	04/01/2020	37.18922369	-120.7209035	7	0	0	Merced
1365	California	US	04/02/2020	37.18922369	-120.7209035	9	0	0	Merced
1394	California	US	04/03/2020	37.18922369	-120.7209035	9	0	0	Merced
1430	California	US	04/04/2020	37.18922369	-120.7209035	11	0	0	Merced
1477	California	US	04/05/2020	37.18922369	-120.7209035	16	0	0	Merced
1499	California	US	04/06/2020	37.18922369	-120.7209035	25	1	0	Merced
1534	California	US	04/07/2020	37.18922369	-120.7209035	27	1	0	Merced
1549	California	US	04/08/2020	37.18922369	-120.7209035	35	1	0	Merced
1567	California	US	04/09/2020	37.18922369	-120.7209035	41	3	0	Merced
1575	California	US	04/10/2020	37.18922369	-120.7209035	56	3	0	Merced
1593	California	US	04/11/2020	37.18922369	-120.7209035	59	3	0	Merced
1605	California	US	04/12/2020	37.18922369	-120.7209035	58	3	0	Merced
1615	California	US	04/13/2020	37.18922369	-120.7209035	60	3	0	Merced
1621	California	US	04/14/2020	37.18922369	-120.7209035	61	3	0	Merced
1629	California	US	04/15/2020	37.18922369	-120.7209035	74	3	0	Merced
1635	California	US	04/16/2020	37.18922369	-120.7209035	76	3	0	Merced
1634	California	US	04/17/2020	37.18922369	-120.7209035	80	3	0	Merced
1640	California	US	04/18/2020	37.18922369	-120.7209035	82	3	0	Merced
1648	California	US	04/19/2020	37.18922369	-120.7209035	85	3	0	Merced
1655	California	US	04/20/2020	37.18922369	-120.7209035	88	3	0	Merced
1663	California	US	04/21/2020	37.18922369	-120.7209035	89	3	0	Merced
1668	California	US	04/22/2020	37.18922369	-120.7209035	92	3	0	Merced
1678	California	US	04/23/2020	37.18922369	-120.7209035	98	3	0	Merced
1681	California	US	04/24/2020	37.18922369	-120.7209035	102	3	0	Merced
1685	California	US	04/25/2020	37.18922369	-120.7209035	103	3	0	Merced
1691	California	US	04/26/2020	37.18922369	-120.7209035	104	3	0	Merced
1693	California	US	04/27/2020	37.18922369	-120.7209035	108	3	0	Merced
1699	California	US	04/28/2020	37.18922369	-120.7209035	108	3	0	Merced
1702	California	US	04/29/2020	37.18922369	-120.7209035	116	3	0	Merced
1708	California	US	04/30/2020	37.18922369	-120.7209035	122	3	0	Merced
1716	California	US	05/01/2020	37.18922369	-120.7209035	131	3	0	Merced
1720	California	US	05/02/2020	37.18922369	-120.7209035	131	3	0	Merced
1722	California	US	05/03/2020	37.18922369	-120.7209035	134	3	0	Merced
1724	California	US	05/04/2020	37.18922369	-120.7209035	138	3	0	Merced
1730	California	US	05/05/2020	37.18922369	-120.7209035	141	3	0	Merced
1734	California	US	05/06/2020	37.18922369	-120.7209035	140	3	0	Merced
1738	California	US	05/07/2020	37.18922369	-120.7209035	146	3	0	Merced
1743	California	US	05/08/2020	37.18922369	-120.7209035	151	3	0	Merced
1744	California	US	05/09/2020	37.18922369	-120.7209035	153	3	0	Merced
1745	California	US	05/10/2020	37.18922369	-120.7209035	154	3	0	Merced
1745	California	US	05/11/2020	37.18922369	-120.7209035	158	3	0	Merced
1747	California	US	05/12/2020	37.18922369	-120.7209035	175	3	0	Merced
1747	California	US	05/13/2020	37.18922369	-120.7209035	176	3	0	Merced
1748	California	US	05/14/2020	37.18922369	-120.7209035	182	3	0	Merced
1752	California	US	05/15/2020	37.18922369	-120.7209035	191	5	0	Merced
1755	California	US	05/16/2020	37.18922369	-120.7209035	201	5	0	Merced
1757	California	US	05/17/2020	37.18922369	-120.7209035	214	5	0	Merced
1758	California	US	05/18/2020	37.18922369	-120.7209035	217	5	0	Merced
1760	California	US	05/19/2020	37.18922369	-120.7209035	222	5	0	Merced
1765	California	US	05/20/2020	37.18922369	-120.7209035	225	6	0	Merced
1766	California	US	05/21/2020	37.18922369	-120.7209035	226	6	0	Merced
1771	California	US	05/22/2020	37.18922369	-120.7209035	233	6	0	Merced
1773	California	US	05/23/2020	37.18922369	-120.7209035	247	6	0	Merced
1776	California	US	05/24/2020	37.18922369	-120.7209035	258	6	0	Merced
1776	California	US	05/25/2020	37.18922369	-120.7209035	262	6	0	Merced
1777	California	US	05/26/2020	37.18922369	-120.7209035	266	7	0	Merced
1779	California	US	05/27/2020	37.18922369	-120.7209035	278	7	0	Merced
1780	California	US	05/28/2020	37.18922369	-120.7209035	283	7	0	Merced
1783	California	US	05/29/2020	37.18922369	-120.7209035	285	7	0	Merced
1785	California	US	05/30/2020	37.18922369	-120.7209035	285	6	0	Merced
1786	California	US	05/31/2020	37.18922369	-120.7209035	288	6	0	Merced
1788	California	US	06/01/2020	37.18922369	-120.7209035	290	6	0	Merced
1792	California	US	06/02/2020	37.18922369	-120.7209035	298	6	0	Merced
1793	California	US	06/03/2020	37.18922369	-120.7209035	300	7	0	Merced
1794	California	US	06/04/2020	37.18922369	-120.7209035	305	7	0	Merced
1796	California	US	06/05/2020	37.18922369	-120.7209035	310	7	0	Merced
1797	California	US	06/06/2020	37.18922369	-120.7209035	316	7	0	Merced
1797	California	US	06/07/2020	37.18922369	-120.7209035	319	7	0	Merced
1797	California	US	06/08/2020	37.18922369	-120.7209035	332	7	0	Merced
1799	California	US	06/09/2020	37.18922369	-120.7209035	350	7	0	Merced
1801	California	US	06/10/2020	37.18922369	-120.7209035	371	7	0	Merced
1802	California	US	06/11/2020	37.18922369	-120.7209035	371	7	0	Merced
1810	California	US	06/12/2020	37.18922369	-120.7209035	373	7	0	Merced
1812	California	US	06/13/2020	37.18922369	-120.7209035	377	7	0	Merced
1812	California	US	06/14/2020	37.18922369	-120.7209035	404	7	0	Merced
1814	California	US	06/15/2020	37.18922369	-120.7209035	415	7	0	Merced
1813	California	US	06/16/2020	37.18922369	-120.7209035	437	7	0	Merced
1815	California	US	06/17/2020	37.18922369	-120.7209035	461	7	0	Merced
1815	California	US	06/18/2020	37.18922369	-120.7209035	487	7	0	Merced
1815	California	US	06/19/2020	37.18922369	-120.7209035	530	8	0	Merced
1819	California	US	06/20/2020	37.18922369	-120.7209035	567	8	0	Merced
1819	California	US	06/21/2020	37.18922369	-120.7209035	578	8	0	Merced
1821	California	US	06/22/2020	37.18922369	-120.7209035	620	8	0	Merced
1824	California	US	06/23/2020	37.18922369	-120.7209035	657	8	0	Merced
1832	California	US	06/24/2020	37.18922369	-120.7209035	697	8	0	Merced
1837	California	US	06/25/2020	37.18922369	-120.7209035	748	10	0	Merced
1838	California	US	06/26/2020	37.18922369	-120.7209035	798	10	0	Merced
1839	California	US	06/27/2020	37.18922369	-120.7209035	808	10	0	Merced
1839	California	US	06/28/2020	37.18922369	-120.7209035	816	10	0	Merced
1840	California	US	06/29/2020	37.18922369	-120.7209035	850	10	0	Merced
1841	California	US	06/30/2020	37.18922369	-120.7209035	972	10	0	Merced
1841	California	US	07/01/2020	37.18922369	-120.7209035	1054	10	0	Merced
1843	California	US	07/02/2020	37.18922369	-120.7209035	1124	10	0	Merced
1846	California	US	07/03/2020	37.18922369	-120.7209035	1190	10	0	Merced
1846	California	US	07/04/2020	37.18922369	-120.7209035	1254	10	0	Merced
1846	California	US	07/05/2020	37.18922369	-120.7209035	1342	10	0	Merced
1849	California	US	07/06/2020	37.18922369	-120.7209035	1398	10	0	Merced
1849	California	US	07/07/2020	37.18922369	-120.7209035	1533	10	0	Merced
1852	California	US	07/08/2020	37.18922369	-120.7209035	1580	11	0	Merced
1851	California	US	07/09/2020	37.18922369	-120.7209035	1730	11	0	Merced
1853	California	US	07/10/2020	37.18922369	-120.7209035	1804	12	0	Merced
1853	California	US	07/11/2020	37.18922369	-120.7209035	1853	12	0	Merced
1855	California	US	07/12/2020	37.18922369	-120.7209035	1910	12	0	Merced
