	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
118	California	US	03/22/2020	36.21862405	-121.2413397	14	1	0	Monterey
1976	California	US	03/23/2020	36.21862405	-121.2413397	14	1	0	Monterey
1976	California	US	03/24/2020	36.21862405	-121.2413397	23	1	0	Monterey
1976	California	US	03/25/2020	36.21862405	-121.2413397	23	1	0	Monterey
1975	California	US	03/26/2020	36.21862405	-121.2413397	25	1	0	Monterey
1975	California	US	03/27/2020	36.21862405	-121.2413397	26	1	0	Monterey
1975	California	US	03/28/2020	36.21862405	-121.2413397	64	2	0	Monterey
1975	California	US	03/29/2020	36.21862405	-121.2413397	36	1	0	Monterey
1975	California	US	03/30/2020	36.21862405	-121.2413397	41	1	0	Monterey
1329	California	US	03/31/2020	36.21862405	-121.2413397	43	2	0	Monterey
1365	California	US	04/01/2020	36.21862405	-121.2413397	47	2	0	Monterey
1419	California	US	04/02/2020	36.21862405	-121.2413397	50	2	0	Monterey
1450	California	US	04/03/2020	36.21862405	-121.2413397	58	2	0	Monterey
1489	California	US	04/04/2020	36.21862405	-121.2413397	61	2	0	Monterey
1539	California	US	04/05/2020	36.21862405	-121.2413397	61	2	0	Monterey
1561	California	US	04/06/2020	36.21862405	-121.2413397	62	2	0	Monterey
1597	California	US	04/07/2020	36.21862405	-121.2413397	63	2	0	Monterey
1612	California	US	04/08/2020	36.21862405	-121.2413397	68	3	0	Monterey
1631	California	US	04/09/2020	36.21862405	-121.2413397	70	3	0	Monterey
1641	California	US	04/10/2020	36.21862405	-121.2413397	78	3	0	Monterey
1659	California	US	04/11/2020	36.21862405	-121.2413397	78	3	0	Monterey
1671	California	US	04/12/2020	36.21862405	-121.2413397	85	3	0	Monterey
1683	California	US	04/13/2020	36.21862405	-121.2413397	86	3	0	Monterey
1689	California	US	04/14/2020	36.21862405	-121.2413397	98	3	0	Monterey
1697	California	US	04/15/2020	36.21862405	-121.2413397	106	3	0	Monterey
1703	California	US	04/16/2020	36.21862405	-121.2413397	116	3	0	Monterey
1704	California	US	04/17/2020	36.21862405	-121.2413397	119	3	0	Monterey
1710	California	US	04/18/2020	36.21862405	-121.2413397	135	3	0	Monterey
1718	California	US	04/19/2020	36.21862405	-121.2413397	140	4	0	Monterey
1725	California	US	04/20/2020	36.21862405	-121.2413397	147	4	0	Monterey
1733	California	US	04/21/2020	36.21862405	-121.2413397	151	4	0	Monterey
1740	California	US	04/22/2020	36.21862405	-121.2413397	154	4	0	Monterey
1750	California	US	04/23/2020	36.21862405	-121.2413397	161	4	0	Monterey
1753	California	US	04/24/2020	36.21862405	-121.2413397	167	4	0	Monterey
1757	California	US	04/25/2020	36.21862405	-121.2413397	173	4	0	Monterey
1763	California	US	04/26/2020	36.21862405	-121.2413397	182	4	0	Monterey
1765	California	US	04/27/2020	36.21862405	-121.2413397	185	4	0	Monterey
1772	California	US	04/28/2020	36.21862405	-121.2413397	191	5	0	Monterey
1775	California	US	04/29/2020	36.21862405	-121.2413397	204	5	0	Monterey
1781	California	US	04/30/2020	36.21862405	-121.2413397	213	5	0	Monterey
1789	California	US	05/01/2020	36.21862405	-121.2413397	222	5	0	Monterey
1793	California	US	05/02/2020	36.21862405	-121.2413397	225	5	0	Monterey
1796	California	US	05/03/2020	36.21862405	-121.2413397	235	6	0	Monterey
1798	California	US	05/04/2020	36.21862405	-121.2413397	237	6	0	Monterey
1804	California	US	05/05/2020	36.21862405	-121.2413397	240	6	0	Monterey
1808	California	US	05/06/2020	36.21862405	-121.2413397	246	6	0	Monterey
1812	California	US	05/07/2020	36.21862405	-121.2413397	249	6	0	Monterey
1817	California	US	05/08/2020	36.21862405	-121.2413397	265	6	0	Monterey
1818	California	US	05/09/2020	36.21862405	-121.2413397	273	6	0	Monterey
1819	California	US	05/10/2020	36.21862405	-121.2413397	282	6	0	Monterey
1819	California	US	05/11/2020	36.21862405	-121.2413397	286	6	0	Monterey
1822	California	US	05/12/2020	36.21862405	-121.2413397	298	6	0	Monterey
1822	California	US	05/13/2020	36.21862405	-121.2413397	309	6	0	Monterey
1823	California	US	05/14/2020	36.21862405	-121.2413397	317	7	0	Monterey
1827	California	US	05/15/2020	36.21862405	-121.2413397	321	8	0	Monterey
1830	California	US	05/16/2020	36.21862405	-121.2413397	329	8	0	Monterey
1832	California	US	05/17/2020	36.21862405	-121.2413397	342	8	0	Monterey
1833	California	US	05/18/2020	36.21862405	-121.2413397	345	8	0	Monterey
1835	California	US	05/19/2020	36.21862405	-121.2413397	350	8	0	Monterey
1840	California	US	05/20/2020	36.21862405	-121.2413397	356	8	0	Monterey
1841	California	US	05/21/2020	36.21862405	-121.2413397	363	8	0	Monterey
1846	California	US	05/22/2020	36.21862405	-121.2413397	372	8	0	Monterey
1848	California	US	05/23/2020	36.21862405	-121.2413397	397	8	0	Monterey
1851	California	US	05/24/2020	36.21862405	-121.2413397	405	8	0	Monterey
