	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
116	California	US	03/22/2020	39.06167234	-120.7240569	18	1	0	Placer
2288	California	US	03/23/2020	39.06167234	-120.7240569	19	1	0	Placer
2288	California	US	03/24/2020	39.06167234	-120.7240569	22	1	0	Placer
2288	California	US	03/25/2020	39.06167234	-120.7240569	30	1	0	Placer
2287	California	US	03/26/2020	39.06167234	-120.7240569	34	1	0	Placer
2287	California	US	03/27/2020	39.06167234	-120.7240569	33	1	0	Placer
2287	California	US	03/28/2020	39.06167234	-120.7240569	70	2	0	Placer
2287	California	US	03/29/2020	39.06167234	-120.7240569	35	2	0	Placer
2287	California	US	03/30/2020	39.06167234	-120.7240569	44	2	0	Placer
1547	California	US	03/31/2020	39.06167234	-120.7240569	49	2	0	Placer
1586	California	US	04/01/2020	39.06167234	-120.7240569	52	2	0	Placer
1648	California	US	04/02/2020	39.06167234	-120.7240569	72	2	0	Placer
1687	California	US	04/03/2020	39.06167234	-120.7240569	76	2	0	Placer
1730	California	US	04/04/2020	39.06167234	-120.7240569	87	2	0	Placer
1790	California	US	04/05/2020	39.06167234	-120.7240569	86	3	0	Placer
1819	California	US	04/06/2020	39.06167234	-120.7240569	90	3	0	Placer
1857	California	US	04/07/2020	39.06167234	-120.7240569	94	3	0	Placer
1872	California	US	04/08/2020	39.06167234	-120.7240569	102	4	0	Placer
1892	California	US	04/09/2020	39.06167234	-120.7240569	107	4	0	Placer
1908	California	US	04/10/2020	39.06167234	-120.7240569	112	4	0	Placer
1930	California	US	04/11/2020	39.06167234	-120.7240569	113	4	0	Placer
1943	California	US	04/12/2020	39.06167234	-120.7240569	114	4	0	Placer
1957	California	US	04/13/2020	39.06167234	-120.7240569	116	5	0	Placer
1965	California	US	04/14/2020	39.06167234	-120.7240569	117	5	0	Placer
1975	California	US	04/15/2020	39.06167234	-120.7240569	123	6	0	Placer
1984	California	US	04/16/2020	39.06167234	-120.7240569	129	7	0	Placer
1986	California	US	04/17/2020	39.06167234	-120.7240569	130	8	0	Placer
1992	California	US	04/18/2020	39.06167234	-120.7240569	130	8	0	Placer
