	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
108	California	US	03/22/2020	33.74314981	-115.9933578	29	5	0	Riverside
2440	California	US	03/23/2020	33.74314981	-115.9933578	44	5	0	Riverside
2440	California	US	03/24/2020	33.74314981	-115.9933578	61	5	0	Riverside
2440	California	US	03/25/2020	33.74314981	-115.9933578	92	5	0	Riverside
2439	California	US	03/26/2020	33.74314981	-115.9933578	123	7	0	Riverside
2439	California	US	03/27/2020	33.74314981	-115.9933578	126	7	0	Riverside
2439	California	US	03/28/2020	33.74314981	-115.9933578	247	14	0	Riverside
2439	California	US	03/29/2020	33.74314981	-115.9933578	127	7	0	Riverside
2439	California	US	03/30/2020	33.74314981	-115.9933578	209	7	0	Riverside
1637	California	US	03/31/2020	33.74314981	-115.9933578	289	8	0	Riverside
1678	California	US	04/01/2020	33.74314981	-115.9933578	318	11	0	Riverside
1742	California	US	04/02/2020	33.74314981	-115.9933578	451	13	0	Riverside
1786	California	US	04/03/2020	33.74314981	-115.9933578	553	14	0	Riverside
1830	California	US	04/04/2020	33.74314981	-115.9933578	665	15	0	Riverside
1894	California	US	04/05/2020	33.74314981	-115.9933578	682	17	0	Riverside
1927	California	US	04/06/2020	33.74314981	-115.9933578	867	17	0	Riverside
1968	California	US	04/07/2020	33.74314981	-115.9933578	918	25	0	Riverside
1986	California	US	04/08/2020	33.74314981	-115.9933578	987	28	0	Riverside
2009	California	US	04/09/2020	33.74314981	-115.9933578	1096	29	0	Riverside
2028	California	US	04/10/2020	33.74314981	-115.9933578	1175	30	0	Riverside
2052	California	US	04/11/2020	33.74314981	-115.9933578	1273	33	0	Riverside
2067	California	US	04/12/2020	33.74314981	-115.9933578	1343	34	0	Riverside
2081	California	US	04/13/2020	33.74314981	-115.9933578	1473	35	0	Riverside
2089	California	US	04/14/2020	33.74314981	-115.9933578	1481	40	0	Riverside
2100	California	US	04/15/2020	33.74314981	-115.9933578	1737	42	0	Riverside
2110	California	US	04/16/2020	33.74314981	-115.9933578	1927	45	0	Riverside
2112	California	US	04/17/2020	33.74314981	-115.9933578	2094	50	0	Riverside
2119	California	US	04/18/2020	33.74314981	-115.9933578	2271	56	0	Riverside
2132	California	US	04/19/2020	33.74314981	-115.9933578	2330	56	0	Riverside
2139	California	US	04/20/2020	33.74314981	-115.9933578	2491	61	0	Riverside
2148	California	US	04/21/2020	33.74314981	-115.9933578	2645	68	0	Riverside
2155	California	US	04/22/2020	33.74314981	-115.9933578	2836	76	0	Riverside
2169	California	US	04/23/2020	33.74314981	-115.9933578	2949	78	0	Riverside
2174	California	US	04/24/2020	33.74314981	-115.9933578	3059	87	0	Riverside
2179	California	US	04/25/2020	33.74314981	-115.9933578	3052	93	0	Riverside
2186	California	US	04/26/2020	33.74314981	-115.9933578	3316	95	0	Riverside
2192	California	US	04/27/2020	33.74314981	-115.9933578	3396	100	0	Riverside
2200	California	US	04/28/2020	33.74314981	-115.9933578	3519	113	0	Riverside
2203	California	US	04/29/2020	33.74314981	-115.9933578	3715	116	0	Riverside
2209	California	US	04/30/2020	33.74314981	-115.9933578	3835	124	0	Riverside
2219	California	US	05/01/2020	33.74314981	-115.9933578	3909	132	0	Riverside
2223	California	US	05/02/2020	33.74314981	-115.9933578	4013	137	0	Riverside
2227	California	US	05/03/2020	33.74314981	-115.9933578	4050	139	0	Riverside
2230	California	US	05/04/2020	33.74314981	-115.9933578	4237	147	0	Riverside
2237	California	US	05/05/2020	33.74314981	-115.9933578	4325	161	0	Riverside
2242	California	US	05/06/2020	33.74314981	-115.9933578	4551	163	0	Riverside
2246	California	US	05/07/2020	33.74314981	-115.9933578	4624	170	0	Riverside
2253	California	US	05/08/2020	33.74314981	-115.9933578	4688	181	0	Riverside
2254	California	US	05/09/2020	33.74314981	-115.9933578	4888	183	0	Riverside
2256	California	US	05/10/2020	33.74314981	-115.9933578	4968	193	0	Riverside
2256	California	US	05/11/2020	33.74314981	-115.9933578	5099	203	0	Riverside
2259	California	US	05/12/2020	33.74314981	-115.9933578	5152	210	0	Riverside
2260	California	US	05/13/2020	33.74314981	-115.9933578	5222	216	0	Riverside
2261	California	US	05/14/2020	33.74314981	-115.9933578	5357	224	0	Riverside
2265	California	US	05/15/2020	33.74314981	-115.9933578	5514	233	0	Riverside
2270	California	US	05/16/2020	33.74314981	-115.9933578	5651	243	0	Riverside
2272	California	US	05/17/2020	33.74314981	-115.9933578	5794	245	0	Riverside
2274	California	US	05/18/2020	33.74314981	-115.9933578	5891	253	0	Riverside
2277	California	US	05/19/2020	33.74314981	-115.9933578	5982	265	0	Riverside
2283	California	US	05/20/2020	33.74314981	-115.9933578	6110	265	0	Riverside
2284	California	US	05/21/2020	33.74314981	-115.9933578	6265	279	0	Riverside
2288	California	US	05/22/2020	33.74314981	-115.9933578	6371	283	0	Riverside
2290	California	US	05/23/2020	33.74314981	-115.9933578	6480	284	0	Riverside
2293	California	US	05/24/2020	33.74314981	-115.9933578	6591	284	0	Riverside
2294	California	US	05/25/2020	33.74314981	-115.9933578	6920	284	0	Riverside
2295	California	US	05/26/2020	33.74314981	-115.9933578	6937	284	0	Riverside
2298	California	US	05/27/2020	33.74314981	-115.9933578	7176	299	0	Riverside
2300	California	US	05/28/2020	33.74314981	-115.9933578	7260	304	0	Riverside
2303	California	US	05/29/2020	33.74314981	-115.9933578	7397	313	0	Riverside
2305	California	US	05/30/2020	33.74314981	-115.9933578	7513	316	0	Riverside
2306	California	US	05/31/2020	33.74314981	-115.9933578	7725	321	0	Riverside
2308	California	US	06/01/2020	33.74314981	-115.9933578	7942	322	0	Riverside
2312	California	US	06/02/2020	33.74314981	-115.9933578	8113	330	0	Riverside
2314	California	US	06/03/2020	33.74314981	-115.9933578	8231	335	0	Riverside
2315	California	US	06/04/2020	33.74314981	-115.9933578	8496	341	0	Riverside
2318	California	US	06/05/2020	33.74314981	-115.9933578	8723	345	0	Riverside
2319	California	US	06/06/2020	33.74314981	-115.9933578	8958	345	0	Riverside
2319	California	US	06/07/2020	33.74314981	-115.9933578	9128	344	0	Riverside
2319	California	US	06/08/2020	33.74314981	-115.9933578	9269	347	0	Riverside
2320	California	US	06/09/2020	33.74314981	-115.9933578	9534	354	0	Riverside
2322	California	US	06/10/2020	33.74314981	-115.9933578	9880	361	0	Riverside
2323	California	US	06/11/2020	33.74314981	-115.9933578	10037	361	0	Riverside
2335	California	US	06/12/2020	33.74314981	-115.9933578	10639	364	0	Riverside
2337	California	US	06/13/2020	33.74314981	-115.9933578	10954	364	0	Riverside
2337	California	US	06/14/2020	33.74314981	-115.9933578	11241	364	0	Riverside
2340	California	US	06/15/2020	33.74314981	-115.9933578	11399	364	0	Riverside
2338	California	US	06/16/2020	33.74314981	-115.9933578	11662	364	0	Riverside
2340	California	US	06/17/2020	33.74314981	-115.9933578	11883	370	0	Riverside
2340	California	US	06/18/2020	33.74314981	-115.9933578	12434	392	0	Riverside
2340	California	US	06/19/2020	33.74314981	-115.9933578	12734	398	0	Riverside
2344	California	US	06/20/2020	33.74314981	-115.9933578	13045	402	0	Riverside
2344	California	US	06/21/2020	33.74314981	-115.9933578	13552	402	0	Riverside
2346	California	US	06/22/2020	33.74314981	-115.9933578	13973	403	0	Riverside
2350	California	US	06/23/2020	33.74314981	-115.9933578	14494	406	0	Riverside
2360	California	US	06/24/2020	33.74314981	-115.9933578	14971	410	0	Riverside
2365	California	US	06/25/2020	33.74314981	-115.9933578	15249	427	0	Riverside
2366	California	US	06/26/2020	33.74314981	-115.9933578	15883	430	0	Riverside
