	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
105	California	US	03/22/2020	38.45106826	-121.3425374	81	3	0	Sacramento
2491	California	US	03/23/2020	38.45106826	-121.3425374	86	4	0	Sacramento
2491	California	US	03/24/2020	38.45106826	-121.3425374	92	4	0	Sacramento
2491	California	US	03/25/2020	38.45106826	-121.3425374	113	5	0	Sacramento
2490	California	US	03/26/2020	38.45106826	-121.3425374	146	5	0	Sacramento
2490	California	US	03/27/2020	38.45106826	-121.3425374	162	6	0	Sacramento
2490	California	US	03/28/2020	38.45106826	-121.3425374	405	6	0	Sacramento
2490	California	US	03/29/2020	38.45106826	-121.3425374	216	6	0	Sacramento
2490	California	US	03/30/2020	38.45106826	-121.3425374	237	7	0	Sacramento
1670	California	US	03/31/2020	38.45106826	-121.3425374	270	7	0	Sacramento
1712	California	US	04/01/2020	38.45106826	-121.3425374	298	7	0	Sacramento
1776	California	US	04/02/2020	38.45106826	-121.3425374	321	9	0	Sacramento
1820	California	US	04/03/2020	38.45106826	-121.3425374	362	10	0	Sacramento
1865	California	US	04/04/2020	38.45106826	-121.3425374	392	10	0	Sacramento
1931	California	US	04/05/2020	38.45106826	-121.3425374	392	16	0	Sacramento
1964	California	US	04/06/2020	38.45106826	-121.3425374	447	18	0	Sacramento
2005	California	US	04/07/2020	38.45106826	-121.3425374	512	21	0	Sacramento
2025	California	US	04/08/2020	38.45106826	-121.3425374	564	22	0	Sacramento
2048	California	US	04/09/2020	38.45106826	-121.3425374	600	33	0	Sacramento
2067	California	US	04/10/2020	38.45106826	-121.3425374	641	24	0	Sacramento
2091	California	US	04/11/2020	38.45106826	-121.3425374	684	24	0	Sacramento
2108	California	US	04/12/2020	38.45106826	-121.3425374	688	26	0	Sacramento
2122	California	US	04/13/2020	38.45106826	-121.3425374	722	27	0	Sacramento
2130	California	US	04/14/2020	38.45106826	-121.3425374	736	28	0	Sacramento
2141	California	US	04/15/2020	38.45106826	-121.3425374	838	32	0	Sacramento
2153	California	US	04/16/2020	38.45106826	-121.3425374	864	32	0	Sacramento
2155	California	US	04/17/2020	38.45106826	-121.3425374	881	32	0	Sacramento
2162	California	US	04/18/2020	38.45106826	-121.3425374	900	33	0	Sacramento
2175	California	US	04/19/2020	38.45106826	-121.3425374	911	34	0	Sacramento
2182	California	US	04/20/2020	38.45106826	-121.3425374	923	34	0	Sacramento
2191	California	US	04/21/2020	38.45106826	-121.3425374	940	35	0	Sacramento
2198	California	US	04/22/2020	38.45106826	-121.3425374	958	36	0	Sacramento
2212	California	US	04/23/2020	38.45106826	-121.3425374	977	41	0	Sacramento
2217	California	US	04/24/2020	38.45106826	-121.3425374	1008	41	0	Sacramento
2222	California	US	04/25/2020	38.45106826	-121.3425374	1014	41	0	Sacramento
2229	California	US	04/26/2020	38.45106826	-121.3425374	1026	41	0	Sacramento
2235	California	US	04/27/2020	38.45106826	-121.3425374	1034	41	0	Sacramento
2244	California	US	04/28/2020	38.45106826	-121.3425374	1043	41	0	Sacramento
2247	California	US	04/29/2020	38.45106826	-121.3425374	1054	42	0	Sacramento
2253	California	US	04/30/2020	38.45106826	-121.3425374	1070	43	0	Sacramento
2264	California	US	05/01/2020	38.45106826	-121.3425374	1080	42	0	Sacramento
2268	California	US	05/02/2020	38.45106826	-121.3425374	1096	42	0	Sacramento
2272	California	US	05/03/2020	38.45106826	-121.3425374	1108	42	0	Sacramento
2275	California	US	05/04/2020	38.45106826	-121.3425374	1118	47	0	Sacramento
2282	California	US	05/05/2020	38.45106826	-121.3425374	1124	47	0	Sacramento
2287	California	US	05/06/2020	38.45106826	-121.3425374	1134	47	0	Sacramento
2291	California	US	05/07/2020	38.45106826	-121.3425374	1138	49	0	Sacramento
2298	California	US	05/08/2020	38.45106826	-121.3425374	1144	50	0	Sacramento
2299	California	US	05/09/2020	38.45106826	-121.3425374	1149	50	0	Sacramento
2301	California	US	05/10/2020	38.45106826	-121.3425374	1151	50	0	Sacramento
2301	California	US	05/11/2020	38.45106826	-121.3425374	1159	50	0	Sacramento
2304	California	US	05/12/2020	38.45106826	-121.3425374	1165	50	0	Sacramento
