	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
122	California	US	03/22/2020	36.60308176	-121.069975	2	1	0	San Benito
2506	California	US	03/23/2020	36.60308176	-121.069975	2	1	0	San Benito
2506	California	US	03/24/2020	36.60308176	-121.069975	2	1	0	San Benito
2506	California	US	03/25/2020	36.60308176	-121.069975	2	1	0	San Benito
2505	California	US	03/26/2020	36.60308176	-121.069975	6	1	0	San Benito
2505	California	US	03/27/2020	36.60308176	-121.069975	7	1	0	San Benito
2505	California	US	03/28/2020	36.60308176	-121.069975	18	1	0	San Benito
2505	California	US	03/29/2020	36.60308176	-121.069975	8	1	0	San Benito
2505	California	US	03/30/2020	36.60308176	-121.069975	9	1	0	San Benito
1682	California	US	03/31/2020	36.60308176	-121.069975	12	1	0	San Benito
1724	California	US	04/01/2020	36.60308176	-121.069975	12	1	0	San Benito
1789	California	US	04/02/2020	36.60308176	-121.069975	16	1	0	San Benito
1833	California	US	04/03/2020	36.60308176	-121.069975	20	1	0	San Benito
1879	California	US	04/04/2020	36.60308176	-121.069975	20	2	0	San Benito
1945	California	US	04/05/2020	36.60308176	-121.069975	20	2	0	San Benito
1978	California	US	04/06/2020	36.60308176	-121.069975	23	2	0	San Benito
2019	California	US	04/07/2020	36.60308176	-121.069975	24	2	0	San Benito
2039	California	US	04/08/2020	36.60308176	-121.069975	29	2	0	San Benito
2062	California	US	04/09/2020	36.60308176	-121.069975	30	2	0	San Benito
2081	California	US	04/10/2020	36.60308176	-121.069975	30	2	0	San Benito
2105	California	US	04/11/2020	36.60308176	-121.069975	31	2	0	San Benito
2122	California	US	04/12/2020	36.60308176	-121.069975	31	2	0	San Benito
2136	California	US	04/13/2020	36.60308176	-121.069975	31	2	0	San Benito
2144	California	US	04/14/2020	36.60308176	-121.069975	32	2	0	San Benito
2156	California	US	04/15/2020	36.60308176	-121.069975	32	2	0	San Benito
2168	California	US	04/16/2020	36.60308176	-121.069975	34	2	0	San Benito
2170	California	US	04/17/2020	36.60308176	-121.069975	36	2	0	San Benito
2177	California	US	04/18/2020	36.60308176	-121.069975	38	2	0	San Benito
2190	California	US	04/19/2020	36.60308176	-121.069975	38	2	0	San Benito
2197	California	US	04/20/2020	36.60308176	-121.069975	41	2	0	San Benito
2206	California	US	04/21/2020	36.60308176	-121.069975	41	2	0	San Benito
2213	California	US	04/22/2020	36.60308176	-121.069975	41	2	0	San Benito
2227	California	US	04/23/2020	36.60308176	-121.069975	41	2	0	San Benito
2232	California	US	04/24/2020	36.60308176	-121.069975	43	2	0	San Benito
2237	California	US	04/25/2020	36.60308176	-121.069975	43	2	0	San Benito
2244	California	US	04/26/2020	36.60308176	-121.069975	43	2	0	San Benito
2250	California	US	04/27/2020	36.60308176	-121.069975	43	2	0	San Benito
