	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
112	California	US	03/22/2020	34.84060306	-116.1774685	16	0	0	San Bernardino
2507	California	US	03/23/2020	34.84060306	-116.1774685	17	0	0	San Bernardino
2507	California	US	03/24/2020	34.84060306	-116.1774685	27	0	0	San Bernardino
2507	California	US	03/25/2020	34.84060306	-116.1774685	46	1	0	San Bernardino
2506	California	US	03/26/2020	34.84060306	-116.1774685	57	1	0	San Bernardino
2506	California	US	03/27/2020	34.84060306	-116.1774685	77	2	0	San Bernardino
2506	California	US	03/28/2020	34.84060306	-116.1774685	162	4	0	San Bernardino
2506	California	US	03/29/2020	34.84060306	-116.1774685	94	2	0	San Bernardino
2506	California	US	03/30/2020	34.84060306	-116.1774685	145	4	0	San Bernardino
1683	California	US	03/31/2020	34.84060306	-116.1774685	193	5	0	San Bernardino
1725	California	US	04/01/2020	34.84060306	-116.1774685	245	5	0	San Bernardino
1790	California	US	04/02/2020	34.84060306	-116.1774685	335	8	0	San Bernardino
1834	California	US	04/03/2020	34.84060306	-116.1774685	356	11	0	San Bernardino
1880	California	US	04/04/2020	34.84060306	-116.1774685	373	13	0	San Bernardino
1946	California	US	04/05/2020	34.84060306	-116.1774685	375	13	0	San Bernardino
1979	California	US	04/06/2020	34.84060306	-116.1774685	550	13	0	San Bernardino
2020	California	US	04/07/2020	34.84060306	-116.1774685	554	19	0	San Bernardino
2040	California	US	04/08/2020	34.84060306	-116.1774685	635	22	0	San Bernardino
2063	California	US	04/09/2020	34.84060306	-116.1774685	717	27	0	San Bernardino
2082	California	US	04/10/2020	34.84060306	-116.1774685	779	27	0	San Bernardino
2106	California	US	04/11/2020	34.84060306	-116.1774685	826	28	0	San Bernardino
2123	California	US	04/12/2020	34.84060306	-116.1774685	827	30	0	San Bernardino
2137	California	US	04/13/2020	34.84060306	-116.1774685	920	30	0	San Bernardino
2145	California	US	04/14/2020	34.84060306	-116.1774685	933	37	0	San Bernardino
2157	California	US	04/15/2020	34.84060306	-116.1774685	1063	45	0	San Bernardino
2169	California	US	04/16/2020	34.84060306	-116.1774685	1143	54	0	San Bernardino
2171	California	US	04/17/2020	34.84060306	-116.1774685	1230	57	0	San Bernardino
2178	California	US	04/18/2020	34.84060306	-116.1774685	1256	58	0	San Bernardino
2191	California	US	04/19/2020	34.84060306	-116.1774685	1263	58	0	San Bernardino
2198	California	US	04/20/2020	34.84060306	-116.1774685	1345	63	0	San Bernardino
2207	California	US	04/21/2020	34.84060306	-116.1774685	1500	71	0	San Bernardino
2214	California	US	04/22/2020	34.84060306	-116.1774685	1565	74	0	San Bernardino
2228	California	US	04/23/2020	34.84060306	-116.1774685	1605	79	0	San Bernardino
2233	California	US	04/24/2020	34.84060306	-116.1774685	1668	80	0	San Bernardino
2238	California	US	04/25/2020	34.84060306	-116.1774685	1676	82	0	San Bernardino
2245	California	US	04/26/2020	34.84060306	-116.1774685	1682	82	0	San Bernardino
2251	California	US	04/27/2020	34.84060306	-116.1774685	1743	82	0	San Bernardino
2260	California	US	04/28/2020	34.84060306	-116.1774685	1892	89	0	San Bernardino
2263	California	US	04/29/2020	34.84060306	-116.1774685	1976	91	0	San Bernardino
2269	California	US	04/30/2020	34.84060306	-116.1774685	2022	96	0	San Bernardino
2280	California	US	05/01/2020	34.84060306	-116.1774685	2086	98	0	San Bernardino
2284	California	US	05/02/2020	34.84060306	-116.1774685	2126	99	0	San Bernardino
2288	California	US	05/03/2020	34.84060306	-116.1774685	2125	99	0	San Bernardino
2291	California	US	05/04/2020	34.84060306	-116.1774685	2186	99	0	San Bernardino
2298	California	US	05/05/2020	34.84060306	-116.1774685	2347	104	0	San Bernardino
2303	California	US	05/06/2020	34.84060306	-116.1774685	2428	110	0	San Bernardino
2307	California	US	05/07/2020	34.84060306	-116.1774685	2525	115	0	San Bernardino
2314	California	US	05/08/2020	34.84060306	-116.1774685	2634	119	0	San Bernardino
2315	California	US	05/09/2020	34.84060306	-116.1774685	2828	121	0	San Bernardino
2317	California	US	05/10/2020	34.84060306	-116.1774685	2913	121	0	San Bernardino
2317	California	US	05/11/2020	34.84060306	-116.1774685	2948	124	0	San Bernardino
2320	California	US	05/12/2020	34.84060306	-116.1774685	3000	131	0	San Bernardino
2321	California	US	05/13/2020	34.84060306	-116.1774685	3067	140	0	San Bernardino
2322	California	US	05/14/2020	34.84060306	-116.1774685	3153	149	0	San Bernardino
2326	California	US	05/15/2020	34.84060306	-116.1774685	3229	153	0	San Bernardino
2331	California	US	05/16/2020	34.84060306	-116.1774685	3366	155	0	San Bernardino
2333	California	US	05/17/2020	34.84060306	-116.1774685	3471	155	0	San Bernardino
2335	California	US	05/18/2020	34.84060306	-116.1774685	3562	156	0	San Bernardino
2338	California	US	05/19/2020	34.84060306	-116.1774685	3660	158	0	San Bernardino
2344	California	US	05/20/2020	34.84060306	-116.1774685	3775	161	0	San Bernardino
2345	California	US	05/21/2020	34.84060306	-116.1774685	3954	167	0	San Bernardino
2349	California	US	05/22/2020	34.84060306	-116.1774685	4111	173	0	San Bernardino
2351	California	US	05/23/2020	34.84060306	-116.1774685	4176	175	0	San Bernardino
2354	California	US	05/24/2020	34.84060306	-116.1774685	4266	175	0	San Bernardino
2355	California	US	05/25/2020	34.84060306	-116.1774685	4397	175	0	San Bernardino
2356	California	US	05/26/2020	34.84060306	-116.1774685	4435	175	0	San Bernardino
2359	California	US	05/27/2020	34.84060306	-116.1774685	4713	183	0	San Bernardino
2361	California	US	05/28/2020	34.84060306	-116.1774685	4836	191	0	San Bernardino
