	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
101	California	US	03/22/2020	37.75215114	-122.4385672	134	0	0	San Francisco
2509	California	US	03/23/2020	37.75215114	-122.4385672	152	0	0	San Francisco
2509	California	US	03/24/2020	37.75215114	-122.4385672	181	1	0	San Francisco
2509	California	US	03/25/2020	37.75215114	-122.4385672	212	1	0	San Francisco
2508	California	US	03/26/2020	37.75215114	-122.4385672	261	1	0	San Francisco
2508	California	US	03/27/2020	37.75215114	-122.4385672	285	2	0	San Francisco
2508	California	US	03/28/2020	37.75215114	-122.4385672	600	6	0	San Francisco
2508	California	US	03/29/2020	37.75215114	-122.4385672	333	5	0	San Francisco
2508	California	US	03/30/2020	37.75215114	-122.4385672	368	5	0	San Francisco
1685	California	US	03/31/2020	37.75215114	-122.4385672	404	5	0	San Francisco
1727	California	US	04/01/2020	37.75215114	-122.4385672	432	6	0	San Francisco
1792	California	US	04/02/2020	37.75215114	-122.4385672	473	6	0	San Francisco
1836	California	US	04/03/2020	37.75215114	-122.4385672	506	6	0	San Francisco
1882	California	US	04/04/2020	37.75215114	-122.4385672	537	6	0	San Francisco
1948	California	US	04/05/2020	37.75215114	-122.4385672	559	6	0	San Francisco
1981	California	US	04/06/2020	37.75215114	-122.4385672	586	6	0	San Francisco
2022	California	US	04/07/2020	37.75215114	-122.4385672	636	6	0	San Francisco
2042	California	US	04/08/2020	37.75215114	-122.4385672	687	7	0	San Francisco
2065	California	US	04/09/2020	37.75215114	-122.4385672	748	8	0	San Francisco
2084	California	US	04/10/2020	37.75215114	-122.4385672	797	10	0	San Francisco
2108	California	US	04/11/2020	37.75215114	-122.4385672	860	11	0	San Francisco
2125	California	US	04/12/2020	37.75215114	-122.4385672	886	11	0	San Francisco
2139	California	US	04/13/2020	37.75215114	-122.4385672	948	12	0	San Francisco
2147	California	US	04/14/2020	37.75215114	-122.4385672	968	14	0	San Francisco
2159	California	US	04/15/2020	37.75215114	-122.4385672	1006	16	0	San Francisco
2171	California	US	04/16/2020	37.75215114	-122.4385672	1039	16	0	San Francisco
2173	California	US	04/17/2020	37.75215114	-122.4385672	1090	19	0	San Francisco
2180	California	US	04/18/2020	37.75215114	-122.4385672	1144	19	0	San Francisco
2193	California	US	04/19/2020	37.75215114	-122.4385672	1153	19	0	San Francisco
2200	California	US	04/20/2020	37.75215114	-122.4385672	1223	19	0	San Francisco
2209	California	US	04/21/2020	37.75215114	-122.4385672	1232	20	0	San Francisco
2216	California	US	04/22/2020	37.75215114	-122.4385672	1255	21	0	San Francisco
2230	California	US	04/23/2020	37.75215114	-122.4385672	1312	21	0	San Francisco
2235	California	US	04/24/2020	37.75215114	-122.4385672	1345	22	0	San Francisco
2240	California	US	04/25/2020	37.75215114	-122.4385672	1341	22	0	San Francisco
2247	California	US	04/26/2020	37.75215114	-122.4385672	1403	23	0	San Francisco
2253	California	US	04/27/2020	37.75215114	-122.4385672	1453	23	0	San Francisco
2262	California	US	04/28/2020	37.75215114	-122.4385672	1471	23	0	San Francisco
2265	California	US	04/29/2020	37.75215114	-122.4385672	1489	23	0	San Francisco
2271	California	US	04/30/2020	37.75215114	-122.4385672	1518	26	0	San Francisco
2282	California	US	05/01/2020	37.75215114	-122.4385672	1552	29	0	San Francisco
2286	California	US	05/02/2020	37.75215114	-122.4385672	1632	29	0	San Francisco
2290	California	US	05/03/2020	37.75215114	-122.4385672	1692	30	0	San Francisco
2293	California	US	05/04/2020	37.75215114	-122.4385672	1760	31	0	San Francisco
2300	California	US	05/05/2020	37.75215114	-122.4385672	1779	31	0	San Francisco
2305	California	US	05/06/2020	37.75215114	-122.4385672	1804	32	0	San Francisco
2309	California	US	05/07/2020	37.75215114	-122.4385672	1852	33	0	San Francisco
2316	California	US	05/08/2020	37.75215114	-122.4385672	1890	33	0	San Francisco
2317	California	US	05/09/2020	37.75215114	-122.4385672	1944	34	0	San Francisco
2319	California	US	05/10/2020	37.75215114	-122.4385672	1953	35	0	San Francisco
2319	California	US	05/11/2020	37.75215114	-122.4385672	1974	35	0	San Francisco
2322	California	US	05/12/2020	37.75215114	-122.4385672	1981	35	0	San Francisco
2323	California	US	05/13/2020	37.75215114	-122.4385672	2004	35	0	San Francisco
2324	California	US	05/14/2020	37.75215114	-122.4385672	2029	36	0	San Francisco
2328	California	US	05/15/2020	37.75215114	-122.4385672	2062	36	0	San Francisco
2333	California	US	05/16/2020	37.75215114	-122.4385672	2094	36	0	San Francisco
2335	California	US	05/17/2020	37.75215114	-122.4385672	2132	36	0	San Francisco
2337	California	US	05/18/2020	37.75215114	-122.4385672	2183	36	0	San Francisco
2340	California	US	05/19/2020	37.75215114	-122.4385672	2186	37	0	San Francisco
2346	California	US	05/20/2020	37.75215114	-122.4385672	2199	37	0	San Francisco
2347	California	US	05/21/2020	37.75215114	-122.4385672	2248	37	0	San Francisco
2351	California	US	05/22/2020	37.75215114	-122.4385672	2251	40	0	San Francisco
2353	California	US	05/23/2020	37.75215114	-122.4385672	2312	40	0	San Francisco
2356	California	US	05/24/2020	37.75215114	-122.4385672	2318	40	0	San Francisco
2357	California	US	05/25/2020	37.75215114	-122.4385672	2358	40	0	San Francisco
2358	California	US	05/26/2020	37.75215114	-122.4385672	2363	40	0	San Francisco
2361	California	US	05/27/2020	37.75215114	-122.4385672	2394	40	0	San Francisco
2363	California	US	05/28/2020	37.75215114	-122.4385672	2417	40	0	San Francisco
2366	California	US	05/29/2020	37.75215114	-122.4385672	2453	41	0	San Francisco
2368	California	US	05/30/2020	37.75215114	-122.4385672	2496	41	0	San Francisco
2369	California	US	05/31/2020	37.75215114	-122.4385672	2501	43	0	San Francisco
2371	California	US	06/01/2020	37.75215114	-122.4385672	2546	43	0	San Francisco
2376	California	US	06/02/2020	37.75215114	-122.4385672	2554	43	0	San Francisco
2378	California	US	06/03/2020	37.75215114	-122.4385672	2608	43	0	San Francisco
2379	California	US	06/04/2020	37.75215114	-122.4385672	2636	43	0	San Francisco
2382	California	US	06/05/2020	37.75215114	-122.4385672	2675	43	0	San Francisco
2383	California	US	06/06/2020	37.75215114	-122.4385672	2674	43	0	San Francisco
2383	California	US	06/07/2020	37.75215114	-122.4385672	2674	43	0	San Francisco
2383	California	US	06/08/2020	37.75215114	-122.4385672	2716	43	0	San Francisco
2384	California	US	06/09/2020	37.75215114	-122.4385672	2750	44	0	San Francisco
2386	California	US	06/10/2020	37.75215114	-122.4385672	2775	44	0	San Francisco
2387	California	US	06/11/2020	37.75215114	-122.4385672	2767	44	0	San Francisco
2399	California	US	06/12/2020	37.75215114	-122.4385672	2824	44	0	San Francisco
2401	California	US	06/13/2020	37.75215114	-122.4385672	2835	44	0	San Francisco
2401	California	US	06/14/2020	37.75215114	-122.4385672	2835	45	0	San Francisco
2404	California	US	06/15/2020	37.75215114	-122.4385672	2834	45	0	San Francisco
2402	California	US	06/16/2020	37.75215114	-122.4385672	2894	46	0	San Francisco
2404	California	US	06/17/2020	37.75215114	-122.4385672	2907	46	0	San Francisco
2404	California	US	06/18/2020	37.75215114	-122.4385672	2952	47	0	San Francisco
2404	California	US	06/19/2020	37.75215114	-122.4385672	2969	47	0	San Francisco
2408	California	US	06/20/2020	37.75215114	-122.4385672	3000	47	0	San Francisco
2408	California	US	06/21/2020	37.75215114	-122.4385672	3001	47	0	San Francisco
2410	California	US	06/22/2020	37.75215114	-122.4385672	3001	47	0	San Francisco
2414	California	US	06/23/2020	37.75215114	-122.4385672	3178	48	0	San Francisco
2425	California	US	06/24/2020	37.75215114	-122.4385672	3217	48	0	San Francisco
2430	California	US	06/25/2020	37.75215114	-122.4385672	3253	48	0	San Francisco
2431	California	US	06/26/2020	37.75215114	-122.4385672	3331	49	0	San Francisco
2432	California	US	06/27/2020	37.75215114	-122.4385672	3333	49	0	San Francisco
2432	California	US	06/28/2020	37.75215114	-122.4385672	3389	50	0	San Francisco
2434	California	US	06/29/2020	37.75215114	-122.4385672	3390	50	0	San Francisco
2436	California	US	06/30/2020	37.75215114	-122.4385672	3556	50	0	San Francisco
2438	California	US	07/01/2020	37.75215114	-122.4385672	3627	50	0	San Francisco
2440	California	US	07/02/2020	37.75215114	-122.4385672	3677	50	0	San Francisco
