	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
107	California	US	03/22/2020	37.93433732	-121.2730061	33	2	0	San Joaquin
2511	California	US	03/23/2020	37.93433732	-121.2730061	40	2	0	San Joaquin
2511	California	US	03/24/2020	37.93433732	-121.2730061	55	2	0	San Joaquin
2511	California	US	03/25/2020	37.93433732	-121.2730061	67	2	0	San Joaquin
2510	California	US	03/26/2020	37.93433732	-121.2730061	72	3	0	San Joaquin
2510	California	US	03/27/2020	37.93433732	-121.2730061	76	3	0	San Joaquin
2510	California	US	03/28/2020	37.93433732	-121.2730061	169	8	0	San Joaquin
2510	California	US	03/29/2020	37.93433732	-121.2730061	89	4	0	San Joaquin
2510	California	US	03/30/2020	37.93433732	-121.2730061	115	5	0	San Joaquin
1687	California	US	03/31/2020	37.93433732	-121.2730061	125	7	0	San Joaquin
1729	California	US	04/01/2020	37.93433732	-121.2730061	135	8	0	San Joaquin
1794	California	US	04/02/2020	37.93433732	-121.2730061	151	9	0	San Joaquin
1838	California	US	04/03/2020	37.93433732	-121.2730061	165	10	0	San Joaquin
1884	California	US	04/04/2020	37.93433732	-121.2730061	174	10	0	San Joaquin
1950	California	US	04/05/2020	37.93433732	-121.2730061	182	10	0	San Joaquin
1983	California	US	04/06/2020	37.93433732	-121.2730061	194	10	0	San Joaquin
2024	California	US	04/07/2020	37.93433732	-121.2730061	201	12	0	San Joaquin
2044	California	US	04/08/2020	37.93433732	-121.2730061	214	12	0	San Joaquin
2067	California	US	04/09/2020	37.93433732	-121.2730061	226	14	0	San Joaquin
2086	California	US	04/10/2020	37.93433732	-121.2730061	237	14	0	San Joaquin
2110	California	US	04/11/2020	37.93433732	-121.2730061	247	15	0	San Joaquin
2127	California	US	04/12/2020	37.93433732	-121.2730061	249	15	0	San Joaquin
2141	California	US	04/13/2020	37.93433732	-121.2730061	258	16	0	San Joaquin
2149	California	US	04/14/2020	37.93433732	-121.2730061	283	17	0	San Joaquin
2161	California	US	04/15/2020	37.93433732	-121.2730061	332	17	0	San Joaquin
2173	California	US	04/16/2020	37.93433732	-121.2730061	348	17	0	San Joaquin
2175	California	US	04/17/2020	37.93433732	-121.2730061	359	17	0	San Joaquin
2182	California	US	04/18/2020	37.93433732	-121.2730061	395	17	0	San Joaquin
2195	California	US	04/19/2020	37.93433732	-121.2730061	407	17	0	San Joaquin
2202	California	US	04/20/2020	37.93433732	-121.2730061	425	17	0	San Joaquin
2211	California	US	04/21/2020	37.93433732	-121.2730061	450	20	0	San Joaquin
2218	California	US	04/22/2020	37.93433732	-121.2730061	465	20	0	San Joaquin
2232	California	US	04/23/2020	37.93433732	-121.2730061	482	20	0	San Joaquin
2237	California	US	04/24/2020	37.93433732	-121.2730061	487	24	0	San Joaquin
2242	California	US	04/25/2020	37.93433732	-121.2730061	500	24	0	San Joaquin
2249	California	US	04/26/2020	37.93433732	-121.2730061	517	25	0	San Joaquin
2255	California	US	04/27/2020	37.93433732	-121.2730061	525	25	0	San Joaquin
2264	California	US	04/28/2020	37.93433732	-121.2730061	535	25	0	San Joaquin
2267	California	US	04/29/2020	37.93433732	-121.2730061	543	25	0	San Joaquin
