	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
109	California	US	03/22/2020	35.38822029	-120.4039028	19	0	0	San Luis Obispo
2516	California	US	03/23/2020	35.38822029	-120.4039028	23	0	0	San Luis Obispo
2516	California	US	03/24/2020	35.38822029	-120.4039028	32	0	0	San Luis Obispo
2516	California	US	03/25/2020	35.38822029	-120.4039028	35	0	0	San Luis Obispo
2515	California	US	03/26/2020	35.38822029	-120.4039028	38	0	0	San Luis Obispo
2515	California	US	03/27/2020	35.38822029	-120.4039028	46	0	0	San Luis Obispo
2515	California	US	03/28/2020	35.38822029	-120.4039028	104	0	0	San Luis Obispo
2515	California	US	03/29/2020	35.38822029	-120.4039028	55	0	0	San Luis Obispo
2515	California	US	03/30/2020	35.38822029	-120.4039028	62	0	0	San Luis Obispo
1691	California	US	03/31/2020	35.38822029	-120.4039028	67	0	0	San Luis Obispo
1733	California	US	04/01/2020	35.38822029	-120.4039028	70	0	0	San Luis Obispo
1798	California	US	04/02/2020	35.38822029	-120.4039028	80	0	0	San Luis Obispo
1842	California	US	04/03/2020	35.38822029	-120.4039028	83	0	0	San Luis Obispo
1888	California	US	04/04/2020	35.38822029	-120.4039028	83	0	0	San Luis Obispo
1954	California	US	04/05/2020	35.38822029	-120.4039028	84	1	0	San Luis Obispo
1987	California	US	04/06/2020	35.38822029	-120.4039028	86	1	0	San Luis Obispo
2028	California	US	04/07/2020	35.38822029	-120.4039028	88	1	0	San Luis Obispo
2048	California	US	04/08/2020	35.38822029	-120.4039028	91	1	0	San Luis Obispo
2071	California	US	04/09/2020	35.38822029	-120.4039028	94	1	0	San Luis Obispo
2090	California	US	04/10/2020	35.38822029	-120.4039028	98	1	0	San Luis Obispo
2114	California	US	04/11/2020	35.38822029	-120.4039028	101	1	0	San Luis Obispo
2131	California	US	04/12/2020	35.38822029	-120.4039028	104	1	0	San Luis Obispo
2145	California	US	04/13/2020	35.38822029	-120.4039028	109	1	0	San Luis Obispo
2153	California	US	04/14/2020	35.38822029	-120.4039028	112	1	0	San Luis Obispo
2165	California	US	04/15/2020	35.38822029	-120.4039028	115	1	0	San Luis Obispo
2177	California	US	04/16/2020	35.38822029	-120.4039028	116	1	0	San Luis Obispo
2179	California	US	04/17/2020	35.38822029	-120.4039028	119	1	0	San Luis Obispo
2186	California	US	04/18/2020	35.38822029	-120.4039028	132	1	0	San Luis Obispo
2199	California	US	04/19/2020	35.38822029	-120.4039028	135	1	0	San Luis Obispo
2206	California	US	04/20/2020	35.38822029	-120.4039028	135	1	0	San Luis Obispo
2215	California	US	04/21/2020	35.38822029	-120.4039028	137	1	0	San Luis Obispo
2222	California	US	04/22/2020	35.38822029	-120.4039028	145	1	0	San Luis Obispo
2236	California	US	04/23/2020	35.38822029	-120.4039028	149	1	0	San Luis Obispo
2241	California	US	04/24/2020	35.38822029	-120.4039028	154	1	0	San Luis Obispo
2246	California	US	04/25/2020	35.38822029	-120.4039028	162	1	0	San Luis Obispo
2254	California	US	04/26/2020	35.38822029	-120.4039028	168	1	0	San Luis Obispo
2260	California	US	04/27/2020	35.38822029	-120.4039028	169	1	0	San Luis Obispo
2269	California	US	04/28/2020	35.38822029	-120.4039028	175	1	0	San Luis Obispo
2272	California	US	04/29/2020	35.38822029	-120.4039028	184	1	0	San Luis Obispo
2278	California	US	04/30/2020	35.38822029	-120.4039028	185	1	0	San Luis Obispo
2289	California	US	05/01/2020	35.38822029	-120.4039028	189	1	0	San Luis Obispo
