	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
100	California	US	03/22/2020	37.4228808	-122.3275546	84	1	0	San Mateo
2517	California	US	03/23/2020	37.4228808	-122.32755459999998	90	1	0	San Mateo
2517	California	US	03/24/2020	37.4228808	-122.32755459999998	102	2	0	San Mateo
2517	California	US	03/25/2020	37.4228808	-122.32755459999998	113	5	0	San Mateo
2516	California	US	03/26/2020	37.4228808	-122.32755459999998	124	5	0	San Mateo
2516	California	US	03/27/2020	37.4228808	-122.32755459999998	215	7	0	San Mateo
2516	California	US	03/28/2020	37.4228808	-122.3275546	464	17	0	San Mateo
2516	California	US	03/29/2020	37.4228808	-122.3275546	236	12	0	San Mateo
2516	California	US	03/30/2020	37.4228808	-122.3275546	259	11	0	San Mateo
1692	California	US	03/31/2020	37.4228808	-122.32755459999998	299	12	0	San Mateo
1734	California	US	04/01/2020	37.4228808	-122.32755459999998	356	13	0	San Mateo
1799	California	US	04/02/2020	37.4228808	-122.3275546	425	13	0	San Mateo
1843	California	US	04/03/2020	37.4228808	-122.32755459999998	476	13	0	San Mateo
1889	California	US	04/04/2020	37.4228808	-122.3275546	522	17	0	San Mateo
1955	California	US	04/05/2020	37.4228808	-122.32755459999998	530	19	0	San Mateo
1988	California	US	04/06/2020	37.4228808	-122.3275546	571	20	0	San Mateo
2029	California	US	04/07/2020	37.4228808	-122.32755459999998	575	22	0	San Mateo
2049	California	US	04/08/2020	37.4228808	-122.32755459999998	610	22	0	San Mateo
2072	California	US	04/09/2020	37.4228808	-122.32755459999998	632	23	0	San Mateo
2091	California	US	04/10/2020	37.4228808	-122.32755459999998	644	24	0	San Mateo
2115	California	US	04/11/2020	37.4228808	-122.32755459999998	664	25	0	San Mateo
2132	California	US	04/12/2020	37.4228808	-122.3275546	666	25	0	San Mateo
2146	California	US	04/13/2020	37.4228808	-122.32755459999998	681	25	0	San Mateo
2154	California	US	04/14/2020	37.4228808	-122.32755459999998	683	28	0	San Mateo
2166	California	US	04/15/2020	37.4228808	-122.32755459999998	709	28	0	San Mateo
2178	California	US	04/16/2020	37.4228808	-122.32755459999998	747	29	0	San Mateo
2180	California	US	04/17/2020	37.4228808	-122.32755459999998	770	31	0	San Mateo
2187	California	US	04/18/2020	37.4228808	-122.3275546	823	31	0	San Mateo
2200	California	US	04/19/2020	37.4228808	-122.3275546	847	31	0	San Mateo
2207	California	US	04/20/2020	37.4228808	-122.32755459999998	892	31	0	San Mateo
2216	California	US	04/21/2020	37.4228808	-122.32755459999998	935	34	0	San Mateo
2223	California	US	04/22/2020	37.4228808	-122.32755459999998	947	40	0	San Mateo
2237	California	US	04/23/2020	37.4228808	-122.32755459999998	972	42	0	San Mateo
2242	California	US	04/24/2020	37.4228808	-122.32755459999998	1006	43	0	San Mateo
2247	California	US	04/25/2020	37.4228808	-122.32755459999998	1056	46	0	San Mateo
2255	California	US	04/26/2020	37.4228808	-122.32755459999998	1072	46	0	San Mateo
2261	California	US	04/27/2020	37.4228808	-122.32755459999998	1094	46	0	San Mateo
2270	California	US	04/28/2020	37.4228808	-122.32755459999998	1131	48	0	San Mateo
2273	California	US	04/29/2020	37.4228808	-122.32755459999998	1172	50	0	San Mateo
2279	California	US	04/30/2020	37.4228808	-122.32755459999998	1196	52	0	San Mateo
2290	California	US	05/01/2020	37.4228808	-122.32755459999998	1224	52	0	San Mateo
2294	California	US	05/02/2020	37.4228808	-122.32755459999998	1274	52	0	San Mateo
2298	California	US	05/03/2020	37.4228808	-122.32755459999998	1279	53	0	San Mateo
2301	California	US	05/04/2020	37.4228808	-122.32755459999998	1315	53	0	San Mateo
2308	California	US	05/05/2020	37.4228808	-122.32755459999998	1337	56	0	San Mateo
2313	California	US	05/06/2020	37.4228808	-122.32755459999998	1350	57	0	San Mateo
2317	California	US	05/07/2020	37.4228808	-122.32755459999998	1400	58	0	San Mateo
2324	California	US	05/08/2020	37.4228808	-122.32755459999998	1425	62	0	San Mateo
2325	California	US	05/09/2020	37.4228808	-122.32755459999998	1455	65	0	San Mateo
2327	California	US	05/10/2020	37.4228808	-122.32755459999998	1465	65	0	San Mateo
2327	California	US	05/11/2020	37.4228808	-122.32755459999998	1501	66	0	San Mateo
2330	California	US	05/12/2020	37.4228808	-122.32755459999998	1535	66	0	San Mateo
2331	California	US	05/13/2020	37.4228808	-122.32755459999998	1552	66	0	San Mateo
2332	California	US	05/14/2020	37.4228808	-122.32755459999998	1590	67	0	San Mateo
2336	California	US	05/15/2020	37.4228808	-122.32755459999998	1614	68	0	San Mateo
2341	California	US	05/16/2020	37.4228808	-122.32755459999998	1654	68	0	San Mateo
2343	California	US	05/17/2020	37.4228808	-122.32755459999998	1682	68	0	San Mateo
2345	California	US	05/18/2020	37.4228808	-122.32755459999998	1703	68	0	San Mateo
2348	California	US	05/19/2020	37.4228808	-122.32755459999998	1706	71	0	San Mateo
2354	California	US	05/20/2020	37.4228808	-122.32755459999998	1741	74	0	San Mateo
2355	California	US	05/21/2020	37.4228808	-122.32755459999998	1793	74	0	San Mateo
