	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
98	California	US	03/22/2020	37.23104908	-121.6970462	282	13	0	Santa Clara
2530	California	US	03/23/2020	37.23104908	-121.6970462	334	13	0	Santa Clara
2530	California	US	03/24/2020	37.23104908	-121.6970462	387	17	0	Santa Clara
2530	California	US	03/25/2020	37.23104908	-121.6970462	450	20	0	Santa Clara
2529	California	US	03/26/2020	37.23104908	-121.6970462	485	20	0	Santa Clara
2529	California	US	03/27/2020	37.23104908	-121.6970462	555	25	0	Santa Clara
2529	California	US	03/28/2020	37.23104908	-121.6970462	1172	54	0	Santa Clara
2529	California	US	03/29/2020	37.23104908	-121.6970462	589	30	0	Santa Clara
2529	California	US	03/30/2020	37.23104908	-121.6970462	743	31	0	Santa Clara
1701	California	US	03/31/2020	37.23104908	-121.6970462	775	30	0	Santa Clara
1743	California	US	04/01/2020	37.23104908	-121.6970462	806	33	0	Santa Clara
1808	California	US	04/02/2020	37.23104908	-121.6970462	909	38	0	Santa Clara
1852	California	US	04/03/2020	37.23104908	-121.6970462	984	39	0	Santa Clara
1898	California	US	04/04/2020	37.23104908	-121.6970462	1046	39	0	Santa Clara
1964	California	US	04/05/2020	37.23104908	-121.6970462	1053	42	0	Santa Clara
1997	California	US	04/06/2020	37.23104908	-121.6970462	1129	43	0	Santa Clara
2038	California	US	04/07/2020	37.23104908	-121.6970462	1194	46	0	Santa Clara
2058	California	US	04/08/2020	37.23104908	-121.6970462	1259	47	0	Santa Clara
2081	California	US	04/09/2020	37.23104908	-121.6970462	1303	49	0	Santa Clara
2100	California	US	04/10/2020	37.23104908	-121.6970462	1353	50	0	Santa Clara
2125	California	US	04/11/2020	37.23104908	-121.6970462	1443	51	0	Santa Clara
2142	California	US	04/12/2020	37.23104908	-121.6970462	1463	53	0	Santa Clara
2156	California	US	04/13/2020	37.23104908	-121.6970462	1542	58	0	Santa Clara
2164	California	US	04/14/2020	37.23104908	-121.6970462	1563	63	0	Santa Clara
2176	California	US	04/15/2020	37.23104908	-121.6970462	1694	69	0	Santa Clara
2188	California	US	04/16/2020	37.23104908	-121.6970462	1791	70	0	Santa Clara
2190	California	US	04/17/2020	37.23104908	-121.6970462	1836	74	0	Santa Clara
2197	California	US	04/18/2020	37.23104908	-121.6970462	1864	79	0	Santa Clara
2210	California	US	04/19/2020	37.23104908	-121.6970462	1880	81	0	Santa Clara
2217	California	US	04/20/2020	37.23104908	-121.6970462	1922	84	0	Santa Clara
2226	California	US	04/21/2020	37.23104908	-121.6970462	1945	91	0	Santa Clara
2233	California	US	04/22/2020	37.23104908	-121.6970462	1971	95	0	Santa Clara
2247	California	US	04/23/2020	37.23104908	-121.6970462	1998	95	0	Santa Clara
2252	California	US	04/24/2020	37.23104908	-121.6970462	2028	98	0	Santa Clara
2257	California	US	04/25/2020	37.23104908	-121.6970462	2047	99	0	Santa Clara
2265	California	US	04/26/2020	37.23104908	-121.6970462	2100	102	0	Santa Clara
2271	California	US	04/27/2020	37.23104908	-121.6970462	2108	105	0	Santa Clara
2280	California	US	04/28/2020	37.23104908	-121.6970462	2135	106	0	Santa Clara
2283	California	US	04/29/2020	37.23104908	-121.6970462	2152	108	0	Santa Clara
2289	California	US	04/30/2020	37.23104908	-121.6970462	2177	111	0	Santa Clara
2300	California	US	05/01/2020	37.23104908	-121.6970462	2181	112	0	Santa Clara
2304	California	US	05/02/2020	37.23104908	-121.6970462	2208	115	0	Santa Clara
2308	California	US	05/03/2020	37.23104908	-121.6970462	2240	116	0	Santa Clara
2311	California	US	05/04/2020	37.23104908	-121.6970462	2243	119	0	Santa Clara
2318	California	US	05/05/2020	37.23104908	-121.6970462	2254	124	0	Santa Clara
2323	California	US	05/06/2020	37.23104908	-121.6970462	2276	127	0	Santa Clara
2327	California	US	05/07/2020	37.23104908	-121.6970462	2288	127	0	Santa Clara
2334	California	US	05/08/2020	37.23104908	-121.6970462	2292	128	0	Santa Clara
2335	California	US	05/09/2020	37.23104908	-121.6970462	2324	128	0	Santa Clara
2337	California	US	05/10/2020	37.23104908	-121.6970462	2338	129	0	Santa Clara
2337	California	US	05/11/2020	37.23104908	-121.6970462	2347	129	0	Santa Clara
2340	California	US	05/12/2020	37.23104908	-121.6970462	2369	131	0	Santa Clara
2341	California	US	05/13/2020	37.23104908	-121.6970462	2377	132	0	Santa Clara
2342	California	US	05/14/2020	37.23104908	-121.6970462	2387	134	0	Santa Clara
2346	California	US	05/15/2020	37.23104908	-121.6970462	2402	135	0	Santa Clara
2351	California	US	05/16/2020	37.23104908	-121.6970462	2428	135	0	Santa Clara
2353	California	US	05/17/2020	37.23104908	-121.6970462	2461	135	0	Santa Clara
2355	California	US	05/18/2020	37.23104908	-121.6970462	2476	137	0	Santa Clara
2359	California	US	05/19/2020	37.23104908	-121.6970462	2488	138	0	Santa Clara
2365	California	US	05/20/2020	37.23104908	-121.6970462	2516	138	0	Santa Clara
2366	California	US	05/21/2020	37.23104908	-121.6970462	2529	138	0	Santa Clara
2370	California	US	05/22/2020	37.23104908	-121.6970462	2546	139	0	Santa Clara
2372	California	US	05/23/2020	37.23104908	-121.6970462	2602	139	0	Santa Clara
2375	California	US	05/24/2020	37.23104908	-121.6970462	2633	139	0	Santa Clara
2376	California	US	05/25/2020	37.23104908	-121.6970462	2657	139	0	Santa Clara
2377	California	US	05/26/2020	37.23104908	-121.6970462	2669	139	0	Santa Clara
2380	California	US	05/27/2020	37.23104908	-121.6970462	2690	140	0	Santa Clara
2382	California	US	05/28/2020	37.23104908	-121.6970462	2708	140	0	Santa Clara
2385	California	US	05/29/2020	37.23104908	-121.6970462	2717	141	0	Santa Clara
2387	California	US	05/30/2020	37.23104908	-121.6970462	2751	141	0	Santa Clara
2388	California	US	05/31/2020	37.23104908	-121.6970462	2795	142	0	Santa Clara
2390	California	US	06/01/2020	37.23104908	-121.6970462	2807	142	0	Santa Clara
2395	California	US	06/02/2020	37.23104908	-121.6970462	2830	144	0	Santa Clara
2397	California	US	06/03/2020	37.23104908	-121.6970462	2847	144	0	Santa Clara
2398	California	US	06/04/2020	37.23104908	-121.6970462	2882	144	0	Santa Clara
2401	California	US	06/05/2020	37.23104908	-121.6970462	2913	144	0	Santa Clara
2402	California	US	06/06/2020	37.23104908	-121.6970462	2945	144	0	Santa Clara
2402	California	US	06/07/2020	37.23104908	-121.6970462	2958	146	0	Santa Clara
2402	California	US	06/08/2020	37.23104908	-121.6970462	2982	146	0	Santa Clara
2403	California	US	06/09/2020	37.23104908	-121.6970462	3017	147	0	Santa Clara
2405	California	US	06/10/2020	37.23104908	-121.6970462	3044	149	0	Santa Clara
2406	California	US	06/11/2020	37.23104908	-121.6970462	3061	149	0	Santa Clara
2418	California	US	06/12/2020	37.23104908	-121.6970462	3111	149	0	Santa Clara
2420	California	US	06/13/2020	37.23104908	-121.6970462	3153	148	0	Santa Clara
2420	California	US	06/14/2020	37.23104908	-121.6970462	3190	148	0	Santa Clara
2423	California	US	06/15/2020	37.23104908	-121.6970462	3216	148	0	Santa Clara
2421	California	US	06/16/2020	37.23104908	-121.6970462	3240	148	0	Santa Clara
2423	California	US	06/17/2020	37.23104908	-121.6970462	3277	148	0	Santa Clara
2423	California	US	06/18/2020	37.23104908	-121.6970462	3352	152	0	Santa Clara
2423	California	US	06/19/2020	37.23104908	-121.6970462	3390	154	0	Santa Clara
2427	California	US	06/20/2020	37.23104908	-121.6970462	3449	154	0	Santa Clara
2427	California	US	06/21/2020	37.23104908	-121.6970462	3528	154	0	Santa Clara
2429	California	US	06/22/2020	37.23104908	-121.6970462	3594	155	0	Santa Clara
2433	California	US	06/23/2020	37.23104908	-121.6970462	3714	155	0	Santa Clara
2444	California	US	06/24/2020	37.23104908	-121.6970462	3826	155	0	Santa Clara
2449	California	US	06/25/2020	37.23104908	-121.6970462	3885	156	0	Santa Clara
2450	California	US	06/26/2020	37.23104908	-121.6970462	3982	156	0	Santa Clara
2451	California	US	06/27/2020	37.23104908	-121.6970462	4020	157	0	Santa Clara
2451	California	US	06/28/2020	37.23104908	-121.6970462	4145	156	0	Santa Clara
2453	California	US	06/29/2020	37.23104908	-121.6970462	4245	157	0	Santa Clara
2455	California	US	06/30/2020	37.23104908	-121.6970462	4360	157	0	Santa Clara
2457	California	US	07/01/2020	37.23104908	-121.6970462	4561	159	0	Santa Clara
2459	California	US	07/02/2020	37.23104908	-121.6970462	4737	160	0	Santa Clara
2462	California	US	07/03/2020	37.23104908	-121.6970462	4835	161	0	Santa Clara
2463	California	US	07/04/2020	37.23104908	-121.6970462	5060	161	0	Santa Clara
2463	California	US	07/05/2020	37.23104908	-121.6970462	5253	162	0	Santa Clara
2466	California	US	07/06/2020	37.23104908	-121.6970462	5385	165	0	Santa Clara
2466	California	US	07/07/2020	37.23104908	-121.6970462	5454	164	0	Santa Clara
2469	California	US	07/08/2020	37.23104908	-121.6970462	5526	164	0	Santa Clara
2468	California	US	07/09/2020	37.23104908	-121.6970462	5654	164	0	Santa Clara
2472	California	US	07/10/2020	37.23104908	-121.6970462	5835	164	0	Santa Clara
2473	California	US	07/11/2020	37.23104908	-121.6970462	5975	164	0	Santa Clara
2475	California	US	07/12/2020	37.23104908	-121.6970462	6268	164	0	Santa Clara
2477	California	US	07/13/2020	37.23104908	-121.6970462	6505	164	0	Santa Clara
2481	California	US	07/14/2020	37.23104908	-121.6970462	6704	164	0	Santa Clara
2481	California	US	07/15/2020	37.23104908	-121.6970462	6921	164	0	Santa Clara
2483	California	US	07/16/2020	37.23104908	-121.6970462	7011	164	0	Santa Clara
2483	California	US	07/17/2020	37.23104908	-121.6970462	7103	164	0	Santa Clara
2551	California	US	07/18/2020	37.23104908	-121.6970462	7278	164	0	Santa Clara
2551	California	US	07/19/2020	37.23104908	-121.6970462	7427	164	0	Santa Clara
2485	California	US	07/20/2020	37.23104908	-121.6970462	7735	164	0	Santa Clara
2555	California	US	07/21/2020	37.23104908	-121.6970462	8014	164	0	Santa Clara
2556	California	US	07/22/2020	37.23104908	-121.6970462	8291	166	0	Santa Clara
2559	California	US	07/23/2020	37.23104908	-121.6970462	8483	165	0	Santa Clara
2558	California	US	07/24/2020	37.23104908	-121.6970462	8683	165	0	Santa Clara
2559	California	US	07/25/2020	37.23104908	-121.6970462	8792	166	0	Santa Clara
2560	California	US	07/26/2020	37.23104908	-121.6970462	9011	166	0	Santa Clara
2560	California	US	07/27/2020	37.23104908	-121.6970462	9182	166	0	Santa Clara
2560	California	US	07/28/2020	37.23104908	-121.6970462	9333	165	0	Santa Clara
2564	California	US	07/29/2020	37.23104908	-121.6970462	9593	165	0	Santa Clara
2564	California	US	07/30/2020	37.23104908	-121.6970462	9734	170	0	Santa Clara
2566	California	US	07/31/2020	37.23104908	-121.6970462	9890	171	0	Santa Clara
2566	California	US	08/01/2020	37.23104908	-121.6970462	10308	171	0	Santa Clara
2566	California	US	08/02/2020	37.23104908	-121.6970462	10605	172	0	Santa Clara
2566	California	US	08/03/2020	37.23104908	-121.6970462	10775	172	0	Santa Clara
2567	California	US	08/04/2020	37.23104908	-121.6970462	11014	175	0	Santa Clara
2571	California	US	08/05/2020	37.23104908	-121.6970462	11103	176	0	Santa Clara
2571	California	US	08/06/2020	37.23104908	-121.6970462	11309	178	0	Santa Clara
2571	California	US	08/07/2020	37.23104908	-121.6970462	11438	180	0	Santa Clara
2571	California	US	08/08/2020	37.23104908	-121.6970462	11644	181	0	Santa Clara
2571	California	US	08/09/2020	37.23104908	-121.6970462	11907	181	0	Santa Clara
2571	California	US	08/10/2020	37.23104908	-121.6970462	12644	182	0	Santa Clara
908	California	US	08/11/2020	37.23104908	-121.6970462	12950	183	0	Santa Clara
862	California	US	08/12/2020	37.23104908	-121.6970462	13032	182	0	Santa Clara
862	California	US	08/13/2020	37.23104908	-121.6970462	13287	182	0	Santa Clara
862	California	US	08/14/2020	37.23104908	-121.6970462	13815	183	0	Santa Clara
862	California	US	08/15/2020	37.23104908	-121.6970462	14136	183	0	Santa Clara
