	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
128	California	US	03/22/2020	41.59198861	-122.5407434	2	0	0	Siskiyou
2623	California	US	03/23/2020	41.59198861	-122.5407434	2	0	0	Siskiyou
2623	California	US	03/24/2020	41.59198861	-122.5407434	2	0	0	Siskiyou
2623	California	US	03/25/2020	41.59198861	-122.5407434	2	0	0	Siskiyou
2622	California	US	03/26/2020	41.59198861	-122.5407434	2	0	0	Siskiyou
2622	California	US	03/27/2020	41.59198861	-122.5407434	2	0	0	Siskiyou
2622	California	US	03/28/2020	41.59198861	-122.5407434	4	0	0	Siskiyou
2622	California	US	03/29/2020	41.59198861	-122.5407434	2	0	0	Siskiyou
2622	California	US	03/30/2020	41.59198861	-122.5407434	2	0	0	Siskiyou
1760	California	US	03/31/2020	41.59198861	-122.5407434	3	0	0	Siskiyou
1804	California	US	04/01/2020	41.59198861	-122.5407434	3	0	0	Siskiyou
1869	California	US	04/02/2020	41.59198861	-122.5407434	3	0	0	Siskiyou
1912	California	US	04/03/2020	41.59198861	-122.5407434	3	0	0	Siskiyou
1959	California	US	04/04/2020	41.59198861	-122.5407434	3	0	0	Siskiyou
2030	California	US	04/05/2020	41.59198861	-122.5407434	3	0	0	Siskiyou
2064	California	US	04/06/2020	41.59198861	-122.5407434	4	0	0	Siskiyou
2108	California	US	04/07/2020	41.59198861	-122.5407434	4	0	0	Siskiyou
2129	California	US	04/08/2020	41.59198861	-122.5407434	4	0	0	Siskiyou
2153	California	US	04/09/2020	41.59198861	-122.5407434	4	0	0	Siskiyou
2175	California	US	04/10/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2200	California	US	04/11/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2217	California	US	04/12/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2231	California	US	04/13/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2239	California	US	04/14/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2251	California	US	04/15/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2264	California	US	04/16/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2267	California	US	04/17/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2274	California	US	04/18/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2287	California	US	04/19/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2295	California	US	04/20/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2304	California	US	04/21/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2311	California	US	04/22/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2326	California	US	04/23/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2331	California	US	04/24/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2336	California	US	04/25/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2344	California	US	04/26/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2350	California	US	04/27/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2359	California	US	04/28/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2363	California	US	04/29/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2369	California	US	04/30/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2380	California	US	05/01/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2384	California	US	05/02/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2388	California	US	05/03/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2391	California	US	05/04/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2398	California	US	05/05/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2403	California	US	05/06/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2408	California	US	05/07/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2415	California	US	05/08/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2416	California	US	05/09/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2418	California	US	05/10/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2418	California	US	05/11/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2421	California	US	05/12/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2422	California	US	05/13/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2423	California	US	05/14/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2427	California	US	05/15/2020	41.59198861	-122.5407434	5	0	0	Siskiyou
2432	California	US	05/16/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2434	California	US	05/17/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2436	California	US	05/18/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2440	California	US	05/19/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2446	California	US	05/20/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2447	California	US	05/21/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2453	California	US	05/22/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2455	California	US	05/23/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2458	California	US	05/24/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2459	California	US	05/25/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2460	California	US	05/26/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2463	California	US	05/27/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2465	California	US	05/28/2020	41.59198861	-122.5407434	6	0	0	Siskiyou
2468	California	US	05/29/2020	41.59198861	-122.5407434	7	0	0	Siskiyou
2470	California	US	05/30/2020	41.59198861	-122.5407434	7	0	0	Siskiyou
2471	California	US	05/31/2020	41.59198861	-122.5407434	7	0	0	Siskiyou
2473	California	US	06/01/2020	41.59198861	-122.5407434	7	0	0	Siskiyou
2478	California	US	06/02/2020	41.59198861	-122.5407434	8	0	0	Siskiyou
2480	California	US	06/03/2020	41.59198861	-122.5407434	8	0	0	Siskiyou
2481	California	US	06/04/2020	41.59198861	-122.5407434	8	0	0	Siskiyou
2484	California	US	06/05/2020	41.59198861	-122.5407434	8	0	0	Siskiyou
2486	California	US	06/06/2020	41.59198861	-122.5407434	8	0	0	Siskiyou
2486	California	US	06/07/2020	41.59198861	-122.5407434	8	0	0	Siskiyou
2486	California	US	06/08/2020	41.59198861	-122.5407434	8	0	0	Siskiyou
2487	California	US	06/09/2020	41.59198861	-122.5407434	10	0	0	Siskiyou
2489	California	US	06/10/2020	41.59198861	-122.5407434	14	0	0	Siskiyou
2491	California	US	06/11/2020	41.59198861	-122.5407434	14	0	0	Siskiyou
2505	California	US	06/12/2020	41.59198861	-122.5407434	13	0	0	Siskiyou
2508	California	US	06/13/2020	41.59198861	-122.5407434	13	0	0	Siskiyou
2508	California	US	06/14/2020	41.59198861	-122.5407434	13	0	0	Siskiyou
2512	California	US	06/15/2020	41.59198861	-122.5407434	14	0	0	Siskiyou
2510	California	US	06/16/2020	41.59198861	-122.5407434	15	0	0	Siskiyou
2512	California	US	06/17/2020	41.59198861	-122.5407434	16	0	0	Siskiyou
2512	California	US	06/18/2020	41.59198861	-122.5407434	18	0	0	Siskiyou
