	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
114	Solano	13	US	0	38.26827353	-121.9357113	California	0	03/22/2020
2637	Solano	14	US	0	38.26827353	-121.9357113	California	0	03/23/2020
2637	Solano	21	US	0	38.26827353	-121.9357113	California	0	03/24/2020
2637	Solano	24	US	0	38.26827353	-121.9357113	California	0	03/25/2020
2636	Solano	31	US	0	38.26827353	-121.9357113	California	0	03/26/2020
2636	Solano	34	US	0	38.26827353	-121.9357113	California	0	03/27/2020
2636	Solano	34	US	0	38.26827353	-121.9357113	California	0	03/28/2020
2636	Solano	34	US	0	38.26827353	-121.9357113	California	0	03/29/2020
2636	Solano	34	US	0	38.26827353	-121.9357113	California	0	03/30/2020
1770	Solano	43	US	0	38.26827353	-121.9357113	California	0	03/31/2020
1814	Solano	49	US	0	38.26827353	-121.9357113	California	0	04/01/2020
1879	Solano	54	US	0	38.26827353	-121.9357113	California	0	04/02/2020
1923	Solano	61	US	1	38.26827353	-121.9357113	California	0	04/03/2020
1970	Solano	73	US	1	38.26827353	-121.9357113	California	0	04/04/2020
2041	Solano	73	US	1	38.26827353	-121.9357113	California	0	04/05/2020
2075	Solano	73	US	1	38.26827353	-121.9357113	California	0	04/06/2020
2119	Solano	88	US	1	38.26827353	-121.9357113	California	0	04/07/2020
2140	Solano	99	US	2	38.26827353	-121.9357113	California	0	04/08/2020
2164	Solano	112	US	2	38.26827353	-121.9357113	California	0	04/09/2020
2186	Solano	115	US	2	38.26827353	-121.9357113	California	0	04/10/2020
2211	Solano	121	US	2	38.26827353	-121.9357113	California	0	04/11/2020
2228	Solano	121	US	2	38.26827353	-121.9357113	California	0	04/12/2020
2242	Solano	121	US	2	38.26827353	-121.9357113	California	0	04/13/2020
2251	Solano	135	US	2	38.26827353	-121.9357113	California	0	04/14/2020
2263	Solano	140	US	2	38.26827353	-121.9357113	California	0	04/15/2020
2276	Solano	141	US	2	38.26827353	-121.9357113	California	0	04/16/2020
2279	Solano	169	US	2	38.26827353	-121.9357113	California	0	04/17/2020
2286	Solano	169	US	2	38.26827353	-121.9357113	California	0	04/18/2020
2299	Solano	169	US	2	38.26827353	-121.9357113	California	0	04/19/2020
2307	Solano	180	US	2	38.26827353	-121.9357113	California	0	04/20/2020
2316	Solano	180	US	2	38.26827353	-121.9357113	California	0	04/21/2020
2323	Solano	181	US	3	38.26827353	-121.9357113	California	0	04/22/2020
2338	Solano	191	US	4	38.26827353	-121.9357113	California	0	04/23/2020
2343	Solano	199	US	4	38.26827353	-121.9357113	California	0	04/24/2020
2348	Solano	199	US	4	38.26827353	-121.9357113	California	0	04/25/2020
2356	Solano	199	US	4	38.26827353	-121.9357113	California	0	04/26/2020
2363	Solano	199	US	4	38.26827353	-121.9357113	California	0	04/27/2020
2372	Solano	249	US	4	38.26827353	-121.9357113	California	0	04/28/2020
2376	Solano	254	US	5	38.26827353	-121.9357113	California	0	04/29/2020
2382	Solano	263	US	5	38.26827353	-121.9357113	California	0	04/30/2020
2393	Solano	266	US	5	38.26827353	-121.9357113	California	0	05/01/2020
2397	Solano	266	US	5	38.26827353	-121.9357113	California	0	05/02/2020
2401	Solano	266	US	5	38.26827353	-121.9357113	California	0	05/03/2020
2404	Solano	267	US	5	38.26827353	-121.9357113	California	0	05/04/2020
2411	Solano	320	US	6	38.26827353	-121.9357113	California	0	05/05/2020
2416	Solano	337	US	7	38.26827353	-121.9357113	California	0	05/06/2020
2421	Solano	337	US	7	38.26827353	-121.9357113	California	0	05/07/2020
2428	Solano	342	US	7	38.26827353	-121.9357113	California	0	05/08/2020
2429	Solano	351	US	7	38.26827353	-121.9357113	California	0	05/09/2020
2431	Solano	351	US	7	38.26827353	-121.9357113	California	0	05/10/2020
2431	Solano	379	US	10	38.26827353	-121.9357113	California	0	05/11/2020
