	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
111	California	US	03/22/2020	38.52746429	-122.8862506	18	1	0	Sonoma
2643	California	US	03/23/2020	38.52746429	-122.8862506	19	1	0	Sonoma
2643	California	US	03/24/2020	38.52746429	-122.8862506	27	1	0	Sonoma
2643	California	US	03/25/2020	38.52746429	-122.8862506	31	1	0	Sonoma
2642	California	US	03/26/2020	38.52746429	-122.8862506	33	1	0	Sonoma
2642	California	US	03/27/2020	38.52746429	-122.8862506	35	1	0	Sonoma
2642	California	US	03/28/2020	38.52746429	-122.8862506	70	2	0	Sonoma
2642	California	US	03/29/2020	38.52746429	-122.8862506	35	1	0	Sonoma
2642	California	US	03/30/2020	38.52746429	-122.8862506	57	1	0	Sonoma
1775	California	US	03/31/2020	38.52746429	-122.8862506	58	1	0	Sonoma
1819	California	US	04/01/2020	38.52746429	-122.8862506	60	1	0	Sonoma
1884	California	US	04/02/2020	38.52746429	-122.8862506	76	1	0	Sonoma
1928	California	US	04/03/2020	38.52746429	-122.8862506	84	1	0	Sonoma
1975	California	US	04/04/2020	38.52746429	-122.8862506	88	1	0	Sonoma
2046	California	US	04/05/2020	38.52746429	-122.8862506	88	1	0	Sonoma
2080	California	US	04/06/2020	38.52746429	-122.8862506	102	1	0	Sonoma
2124	California	US	04/07/2020	38.52746429	-122.8862506	102	1	0	Sonoma
2145	California	US	04/08/2020	38.52746429	-122.8862506	107	1	0	Sonoma
2169	California	US	04/09/2020	38.52746429	-122.8862506	113	1	0	Sonoma
2191	California	US	04/10/2020	38.52746429	-122.8862506	129	1	0	Sonoma
2216	California	US	04/11/2020	38.52746429	-122.8862506	131	1	0	Sonoma
2233	California	US	04/12/2020	38.52746429	-122.8862506	131	1	0	Sonoma
2247	California	US	04/13/2020	38.52746429	-122.8862506	133	1	0	Sonoma
2256	California	US	04/14/2020	38.52746429	-122.8862506	133	1	0	Sonoma
2268	California	US	04/15/2020	38.52746429	-122.8862506	140	1	0	Sonoma
2281	California	US	04/16/2020	38.52746429	-122.8862506	145	1	0	Sonoma
2284	California	US	04/17/2020	38.52746429	-122.8862506	167	1	0	Sonoma
2291	California	US	04/18/2020	38.52746429	-122.8862506	168	1	0	Sonoma
2304	California	US	04/19/2020	38.52746429	-122.8862506	172	1	0	Sonoma
2312	California	US	04/20/2020	38.52746429	-122.8862506	178	1	0	Sonoma
2321	California	US	04/21/2020	38.52746429	-122.8862506	182	1	0	Sonoma
2328	California	US	04/22/2020	38.52746429	-122.8862506	185	1	0	Sonoma
2343	California	US	04/23/2020	38.52746429	-122.8862506	187	1	0	Sonoma
2348	California	US	04/24/2020	38.52746429	-122.8862506	199	1	0	Sonoma
2353	California	US	04/25/2020	38.52746429	-122.8862506	199	1	0	Sonoma
2361	California	US	04/26/2020	38.52746429	-122.8862506	216	1	0	Sonoma
