	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
123	California	US	03/22/2020	37.55862499	-120.9970722	11	0	0	Stanislaus
2681	California	US	03/23/2020	37.55862499	-120.9970722	13	0	0	Stanislaus
2681	California	US	03/24/2020	37.55862499	-120.9970722	16	0	0	Stanislaus
2681	California	US	03/25/2020	37.55862499	-120.9970722	17	0	0	Stanislaus
2680	California	US	03/26/2020	37.55862499	-120.9970722	18	0	0	Stanislaus
2680	California	US	03/27/2020	37.55862499	-120.9970722	19	0	0	Stanislaus
2680	California	US	03/28/2020	37.55862499	-120.9970722	37	0	0	Stanislaus
2680	California	US	03/29/2020	37.55862499	-120.9970722	22	0	0	Stanislaus
2680	California	US	03/30/2020	37.55862499	-120.9970722	31	0	0	Stanislaus
1809	California	US	03/31/2020	37.55862499	-120.9970722	31	0	0	Stanislaus
1853	California	US	04/01/2020	37.55862499	-120.9970722	32	0	0	Stanislaus
1920	California	US	04/02/2020	37.55862499	-120.9970722	43	0	0	Stanislaus
1965	California	US	04/03/2020	37.55862499	-120.9970722	51	0	0	Stanislaus
2012	California	US	04/04/2020	37.55862499	-120.9970722	54	0	0	Stanislaus
2083	California	US	04/05/2020	37.55862499	-120.9970722	54	0	0	Stanislaus
2117	California	US	04/06/2020	37.55862499	-120.9970722	75	0	0	Stanislaus
2161	California	US	04/07/2020	37.55862499	-120.9970722	86	0	0	Stanislaus
2182	California	US	04/08/2020	37.55862499	-120.9970722	89	0	0	Stanislaus
2206	California	US	04/09/2020	37.55862499	-120.9970722	96	0	0	Stanislaus
2229	California	US	04/10/2020	37.55862499	-120.9970722	104	0	0	Stanislaus
2254	California	US	04/11/2020	37.55862499	-120.9970722	122	1	0	Stanislaus
2271	California	US	04/12/2020	37.55862499	-120.9970722	121	1	0	Stanislaus
2285	California	US	04/13/2020	37.55862499	-120.9970722	134	1	0	Stanislaus
2294	California	US	04/14/2020	37.55862499	-120.9970722	140	3	0	Stanislaus
2306	California	US	04/15/2020	37.55862499	-120.9970722	178	3	0	Stanislaus
2319	California	US	04/16/2020	37.55862499	-120.9970722	189	3	0	Stanislaus
2322	California	US	04/17/2020	37.55862499	-120.9970722	205	3	0	Stanislaus
2329	California	US	04/18/2020	37.55862499	-120.9970722	220	3	0	Stanislaus
2344	California	US	04/19/2020	37.55862499	-120.9970722	225	3	0	Stanislaus
2352	California	US	04/20/2020	37.55862499	-120.9970722	232	3	0	Stanislaus
2361	California	US	04/21/2020	37.55862499	-120.9970722	239	4	0	Stanislaus
2368	California	US	04/22/2020	37.55862499	-120.9970722	251	4	0	Stanislaus
2384	California	US	04/23/2020	37.55862499	-120.9970722	258	4	0	Stanislaus
2389	California	US	04/24/2020	37.55862499	-120.9970722	277	4	0	Stanislaus
2394	California	US	04/25/2020	37.55862499	-120.9970722	280	4	0	Stanislaus
2402	California	US	04/26/2020	37.55862499	-120.9970722	298	4	0	Stanislaus
2409	California	US	04/27/2020	37.55862499	-120.9970722	320	5	0	Stanislaus
2418	California	US	04/28/2020	37.55862499	-120.9970722	334	5	0	Stanislaus
2422	California	US	04/29/2020	37.55862499	-120.9970722	378	5	0	Stanislaus
2428	California	US	04/30/2020	37.55862499	-120.9970722	382	7	0	Stanislaus
2439	California	US	05/01/2020	37.55862499	-120.9970722	388	8	0	Stanislaus
2442	California	US	05/02/2020	37.55862499	-120.9970722	392	8	0	Stanislaus
2446	California	US	05/03/2020	37.55862499	-120.9970722	415	8	0	Stanislaus
2449	California	US	05/04/2020	37.55862499	-120.9970722	426	8	0	Stanislaus
