	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1298	California	US	03/22/2020	39.03417539	-121.6945899	0	0	0	Sutter
2747	California	US	03/23/2020	39.03417539	-121.6945899	0	0	0	Sutter
2747	California	US	03/24/2020	39.03417539	-121.6945899	0	0	0	Sutter
2747	California	US	03/25/2020	39.03417539	-121.6945899	1	0	0	Sutter
2746	California	US	03/26/2020	39.03417539	-121.6945899	2	0	0	Sutter
2746	California	US	03/27/2020	39.03417539	-121.6945899	2	0	0	Sutter
2746	California	US	03/28/2020	39.03417539	-121.6945899	6	0	0	Sutter
2746	California	US	03/29/2020	39.03417539	-121.6945899	6	0	0	Sutter
2746	California	US	03/30/2020	39.03417539	-121.6945899	6	0	0	Sutter
1854	California	US	03/31/2020	39.03417539	-121.6945899	8	0	0	Sutter
1900	California	US	04/01/2020	39.03417539	-121.6945899	9	1	0	Sutter
1968	California	US	04/02/2020	39.03417539	-121.6945899	10	1	0	Sutter
2012	California	US	04/03/2020	39.03417539	-121.6945899	12	1	0	Sutter
2062	California	US	04/04/2020	39.03417539	-121.6945899	14	1	0	Sutter
2134	California	US	04/05/2020	39.03417539	-121.6945899	14	1	0	Sutter
2169	California	US	04/06/2020	39.03417539	-121.6945899	14	2	0	Sutter
2213	California	US	04/07/2020	39.03417539	-121.6945899	16	2	0	Sutter
2236	California	US	04/08/2020	39.03417539	-121.6945899	17	2	0	Sutter
2261	California	US	04/09/2020	39.03417539	-121.6945899	17	2	0	Sutter
2285	California	US	04/10/2020	39.03417539	-121.6945899	18	2	0	Sutter
2310	California	US	04/11/2020	39.03417539	-121.6945899	18	2	0	Sutter
2330	California	US	04/12/2020	39.03417539	-121.6945899	18	2	0	Sutter
2344	California	US	04/13/2020	39.03417539	-121.6945899	18	2	0	Sutter
2353	California	US	04/14/2020	39.03417539	-121.6945899	19	2	0	Sutter
2365	California	US	04/15/2020	39.03417539	-121.6945899	19	2	0	Sutter
2378	California	US	04/16/2020	39.03417539	-121.6945899	21	2	0	Sutter
2381	California	US	04/17/2020	39.03417539	-121.6945899	20	2	0	Sutter
2388	California	US	04/18/2020	39.03417539	-121.6945899	21	2	0	Sutter
2403	California	US	04/19/2020	39.03417539	-121.6945899	21	2	0	Sutter
2411	California	US	04/20/2020	39.03417539	-121.6945899	22	2	0	Sutter
2420	California	US	04/21/2020	39.03417539	-121.6945899	22	2	0	Sutter
2427	California	US	04/22/2020	39.03417539	-121.6945899	22	2	0	Sutter
2444	California	US	04/23/2020	39.03417539	-121.6945899	24	2	0	Sutter
2450	California	US	04/24/2020	39.03417539	-121.6945899	24	2	0	Sutter
2455	California	US	04/25/2020	39.03417539	-121.6945899	24	2	0	Sutter
2463	California	US	04/26/2020	39.03417539	-121.6945899	26	2	0	Sutter
2470	California	US	04/27/2020	39.03417539	-121.6945899	26	2	0	Sutter
2479	California	US	04/28/2020	39.03417539	-121.6945899	25	2	0	Sutter
2483	California	US	04/29/2020	39.03417539	-121.6945899	28	2	0	Sutter
2489	California	US	04/30/2020	39.03417539	-121.6945899	28	2	0	Sutter
2500	California	US	05/01/2020	39.03417539	-121.6945899	28	2	0	Sutter
2503	California	US	05/02/2020	39.03417539	-121.6945899	28	2	0	Sutter
2507	California	US	05/03/2020	39.03417539	-121.6945899	28	2	0	Sutter
2510	California	US	05/04/2020	39.03417539	-121.6945899	28	2	0	Sutter
2518	California	US	05/05/2020	39.03417539	-121.6945899	29	2	0	Sutter
2523	California	US	05/06/2020	39.03417539	-121.6945899	29	2	0	Sutter
2529	California	US	05/07/2020	39.03417539	-121.6945899	29	2	0	Sutter
2536	California	US	05/08/2020	39.03417539	-121.6945899	30	2	0	Sutter
2537	California	US	05/09/2020	39.03417539	-121.6945899	31	2	0	Sutter
2539	California	US	05/10/2020	39.03417539	-121.6945899	31	2	0	Sutter
2539	California	US	05/11/2020	39.03417539	-121.6945899	32	2	0	Sutter
2542	California	US	05/12/2020	39.03417539	-121.6945899	33	2	0	Sutter
2543	California	US	05/13/2020	39.03417539	-121.6945899	33	2	0	Sutter
2544	California	US	05/14/2020	39.03417539	-121.6945899	34	2	0	Sutter
2548	California	US	05/15/2020	39.03417539	-121.6945899	35	2	0	Sutter
2552	California	US	05/16/2020	39.03417539	-121.6945899	35	2	0	Sutter
2555	California	US	05/17/2020	39.03417539	-121.6945899	38	2	0	Sutter
2557	California	US	05/18/2020	39.03417539	-121.6945899	38	2	0	Sutter
2561	California	US	05/19/2020	39.03417539	-121.6945899	38	2	0	Sutter
2567	California	US	05/20/2020	39.03417539	-121.6945899	38	2	0	Sutter
2568	California	US	05/21/2020	39.03417539	-121.6945899	38	2	0	Sutter
2574	California	US	05/22/2020	39.03417539	-121.6945899	38	2	0	Sutter
2576	California	US	05/23/2020	39.03417539	-121.6945899	38	2	0	Sutter
2579	California	US	05/24/2020	39.03417539	-121.6945899	38	2	0	Sutter
2580	California	US	05/25/2020	39.03417539	-121.6945899	38	2	0	Sutter
2581	California	US	05/26/2020	39.03417539	-121.6945899	39	2	0	Sutter
2584	California	US	05/27/2020	39.03417539	-121.6945899	40	2	0	Sutter
2587	California	US	05/28/2020	39.03417539	-121.6945899	40	2	0	Sutter
2590	California	US	05/29/2020	39.03417539	-121.6945899	40	2	0	Sutter
2592	California	US	05/30/2020	39.03417539	-121.6945899	40	2	0	Sutter
2593	California	US	05/31/2020	39.03417539	-121.6945899	42	2	0	Sutter
2595	California	US	06/01/2020	39.03417539	-121.6945899	43	2	0	Sutter
2600	California	US	06/02/2020	39.03417539	-121.6945899	43	2	0	Sutter
2602	California	US	06/03/2020	39.03417539	-121.6945899	45	2	0	Sutter
2603	California	US	06/04/2020	39.03417539	-121.6945899	46	2	0	Sutter
2606	California	US	06/05/2020	39.03417539	-121.6945899	49	2	0	Sutter
2608	California	US	06/06/2020	39.03417539	-121.6945899	51	2	0	Sutter
2608	California	US	06/07/2020	39.03417539	-121.6945899	55	2	0	Sutter
2608	California	US	06/08/2020	39.03417539	-121.6945899	55	2	0	Sutter
2610	California	US	06/09/2020	39.03417539	-121.6945899	56	2	0	Sutter
2612	California	US	06/10/2020	39.03417539	-121.6945899	56	2	0	Sutter
2614	California	US	06/11/2020	39.03417539	-121.6945899	56	2	0	Sutter
2628	California	US	06/12/2020	39.03417539	-121.6945899	56	2	0	Sutter
2631	California	US	06/13/2020	39.03417539	-121.6945899	62	2	0	Sutter
2631	California	US	06/14/2020	39.03417539	-121.6945899	63	2	0	Sutter
2635	California	US	06/15/2020	39.03417539	-121.6945899	71	2	0	Sutter
2633	California	US	06/16/2020	39.03417539	-121.6945899	73	2	0	Sutter
2635	California	US	06/17/2020	39.03417539	-121.6945899	79	2	0	Sutter
2635	California	US	06/18/2020	39.03417539	-121.6945899	85	2	0	Sutter
2635	California	US	06/19/2020	39.03417539	-121.6945899	89	2	0	Sutter
2639	California	US	06/20/2020	39.03417539	-121.6945899	89	2	0	Sutter
2639	California	US	06/21/2020	39.03417539	-121.6945899	96	2	0	Sutter
