	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
117	California	US	03/22/2020	36.22026558	-118.8020203	7	0	0	Tulare
2838	California	US	03/23/2020	36.22026558	-118.8020203	11	0	0	Tulare
2838	California	US	03/24/2020	36.22026558	-118.8020203	12	0	0	Tulare
2838	California	US	03/25/2020	36.22026558	-118.8020203	13	0	0	Tulare
2837	California	US	03/26/2020	36.22026558	-118.8020203	17	0	0	Tulare
2837	California	US	03/27/2020	36.22026558	-118.8020203	17	0	0	Tulare
2837	California	US	03/28/2020	36.22026558	-118.8020203	48	0	0	Tulare
2837	California	US	03/29/2020	36.22026558	-118.8020203	26	1	0	Tulare
2837	California	US	03/30/2020	36.22026558	-118.8020203	42	1	0	Tulare
1911	California	US	03/31/2020	36.22026558	-118.8020203	44	1	0	Tulare
1957	California	US	04/01/2020	36.22026558	-118.8020203	48	1	0	Tulare
2026	California	US	04/02/2020	36.22026558	-118.8020203	69	1	0	Tulare
2074	California	US	04/03/2020	36.22026558	-118.8020203	78	3	0	Tulare
2127	California	US	04/04/2020	36.22026558	-118.8020203	84	4	0	Tulare
2199	California	US	04/05/2020	36.22026558	-118.8020203	86	4	0	Tulare
2236	California	US	04/06/2020	36.22026558	-118.8020203	131	5	0	Tulare
2282	California	US	04/07/2020	36.22026558	-118.8020203	149	5	0	Tulare
2305	California	US	04/08/2020	36.22026558	-118.8020203	150	6	0	Tulare
2331	California	US	04/09/2020	36.22026558	-118.8020203	152	9	0	Tulare
2355	California	US	04/10/2020	36.22026558	-118.8020203	168	10	0	Tulare
2380	California	US	04/11/2020	36.22026558	-118.8020203	173	10	0	Tulare
2402	California	US	04/12/2020	36.22026558	-118.8020203	171	11	0	Tulare
2416	California	US	04/13/2020	36.22026558	-118.8020203	190	11	0	Tulare
2426	California	US	04/14/2020	36.22026558	-118.8020203	233	12	0	Tulare
2438	California	US	04/15/2020	36.22026558	-118.8020203	294	14	0	Tulare
2451	California	US	04/16/2020	36.22026558	-118.8020203	310	16	0	Tulare
2454	California	US	04/17/2020	36.22026558	-118.8020203	375	17	0	Tulare
2461	California	US	04/18/2020	36.22026558	-118.8020203	390	17	0	Tulare
2478	California	US	04/19/2020	36.22026558	-118.8020203	396	17	0	Tulare
2486	California	US	04/20/2020	36.22026558	-118.8020203	406	20	0	Tulare
2495	California	US	04/21/2020	36.22026558	-118.8020203	415	23	0	Tulare
2502	California	US	04/22/2020	36.22026558	-118.8020203	430	23	0	Tulare
2519	California	US	04/23/2020	36.22026558	-118.8020203	445	25	0	Tulare
2525	California	US	04/24/2020	36.22026558	-118.8020203	464	27	0	Tulare
