	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1301	California	US	03/22/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2841	California	US	03/23/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2841	California	US	03/24/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2841	California	US	03/25/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2840	California	US	03/26/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2840	California	US	03/27/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2840	California	US	03/28/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2840	California	US	03/29/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2840	California	US	03/30/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
1914	California	US	03/31/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
1960	California	US	04/01/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2029	California	US	04/02/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2077	California	US	04/03/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2130	California	US	04/04/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2202	California	US	04/05/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2239	California	US	04/06/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2285	California	US	04/07/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2308	California	US	04/08/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2334	California	US	04/09/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2358	California	US	04/10/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2383	California	US	04/11/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2405	California	US	04/12/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2419	California	US	04/13/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2429	California	US	04/14/2020	38.02644018	-119.9525093	0	0	0	Tuolumne
2441	California	US	04/15/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2454	California	US	04/16/2020	38.02644018	-119.9525093	1	0	0	Tuolumne
2457	California	US	04/17/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2464	California	US	04/18/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2481	California	US	04/19/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2489	California	US	04/20/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2498	California	US	04/21/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2505	California	US	04/22/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2522	California	US	04/23/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2528	California	US	04/24/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2533	California	US	04/25/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2541	California	US	04/26/2020	38.02644018	-119.9525093	3	0	0	Tuolumne
2548	California	US	04/27/2020	38.02644018	-119.9525093	3	0	0	Tuolumne
2557	California	US	04/28/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2562	California	US	04/29/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2568	California	US	04/30/2020	38.02644018	-119.9525093	3	0	0	Tuolumne
2579	California	US	05/01/2020	38.02644018	-119.9525093	3	0	0	Tuolumne
2582	California	US	05/02/2020	38.02644018	-119.9525093	3	0	0	Tuolumne
2587	California	US	05/03/2020	38.02644018	-119.9525093	3	0	0	Tuolumne
2590	California	US	05/04/2020	38.02644018	-119.9525093	3	0	0	Tuolumne
2598	California	US	05/05/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2604	California	US	05/06/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2611	California	US	05/07/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2618	California	US	05/08/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2620	California	US	05/09/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2622	California	US	05/10/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2622	California	US	05/11/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2625	California	US	05/12/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2626	California	US	05/13/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2628	California	US	05/14/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2633	California	US	05/15/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2637	California	US	05/16/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2640	California	US	05/17/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2642	California	US	05/18/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2646	California	US	05/19/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2652	California	US	05/20/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2654	California	US	05/21/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2661	California	US	05/22/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2663	California	US	05/23/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2666	California	US	05/24/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2667	California	US	05/25/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2668	California	US	05/26/2020	38.02644018	-119.9525093	2	0	0	Tuolumne
2671	California	US	05/27/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2674	California	US	05/28/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2677	California	US	05/29/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2679	California	US	05/30/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2680	California	US	05/31/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2682	California	US	06/01/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2687	California	US	06/02/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2689	California	US	06/03/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2690	California	US	06/04/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2694	California	US	06/05/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2696	California	US	06/06/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2696	California	US	06/07/2020	38.02644018	-119.9525093	4	0	0	Tuolumne
2696	California	US	06/08/2020	38.02644018	-119.9525093	8	0	0	Tuolumne
2698	California	US	06/09/2020	38.02644018	-119.9525093	8	0	0	Tuolumne
2700	California	US	06/10/2020	38.02644018	-119.9525093	7	0	0	Tuolumne
2702	California	US	06/11/2020	38.02644018	-119.9525093	7	0	0	Tuolumne
2716	California	US	06/12/2020	38.02644018	-119.9525093	7	0	0	Tuolumne
2719	California	US	06/13/2020	38.02644018	-119.9525093	7	0	0	Tuolumne
2719	California	US	06/14/2020	38.02644018	-119.9525093	7	0	0	Tuolumne
2723	California	US	06/15/2020	38.02644018	-119.9525093	7	0	0	Tuolumne
2721	California	US	06/16/2020	38.02644018	-119.9525093	7	0	0	Tuolumne
2723	California	US	06/17/2020	38.02644018	-119.9525093	7	0	0	Tuolumne
2723	California	US	06/18/2020	38.02644018	-119.9525093	8	0	0	Tuolumne
2724	California	US	06/19/2020	38.02644018	-119.9525093	8	0	0	Tuolumne
2728	California	US	06/20/2020	38.02644018	-119.9525093	8	0	0	Tuolumne
2728	California	US	06/21/2020	38.02644018	-119.9525093	8	0	0	Tuolumne
2731	California	US	06/22/2020	38.02644018	-119.9525093	8	0	0	Tuolumne
2736	California	US	06/23/2020	38.02644018	-119.9525093	9	0	0	Tuolumne
2748	California	US	06/24/2020	38.02644018	-119.9525093	10	0	0	Tuolumne
2753	California	US	06/25/2020	38.02644018	-119.9525093	11	0	0	Tuolumne
2754	California	US	06/26/2020	38.02644018	-119.9525093	12	0	0	Tuolumne
2755	California	US	06/27/2020	38.02644018	-119.9525093	15	0	0	Tuolumne
2755	California	US	06/28/2020	38.02644018	-119.9525093	16	0	0	Tuolumne
2757	California	US	06/29/2020	38.02644018	-119.9525093	18	0	0	Tuolumne
2759	California	US	06/30/2020	38.02644018	-119.9525093	18	0	0	Tuolumne
2761	California	US	07/01/2020	38.02644018	-119.9525093	19	0	0	Tuolumne
2764	California	US	07/02/2020	38.02644018	-119.9525093	25	0	0	Tuolumne
2769	California	US	07/03/2020	38.02644018	-119.9525093	30	0	0	Tuolumne
2770	California	US	07/04/2020	38.02644018	-119.9525093	33	0	0	Tuolumne
2771	California	US	07/05/2020	38.02644018	-119.9525093	33	0	0	Tuolumne
2774	California	US	07/06/2020	38.02644018	-119.9525093	33	0	0	Tuolumne
2775	California	US	07/07/2020	38.02644018	-119.9525093	43	0	0	Tuolumne
2778	California	US	07/08/2020	38.02644018	-119.9525093	45	0	0	Tuolumne
2777	California	US	07/09/2020	38.02644018	-119.9525093	50	0	0	Tuolumne
2781	California	US	07/10/2020	38.02644018	-119.9525093	52	0	0	Tuolumne
2782	California	US	07/11/2020	38.02644018	-119.9525093	53	0	0	Tuolumne
2784	California	US	07/12/2020	38.02644018	-119.9525093	55	0	0	Tuolumne
2786	California	US	07/13/2020	38.02644018	-119.9525093	59	0	0	Tuolumne
2791	California	US	07/14/2020	38.02644018	-119.9525093	71	0	0	Tuolumne
2792	California	US	07/15/2020	38.02644018	-119.9525093	71	0	0	Tuolumne
2794	California	US	07/16/2020	38.02644018	-119.9525093	74	0	0	Tuolumne
