	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
119	California	US	03/22/2020	38.68278902	-121.9018288	6	0	0	Yolo
3156	California	US	03/23/2020	38.68278902	-121.9018288	8	0	0	Yolo
3155	California	US	03/24/2020	38.68278902	-121.9018288	8	0	0	Yolo
3155	California	US	03/25/2020	38.68278902	-121.9018288	9	1	0	Yolo
3152	California	US	03/26/2020	38.68278902	-121.9018288	13	1	0	Yolo
3159	California	US	03/27/2020	38.68278902	-121.9018288	13	1	0	Yolo
3156	California	US	03/28/2020	38.68278902	-121.9018288	26	2	0	Yolo
3160	California	US	03/29/2020	38.68278902	-121.9018288	13	1	0	Yolo
3164	California	US	03/30/2020	38.68278902	-121.9018288	17	1	0	Yolo
2162	California	US	03/31/2020	38.68278902	-121.9018288	21	1	0	Yolo
2211	California	US	04/01/2020	38.68278902	-121.9018288	22	1	0	Yolo
2294	California	US	04/02/2020	38.68278902	-121.9018288	29	1	0	Yolo
2348	California	US	04/03/2020	38.68278902	-121.9018288	33	1	0	Yolo
2401	California	US	04/04/2020	38.68278902	-121.9018288	40	2	0	Yolo
2483	California	US	04/05/2020	38.68278902	-121.9018288	37	2	0	Yolo
2526	California	US	04/06/2020	38.68278902	-121.9018288	43	1	0	Yolo
2575	California	US	04/07/2020	38.68278902	-121.9018288	51	2	0	Yolo
2601	California	US	04/08/2020	38.68278902	-121.9018288	56	3	0	Yolo
2629	California	US	04/09/2020	38.68278902	-121.9018288	59	3	0	Yolo
2658	California	US	04/10/2020	38.68278902	-121.9018288	62	3	0	Yolo
2682	California	US	04/11/2020	38.68278902	-121.9018288	67	3	0	Yolo
2706	California	US	04/12/2020	38.68278902	-121.9018288	67	3	0	Yolo
2720	California	US	04/13/2020	38.68278902	-121.9018288	81	3	0	Yolo
2732	California	US	04/14/2020	38.68278902	-121.9018288	81	3	0	Yolo
2745	California	US	04/15/2020	38.68278902	-121.9018288	93	3	0	Yolo
2760	California	US	04/16/2020	38.68278902	-121.9018288	98	4	0	Yolo
2763	California	US	04/17/2020	38.68278902	-121.9018288	117	5	0	Yolo
2771	California	US	04/18/2020	38.68278902	-121.9018288	118	5	0	Yolo
2790	California	US	04/19/2020	38.68278902	-121.9018288	120	5	0	Yolo
2799	California	US	04/20/2020	38.68278902	-121.9018288	125	5	0	Yolo
2809	California	US	04/21/2020	38.68278902	-121.9018288	143	8	0	Yolo
2818	California	US	04/22/2020	38.68278902	-121.9018288	147	8	0	Yolo
2838	California	US	04/23/2020	38.68278902	-121.9018288	151	8	0	Yolo
2847	California	US	04/24/2020	38.68278902	-121.9018288	155	8	0	Yolo
2853	California	US	04/25/2020	38.68278902	-121.9018288	157	8	0	Yolo
2861	California	US	04/26/2020	38.68278902	-121.9018288	158	8	0	Yolo
2869	California	US	04/27/2020	38.68278902	-121.9018288	160	9	0	Yolo
2880	California	US	04/28/2020	38.68278902	-121.9018288	160	10	0	Yolo
2885	California	US	04/29/2020	38.68278902	-121.9018288	161	11	0	Yolo
2892	California	US	04/30/2020	38.68278902	-121.9018288	164	16	0	Yolo
2903	California	US	05/01/2020	38.68278902	-121.9018288	165	18	0	Yolo
2907	California	US	05/02/2020	38.68278902	-121.9018288	169	17	0	Yolo
2913	California	US	05/03/2020	38.68278902	-121.9018288	171	18	0	Yolo
2916	California	US	05/04/2020	38.68278902	-121.9018288	171	18	0	Yolo
2924	California	US	05/05/2020	38.68278902	-121.9018288	171	18	0	Yolo
2930	California	US	05/06/2020	38.68278902	-121.9018288	172	18	0	Yolo
2937	California	US	05/07/2020	38.68278902	-121.9018288	172	18	0	Yolo
2944	California	US	05/08/2020	38.68278902	-121.9018288	172	18	0	Yolo
2946	California	US	05/09/2020	38.68278902	-121.9018288	172	18	0	Yolo
2948	California	US	05/10/2020	38.68278902	-121.9018288	173	20	0	Yolo
2948	California	US	05/11/2020	38.68278902	-121.9018288	174	20	0	Yolo
2951	California	US	05/12/2020	38.68278902	-121.9018288	176	22	0	Yolo
2952	California	US	05/13/2020	38.68278902	-121.9018288	178	22	0	Yolo
2954	California	US	05/14/2020	38.68278902	-121.9018288	180	22	0	Yolo
2960	California	US	05/15/2020	38.68278902	-121.9018288	182	22	0	Yolo
2964	California	US	05/16/2020	38.68278902	-121.9018288	181	22	0	Yolo
2967	California	US	05/17/2020	38.68278902	-121.9018288	182	22	0	Yolo
2968	California	US	05/18/2020	38.68278902	-121.9018288	183	22	0	Yolo
2973	California	US	05/19/2020	38.68278902	-121.9018288	183	22	0	Yolo
2979	California	US	05/20/2020	38.68278902	-121.9018288	184	22	0	Yolo
2981	California	US	05/21/2020	38.68278902	-121.9018288	185	22	0	Yolo
2988	California	US	05/22/2020	38.68278902	-121.9018288	187	22	0	Yolo
2990	California	US	05/23/2020	38.68278902	-121.9018288	188	22	0	Yolo
2994	California	US	05/24/2020	38.68278902	-121.9018288	192	22	0	Yolo
2995	California	US	05/25/2020	38.68278902	-121.9018288	197	22	0	Yolo
2996	California	US	05/26/2020	38.68278902	-121.9018288	198	22	0	Yolo
3000	California	US	05/27/2020	38.68278902	-121.9018288	204	22	0	Yolo
3003	California	US	05/28/2020	38.68278902	-121.9018288	206	22	0	Yolo
3006	California	US	05/29/2020	38.68278902	-121.9018288	211	24	0	Yolo
3008	California	US	05/30/2020	38.68278902	-121.9018288	210	24	0	Yolo
3009	California	US	05/31/2020	38.68278902	-121.9018288	211	24	0	Yolo
3011	California	US	06/01/2020	38.68278902	-121.9018288	212	24	0	Yolo
3016	California	US	06/02/2020	38.68278902	-121.9018288	213	24	0	Yolo
3018	California	US	06/03/2020	38.68278902	-121.9018288	213	24	0	Yolo
3019	California	US	06/04/2020	38.68278902	-121.9018288	216	24	0	Yolo
3023	California	US	06/05/2020	38.68278902	-121.9018288	216	24	0	Yolo
3025	California	US	06/06/2020	38.68278902	-121.9018288	223	24	0	Yolo
3025	California	US	06/07/2020	38.68278902	-121.9018288	224	24	0	Yolo
3026	California	US	06/08/2020	38.68278902	-121.9018288	228	24	0	Yolo
3028	California	US	06/09/2020	38.68278902	-121.9018288	226	24	0	Yolo
3030	California	US	06/10/2020	38.68278902	-121.9018288	226	24	0	Yolo
3032	California	US	06/11/2020	38.68278902	-121.9018288	230	24	0	Yolo
3047	California	US	06/12/2020	38.68278902	-121.9018288	243	24	0	Yolo
3050	California	US	06/13/2020	38.68278902	-121.9018288	251	24	0	Yolo
3050	California	US	06/14/2020	38.68278902	-121.9018288	254	24	0	Yolo
3055	California	US	06/15/2020	38.68278902	-121.9018288	255	24	0	Yolo
3053	California	US	06/16/2020	38.68278902	-121.9018288	262	24	0	Yolo
3056	California	US	06/17/2020	38.68278902	-121.9018288	277	24	0	Yolo
3057	California	US	06/18/2020	38.68278902	-121.9018288	294	24	0	Yolo
3058	California	US	06/19/2020	38.68278902	-121.9018288	303	24	0	Yolo
3062	California	US	06/20/2020	38.68278902	-121.9018288	309	24	0	Yolo
3062	California	US	06/21/2020	38.68278902	-121.9018288	323	24	0	Yolo
3065	California	US	06/22/2020	38.68278902	-121.9018288	333	24	0	Yolo
3070	California	US	06/23/2020	38.68278902	-121.9018288	350	24	0	Yolo
3083	California	US	06/24/2020	38.68278902	-121.9018288	379	24	0	Yolo
3090	California	US	06/25/2020	38.68278902	-121.9018288	400	24	0	Yolo
3091	California	US	06/26/2020	38.68278902	-121.9018288	421	24	0	Yolo
3092	California	US	06/27/2020	38.68278902	-121.9018288	435	24	0	Yolo
