	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
129	California	US	03/22/2020	39.26255932	-121.3535644	2	0	0	Yuba
3163	California	US	03/23/2020	39.26255932	-121.3535644	2	0	0	Yuba
3162	California	US	03/24/2020	39.26255932	-121.3535644	2	0	0	Yuba
3162	California	US	03/25/2020	39.26255932	-121.3535644	2	0	0	Yuba
3159	California	US	03/26/2020	39.26255932	-121.3535644	3	0	0	Yuba
3166	California	US	03/27/2020	39.26255932	-121.3535644	3	0	0	Yuba
3163	California	US	03/28/2020	39.26255932	-121.3535644	6	0	0	Yuba
3167	California	US	03/29/2020	39.26255932	-121.3535644	3	0	0	Yuba
3171	California	US	03/30/2020	39.26255932	-121.3535644	5	0	0	Yuba
2169	California	US	03/31/2020	39.26255932	-121.3535644	5	0	0	Yuba
2218	California	US	04/01/2020	39.26255932	-121.3535644	5	0	0	Yuba
2301	California	US	04/02/2020	39.26255932	-121.3535644	5	0	0	Yuba
2355	California	US	04/03/2020	39.26255932	-121.3535644	6	0	0	Yuba
2408	California	US	04/04/2020	39.26255932	-121.3535644	7	0	0	Yuba
2490	California	US	04/05/2020	39.26255932	-121.3535644	7	0	0	Yuba
2533	California	US	04/06/2020	39.26255932	-121.3535644	8	0	0	Yuba
2582	California	US	04/07/2020	39.26255932	-121.3535644	10	0	0	Yuba
2608	California	US	04/08/2020	39.26255932	-121.3535644	10	0	0	Yuba
2636	California	US	04/09/2020	39.26255932	-121.3535644	13	0	0	Yuba
2665	California	US	04/10/2020	39.26255932	-121.3535644	13	1	0	Yuba
2689	California	US	04/11/2020	39.26255932	-121.3535644	13	1	0	Yuba
2713	California	US	04/12/2020	39.26255932	-121.3535644	13	1	0	Yuba
2727	California	US	04/13/2020	39.26255932	-121.3535644	13	1	0	Yuba
2739	California	US	04/14/2020	39.26255932	-121.3535644	14	1	0	Yuba
2752	California	US	04/15/2020	39.26255932	-121.3535644	15	1	0	Yuba
2767	California	US	04/16/2020	39.26255932	-121.3535644	14	1	0	Yuba
2770	California	US	04/17/2020	39.26255932	-121.3535644	14	1	0	Yuba
2778	California	US	04/18/2020	39.26255932	-121.3535644	14	1	0	Yuba
2797	California	US	04/19/2020	39.26255932	-121.3535644	15	1	0	Yuba
