	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1312	Colorado	US	03/22/2020	38.47362326	-105.4399667	0	0	0	Fremont
987	Colorado	US	03/23/2020	38.47362326	-105.4399667	0	0	0	Fremont
987	Colorado	US	03/24/2020	38.47362326	-105.4399667	0	0	0	Fremont
987	Colorado	US	03/25/2020	38.47362326	-105.4399667	1	0	0	Fremont
986	Colorado	US	03/26/2020	38.47362326	-105.4399667	1	0	0	Fremont
986	Colorado	US	03/27/2020	38.47362326	-105.4399667	1	0	0	Fremont
986	Colorado	US	03/28/2020	38.47362326	-105.4399667	1	0	0	Fremont
986	Colorado	US	03/29/2020	38.47362326	-105.4399667	1	0	0	Fremont
986	Colorado	US	03/30/2020	38.47362326	-105.4399667	1	0	0	Fremont
687	Colorado	US	03/31/2020	38.47362326	-105.4399667	2	0	0	Fremont
706	Colorado	US	04/01/2020	38.47362326	-105.4399667	2	0	0	Fremont
729	Colorado	US	04/02/2020	38.47362326	-105.4399667	2	0	0	Fremont
742	Colorado	US	04/03/2020	38.47362326	-105.4399667	2	0	0	Fremont
757	Colorado	US	04/04/2020	38.47362326	-105.4399667	2	0	0	Fremont
784	Colorado	US	04/05/2020	38.47362326	-105.4399667	3	0	0	Fremont
795	Colorado	US	04/06/2020	38.47362326	-105.4399667	3	0	0	Fremont
812	Colorado	US	04/07/2020	38.47362326	-105.4399667	4	0	0	Fremont
818	Colorado	US	04/08/2020	38.47362326	-105.4399667	4	0	0	Fremont
824	Colorado	US	04/09/2020	38.47362326	-105.4399667	4	0	0	Fremont
829	Colorado	US	04/10/2020	38.47362326	-105.4399667	5	0	0	Fremont
836	Colorado	US	04/11/2020	38.47362326	-105.4399667	5	0	0	Fremont
842	Colorado	US	04/12/2020	38.47362326	-105.4399667	7	0	0	Fremont
848	Colorado	US	04/13/2020	38.47362326	-105.4399667	8	0	0	Fremont
851	Colorado	US	04/14/2020	38.47362326	-105.4399667	8	0	0	Fremont
856	Colorado	US	04/15/2020	38.47362326	-105.4399667	8	0	0	Fremont
857	Colorado	US	04/16/2020	38.47362326	-105.4399667	9	0	0	Fremont
858	Colorado	US	04/17/2020	38.47362326	-105.4399667	9	0	0	Fremont
860	Colorado	US	04/18/2020	38.47362326	-105.4399667	9	0	0	Fremont
864	Colorado	US	04/19/2020	38.47362326	-105.4399667	10	0	0	Fremont
867	Colorado	US	04/20/2020	38.47362326	-105.4399667	10	0	0	Fremont
871	Colorado	US	04/21/2020	38.47362326	-105.4399667	11	0	0	Fremont
874	Colorado	US	04/22/2020	38.47362326	-105.4399667	19	0	0	Fremont
878	Colorado	US	04/23/2020	38.47362326	-105.4399667	19	0	0	Fremont
879	Colorado	US	04/24/2020	38.47362326	-105.4399667	19	0	0	Fremont
879	Colorado	US	04/25/2020	38.47362326	-105.4399667	20	0	0	Fremont
882	Colorado	US	04/26/2020	38.47362326	-105.4399667	22	0	0	Fremont
884	Colorado	US	04/27/2020	38.47362326	-105.4399667	22	0	0	Fremont
887	Colorado	US	04/28/2020	38.47362326	-105.4399667	22	0	0	Fremont
889	Colorado	US	04/29/2020	38.47362326	-105.4399667	22	0	0	Fremont
890	Colorado	US	04/30/2020	38.47362326	-105.4399667	22	0	0	Fremont
896	Colorado	US	05/01/2020	38.47362326	-105.4399667	22	0	0	Fremont
897	Colorado	US	05/02/2020	38.47362326	-105.4399667	22	0	0	Fremont
898	Colorado	US	05/03/2020	38.47362326	-105.4399667	22	0	0	Fremont
900	Colorado	US	05/04/2020	38.47362326	-105.4399667	22	0	0	Fremont
