	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1317	Colorado	US	03/22/2020	39.30497777	-102.6022199	0	0	0	Kit Carson
1519	Colorado	US	03/23/2020	39.30497777	-102.6022199	0	0	0	Kit Carson
1519	Colorado	US	03/24/2020	39.30497777	-102.6022199	0	0	0	Kit Carson
1519	Colorado	US	03/25/2020	39.30497777	-102.6022199	0	0	0	Kit Carson
1518	Colorado	US	03/26/2020	39.30497777	-102.6022199	1	0	0	Kit Carson
1518	Colorado	US	03/27/2020	39.30497777	-102.6022199	1	0	0	Kit Carson
1518	Colorado	US	03/28/2020	39.30497777	-102.6022199	2	0	0	Kit Carson
1518	Colorado	US	03/29/2020	39.30497777	-102.6022199	1	0	0	Kit Carson
1518	Colorado	US	03/30/2020	39.30497777	-102.6022199	1	0	0	Kit Carson
1019	Colorado	US	03/31/2020	39.30497777	-102.6022199	2	0	0	Kit Carson
1047	Colorado	US	04/01/2020	39.30497777	-102.6022199	2	0	0	Kit Carson
1088	Colorado	US	04/02/2020	39.30497777	-102.6022199	4	0	0	Kit Carson
1106	Colorado	US	04/03/2020	39.30497777	-102.6022199	4	0	0	Kit Carson
1132	Colorado	US	04/04/2020	39.30497777	-102.6022199	4	0	0	Kit Carson
1173	Colorado	US	04/05/2020	39.30497777	-102.6022199	5	0	0	Kit Carson
1189	Colorado	US	04/06/2020	39.30497777	-102.6022199	5	0	0	Kit Carson
1214	Colorado	US	04/07/2020	39.30497777	-102.6022199	5	0	0	Kit Carson
1229	Colorado	US	04/08/2020	39.30497777	-102.6022199	5	0	0	Kit Carson
1242	Colorado	US	04/09/2020	39.30497777	-102.6022199	5	0	0	Kit Carson
1249	Colorado	US	04/10/2020	39.30497777	-102.6022199	6	0	0	Kit Carson
1262	Colorado	US	04/11/2020	39.30497777	-102.6022199	6	0	0	Kit Carson
1271	Colorado	US	04/12/2020	39.30497777	-102.6022199	8	0	0	Kit Carson
1281	Colorado	US	04/13/2020	39.30497777	-102.6022199	8	0	0	Kit Carson
1287	Colorado	US	04/14/2020	39.30497777	-102.6022199	8	1	0	Kit Carson
1293	Colorado	US	04/15/2020	39.30497777	-102.6022199	8	1	0	Kit Carson
1296	Colorado	US	04/16/2020	39.30497777	-102.6022199	8	1	0	Kit Carson
1295	Colorado	US	04/17/2020	39.30497777	-102.6022199	13	1	0	Kit Carson
1300	Colorado	US	04/18/2020	39.30497777	-102.6022199	13	1	0	Kit Carson
1310	Colorado	US	04/19/2020	39.30497777	-102.6022199	18	1	0	Kit Carson
1314	Colorado	US	04/20/2020	39.30497777	-102.6022199	18	1	0	Kit Carson
1320	Colorado	US	04/21/2020	39.30497777	-102.6022199	18	1	0	Kit Carson
1324	Colorado	US	04/22/2020	39.30497777	-102.6022199	18	1	0	Kit Carson
1334	Colorado	US	04/23/2020	39.30497777	-102.6022199	18	1	0	Kit Carson
1336	Colorado	US	04/24/2020	39.30497777	-102.6022199	19	2	0	Kit Carson
1337	Colorado	US	04/25/2020	39.30497777	-102.6022199	19	2	0	Kit Carson
1343	Colorado	US	04/26/2020	39.30497777	-102.6022199	20	2	0	Kit Carson
1345	Colorado	US	04/27/2020	39.30497777	-102.6022199	20	2	0	Kit Carson
1350	Colorado	US	04/28/2020	39.30497777	-102.6022199	20	2	0	Kit Carson
1352	Colorado	US	04/29/2020	39.30497777	-102.6022199	20	2	0	Kit Carson
1358	Colorado	US	04/30/2020	39.30497777	-102.6022199	21	2	0	Kit Carson
1365	Colorado	US	05/01/2020	39.30497777	-102.6022199	21	2	0	Kit Carson
1369	Colorado	US	05/02/2020	39.30497777	-102.6022199	21	2	0	Kit Carson
1371	Colorado	US	05/03/2020	39.30497777	-102.6022199	21	2	0	Kit Carson
1373	Colorado	US	05/04/2020	39.30497777	-102.6022199	21	2	0	Kit Carson
