	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1326	Otero	0	US	0	37.9014485	-103.7173385	Colorado	0	03/22/2020
2165	Otero	0	US	0	37.9014485	-103.7173385	Colorado	0	03/23/2020
2165	Otero	0	US	0	37.9014485	-103.7173385	Colorado	0	03/24/2020
2165	Otero	0	US	0	37.9014485	-103.7173385	Colorado	0	03/25/2020
2164	Otero	1	US	0	37.9014485	-103.7173385	Colorado	0	03/26/2020
2164	Otero	1	US	0	37.9014485	-103.7173385	Colorado	0	03/27/2020
2164	Otero	2	US	0	37.9014485	-103.7173385	Colorado	0	03/28/2020
2164	Otero	3	US	0	37.9014485	-103.7173385	Colorado	0	03/29/2020
2164	Otero	3	US	0	37.9014485	-103.7173385	Colorado	0	03/30/2020
1470	Otero	3	US	0	37.9014485	-103.7173385	Colorado	0	03/31/2020
1508	Otero	3	US	0	37.9014485	-103.7173385	Colorado	0	04/01/2020
1566	Otero	3	US	0	37.9014485	-103.7173385	Colorado	0	04/02/2020
1599	Otero	3	US	0	37.9014485	-103.7173385	Colorado	0	04/03/2020
1638	Otero	3	US	0	37.9014485	-103.7173385	Colorado	0	04/04/2020
1691	Otero	3	US	0	37.9014485	-103.7173385	Colorado	0	04/05/2020
1717	Otero	4	US	0	37.9014485	-103.7173385	Colorado	0	04/06/2020
1755	Otero	4	US	0	37.9014485	-103.7173385	Colorado	0	04/07/2020
1771	Otero	4	US	0	37.9014485	-103.7173385	Colorado	0	04/08/2020
1791	Otero	4	US	0	37.9014485	-103.7173385	Colorado	0	04/09/2020
1805	Otero	5	US	0	37.9014485	-103.7173385	Colorado	0	04/10/2020
1823	Otero	5	US	0	37.9014485	-103.7173385	Colorado	0	04/11/2020
1836	Otero	5	US	0	37.9014485	-103.7173385	Colorado	0	04/12/2020
1850	Otero	5	US	0	37.9014485	-103.7173385	Colorado	0	04/13/2020
1857	Otero	5	US	0	37.9014485	-103.7173385	Colorado	0	04/14/2020
1867	Otero	5	US	0	37.9014485	-103.7173385	Colorado	0	04/15/2020
1875	Otero	5	US	0	37.9014485	-103.7173385	Colorado	0	04/16/2020
1877	Otero	5	US	0	37.9014485	-103.7173385	Colorado	0	04/17/2020
1883	Otero	6	US	0	37.9014485	-103.7173385	Colorado	0	04/18/2020
1894	Otero	6	US	0	37.9014485	-103.7173385	Colorado	0	04/19/2020
1901	Otero	6	US	0	37.9014485	-103.7173385	Colorado	0	04/20/2020
1909	Otero	7	US	0	37.9014485	-103.7173385	Colorado	0	04/21/2020
1916	Otero	7	US	0	37.9014485	-103.7173385	Colorado	0	04/22/2020
1927	Otero	7	US	0	37.9014485	-103.7173385	Colorado	0	04/23/2020
1932	Otero	8	US	1	37.9014485	-103.7173385	Colorado	0	04/24/2020
1936	Otero	8	US	1	37.9014485	-103.7173385	Colorado	0	04/25/2020
1942	Otero	8	US	1	37.9014485	-103.7173385	Colorado	0	04/26/2020
1945	Otero	8	US	1	37.9014485	-103.7173385	Colorado	0	04/27/2020
1952	Otero	8	US	1	37.9014485	-103.7173385	Colorado	0	04/28/2020
