	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1327	Colorado	US	03/22/2020	38.14717457	-107.7675136	0	0	0	Ouray
2177	Colorado	US	03/23/2020	38.14717457	-107.7675136	0	0	0	Ouray
2177	Colorado	US	03/24/2020	38.14717457	-107.7675136	0	0	0	Ouray
2177	Colorado	US	03/25/2020	38.14717457	-107.7675136	0	0	0	Ouray
2176	Colorado	US	03/26/2020	38.14717457	-107.7675136	0	0	0	Ouray
2176	Colorado	US	03/27/2020	38.14717457	-107.7675136	0	0	0	Ouray
2176	Colorado	US	03/28/2020	38.14717457	-107.7675136	0	0	0	Ouray
2176	Colorado	US	03/29/2020	38.14717457	-107.7675136	0	0	0	Ouray
2176	Colorado	US	03/30/2020	38.14717457	-107.7675136	0	0	0	Ouray
1703	Colorado	US	04/05/2020	38.14717457	-107.7675136	5	1	0	Ouray
1729	Colorado	US	04/06/2020	38.14717457	-107.7675136	5	1	0	Ouray
1767	Colorado	US	04/07/2020	38.14717457	-107.7675136	5	1	0	Ouray
1783	Colorado	US	04/08/2020	38.14717457	-107.7675136	6	1	0	Ouray
1803	Colorado	US	04/09/2020	38.14717457	-107.7675136	6	1	0	Ouray
1817	Colorado	US	04/10/2020	38.14717457	-107.7675136	6	1	0	Ouray
1835	Colorado	US	04/11/2020	38.14717457	-107.7675136	6	1	0	Ouray
1848	Colorado	US	04/12/2020	38.14717457	-107.7675136	6	1	0	Ouray
1862	Colorado	US	04/13/2020	38.14717457	-107.7675136	6	1	0	Ouray
1869	Colorado	US	04/14/2020	38.14717457	-107.7675136	6	1	0	Ouray
1879	Colorado	US	04/15/2020	38.14717457	-107.7675136	6	1	0	Ouray
1887	Colorado	US	04/16/2020	38.14717457	-107.7675136	6	1	0	Ouray
1889	Colorado	US	04/17/2020	38.14717457	-107.7675136	6	1	0	Ouray
1895	Colorado	US	04/18/2020	38.14717457	-107.7675136	6	1	0	Ouray
1906	Colorado	US	04/19/2020	38.14717457	-107.7675136	6	1	0	Ouray
1913	Colorado	US	04/20/2020	38.14717457	-107.7675136	6	1	0	Ouray
1921	Colorado	US	04/21/2020	38.14717457	-107.7675136	6	1	0	Ouray
1928	Colorado	US	04/22/2020	38.14717457	-107.7675136	6	1	0	Ouray
1939	Colorado	US	04/23/2020	38.14717457	-107.7675136	6	1	0	Ouray
1944	Colorado	US	04/24/2020	38.14717457	-107.7675136	6	1	0	Ouray
1948	Colorado	US	04/25/2020	38.14717457	-107.7675136	6	1	0	Ouray
