	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1329	Colorado	US	03/22/2020	37.95544985	-102.3926052	0	0	0	Prowers
2352	Colorado	US	03/23/2020	37.95544985	-102.3926052	0	0	0	Prowers
2352	Colorado	US	03/24/2020	37.95544985	-102.3926052	0	0	0	Prowers
2352	Colorado	US	03/25/2020	37.95544985	-102.3926052	0	0	0	Prowers
2351	Colorado	US	03/26/2020	37.95544985	-102.3926052	0	0	0	Prowers
2351	Colorado	US	03/27/2020	37.95544985	-102.3926052	0	0	0	Prowers
2351	Colorado	US	03/28/2020	37.95544985	-102.3926052	0	0	0	Prowers
2351	Colorado	US	03/29/2020	37.95544985	-102.3926052	0	0	0	Prowers
2351	Colorado	US	03/30/2020	37.95544985	-102.3926052	0	0	0	Prowers
1960	Colorado	US	04/10/2020	37.95544985	-102.3926052	1	0	0	Prowers
1984	Colorado	US	04/11/2020	37.95544985	-102.3926052	1	0	0	Prowers
1997	Colorado	US	04/12/2020	37.95544985	-102.3926052	1	0	0	Prowers
2011	Colorado	US	04/13/2020	37.95544985	-102.3926052	1	0	0	Prowers
2019	Colorado	US	04/14/2020	37.95544985	-102.3926052	1	0	0	Prowers
2030	Colorado	US	04/15/2020	37.95544985	-102.3926052	1	0	0	Prowers
2039	Colorado	US	04/16/2020	37.95544985	-102.3926052	1	0	0	Prowers
2041	Colorado	US	04/17/2020	37.95544985	-102.3926052	1	0	0	Prowers
2047	Colorado	US	04/18/2020	37.95544985	-102.3926052	1	0	0	Prowers
2060	Colorado	US	04/19/2020	37.95544985	-102.3926052	1	0	0	Prowers
2067	Colorado	US	04/20/2020	37.95544985	-102.3926052	1	0	0	Prowers
2076	Colorado	US	04/21/2020	37.95544985	-102.3926052	1	0	0	Prowers
2083	Colorado	US	04/22/2020	37.95544985	-102.3926052	1	0	0	Prowers
2096	Colorado	US	04/23/2020	37.95544985	-102.3926052	1	0	0	Prowers
2101	Colorado	US	04/24/2020	37.95544985	-102.3926052	1	0	0	Prowers
2106	Colorado	US	04/25/2020	37.95544985	-102.3926052	1	0	0	Prowers
2112	Colorado	US	04/26/2020	37.95544985	-102.3926052	1	0	0	Prowers
