	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1333	Colorado	US	03/22/2020	37.76248981	-107.6763289	0	0	0	San Juan
2512	Colorado	US	03/23/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2512	Colorado	US	03/24/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2512	Colorado	US	03/25/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2511	Colorado	US	03/26/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2511	Colorado	US	03/27/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2511	Colorado	US	03/28/2020	37.76248981	-107.6763289	0	0	0	San Juan
2511	Colorado	US	03/29/2020	37.76248981	-107.6763289	0	0	0	San Juan
2511	Colorado	US	03/30/2020	37.76248981	-107.6763289	0	0	0	San Juan
2250	Colorado	US	04/26/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2256	Colorado	US	04/27/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2265	Colorado	US	04/28/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2268	Colorado	US	04/29/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2274	Colorado	US	04/30/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2285	Colorado	US	05/01/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2289	Colorado	US	05/02/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2293	Colorado	US	05/03/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2296	Colorado	US	05/04/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2303	Colorado	US	05/05/2020	37.76248981	-107.67632890000002	0	0	0	San Juan
2308	Colorado	US	05/06/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2312	Colorado	US	05/07/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2319	Colorado	US	05/08/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2320	Colorado	US	05/09/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2322	Colorado	US	05/10/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2322	Colorado	US	05/11/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2325	Colorado	US	05/12/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2326	Colorado	US	05/13/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2327	Colorado	US	05/14/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2331	Colorado	US	05/15/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2336	Colorado	US	05/16/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2338	Colorado	US	05/17/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2340	Colorado	US	05/18/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2343	Colorado	US	05/19/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2349	Colorado	US	05/20/2020	37.76248981	-107.67632890000002	2	0	0	San Juan
2350	Colorado	US	05/21/2020	37.76248981	-107.67632890000002	2	0	0	San Juan
2354	Colorado	US	05/22/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2356	Colorado	US	05/23/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
2359	Colorado	US	05/24/2020	37.76248981	-107.67632890000002	1	0	0	San Juan
