	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
448	Colorado	US	03/22/2020	38.00450883	-108.4020725	1	0	0	San Miguel
2518	Colorado	US	03/23/2020	38.00450883	-108.4020725	1	0	0	San Miguel
2518	Colorado	US	03/24/2020	38.00450883	-108.4020725	1	0	0	San Miguel
2518	Colorado	US	03/25/2020	38.00450883	-108.4020725	1	0	0	San Miguel
2517	Colorado	US	03/26/2020	38.00450883	-108.4020725	1	0	0	San Miguel
2517	Colorado	US	03/27/2020	38.00450883	-108.4020725	1	0	0	San Miguel
2517	Colorado	US	03/28/2020	38.00450883	-108.4020725	1	0	0	San Miguel
2517	Colorado	US	03/29/2020	38.00450883	-108.4020725	1	0	0	San Miguel
2517	Colorado	US	03/30/2020	38.00450883	-108.4020725	1	0	0	San Miguel
1693	Colorado	US	03/31/2020	38.00450883	-108.4020725	4	0	0	San Miguel
1735	Colorado	US	04/01/2020	38.00450883	-108.4020725	4	0	0	San Miguel
1800	Colorado	US	04/02/2020	38.00450883	-108.4020725	4	0	0	San Miguel
1844	Colorado	US	04/03/2020	38.00450883	-108.4020725	7	0	0	San Miguel
1890	Colorado	US	04/04/2020	38.00450883	-108.4020725	9	0	0	San Miguel
1956	Colorado	US	04/05/2020	38.00450883	-108.4020725	10	0	0	San Miguel
1989	Colorado	US	04/06/2020	38.00450883	-108.4020725	10	0	0	San Miguel
2030	Colorado	US	04/07/2020	38.00450883	-108.4020725	10	0	0	San Miguel
2050	Colorado	US	04/08/2020	38.00450883	-108.4020725	10	0	0	San Miguel
2073	Colorado	US	04/09/2020	38.00450883	-108.4020725	10	0	0	San Miguel
2092	Colorado	US	04/10/2020	38.00450883	-108.4020725	11	0	0	San Miguel
2116	Colorado	US	04/11/2020	38.00450883	-108.4020725	11	0	0	San Miguel
2133	Colorado	US	04/12/2020	38.00450883	-108.4020725	12	0	0	San Miguel
2147	Colorado	US	04/13/2020	38.00450883	-108.4020725	12	0	0	San Miguel
2155	Colorado	US	04/14/2020	38.00450883	-108.4020725	12	0	0	San Miguel
2167	Colorado	US	04/15/2020	38.00450883	-108.4020725	12	0	0	San Miguel
2179	Colorado	US	04/16/2020	38.00450883	-108.4020725	12	0	0	San Miguel
2181	Colorado	US	04/17/2020	38.00450883	-108.4020725	12	0	0	San Miguel
2188	Colorado	US	04/18/2020	38.00450883	-108.4020725	13	0	0	San Miguel
2201	Colorado	US	04/19/2020	38.00450883	-108.4020725	15	0	0	San Miguel
2208	Colorado	US	04/20/2020	38.00450883	-108.4020725	15	0	0	San Miguel
2217	Colorado	US	04/21/2020	38.00450883	-108.4020725	17	0	0	San Miguel
2224	Colorado	US	04/22/2020	38.00450883	-108.4020725	17	0	0	San Miguel
2238	Colorado	US	04/23/2020	38.00450883	-108.4020725	17	0	0	San Miguel
2243	Colorado	US	04/24/2020	38.00450883	-108.4020725	17	0	0	San Miguel
2248	Colorado	US	04/25/2020	38.00450883	-108.4020725	17	0	0	San Miguel
2256	Colorado	US	04/26/2020	38.00450883	-108.4020725	19	0	0	San Miguel
2262	Colorado	US	04/27/2020	38.00450883	-108.4020725	19	0	0	San Miguel
2271	Colorado	US	04/28/2020	38.00450883	-108.4020725	19	0	0	San Miguel
2274	Colorado	US	04/29/2020	38.00450883	-108.4020725	19	0	0	San Miguel
2280	Colorado	US	04/30/2020	38.00450883	-108.4020725	19	0	0	San Miguel
2291	Colorado	US	05/01/2020	38.00450883	-108.4020725	19	0	0	San Miguel
2295	Colorado	US	05/02/2020	38.00450883	-108.4020725	19	0	0	San Miguel
2299	Colorado	US	05/03/2020	38.00450883	-108.4020725	19	0	0	San Miguel
2302	Colorado	US	05/04/2020	38.00450883	-108.4020725	20	0	0	San Miguel
2309	Colorado	US	05/05/2020	38.00450883	-108.4020725	20	0	0	San Miguel
2314	Colorado	US	05/06/2020	38.00450883	-108.4020725	20	0	0	San Miguel
2318	Colorado	US	05/07/2020	38.00450883	-108.4020725	20	0	0	San Miguel
2325	Colorado	US	05/08/2020	38.00450883	-108.4020725	20	0	0	San Miguel
2326	Colorado	US	05/09/2020	38.00450883	-108.4020725	20	0	0	San Miguel
2328	Colorado	US	05/10/2020	38.00450883	-108.4020725	20	0	0	San Miguel
2328	Colorado	US	05/11/2020	38.00450883	-108.4020725	20	0	0	San Miguel
2331	Colorado	US	05/12/2020	38.00450883	-108.4020725	22	0	0	San Miguel
2332	Colorado	US	05/13/2020	38.00450883	-108.4020725	22	0	0	San Miguel
2333	Colorado	US	05/14/2020	38.00450883	-108.4020725	22	0	0	San Miguel
2337	Colorado	US	05/15/2020	38.00450883	-108.4020725	22	0	0	San Miguel
2342	Colorado	US	05/16/2020	38.00450883	-108.4020725	22	0	0	San Miguel
2344	Colorado	US	05/17/2020	38.00450883	-108.4020725	22	0	0	San Miguel
2346	Colorado	US	05/18/2020	38.00450883	-108.4020725	22	0	0	San Miguel
2349	Colorado	US	05/19/2020	38.00450883	-108.4020725	22	0	0	San Miguel
2355	Colorado	US	05/20/2020	38.00450883	-108.4020725	22	0	0	San Miguel
2356	Colorado	US	05/21/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2360	Colorado	US	05/22/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2362	Colorado	US	05/23/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2365	Colorado	US	05/24/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2366	Colorado	US	05/25/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2367	Colorado	US	05/26/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2370	Colorado	US	05/27/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2372	Colorado	US	05/28/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2375	Colorado	US	05/29/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2377	Colorado	US	05/30/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2378	Colorado	US	05/31/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2380	Colorado	US	06/01/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2385	Colorado	US	06/02/2020	38.00450883	-108.4020725	23	0	0	San Miguel
2387	Colorado	US	06/03/2020	38.00450883	-108.4020725	24	0	0	San Miguel
