	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1335	Teller	0	US	0	38.88133511	-105.16148929999999	Colorado	0	03/22/2020
2780	Teller	0	US	0	38.88133511	-105.1614893	Colorado	0	03/23/2020
2780	Teller	3	US	0	38.88133511	-105.1614893	Colorado	0	03/24/2020
2780	Teller	3	US	0	38.88133511	-105.1614893	Colorado	0	03/25/2020
2779	Teller	7	US	1	38.88133511	-105.1614893	Colorado	0	03/26/2020
2779	Teller	7	US	1	38.88133511	-105.1614893	Colorado	0	03/27/2020
2779	Teller	7	US	1	38.88133511	-105.16148929999999	Colorado	0	03/28/2020
2779	Teller	7	US	1	38.88133511	-105.16148929999999	Colorado	0	03/29/2020
2779	Teller	7	US	1	38.88133511	-105.16148929999999	Colorado	0	03/30/2020
1877	Teller	7	US	1	38.88133511	-105.1614893	Colorado	0	03/31/2020
1923	Teller	7	US	1	38.88133511	-105.1614893	Colorado	0	04/01/2020
1991	Teller	7	US	1	38.88133511	-105.16148929999999	Colorado	0	04/02/2020
2036	Teller	7	US	1	38.88133511	-105.1614893	Colorado	0	04/03/2020
2088	Teller	11	US	1	38.88133511	-105.16148929999999	Colorado	0	04/04/2020
2160	Teller	11	US	1	38.88133511	-105.1614893	Colorado	0	04/05/2020
2196	Teller	11	US	1	38.88133511	-105.16148929999999	Colorado	0	04/06/2020
2242	Teller	12	US	1	38.88133511	-105.1614893	Colorado	0	04/07/2020
2265	Teller	12	US	1	38.88133511	-105.1614893	Colorado	0	04/08/2020
2290	Teller	12	US	1	38.88133511	-105.1614893	Colorado	0	04/09/2020
2314	Teller	12	US	1	38.88133511	-105.1614893	Colorado	0	04/10/2020
2338	Teller	12	US	2	38.88133511	-105.1614893	Colorado	0	04/11/2020
2358	Teller	16	US	2	38.88133511	-105.16148929999999	Colorado	0	04/12/2020
2372	Teller	15	US	2	38.88133511	-105.1614893	Colorado	0	04/13/2020
2381	Teller	16	US	2	38.88133511	-105.1614893	Colorado	0	04/14/2020
2393	Teller	16	US	2	38.88133511	-105.1614893	Colorado	0	04/15/2020
2406	Teller	16	US	2	38.88133511	-105.1614893	Colorado	0	04/16/2020
2409	Teller	17	US	2	38.88133511	-105.1614893	Colorado	0	04/17/2020
2416	Teller	18	US	2	38.88133511	-105.16148929999999	Colorado	0	04/18/2020
2431	Teller	24	US	2	38.88133511	-105.16148929999999	Colorado	0	04/19/2020
2439	Teller	24	US	2	38.88133511	-105.16148929999999	Colorado	0	04/20/2020
2448	Teller	25	US	2	38.88133511	-105.16148929999999	Colorado	0	04/21/2020
2455	Teller	25	US	2	38.88133511	-105.16148929999999	Colorado	0	04/22/2020
2472	Teller	25	US	2	38.88133511	-105.16148929999999	Colorado	0	04/23/2020
2478	Teller	26	US	2	38.88133511	-105.16148929999999	Colorado	0	04/24/2020
2483	Teller	27	US	2	38.88133511	-105.16148929999999	Colorado	0	04/25/2020
2491	Teller	27	US	2	38.88133511	-105.16148929999999	Colorado	0	04/26/2020
2498	Teller	27	US	2	38.88133511	-105.16148929999999	Colorado	0	04/27/2020
2507	Teller	28	US	2	38.88133511	-105.16148929999999	Colorado	0	04/28/2020
2512	Teller	28	US	2	38.88133511	-105.1614893	Colorado	0	04/29/2020
2518	Teller	28	US	2	38.88133511	-105.1614893	Colorado	0	04/30/2020
2529	Teller	28	US	2	38.88133511	-105.1614893	Colorado	0	05/01/2020
2532	Teller	28	US	2	38.88133511	-105.1614893	Colorado	0	05/02/2020
2537	Teller	28	US	2	38.88133511	-105.1614893	Colorado	0	05/03/2020
2540	Teller	28	US	2	38.88133511	-105.1614893	Colorado	0	05/04/2020
2548	Teller	29	US	2	38.88133511	-105.1614893	Colorado	0	05/05/2020
2553	Teller	30	US	2	38.88133511	-105.1614893	Colorado	0	05/06/2020
2559	Teller	30	US	2	38.88133511	-105.1614893	Colorado	0	05/07/2020
2566	Teller	30	US	2	38.88133511	-105.1614893	Colorado	0	05/08/2020
2567	Teller	30	US	2	38.88133511	-105.1614893	Colorado	0	05/09/2020
2569	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/10/2020
2569	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/11/2020
2572	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/12/2020
2573	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/13/2020
2574	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/14/2020
2578	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/15/2020
2582	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/16/2020
2585	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/17/2020
2587	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/18/2020
2591	Teller	31	US	2	38.88133511	-105.1614893	Colorado	0	05/19/2020
2597	Teller	32	US	2	38.88133511	-105.1614893	Colorado	0	05/20/2020
