	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
445	Unassigned	1	US	0	0.0	0.0	Colorado	0	03/22/2020
2857	Unassigned	1	US	0	0.0	0.0	Colorado	0	03/23/2020
2858	Unassigned	5	US	0	0.0	0.0	Colorado	0	03/24/2020
2859	Unassigned	18	US	0	0.0	0.0	Colorado	0	03/25/2020
2858	Unassigned	102	US	0	0.0	0.0	Colorado	0	03/26/2020
2859	Unassigned	102	US	8	0.0	0.0	Colorado	0	03/27/2020
2858	Unassigned	136	US	1	0.0	0.0	Colorado	0	03/28/2020
2859	Unassigned	186	US	1	0.0	0.0	Colorado	0	03/29/2020
2859	Unassigned	186	US	1	0.0	0.0	Colorado	0	03/30/2020
1931	Unassigned	129	US	1	0.0	0.0	Colorado	0	03/31/2020
1977	Unassigned	129	US	1	0.0	0.0	Colorado	0	04/01/2020
2047	Unassigned	128	US	4			Colorado	0	04/02/2020
2094	Unassigned	144	US	0			Colorado	0	04/03/2020
2146	Unassigned	158	US	0			Colorado	0	04/04/2020
2219	Unassigned	251	US	0			Colorado	0	04/05/2020
2256	Unassigned	276	US	0			Colorado	0	04/06/2020
2303	Unassigned	252	US	29			Colorado	0	04/07/2020
2326	Unassigned	238	US	1			Colorado	0	04/08/2020
2352	Unassigned	238	US	1			Colorado	0	04/09/2020
2376	Unassigned	235	US	34			Colorado	0	04/10/2020
2402	Unassigned	145	US	1			Colorado	0	04/11/2020
2424	Unassigned	156	US	0			Colorado	0	04/12/2020
2438	Unassigned	145	US	0			Colorado	0	04/13/2020
2448	Unassigned	119	US	0			Colorado	0	04/14/2020
2460	Unassigned	119	US	0			Colorado	0	04/15/2020
2474	Unassigned	111	US	1			Colorado	0	04/16/2020
2476	Unassigned	96	US	1			Colorado	0	04/17/2020
2483	Unassigned	67	US	1			Colorado	0	04/18/2020
2500	Unassigned	114	US	1			Colorado	0	04/19/2020
2508	Unassigned	114	US	1			Colorado	0	04/20/2020
2517	Unassigned	126	US	1			Colorado	0	04/21/2020
2524	Unassigned	95	US	1			Colorado	0	04/22/2020
2541	Unassigned	108	US	1			Colorado	0	04/23/2020
2547	Unassigned	103	US	2			Colorado	0	04/24/2020
2552	Unassigned	131	US	2			Colorado	0	04/25/2020
2560	Unassigned	172	US	2			Colorado	0	04/26/2020
2567	Unassigned	176	US	2			Colorado	0	04/27/2020
2576	Unassigned	165	US	1			Colorado	0	04/28/2020
2581	Unassigned	145	US	1			Colorado	0	04/29/2020
2587	Unassigned	158	US	1			Colorado	0	04/30/2020
2598	Unassigned	201	US	2			Colorado	0	05/01/2020
2601	Unassigned	226	US	2			Colorado	0	05/02/2020
2606	Unassigned	242	US	2			Colorado	0	05/03/2020
2609	Unassigned	242	US	2			Colorado	0	05/04/2020
2617	Unassigned	189	US	3			Colorado	0	05/05/2020
2623	Unassigned	164	US	3			Colorado	0	05/06/2020
2630	Unassigned	153	US	3			Colorado	0	05/07/2020
2637	Unassigned	140	US	3			Colorado	0	05/08/2020
2639	Unassigned	179	US	3			Colorado	0	05/09/2020
2641	Unassigned	222	US	3			Colorado	0	05/10/2020
2641	Unassigned	153	US	3			Colorado	0	05/11/2020
2644	Unassigned	101	US	3			Colorado	0	05/12/2020
2645	Unassigned	85	US	3			Colorado	0	05/13/2020
2647	Unassigned	71	US	1			Colorado	0	05/14/2020
2652	Unassigned	61	US	1			Colorado	0	05/15/2020
2656	Unassigned	77	US	1			Colorado	0	05/16/2020
