	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
221	Florida	US	03/22/2020	29.98319144	-81.85609986	7	1	0	Clay
540	Florida	US	03/23/2020	29.98319144	-81.85609986	8	2	0	Clay
540	Florida	US	03/24/2020	29.98319144	-81.85609986	10	2	0	Clay
540	Florida	US	03/25/2020	29.98319144	-81.85609986	13	2	0	Clay
540	Florida	US	03/26/2020	29.98319144	-81.85609986	19	4	0	Clay
540	Florida	US	03/27/2020	29.98319144	-81.85609986	22	4	0	Clay
540	Florida	US	03/28/2020	29.98319144	-81.85609986	24	4	0	Clay
540	Florida	US	03/29/2020	29.98319144	-81.85609986	30	4	0	Clay
540	Florida	US	03/30/2020	29.98319144	-81.85609986	35	4	0	Clay
386	Florida	US	03/31/2020	29.98319144	-81.85609986	41	5	0	Clay
395	Florida	US	04/01/2020	29.98319144	-81.85609986	46	5	0	Clay
409	Florida	US	04/02/2020	29.98319144	-81.85609986	58	6	0	Clay
413	Florida	US	04/03/2020	29.98319144	-81.85609986	69	6	0	Clay
423	Florida	US	04/04/2020	29.98319144	-81.85609986	74	6	0	Clay
437	Florida	US	04/05/2020	29.98319144	-81.85609986	79	6	0	Clay
440	Florida	US	04/06/2020	29.98319144	-81.85609986	81	6	0	Clay
449	Florida	US	04/07/2020	29.98319144	-81.85609986	88	6	0	Clay
453	Florida	US	04/08/2020	29.98319144	-81.85609986	97	7	0	Clay
456	Florida	US	04/09/2020	29.98319144	-81.85609986	103	7	0	Clay
457	Florida	US	04/10/2020	29.98319144	-81.85609986	114	7	0	Clay
461	Florida	US	04/11/2020	29.98319144	-81.85609986	158	8	0	Clay
464	Florida	US	04/12/2020	29.98319144	-81.85609986	163	8	0	Clay
467	Florida	US	04/13/2020	29.98319144	-81.85609986	165	9	0	Clay
468	Florida	US	04/14/2020	29.98319144	-81.85609986	168	9	0	Clay
471	Florida	US	04/15/2020	29.98319144	-81.85609986	170	9	0	Clay
472	Florida	US	04/16/2020	29.98319144	-81.85609986	184	9	0	Clay
474	Florida	US	04/17/2020	29.98319144	-81.85609986	216	9	0	Clay
475	Florida	US	04/18/2020	29.98319144	-81.85609986	223	9	0	Clay
478	Florida	US	04/19/2020	29.98319144	-81.85609986	247	11	0	Clay
479	Florida	US	04/20/2020	29.98319144	-81.85609986	249	11	0	Clay
483	Florida	US	04/21/2020	29.98319144	-81.85609986	256	11	0	Clay
485	Florida	US	04/22/2020	29.98319144	-81.85609986	257	11	0	Clay
487	Florida	US	04/23/2020	29.98319144	-81.85609986	264	12	0	Clay
487	Florida	US	04/24/2020	29.98319144	-81.85609986	266	14	0	Clay
487	Florida	US	04/25/2020	29.98319144	-81.85609986	267	14	0	Clay
488	Florida	US	04/26/2020	29.98319144	-81.85609986	267	14	0	Clay
489	Florida	US	04/27/2020	29.98319144	-81.85609986	271	14	0	Clay
491	Florida	US	04/28/2020	29.98319144	-81.85609986	272	14	0	Clay
491	Florida	US	04/29/2020	29.98319144	-81.85609986	272	15	0	Clay
491	Florida	US	04/30/2020	29.98319144	-81.85609986	273	15	0	Clay
494	Florida	US	05/01/2020	29.98319144	-81.85609986	276	16	0	Clay
495	Florida	US	05/02/2020	29.98319144	-81.85609986	278	18	0	Clay
496	Florida	US	05/03/2020	29.98319144	-81.85609986	279	18	0	Clay
497	Florida	US	05/04/2020	29.98319144	-81.85609986	285	18	0	Clay
499	Florida	US	05/05/2020	29.98319144	-81.85609986	287	18	0	Clay
500	Florida	US	05/06/2020	29.98319144	-81.85609986	288	19	0	Clay
501	Florida	US	05/07/2020	29.98319144	-81.85609986	292	19	0	Clay
502	Florida	US	05/08/2020	29.98319144	-81.85609986	293	19	0	Clay
502	Florida	US	05/09/2020	29.98319144	-81.85609986	299	19	0	Clay
503	Florida	US	05/10/2020	29.98319144	-81.85609986	300	19	0	Clay
503	Florida	US	05/11/2020	29.98319144	-81.85609986	302	21	0	Clay
503	Florida	US	05/12/2020	29.98319144	-81.85609986	303	22	0	Clay
503	Florida	US	05/13/2020	29.98319144	-81.85609986	303	22	0	Clay
504	Florida	US	05/14/2020	29.98319144	-81.85609986	306	22	0	Clay
505	Florida	US	05/15/2020	29.98319144	-81.85609986	308	23	0	Clay
506	Florida	US	05/16/2020	29.98319144	-81.85609986	313	25	0	Clay
507	Florida	US	05/17/2020	29.98319144	-81.85609986	317	25	0	Clay
508	Florida	US	05/18/2020	29.98319144	-81.85609986	320	25	0	Clay
510	Florida	US	05/19/2020	29.98319144	-81.85609986	321	25	0	Clay
510	Florida	US	05/20/2020	29.98319144	-81.85609986	333	25	0	Clay
510	Florida	US	05/21/2020	29.98319144	-81.85609986	351	25	0	Clay
511	Florida	US	05/22/2020	29.98319144	-81.85609986	354	25	0	Clay
511	Florida	US	05/23/2020	29.98319144	-81.85609986	354	27	0	Clay
512	Florida	US	05/24/2020	29.98319144	-81.85609986	357	27	0	Clay
512	Florida	US	05/25/2020	29.98319144	-81.85609986	362	27	0	Clay
512	Florida	US	05/26/2020	29.98319144	-81.85609986	365	27	0	Clay
513	Florida	US	05/27/2020	29.98319144	-81.85609986	366	28	0	Clay
513	Florida	US	05/28/2020	29.98319144	-81.85609986	369	28	0	Clay
513	Florida	US	05/29/2020	29.98319144	-81.85609986	374	28	0	Clay
513	Florida	US	05/30/2020	29.98319144	-81.85609986	380	28	0	Clay
513	Florida	US	05/31/2020	29.98319144	-81.85609986	382	28	0	Clay
514	Florida	US	06/01/2020	29.98319144	-81.85609986	383	28	0	Clay
514	Florida	US	06/02/2020	29.98319144	-81.85609986	387	30	0	Clay
514	Florida	US	06/03/2020	29.98319144	-81.85609986	390	33	0	Clay
514	Florida	US	06/04/2020	29.98319144	-81.85609986	394	32	0	Clay
515	Florida	US	06/05/2020	29.98319144	-81.85609986	393	32	0	Clay
515	Florida	US	06/06/2020	29.98319144	-81.85609986	396	32	0	Clay
515	Florida	US	06/07/2020	29.98319144	-81.85609986	400	32	0	Clay
515	Florida	US	06/08/2020	29.98319144	-81.85609986	405	32	0	Clay
515	Florida	US	06/09/2020	29.98319144	-81.85609986	411	32	0	Clay
516	Florida	US	06/10/2020	29.98319144	-81.85609986	420	32	0	Clay
517	Florida	US	06/11/2020	29.98319144	-81.85609986	427	32	0	Clay
518	Florida	US	06/12/2020	29.98319144	-81.85609986	429	32	0	Clay
518	Florida	US	06/13/2020	29.98319144	-81.85609986	429	32	0	Clay
518	Florida	US	06/14/2020	29.98319144	-81.85609986	435	32	0	Clay
519	Florida	US	06/15/2020	29.98319144	-81.85609986	440	32	0	Clay
519	Florida	US	06/16/2020	29.98319144	-81.85609986	443	32	0	Clay
519	Florida	US	06/17/2020	29.98319144	-81.85609986	450	32	0	Clay
519	Florida	US	06/18/2020	29.98319144	-81.85609986	456	32	0	Clay
519	Florida	US	06/19/2020	29.98319144	-81.85609986	468	32	0	Clay
521	Florida	US	06/20/2020	29.98319144	-81.85609986	481	32	0	Clay
521	Florida	US	06/21/2020	29.98319144	-81.85609986	494	32	0	Clay
