	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1341	Florida	US	03/22/2020	29.83791238	-84.82731662	0	0	0	Franklin
958	Florida	US	03/23/2020	29.83791238	-84.82731662	0	0	0	Franklin
958	Florida	US	03/24/2020	29.83791238	-84.82731662	0	0	0	Franklin
958	Florida	US	03/25/2020	29.83791238	-84.82731662	0	0	0	Franklin
957	Florida	US	03/26/2020	29.83791238	-84.82731662	0	0	0	Franklin
957	Florida	US	03/27/2020	29.83791238	-84.82731662	0	0	0	Franklin
957	Florida	US	03/28/2020	29.83791238	-84.82731662	0	0	0	Franklin
957	Florida	US	03/29/2020	29.83791238	-84.82731662	0	0	0	Franklin
957	Florida	US	03/30/2020	29.83791238	-84.82731662	0	0	0	Franklin
717	Florida	US	04/03/2020	29.83791238	-84.82731662	1	0	0	Franklin
732	Florida	US	04/04/2020	29.83791238	-84.82731662	1	0	0	Franklin
759	Florida	US	04/05/2020	29.83791238	-84.82731662	2	0	0	Franklin
769	Florida	US	04/06/2020	29.83791238	-84.82731662	2	0	0	Franklin
786	Florida	US	04/07/2020	29.83791238	-84.82731662	2	0	0	Franklin
792	Florida	US	04/08/2020	29.83791238	-84.82731662	2	0	0	Franklin
798	Florida	US	04/09/2020	29.83791238	-84.82731662	2	0	0	Franklin
803	Florida	US	04/10/2020	29.83791238	-84.82731662	2	0	0	Franklin
809	Florida	US	04/11/2020	29.83791238	-84.82731662	2	0	0	Franklin
815	Florida	US	04/12/2020	29.83791238	-84.82731662	2	0	0	Franklin
821	Florida	US	04/13/2020	29.83791238	-84.82731662	2	0	0	Franklin
824	Florida	US	04/14/2020	29.83791238	-84.82731662	2	0	0	Franklin
828	Florida	US	04/15/2020	29.83791238	-84.82731662	2	0	0	Franklin
829	Florida	US	04/16/2020	29.83791238	-84.82731662	2	0	0	Franklin
830	Florida	US	04/17/2020	29.83791238	-84.82731662	2	0	0	Franklin
832	Florida	US	04/18/2020	29.83791238	-84.82731662	2	0	0	Franklin
836	Florida	US	04/19/2020	29.83791238	-84.82731662	2	0	0	Franklin
839	Florida	US	04/20/2020	29.83791238	-84.82731662	2	0	0	Franklin
843	Florida	US	04/21/2020	29.83791238	-84.82731662	2	0	0	Franklin
846	Florida	US	04/22/2020	29.83791238	-84.82731662	2	0	0	Franklin
850	Florida	US	04/23/2020	29.83791238	-84.82731662	2	0	0	Franklin
851	Florida	US	04/24/2020	29.83791238	-84.82731662	2	0	0	Franklin
851	Florida	US	04/25/2020	29.83791238	-84.82731662	2	0	0	Franklin
854	Florida	US	04/26/2020	29.83791238	-84.82731662	2	0	0	Franklin
856	Florida	US	04/27/2020	29.83791238	-84.82731662	2	0	0	Franklin
859	Florida	US	04/28/2020	29.83791238	-84.82731662	2	0	0	Franklin
861	Florida	US	04/29/2020	29.83791238	-84.82731662	2	0	0	Franklin
862	Florida	US	04/30/2020	29.83791238	-84.82731662	2	0	0	Franklin
868	Florida	US	05/01/2020	29.83791238	-84.82731662	2	0	0	Franklin
869	Florida	US	05/02/2020	29.83791238	-84.82731662	2	0	0	Franklin
870	Florida	US	05/03/2020	29.83791238	-84.82731662	2	0	0	Franklin
872	Florida	US	05/04/2020	29.83791238	-84.82731662	2	0	0	Franklin
877	Florida	US	05/05/2020	29.83791238	-84.82731662	2	0	0	Franklin
879	Florida	US	05/06/2020	29.83791238	-84.82731662	2	0	0	Franklin
880	Florida	US	05/07/2020	29.83791238	-84.82731662	2	0	0	Franklin
