	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1343	Florida	US	03/22/2020	26.95635849	-81.18996211	0	0	0	Glades
1048	Florida	US	03/23/2020	26.95635849	-81.18996211	0	0	0	Glades
1048	Florida	US	03/24/2020	26.95635849	-81.18996211	0	0	0	Glades
1048	Florida	US	03/25/2020	26.95635849	-81.18996211	0	0	0	Glades
1047	Florida	US	03/26/2020	26.95635849	-81.18996211	0	0	0	Glades
1047	Florida	US	03/27/2020	26.95635849	-81.18996211	0	0	0	Glades
1047	Florida	US	03/28/2020	26.95635849	-81.18996211	0	0	0	Glades
1047	Florida	US	03/29/2020	26.95635849	-81.18996211	0	0	0	Glades
1047	Florida	US	03/30/2020	26.95635849	-81.18996211	3	0	0	Glades
720	Florida	US	03/31/2020	26.95635849	-81.18996211	3	1	0	Glades
740	Florida	US	04/01/2020	26.95635849	-81.18996211	3	1	0	Glades
765	Florida	US	04/02/2020	26.95635849	-81.18996211	3	1	0	Glades
779	Florida	US	04/03/2020	26.95635849	-81.18996211	3	1	0	Glades
794	Florida	US	04/04/2020	26.95635849	-81.18996211	4	1	0	Glades
826	Florida	US	04/05/2020	26.95635849	-81.18996211	4	1	0	Glades
837	Florida	US	04/06/2020	26.95635849	-81.18996211	4	1	0	Glades
855	Florida	US	04/07/2020	26.95635849	-81.18996211	4	1	0	Glades
863	Florida	US	04/08/2020	26.95635849	-81.18996211	4	1	0	Glades
869	Florida	US	04/09/2020	26.95635849	-81.18996211	4	1	0	Glades
875	Florida	US	04/10/2020	26.95635849	-81.18996211	4	1	0	Glades
882	Florida	US	04/11/2020	26.95635849	-81.18996211	4	1	0	Glades
890	Florida	US	04/12/2020	26.95635849	-81.18996211	4	1	0	Glades
896	Florida	US	04/13/2020	26.95635849	-81.18996211	5	1	0	Glades
899	Florida	US	04/14/2020	26.95635849	-81.18996211	5	1	0	Glades
905	Florida	US	04/15/2020	26.95635849	-81.18996211	5	1	0	Glades
906	Florida	US	04/16/2020	26.95635849	-81.18996211	5	1	0	Glades
906	Florida	US	04/17/2020	26.95635849	-81.18996211	5	1	0	Glades
908	Florida	US	04/18/2020	26.95635849	-81.18996211	5	1	0	Glades
914	Florida	US	04/19/2020	26.95635849	-81.18996211	5	1	0	Glades
917	Florida	US	04/20/2020	26.95635849	-81.18996211	5	1	0	Glades
921	Florida	US	04/21/2020	26.95635849	-81.18996211	5	1	0	Glades
924	Florida	US	04/22/2020	26.95635849	-81.18996211	5	1	0	Glades
930	Florida	US	04/23/2020	26.95635849	-81.18996211	5	1	0	Glades
931	Florida	US	04/24/2020	26.95635849	-81.18996211	5	1	0	Glades
931	Florida	US	04/25/2020	26.95635849	-81.18996211	5	1	0	Glades
935	Florida	US	04/26/2020	26.95635849	-81.18996211	6	1	0	Glades
937	Florida	US	04/27/2020	26.95635849	-81.18996211	6	1	0	Glades
940	Florida	US	04/28/2020	26.95635849	-81.18996211	6	1	0	Glades
942	Florida	US	04/29/2020	26.95635849	-81.18996211	6	1	0	Glades
945	Florida	US	04/30/2020	26.95635849	-81.18996211	6	1	0	Glades
951	Florida	US	05/01/2020	26.95635849	-81.18996211	6	1	0	Glades
952	Florida	US	05/02/2020	26.95635849	-81.18996211	6	1	0	Glades
953	Florida	US	05/03/2020	26.95635849	-81.18996211	6	1	0	Glades
955	Florida	US	05/04/2020	26.95635849	-81.18996211	6	1	0	Glades
960	Florida	US	05/05/2020	26.95635849	-81.18996211	6	1	0	Glades
962	Florida	US	05/06/2020	26.95635849	-81.18996211	6	1	0	Glades
963	Florida	US	05/07/2020	26.95635849	-81.18996211	6	1	0	Glades
967	Florida	US	05/08/2020	26.95635849	-81.18996211	6	1	0	Glades
967	Florida	US	05/09/2020	26.95635849	-81.18996211	7	1	0	Glades
968	Florida	US	05/10/2020	26.95635849	-81.18996211	7	1	0	Glades
968	Florida	US	05/11/2020	26.95635849	-81.18996211	7	1	0	Glades
969	Florida	US	05/12/2020	26.95635849	-81.18996211	8	1	0	Glades
969	Florida	US	05/13/2020	26.95635849	-81.18996211	8	1	0	Glades
970	Florida	US	05/14/2020	26.95635849	-81.18996211	9	1	0	Glades
973	Florida	US	05/15/2020	26.95635849	-81.18996211	10	1	0	Glades
974	Florida	US	05/16/2020	26.95635849	-81.18996211	9	1	0	Glades
975	Florida	US	05/17/2020	26.95635849	-81.18996211	9	1	0	Glades
976	Florida	US	05/18/2020	26.95635849	-81.18996211	10	1	0	Glades
978	Florida	US	05/19/2020	26.95635849	-81.18996211	13	1	0	Glades
980	Florida	US	05/20/2020	26.95635849	-81.18996211	16	1	0	Glades
980	Florida	US	05/21/2020	26.95635849	-81.18996211	19	1	0	Glades
982	Florida	US	05/22/2020	26.95635849	-81.18996211	19	1	0	Glades
982	Florida	US	05/23/2020	26.95635849	-81.18996211	20	1	0	Glades
983	Florida	US	05/24/2020	26.95635849	-81.18996211	20	1	0	Glades
983	Florida	US	05/25/2020	26.95635849	-81.18996211	20	1	0	Glades
983	Florida	US	05/26/2020	26.95635849	-81.18996211	24	1	0	Glades
984	Florida	US	05/27/2020	26.95635849	-81.18996211	24	1	0	Glades
984	Florida	US	05/28/2020	26.95635849	-81.18996211	24	1	0	Glades
986	Florida	US	05/29/2020	26.95635849	-81.18996211	27	1	0	Glades
987	Florida	US	05/30/2020	26.95635849	-81.18996211	29	1	0	Glades
987	Florida	US	05/31/2020	26.95635849	-81.18996211	30	1	0	Glades
989	Florida	US	06/01/2020	26.95635849	-81.18996211	32	1	0	Glades
991	Florida	US	06/02/2020	26.95635849	-81.18996211	61	1	0	Glades
991	Florida	US	06/03/2020	26.95635849	-81.18996211	64	1	0	Glades
992	Florida	US	06/04/2020	26.95635849	-81.18996211	70	1	0	Glades
994	Florida	US	06/05/2020	26.95635849	-81.18996211	81	1	0	Glades
994	Florida	US	06/06/2020	26.95635849	-81.18996211	83	1	0	Glades
994	Florida	US	06/07/2020	26.95635849	-81.18996211	84	1	0	Glades
994	Florida	US	06/08/2020	26.95635849	-81.18996211	85	1	0	Glades
994	Florida	US	06/09/2020	26.95635849	-81.18996211	86	1	0	Glades
995	Florida	US	06/10/2020	26.95635849	-81.18996211	104	1	0	Glades
996	Florida	US	06/11/2020	26.95635849	-81.18996211	107	1	0	Glades
1001	Florida	US	06/12/2020	26.95635849	-81.18996211	109	1	0	Glades
1002	Florida	US	06/13/2020	26.95635849	-81.18996211	110	1	0	Glades
1002	Florida	US	06/14/2020	26.95635849	-81.18996211	114	1	0	Glades
1004	Florida	US	06/15/2020	26.95635849	-81.18996211	116	1	0	Glades
1003	Florida	US	06/16/2020	26.95635849	-81.18996211	118	1	0	Glades
1004	Florida	US	06/17/2020	26.95635849	-81.18996211	119	1	0	Glades
1004	Florida	US	06/18/2020	26.95635849	-81.18996211	121	1	0	Glades
1004	Florida	US	06/19/2020	26.95635849	-81.18996211	121	1	0	Glades
1008	Florida	US	06/20/2020	26.95635849	-81.18996211	121	1	0	Glades
1008	Florida	US	06/21/2020	26.95635849	-81.18996211	142	1	0	Glades
1009	Florida	US	06/22/2020	26.95635849	-81.18996211	142	1	0	Glades
1009	Florida	US	06/23/2020	26.95635849	-81.18996211	142	1	0	Glades
1013	Florida	US	06/24/2020	26.95635849	-81.18996211	143	1	0	Glades
1016	Florida	US	06/25/2020	26.95635849	-81.18996211	151	1	0	Glades
1016	Florida	US	06/26/2020	26.95635849	-81.18996211	154	1	0	Glades
