	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
402	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/22/2020
456	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/23/2020
456	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/24/2020
456	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/25/2020
456	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/26/2020
456	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/27/2020
456	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/28/2020
456	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/29/2020
456	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/30/2020
324	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	03/31/2020
333	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	04/01/2020
343	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	04/02/2020
347	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	04/03/2020
355	Charlton	1	US	0	30.78371028	-82.13951596	Georgia	0	04/04/2020
368	Charlton	2	US	0	30.78371028	-82.13951596	Georgia	0	04/05/2020
369	Charlton	2	US	0	30.78371028	-82.13951596	Georgia	0	04/06/2020
377	Charlton	3	US	0	30.78371028	-82.13951596	Georgia	0	04/07/2020
381	Charlton	3	US	0	30.78371028	-82.13951596	Georgia	0	04/08/2020
384	Charlton	2	US	0	30.78371028	-82.13951596	Georgia	0	04/09/2020
385	Charlton	2	US	0	30.78371028	-82.13951596	Georgia	0	04/10/2020
389	Charlton	2	US	0	30.78371028	-82.13951596	Georgia	0	04/11/2020
392	Charlton	3	US	0	30.78371028	-82.13951596	Georgia	0	04/12/2020
395	Charlton	3	US	0	30.78371028	-82.13951596	Georgia	0	04/13/2020
396	Charlton	4	US	0	30.78371028	-82.13951596	Georgia	0	04/14/2020
399	Charlton	4	US	0	30.78371028	-82.13951596	Georgia	0	04/15/2020
399	Charlton	5	US	0	30.78371028	-82.13951596	Georgia	0	04/16/2020
400	Charlton	5	US	0	30.78371028	-82.13951596	Georgia	0	04/17/2020
401	Charlton	5	US	0	30.78371028	-82.13951596	Georgia	0	04/18/2020
403	Charlton	6	US	0	30.78371028	-82.13951596	Georgia	0	04/19/2020
403	Charlton	6	US	0	30.78371028	-82.13951596	Georgia	0	04/20/2020
405	Charlton	7	US	0	30.78371028	-82.13951596	Georgia	0	04/21/2020
407	Charlton	7	US	0	30.78371028	-82.13951596	Georgia	0	04/22/2020
408	Charlton	7	US	0	30.78371028	-82.13951596	Georgia	0	04/23/2020
408	Charlton	7	US	0	30.78371028	-82.13951596	Georgia	0	04/24/2020
408	Charlton	7	US	0	30.78371028	-82.13951596	Georgia	0	04/25/2020
409	Charlton	7	US	0	30.78371028	-82.13951596	Georgia	0	04/26/2020
410	Charlton	8	US	0	30.78371028	-82.13951596	Georgia	0	04/27/2020
411	Charlton	9	US	0	30.78371028	-82.13951596	Georgia	0	04/28/2020
411	Charlton	9	US	0	30.78371028	-82.13951596	Georgia	0	04/29/2020
411	Charlton	8	US	0	30.78371028	-82.13951596	Georgia	0	04/30/2020
414	Charlton	11	US	0	30.78371028	-82.13951596	Georgia	0	05/01/2020
415	Charlton	11	US	0	30.78371028	-82.13951596	Georgia	0	05/02/2020
416	Charlton	12	US	0	30.78371028	-82.13951596	Georgia	0	05/03/2020
417	Charlton	12	US	0	30.78371028	-82.13951596	Georgia	0	05/04/2020
419	Charlton	13	US	0	30.78371028	-82.13951596	Georgia	0	05/05/2020
420	Charlton	13	US	0	30.78371028	-82.13951596	Georgia	0	05/06/2020
421	Charlton	14	US	0	30.78371028	-82.13951596	Georgia	0	05/07/2020
421	Charlton	17	US	0	30.78371028	-82.13951596	Georgia	0	05/08/2020
421	Charlton	17	US	0	30.78371028	-82.13951596	Georgia	0	05/09/2020
422	Charlton	17	US	0	30.78371028	-82.13951596	Georgia	0	05/10/2020
422	Charlton	17	US	1	30.78371028	-82.13951596	Georgia	0	05/11/2020
422	Charlton	17	US	1	30.78371028	-82.13951596	Georgia	0	05/12/2020
422	Charlton	19	US	1	30.78371028	-82.13951596	Georgia	0	05/13/2020
423	Charlton	20	US	1	30.78371028	-82.13951596	Georgia	0	05/14/2020
424	Charlton	26	US	1	30.78371028	-82.13951596	Georgia	0	05/15/2020
425	Charlton	26	US	1	30.78371028	-82.13951596	Georgia	0	05/16/2020
426	Charlton	26	US	1	30.78371028	-82.13951596	Georgia	0	05/17/2020
427	Charlton	26	US	1	30.78371028	-82.13951596	Georgia	0	05/18/2020
429	Charlton	29	US	1	30.78371028	-82.13951596	Georgia	0	05/19/2020
429	Charlton	28	US	1	30.78371028	-82.13951596	Georgia	0	05/20/2020
429	Charlton	28	US	1	30.78371028	-82.13951596	Georgia	0	05/21/2020
430	Charlton	28	US	1	30.78371028	-82.13951596	Georgia	0	05/22/2020
430	Charlton	29	US	1	30.78371028	-82.13951596	Georgia	0	05/23/2020
430	Charlton	29	US	1	30.78371028	-82.13951596	Georgia	0	05/24/2020
430	Charlton	29	US	1	30.78371028	-82.13951596	Georgia	0	05/25/2020
430	Charlton	30	US	1	30.78371028	-82.13951596	Georgia	0	05/26/2020
431	Charlton	33	US	1	30.78371028	-82.13951596	Georgia	0	05/27/2020
431	Charlton	33	US	1	30.78371028	-82.13951596	Georgia	0	05/28/2020
431	Charlton	33	US	1	30.78371028	-82.13951596	Georgia	0	05/29/2020
431	Charlton	32	US	1	30.78371028	-82.13951596	Georgia	0	05/30/2020
431	Charlton	32	US	1	30.78371028	-82.13951596	Georgia	0	05/31/2020
432	Charlton	33	US	1	30.78371028	-82.13951596	Georgia	0	06/01/2020
432	Charlton	33	US	1	30.78371028	-82.13951596	Georgia	0	06/02/2020
432	Charlton	33	US	1	30.78371028	-82.13951596	Georgia	0	06/03/2020
432	Charlton	33	US	1	30.78371028	-82.13951596	Georgia	0	06/04/2020
433	Charlton	32	US	1	30.78371028	-82.13951596	Georgia	0	06/05/2020
433	Charlton	32	US	1	30.78371028	-82.13951596	Georgia	0	06/06/2020
433	Charlton	32	US	1	30.78371028	-82.13951596	Georgia	0	06/07/2020
433	Charlton	34	US	1	30.78371028	-82.13951596	Georgia	0	06/08/2020
433	Charlton	36	US	1	30.78371028	-82.13951596	Georgia	0	06/09/2020
434	Charlton	36	US	1	30.78371028	-82.13951596	Georgia	0	06/10/2020
435	Charlton	37	US	1	30.78371028	-82.13951596	Georgia	0	06/11/2020
436	Charlton	38	US	1	30.78371028	-82.13951596	Georgia	0	06/12/2020
436	Charlton	38	US	1	30.78371028	-82.13951596	Georgia	0	06/13/2020
436	Charlton	38	US	1	30.78371028	-82.13951596	Georgia	0	06/14/2020
437	Charlton	39	US	1	30.78371028	-82.13951596	Georgia	0	06/15/2020
437	Charlton	37	US	2	30.78371028	-82.13951596	Georgia	0	06/16/2020
437	Charlton	36	US	2	30.78371028	-82.13951596	Georgia	0	06/17/2020
437	Charlton	36	US	2	30.78371028	-82.13951596	Georgia	0	06/18/2020
437	Charlton	38	US	2	30.78371028	-82.13951596	Georgia	0	06/19/2020
439	Charlton	38	US	2	30.78371028	-82.13951596	Georgia	0	06/20/2020
439	Charlton	38	US	2	30.78371028	-82.13951596	Georgia	0	06/21/2020
439	Charlton	41	US	2	30.78371028	-82.13951596	Georgia	0	06/22/2020
439	Charlton	43	US	2	30.78371028	-82.13951596	Georgia	0	06/23/2020
441	Charlton	43	US	2	30.78371028	-82.13951596	Georgia	0	06/24/2020
442	Charlton	41	US	2	30.78371028	-82.13951596	Georgia	0	06/25/2020
442	Charlton	43	US	2	30.78371028	-82.13951596	Georgia	0	06/26/2020
442	Charlton	43	US	2	30.78371028	-82.13951596	Georgia	0	06/27/2020
442	Charlton	45	US	2	30.78371028	-82.13951596	Georgia	0	06/28/2020
442	Charlton	46	US	2	30.78371028	-82.13951596	Georgia	0	06/29/2020
443	Charlton	51	US	2	30.78371028	-82.13951596	Georgia	0	06/30/2020
443	Charlton	56	US	2	30.78371028	-82.13951596	Georgia	0	07/01/2020
444	Charlton	58	US	2	30.78371028	-82.13951596	Georgia	0	07/02/2020
445	Charlton	61	US	2	30.78371028	-82.13951596	Georgia	0	07/03/2020
445	Charlton	65	US	2	30.78371028	-82.13951596	Georgia	0	07/04/2020
445	Charlton	66	US	2	30.78371028	-82.13951596	Georgia	0	07/05/2020
445	Charlton	70	US	2	30.78371028	-82.13951596	Georgia	0	07/06/2020
445	Charlton	73	US	2	30.78371028	-82.13951596	Georgia	0	07/07/2020
446	Charlton	76	US	2	30.78371028	-82.13951596	Georgia	0	07/08/2020
446	Charlton	81	US	2	30.78371028	-82.13951596	Georgia	0	07/09/2020
447	Charlton	97	US	2	30.78371028	-82.13951596	Georgia	0	07/10/2020
447	Charlton	99	US	2	30.78371028	-82.13951596	Georgia	0	07/11/2020
447	Charlton	109	US	2	30.78371028	-82.13951596	Georgia	0	07/12/2020
447	Charlton	117	US	2	30.78371028	-82.13951596	Georgia	0	07/13/2020
447	Charlton	132	US	2	30.78371028	-82.13951596	Georgia	0	07/14/2020
447	Charlton	147	US	2	30.78371028	-82.13951596	Georgia	0	07/15/2020
448	Charlton	149	US	2	30.78371028	-82.13951596	Georgia	0	07/16/2020
448	Charlton	171	US	2	30.78371028	-82.13951596	Georgia	0	07/17/2020
467	Charlton	182	US	2	30.78371028	-82.13951596	Georgia	0	07/18/2020
467	Charlton	186	US	2	30.78371028	-82.13951596	Georgia	0	07/19/2020
456	Charlton	194	US	2	30.78371028	-82.13951596	Georgia	0	07/20/2020
468	Charlton	204	US	2	30.78371028	-82.13951596	Georgia	0	07/21/2020
468	Charlton	207	US	2	30.78371028	-82.13951596	Georgia	0	07/22/2020
469	Charlton	232	US	2	30.78371028	-82.13951596	Georgia	0	07/23/2020
469	Charlton	244	US	3	30.78371028	-82.13951596	Georgia	0	07/24/2020
469	Charlton	254	US	3	30.78371028	-82.13951596	Georgia	0	07/25/2020
469	Charlton	258	US	3	30.78371028	-82.13951596	Georgia	0	07/26/2020
469	Charlton	279	US	3	30.78371028	-82.13951596	Georgia	0	07/27/2020
469	Charlton	296	US	3	30.78371028	-82.13951596	Georgia	0	07/28/2020
469	Charlton	296	US	3	30.78371028	-82.13951596	Georgia	0	07/29/2020
469	Charlton	349	US	3	30.78371028	-82.13951596	Georgia	0	07/30/2020
469	Charlton	348	US	3	30.78371028	-82.13951596	Georgia	0	07/31/2020
469	Charlton	377	US	3	30.78371028	-82.13951596	Georgia	0	08/01/2020
469	Charlton	380	US	3	30.78371028	-82.13951596	Georgia	0	08/02/2020
469	Charlton	389	US	3	30.78371028	-82.13951596	Georgia	0	08/03/2020
469	Charlton	391	US	3	30.78371028	-82.13951596	Georgia	0	08/04/2020
470	Charlton	401	US	3	30.78371028	-82.13951596	Georgia	0	08/05/2020
470	Charlton	403	US	3	30.78371028	-82.13951596	Georgia	0	08/06/2020
470	Charlton	412	US	3	30.78371028	-82.13951596	Georgia	0	08/07/2020
470	Charlton	417	US	3	30.78371028	-82.13951596	Georgia	0	08/08/2020
470	Charlton	425	US	3	30.78371028	-82.13951596	Georgia	0	08/09/2020
470	Charlton	437	US	3	30.78371028	-82.13951596	Georgia	0	08/10/2020
1097	Charlton	438	US	3	30.78371028	-82.13951596	Georgia	0	08/11/2020
1051	Charlton	439	US	3	30.78371028	-82.13951596	Georgia	0	08/12/2020
1051	Charlton	444	US	3	30.78371028	-82.13951596	Georgia	0	08/13/2020
1051	Charlton	451	US	3	30.78371028	-82.13951596	Georgia	0	08/14/2020
1051	Charlton	451	US	3	30.78371028	-82.13951596	Georgia	0	08/15/2020
1051	Charlton	490	US	3	30.78371028	-82.13951596	Georgia	0	08/16/2020
1051	Charlton	497	US	3	30.78371028	-82.13951596	Georgia	0	08/17/2020
1051	Charlton	499	US	4	30.78371028	-82.13951596	Georgia	0	08/18/2020
1051	Charlton	504	US	4	30.78371028	-82.13951596	Georgia	0	08/19/2020
1051	Charlton	510	US	4	30.78371028	-82.13951596	Georgia	0	08/20/2020
1051	Charlton	512	US	5	30.78371028	-82.13951596	Georgia	0	08/21/2020
1052	Charlton	529	US	5	30.78371028	-82.13951596	Georgia	0	08/22/2020
1052	Charlton	538	US	5	30.78371028	-82.13951596	Georgia	0	08/23/2020
1052	Charlton	544	US	5	30.78371028	-82.13951596	Georgia	0	08/24/2020
1052	Charlton	545	US	5	30.78371028	-82.13951596	Georgia	0	08/25/2020
