	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
383	Georgia	US	03/22/2020	32.00043026	-81.12489526	4	0	0	Chatham
459	Georgia	US	03/23/2020	32.00043026	-81.12489526	4	0	0	Chatham
459	Georgia	US	03/24/2020	32.00043026	-81.12489526	7	0	0	Chatham
459	Georgia	US	03/25/2020	32.00043026	-81.12489526	7	0	0	Chatham
459	Georgia	US	03/26/2020	32.00043026	-81.12489526	9	0	0	Chatham
459	Georgia	US	03/27/2020	32.00043026	-81.12489526	10	0	0	Chatham
459	Georgia	US	03/28/2020	32.00043026	-81.12489526	15	0	0	Chatham
459	Georgia	US	03/29/2020	32.00043026	-81.12489526	15	0	0	Chatham
459	Georgia	US	03/30/2020	32.00043026	-81.12489526	16	0	0	Chatham
325	Georgia	US	03/31/2020	32.00043026	-81.12489526	26	2	0	Chatham
334	Georgia	US	04/01/2020	32.00043026	-81.12489526	36	2	0	Chatham
344	Georgia	US	04/02/2020	32.00043026	-81.12489526	44	2	0	Chatham
348	Georgia	US	04/03/2020	32.00043026	-81.12489526	58	3	0	Chatham
356	Georgia	US	04/04/2020	32.00043026	-81.12489526	64	3	0	Chatham
369	Georgia	US	04/05/2020	32.00043026	-81.12489526	83	3	0	Chatham
370	Georgia	US	04/06/2020	32.00043026	-81.12489526	104	3	0	Chatham
378	Georgia	US	04/07/2020	32.00043026	-81.12489526	117	4	0	Chatham
382	Georgia	US	04/08/2020	32.00043026	-81.12489526	125	4	0	Chatham
385	Georgia	US	04/09/2020	32.00043026	-81.12489526	131	4	0	Chatham
386	Georgia	US	04/10/2020	32.00043026	-81.12489526	136	5	0	Chatham
390	Georgia	US	04/11/2020	32.00043026	-81.12489526	142	5	0	Chatham
393	Georgia	US	04/12/2020	32.00043026	-81.12489526	147	5	0	Chatham
396	Georgia	US	04/13/2020	32.00043026	-81.12489526	152	5	0	Chatham
397	Georgia	US	04/14/2020	32.00043026	-81.12489526	157	5	0	Chatham
400	Georgia	US	04/15/2020	32.00043026	-81.12489526	160	5	0	Chatham
400	Georgia	US	04/16/2020	32.00043026	-81.12489526	161	5	0	Chatham
402	Georgia	US	04/17/2020	32.00043026	-81.12489526	173	5	0	Chatham
403	Georgia	US	04/18/2020	32.00043026	-81.12489526	177	5	0	Chatham
405	Georgia	US	04/19/2020	32.00043026	-81.12489526	179	5	0	Chatham
405	Georgia	US	04/20/2020	32.00043026	-81.12489526	185	6	0	Chatham
407	Georgia	US	04/21/2020	32.00043026	-81.12489526	185	6	0	Chatham
409	Georgia	US	04/22/2020	32.00043026	-81.12489526	193	7	0	Chatham
410	Georgia	US	04/23/2020	32.00043026	-81.12489526	199	6	0	Chatham
410	Georgia	US	04/24/2020	32.00043026	-81.12489526	205	6	0	Chatham
410	Georgia	US	04/25/2020	32.00043026	-81.12489526	206	6	0	Chatham
411	Georgia	US	04/26/2020	32.00043026	-81.12489526	206	6	0	Chatham
412	Georgia	US	04/27/2020	32.00043026	-81.12489526	208	7	0	Chatham
413	Georgia	US	04/28/2020	32.00043026	-81.12489526	217	7	0	Chatham
413	Georgia	US	04/29/2020	32.00043026	-81.12489526	221	9	0	Chatham
413	Georgia	US	04/30/2020	32.00043026	-81.12489526	226	9	0	Chatham
416	Georgia	US	05/01/2020	32.00043026	-81.12489526	230	9	0	Chatham
417	Georgia	US	05/02/2020	32.00043026	-81.12489526	230	9	0	Chatham
418	Georgia	US	05/03/2020	32.00043026	-81.12489526	234	9	0	Chatham
419	Georgia	US	05/04/2020	32.00043026	-81.12489526	246	10	0	Chatham
421	Georgia	US	05/05/2020	32.00043026	-81.12489526	267	12	0	Chatham
422	Georgia	US	05/06/2020	32.00043026	-81.12489526	282	12	0	Chatham
423	Georgia	US	05/07/2020	32.00043026	-81.12489526	285	12	0	Chatham
423	Georgia	US	05/08/2020	32.00043026	-81.12489526	291	12	0	Chatham
423	Georgia	US	05/09/2020	32.00043026	-81.12489526	299	12	0	Chatham
424	Georgia	US	05/10/2020	32.00043026	-81.12489526	303	12	0	Chatham
424	Georgia	US	05/11/2020	32.00043026	-81.12489526	311	13	0	Chatham
424	Georgia	US	05/12/2020	32.00043026	-81.12489526	327	14	0	Chatham
424	Georgia	US	05/13/2020	32.00043026	-81.12489526	337	14	0	Chatham
425	Georgia	US	05/14/2020	32.00043026	-81.12489526	344	14	0	Chatham
426	Georgia	US	05/15/2020	32.00043026	-81.12489526	353	14	0	Chatham
427	Georgia	US	05/16/2020	32.00043026	-81.12489526	356	14	0	Chatham
428	Georgia	US	05/17/2020	32.00043026	-81.12489526	355	14	0	Chatham
429	Georgia	US	05/18/2020	32.00043026	-81.12489526	363	14	0	Chatham
431	Georgia	US	05/19/2020	32.00043026	-81.12489526	379	16	0	Chatham
431	Georgia	US	05/20/2020	32.00043026	-81.12489526	388	16	0	Chatham
431	Georgia	US	05/21/2020	32.00043026	-81.12489526	406	18	0	Chatham
432	Georgia	US	05/22/2020	32.00043026	-81.12489526	428	21	0	Chatham
432	Georgia	US	05/23/2020	32.00043026	-81.12489526	435	21	0	Chatham
433	Georgia	US	05/24/2020	32.00043026	-81.12489526	445	21	0	Chatham
433	Georgia	US	05/25/2020	32.00043026	-81.12489526	448	21	0	Chatham
433	Georgia	US	05/26/2020	32.00043026	-81.12489526	472	23	0	Chatham
434	Georgia	US	05/27/2020	32.00043026	-81.12489526	476	23	0	Chatham
434	Georgia	US	05/28/2020	32.00043026	-81.12489526	477	24	0	Chatham
434	Georgia	US	05/29/2020	32.00043026	-81.12489526	491	24	0	Chatham
434	Georgia	US	05/30/2020	32.00043026	-81.12489526	501	24	0	Chatham
434	Georgia	US	05/31/2020	32.00043026	-81.12489526	501	24	0	Chatham
435	Georgia	US	06/01/2020	32.00043026	-81.12489526	516	25	0	Chatham
435	Georgia	US	06/02/2020	32.00043026	-81.12489526	518	26	0	Chatham
435	Georgia	US	06/03/2020	32.00043026	-81.12489526	522	26	0	Chatham
435	Georgia	US	06/04/2020	32.00043026	-81.12489526	525	27	0	Chatham
436	Georgia	US	06/05/2020	32.00043026	-81.12489526	542	28	0	Chatham
436	Georgia	US	06/06/2020	32.00043026	-81.12489526	545	27	0	Chatham
436	Georgia	US	06/07/2020	32.00043026	-81.12489526	545	27	0	Chatham
436	Georgia	US	06/08/2020	32.00043026	-81.12489526	552	28	0	Chatham
436	Georgia	US	06/09/2020	32.00043026	-81.12489526	556	29	0	Chatham
437	Georgia	US	06/10/2020	32.00043026	-81.12489526	562	29	0	Chatham
438	Georgia	US	06/11/2020	32.00043026	-81.12489526	584	29	0	Chatham
439	Georgia	US	06/12/2020	32.00043026	-81.12489526	597	29	0	Chatham
439	Georgia	US	06/13/2020	32.00043026	-81.12489526	614	29	0	Chatham
439	Georgia	US	06/14/2020	32.00043026	-81.12489526	616	29	0	Chatham
440	Georgia	US	06/15/2020	32.00043026	-81.12489526	636	31	0	Chatham
440	Georgia	US	06/16/2020	32.00043026	-81.12489526	651	30	0	Chatham
440	Georgia	US	06/17/2020	32.00043026	-81.12489526	684	31	0	Chatham
440	Georgia	US	06/18/2020	32.00043026	-81.12489526	685	31	0	Chatham
440	Georgia	US	06/19/2020	32.00043026	-81.12489526	743	32	0	Chatham
442	Georgia	US	06/20/2020	32.00043026	-81.12489526	760	32	0	Chatham
442	Georgia	US	06/21/2020	32.00043026	-81.12489526	779	32	0	Chatham
442	Georgia	US	06/22/2020	32.00043026	-81.12489526	807	33	0	Chatham
442	Georgia	US	06/23/2020	32.00043026	-81.12489526	872	35	0	Chatham
444	Georgia	US	06/24/2020	32.00043026	-81.12489526	935	35	0	Chatham
445	Georgia	US	06/25/2020	32.00043026	-81.12489526	999	36	0	Chatham
445	Georgia	US	06/26/2020	32.00043026	-81.12489526	1044	37	0	Chatham
445	Georgia	US	06/27/2020	32.00043026	-81.12489526	1088	37	0	Chatham
445	Georgia	US	06/28/2020	32.00043026	-81.12489526	1095	37	0	Chatham
445	Georgia	US	06/29/2020	32.00043026	-81.12489526	1140	37	0	Chatham
446	Georgia	US	06/30/2020	32.00043026	-81.12489526	1321	37	0	Chatham
446	Georgia	US	07/01/2020	32.00043026	-81.12489526	1379	37	0	Chatham
447	Georgia	US	07/02/2020	32.00043026	-81.12489526	1505	37	0	Chatham
448	Georgia	US	07/03/2020	32.00043026	-81.12489526	1647	37	0	Chatham
448	Georgia	US	07/04/2020	32.00043026	-81.12489526	1790	37	0	Chatham
448	Georgia	US	07/05/2020	32.00043026	-81.12489526	1831	37	0	Chatham
448	Georgia	US	07/06/2020	32.00043026	-81.12489526	1917	38	0	Chatham
448	Georgia	US	07/07/2020	32.00043026	-81.12489526	1985	38	0	Chatham
449	Georgia	US	07/08/2020	32.00043026	-81.12489526	2068	38	0	Chatham
449	Georgia	US	07/09/2020	32.00043026	-81.12489526	2117	38	0	Chatham
450	Georgia	US	07/10/2020	32.00043026	-81.12489526	2334	38	0	Chatham
450	Georgia	US	07/11/2020	32.00043026	-81.12489526	2452	38	0	Chatham
450	Georgia	US	07/12/2020	32.00043026	-81.12489526	2554	38	0	Chatham
450	Georgia	US	07/13/2020	32.00043026	-81.12489526	2709	39	0	Chatham
450	Georgia	US	07/14/2020	32.00043026	-81.12489526	2816	39	0	Chatham
450	Georgia	US	07/15/2020	32.00043026	-81.12489526	2907	39	0	Chatham
451	Georgia	US	07/16/2020	32.00043026	-81.12489526	2991	39	0	Chatham
451	Georgia	US	07/17/2020	32.00043026	-81.12489526	3106	39	0	Chatham
470	Georgia	US	07/18/2020	32.00043026	-81.12489526	3264	40	0	Chatham
470	Georgia	US	07/19/2020	32.00043026	-81.12489526	3392	40	0	Chatham
459	Georgia	US	07/20/2020	32.00043026	-81.12489526	3483	40	0	Chatham
471	Georgia	US	07/21/2020	32.00043026	-81.12489526	3603	41	0	Chatham
471	Georgia	US	07/22/2020	32.00043026	-81.12489526	3723	43	0	Chatham
472	Georgia	US	07/23/2020	32.00043026	-81.12489526	3928	44	0	Chatham
472	Georgia	US	07/24/2020	32.00043026	-81.12489526	4068	44	0	Chatham
472	Georgia	US	07/25/2020	32.00043026	-81.12489526	4154	48	0	Chatham
472	Georgia	US	07/26/2020	32.00043026	-81.12489526	4261	48	0	Chatham
472	Georgia	US	07/27/2020	32.00043026	-81.12489526	4382	48	0	Chatham
472	Georgia	US	07/28/2020	32.00043026	-81.12489526	4505	55	0	Chatham
472	Georgia	US	07/29/2020	32.00043026	-81.12489526	4590	57	0	Chatham
472	Georgia	US	07/30/2020	32.00043026	-81.12489526	4707	66	0	Chatham
472	Georgia	US	07/31/2020	32.00043026	-81.12489526	4808	67	0	Chatham
472	Georgia	US	08/01/2020	32.00043026	-81.12489526	4911	67	0	Chatham
472	Georgia	US	08/02/2020	32.00043026	-81.12489526	4960	67	0	Chatham
472	Georgia	US	08/03/2020	32.00043026	-81.12489526	5051	67	0	Chatham
472	Georgia	US	08/04/2020	32.00043026	-81.12489526	5210	66	0	Chatham
473	Georgia	US	08/05/2020	32.00043026	-81.12489526	5360	73	0	Chatham
473	Georgia	US	08/06/2020	32.00043026	-81.12489526	5441	74	0	Chatham
473	Georgia	US	08/07/2020	32.00043026	-81.12489526	5526	74	0	Chatham
473	Georgia	US	08/08/2020	32.00043026	-81.12489526	5665	75	0	Chatham
473	Georgia	US	08/09/2020	32.00043026	-81.12489526	5703	75	0	Chatham
473	Georgia	US	08/10/2020	32.00043026	-81.12489526	5764	75	0	Chatham
1097	Georgia	US	08/11/2020	32.00043026	-81.12489526	5914	76	0	Chatham
1051	Georgia	US	08/12/2020	32.00043026	-81.12489526	5990	87	0	Chatham
1051	Georgia	US	08/13/2020	32.00043026	-81.12489526	6040	90	0	Chatham
1051	Georgia	US	08/14/2020	32.00043026	-81.12489526	6146	91	0	Chatham
1051	Georgia	US	08/15/2020	32.00043026	-81.12489526	6216	95	0	Chatham
1051	Georgia	US	08/16/2020	32.00043026	-81.12489526	6247	96	0	Chatham
1051	Georgia	US	08/17/2020	32.00043026	-81.12489526	6317	96	0	Chatham
1051	Georgia	US	08/18/2020	32.00043026	-81.12489526	6371	101	0	Chatham
1051	Georgia	US	08/19/2020	32.00043026	-81.12489526	6425	106	0	Chatham
1051	Georgia	US	08/20/2020	32.00043026	-81.12489526	6498	108	0	Chatham
1051	Georgia	US	08/21/2020	32.00043026	-81.12489526	6571	110	0	Chatham
1052	Georgia	US	08/22/2020	32.00043026	-81.12489526	6632	114	0	Chatham
1052	Georgia	US	08/23/2020	32.00043026	-81.12489526	6665	115	0	Chatham
1052	Georgia	US	08/24/2020	32.00043026	-81.12489526	6730	115	0	Chatham
1052	Georgia	US	08/25/2020	32.00043026	-81.12489526	6760	116	0	Chatham
1052	Georgia	US	08/26/2020	32.00043026	-81.12489526	6802	118	0	Chatham
1052	Georgia	US	08/27/2020	32.00043026	-81.12489526	6866	121	0	Chatham
1052	Georgia	US	08/28/2020	32.00043026	-81.12489526	6935	120	0	Chatham
1052	Georgia	US	08/29/2020	32.00043026	-81.12489526	6987	120	0	Chatham
1052	Georgia	US	08/30/2020	32.00043026	-81.12489526	7012	121	0	Chatham
1052	Georgia	US	08/31/2020	32.00043026	-81.12489526	7065	121	0	Chatham
1052	Georgia	US	09/01/2020	32.00043026	-81.12489526	7129	124	0	Chatham
1052	Georgia	US	09/02/2020	32.00043026	-81.12489526	7161	125	0	Chatham
1052	Georgia	US	09/03/2020	32.00043026	-81.12489526	7240	129	0	Chatham
1052	Georgia	US	09/04/2020	32.00043026	-81.12489526	7282	130	0	Chatham
1052	Georgia	US	09/05/2020	32.00043026	-81.12489526	7355	131	0	Chatham
1052	Georgia	US	09/06/2020	32.00043026	-81.12489526	7388	131	0	Chatham
1052	Georgia	US	09/07/2020	32.00043026	-81.12489526	7418	131	0	Chatham
1052	Georgia	US	09/08/2020	32.00043026	-81.12489526	7524	131	0	Chatham
1052	Georgia	US	09/09/2020	32.00043026	-81.12489526	7592	132	0	Chatham
1052	Georgia	US	09/10/2020	32.00043026	-81.12489526	7644	132	0	Chatham
1052	Georgia	US	09/11/2020	32.00043026	-81.12489526	7697	134	0	Chatham
1052	Georgia	US	09/12/2020	32.00043026	-81.12489526	7728	136	0	Chatham
1052	Georgia	US	09/13/2020	32.00043026	-81.12489526	7794	136	0	Chatham
1052	Georgia	US	09/14/2020	32.00043026	-81.12489526	7836	136	0	Chatham
1052	Georgia	US	09/15/2020	32.00043026	-81.12489526	7877	140	0	Chatham
