	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1384	Georgia	US	03/22/2020	34.8549167	-85.50490424	0	0	0	Dade
701	Georgia	US	03/23/2020	34.854916700000004	-85.50490424	0	0	0	Dade
701	Georgia	US	03/24/2020	34.854916700000004	-85.50490424	0	0	0	Dade
701	Georgia	US	03/25/2020	34.854916700000004	-85.50490424	0	0	0	Dade
701	Georgia	US	03/26/2020	34.854916700000004	-85.50490424	0	0	0	Dade
701	Georgia	US	03/27/2020	34.854916700000004	-85.50490424	0	0	0	Dade
701	Georgia	US	03/28/2020	34.8549167	-85.50490424	0	0	0	Dade
701	Georgia	US	03/29/2020	34.8549167	-85.50490424	0	0	0	Dade
701	Georgia	US	03/30/2020	34.8549167	-85.50490424	0	0	0	Dade
495	Georgia	US	03/31/2020	34.854916700000004	-85.50490424	1	0	0	Dade
511	Georgia	US	04/01/2020	34.854916700000004	-85.50490424	1	0	0	Dade
530	Georgia	US	04/02/2020	34.8549167	-85.50490424	1	0	0	Dade
538	Georgia	US	04/03/2020	34.854916700000004	-85.50490424	1	1	0	Dade
552	Georgia	US	04/04/2020	34.8549167	-85.50490424	1	1	0	Dade
568	Georgia	US	04/05/2020	34.854916700000004	-85.50490424	1	1	0	Dade
575	Georgia	US	04/06/2020	34.8549167	-85.50490424	1	1	0	Dade
586	Georgia	US	04/07/2020	34.854916700000004	-85.50490424	1	1	0	Dade
591	Georgia	US	04/08/2020	34.854916700000004	-85.50490424	2	1	0	Dade
595	Georgia	US	04/09/2020	34.854916700000004	-85.50490424	2	1	0	Dade
599	Georgia	US	04/10/2020	34.854916700000004	-85.50490424	2	1	0	Dade
604	Georgia	US	04/11/2020	34.854916700000004	-85.50490424	2	1	0	Dade
607	Georgia	US	04/12/2020	34.8549167	-85.50490424	2	1	0	Dade
611	Georgia	US	04/13/2020	34.854916700000004	-85.50490424	2	1	0	Dade
613	Georgia	US	04/14/2020	34.854916700000004	-85.50490424	3	1	0	Dade
616	Georgia	US	04/15/2020	34.854916700000004	-85.50490424	3	1	0	Dade
617	Georgia	US	04/16/2020	34.854916700000004	-85.50490424	7	1	0	Dade
619	Georgia	US	04/17/2020	34.854916700000004	-85.50490424	7	1	0	Dade
620	Georgia	US	04/18/2020	34.8549167	-85.50490424	8	1	0	Dade
624	Georgia	US	04/19/2020	34.8549167	-85.50490424	8	1	0	Dade
625	Georgia	US	04/20/2020	34.854916700000004	-85.50490424	10	1	0	Dade
629	Georgia	US	04/21/2020	34.854916700000004	-85.50490424	12	1	0	Dade
631	Georgia	US	04/22/2020	34.854916700000004	-85.50490424	15	1	0	Dade
634	Georgia	US	04/23/2020	34.854916700000004	-85.50490424	15	1	0	Dade
635	Georgia	US	04/24/2020	34.854916700000004	-85.50490424	16	1	0	Dade
635	Georgia	US	04/25/2020	34.854916700000004	-85.50490424	16	1	0	Dade
636	Georgia	US	04/26/2020	34.854916700000004	-85.50490424	16	1	0	Dade
638	Georgia	US	04/27/2020	34.854916700000004	-85.50490424	17	1	0	Dade
640	Georgia	US	04/28/2020	34.854916700000004	-85.50490424	14	1	0	Dade
640	Georgia	US	04/29/2020	34.854916700000004	-85.50490424	14	1	0	Dade
640	Georgia	US	04/30/2020	34.854916700000004	-85.50490424	14	1	0	Dade
643	Georgia	US	05/01/2020	34.854916700000004	-85.50490424	16	1	0	Dade
644	Georgia	US	05/02/2020	34.854916700000004	-85.50490424	16	1	0	Dade
645	Georgia	US	05/03/2020	34.854916700000004	-85.50490424	15	1	0	Dade
646	Georgia	US	05/04/2020	34.854916700000004	-85.50490424	16	1	0	Dade
650	Georgia	US	05/05/2020	34.854916700000004	-85.50490424	16	1	0	Dade
651	Georgia	US	05/06/2020	34.854916700000004	-85.50490424	17	1	0	Dade
652	Georgia	US	05/07/2020	34.854916700000004	-85.50490424	16	1	0	Dade
655	Georgia	US	05/08/2020	34.854916700000004	-85.50490424	16	1	0	Dade
655	Georgia	US	05/09/2020	34.854916700000004	-85.50490424	16	1	0	Dade
656	Georgia	US	05/10/2020	34.854916700000004	-85.50490424	17	1	0	Dade
656	Georgia	US	05/11/2020	34.854916700000004	-85.50490424	17	1	0	Dade
656	Georgia	US	05/12/2020	34.854916700000004	-85.50490424	17	1	0	Dade
656	Georgia	US	05/13/2020	34.854916700000004	-85.50490424	17	1	0	Dade
657	Georgia	US	05/14/2020	34.854916700000004	-85.50490424	17	1	0	Dade
658	Georgia	US	05/15/2020	34.854916700000004	-85.50490424	20	1	0	Dade
659	Georgia	US	05/16/2020	34.854916700000004	-85.50490424	20	1	0	Dade
660	Georgia	US	05/17/2020	34.854916700000004	-85.50490424	20	1	0	Dade
661	Georgia	US	05/18/2020	34.854916700000004	-85.50490424	20	1	0	Dade
663	Georgia	US	05/19/2020	34.854916700000004	-85.50490424	20	1	0	Dade
664	Georgia	US	05/20/2020	34.854916700000004	-85.50490424	20	1	0	Dade
664	Georgia	US	05/21/2020	34.854916700000004	-85.50490424	21	1	0	Dade
666	Georgia	US	05/22/2020	34.854916700000004	-85.50490424	26	1	0	Dade
666	Georgia	US	05/23/2020	34.854916700000004	-85.50490424	27	1	0	Dade
667	Georgia	US	05/24/2020	34.854916700000004	-85.50490424	27	1	0	Dade
667	Georgia	US	05/25/2020	34.854916700000004	-85.50490424	27	1	0	Dade
667	Georgia	US	05/26/2020	34.854916700000004	-85.50490424	27	1	0	Dade
668	Georgia	US	05/27/2020	34.854916700000004	-85.50490424	27	1	0	Dade
668	Georgia	US	05/28/2020	34.854916700000004	-85.50490424	28	1	0	Dade
668	Georgia	US	05/29/2020	34.854916700000004	-85.50490424	28	1	0	Dade
668	Georgia	US	05/30/2020	34.854916700000004	-85.50490424	28	1	0	Dade
668	Georgia	US	05/31/2020	34.854916700000004	-85.50490424	28	1	0	Dade
669	Georgia	US	06/01/2020	34.854916700000004	-85.50490424	36	1	0	Dade
669	Georgia	US	06/02/2020	34.854916700000004	-85.50490424	37	1	0	Dade
669	Georgia	US	06/03/2020	34.854916700000004	-85.50490424	39	1	0	Dade
670	Georgia	US	06/04/2020	34.854916700000004	-85.50490424	40	1	0	Dade
672	Georgia	US	06/05/2020	34.854916700000004	-85.50490424	41	1	0	Dade
672	Georgia	US	06/06/2020	34.854916700000004	-85.50490424	41	1	0	Dade
672	Georgia	US	06/07/2020	34.854916700000004	-85.50490424	42	1	0	Dade
672	Georgia	US	06/08/2020	34.854916700000004	-85.50490424	41	1	0	Dade
672	Georgia	US	06/09/2020	34.854916700000004	-85.50490424	41	1	0	Dade
673	Georgia	US	06/10/2020	34.854916700000004	-85.50490424	43	1	0	Dade
674	Georgia	US	06/11/2020	34.854916700000004	-85.50490424	45	1	0	Dade
676	Georgia	US	06/12/2020	34.854916700000004	-85.50490424	47	1	0	Dade
677	Georgia	US	06/13/2020	34.854916700000004	-85.50490424	48	1	0	Dade
677	Georgia	US	06/14/2020	34.854916700000004	-85.50490424	48	1	0	Dade
678	Georgia	US	06/15/2020	34.854916700000004	-85.50490424	48	1	0	Dade
678	Georgia	US	06/16/2020	34.854916700000004	-85.50490424	51	1	0	Dade
678	Georgia	US	06/17/2020	34.854916700000004	-85.50490424	52	1	0	Dade
