	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1388	Echols	0	US	0	30.71101099	-82.89687287	Georgia	0	03/22/2020
844	Echols	0	US	0	30.71101099	-82.89687287	Georgia	0	03/23/2020
844	Echols	0	US	0	30.71101099	-82.89687287	Georgia	0	03/24/2020
844	Echols	0	US	0	30.71101099	-82.89687287	Georgia	0	03/25/2020
844	Echols	0	US	0	30.71101099	-82.89687287	Georgia	0	03/26/2020
844	Echols	0	US	0	30.71101099	-82.89687287	Georgia	0	03/27/2020
844	Echols	0	US	0	30.71101099	-82.89687287	Georgia	0	03/28/2020
844	Echols	0	US	0	30.71101099	-82.89687287	Georgia	0	03/29/2020
844	Echols	0	US	0	30.71101099	-82.89687287	Georgia	0	03/30/2020
698	Echols	1	US	0	30.71101099	-82.89687287	Georgia	0	04/07/2020
704	Echols	1	US	0	30.71101099	-82.89687287	Georgia	0	04/08/2020
709	Echols	2	US	0	30.71101099	-82.89687287	Georgia	0	04/09/2020
713	Echols	2	US	0	30.71101099	-82.89687287	Georgia	0	04/10/2020
719	Echols	2	US	0	30.71101099	-82.89687287	Georgia	0	04/11/2020
723	Echols	2	US	0	30.71101099	-82.89687287	Georgia	0	04/12/2020
727	Echols	2	US	0	30.71101099	-82.89687287	Georgia	0	04/13/2020
730	Echols	2	US	0	30.71101099	-82.89687287	Georgia	0	04/14/2020
734	Echols	3	US	0	30.71101099	-82.89687287	Georgia	0	04/15/2020
735	Echols	3	US	0	30.71101099	-82.89687287	Georgia	0	04/16/2020
737	Echols	4	US	0	30.71101099	-82.89687287	Georgia	0	04/17/2020
739	Echols	4	US	0	30.71101099	-82.89687287	Georgia	0	04/18/2020
743	Echols	4	US	0	30.71101099	-82.89687287	Georgia	0	04/19/2020
745	Echols	4	US	0	30.71101099	-82.89687287	Georgia	0	04/20/2020
749	Echols	4	US	0	30.71101099	-82.89687287	Georgia	0	04/21/2020
751	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	04/22/2020
754	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	04/23/2020
755	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	04/24/2020
755	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	04/25/2020
757	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	04/26/2020
759	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	04/27/2020
762	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	04/28/2020
763	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	04/29/2020
763	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	04/30/2020
768	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	05/01/2020
769	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	05/02/2020
770	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	05/03/2020
772	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	05/04/2020
776	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	05/05/2020
777	Echols	5	US	0	30.71101099	-82.89687287	Georgia	0	05/06/2020
778	Echols	6	US	0	30.71101099	-82.89687287	Georgia	0	05/07/2020
781	Echols	6	US	0	30.71101099	-82.89687287	Georgia	0	05/08/2020
781	Echols	6	US	0	30.71101099	-82.89687287	Georgia	0	05/09/2020
782	Echols	6	US	0	30.71101099	-82.89687287	Georgia	0	05/10/2020
782	Echols	7	US	0	30.71101099	-82.89687287	Georgia	0	05/11/2020
782	Echols	8	US	0	30.71101099	-82.89687287	Georgia	0	05/12/2020
782	Echols	10	US	0	30.71101099	-82.89687287	Georgia	0	05/13/2020
783	Echols	12	US	0	30.71101099	-82.89687287	Georgia	0	05/14/2020
784	Echols	15	US	0	30.71101099	-82.89687287	Georgia	0	05/15/2020
785	Echols	15	US	0	30.71101099	-82.89687287	Georgia	0	05/16/2020
786	Echols	15	US	0	30.71101099	-82.89687287	Georgia	0	05/17/2020
787	Echols	16	US	0	30.71101099	-82.89687287	Georgia	0	05/18/2020
789	Echols	21	US	0	30.71101099	-82.89687287	Georgia	0	05/19/2020
790	Echols	53	US	0	30.71101099	-82.89687287	Georgia	0	05/20/2020
790	Echols	54	US	0	30.71101099	-82.89687287	Georgia	0	05/21/2020
792	Echols	59	US	0	30.71101099	-82.89687287	Georgia	0	05/22/2020
792	Echols	61	US	0	30.71101099	-82.89687287	Georgia	0	05/23/2020
793	Echols	61	US	0	30.71101099	-82.89687287	Georgia	0	05/24/2020
793	Echols	62	US	0	30.71101099	-82.89687287	Georgia	0	05/25/2020
793	Echols	96	US	0	30.71101099	-82.89687287	Georgia	0	05/26/2020
794	Echols	99	US	0	30.71101099	-82.89687287	Georgia	0	05/27/2020
794	Echols	104	US	0	30.71101099	-82.89687287	Georgia	0	05/28/2020
794	Echols	107	US	0	30.71101099	-82.89687287	Georgia	0	05/29/2020
794	Echols	110	US	0	30.71101099	-82.89687287	Georgia	0	05/30/2020
794	Echols	117	US	0	30.71101099	-82.89687287	Georgia	0	05/31/2020
795	Echols	119	US	0	30.71101099	-82.89687287	Georgia	0	06/01/2020
796	Echols	121	US	0	30.71101099	-82.89687287	Georgia	0	06/02/2020
796	Echols	125	US	0	30.71101099	-82.89687287	Georgia	0	06/03/2020
797	Echols	130	US	0	30.71101099	-82.89687287	Georgia	0	06/04/2020
799	Echols	136	US	0	30.71101099	-82.89687287	Georgia	0	06/05/2020
799	Echols	146	US	0	30.71101099	-82.89687287	Georgia	0	06/06/2020
799	Echols	147	US	0	30.71101099	-82.89687287	Georgia	0	06/07/2020
799	Echols	146	US	0	30.71101099	-82.89687287	Georgia	0	06/08/2020
799	Echols	146	US	0	30.71101099	-82.89687287	Georgia	0	06/09/2020
800	Echols	149	US	0	30.71101099	-82.89687287	Georgia	0	06/10/2020
801	Echols	153	US	0	30.71101099	-82.89687287	Georgia	0	06/11/2020
806	Echols	153	US	0	30.71101099	-82.89687287	Georgia	0	06/12/2020
807	Echols	158	US	0	30.71101099	-82.89687287	Georgia	0	06/13/2020
807	Echols	160	US	0	30.71101099	-82.89687287	Georgia	0	06/14/2020
809	Echols	161	US	0	30.71101099	-82.89687287	Georgia	0	06/15/2020
808	Echols	162	US	0	30.71101099	-82.89687287	Georgia	0	06/16/2020
808	Echols	164	US	0	30.71101099	-82.89687287	Georgia	0	06/17/2020
808	Echols	165	US	0	30.71101099	-82.89687287	Georgia	0	06/18/2020
808	Echols	168	US	0	30.71101099	-82.89687287	Georgia	0	06/19/2020
812	Echols	172	US	0	30.71101099	-82.89687287	Georgia	0	06/20/2020
812	Echols	173	US	0	30.71101099	-82.89687287	Georgia	0	06/21/2020
812	Echols	177	US	0	30.71101099	-82.89687287	Georgia	0	06/22/2020
812	Echols	177	US	0	30.71101099	-82.89687287	Georgia	0	06/23/2020
816	Echols	177	US	0	30.71101099	-82.89687287	Georgia	0	06/24/2020
817	Echols	177	US	0	30.71101099	-82.89687287	Georgia	0	06/25/2020
817	Echols	180	US	0	30.71101099	-82.89687287	Georgia	0	06/26/2020
818	Echols	181	US	0	30.71101099	-82.89687287	Georgia	0	06/27/2020
818	Echols	182	US	0	30.71101099	-82.89687287	Georgia	0	06/28/2020
818	Echols	183	US	0	30.71101099	-82.89687287	Georgia	0	06/29/2020
819	Echols	184	US	0	30.71101099	-82.89687287	Georgia	0	06/30/2020
819	Echols	185	US	0	30.71101099	-82.89687287	Georgia	0	07/01/2020
820	Echols	185	US	0	30.71101099	-82.89687287	Georgia	0	07/02/2020
821	Echols	185	US	0	30.71101099	-82.89687287	Georgia	0	07/03/2020
821	Echols	185	US	0	30.71101099	-82.89687287	Georgia	0	07/04/2020
821	Echols	185	US	0	30.71101099	-82.89687287	Georgia	0	07/05/2020
821	Echols	185	US	0	30.71101099	-82.89687287	Georgia	0	07/06/2020
821	Echols	187	US	0	30.71101099	-82.89687287	Georgia	0	07/07/2020
822	Echols	188	US	0	30.71101099	-82.89687287	Georgia	0	07/08/2020
822	Echols	191	US	0	30.71101099	-82.89687287	Georgia	0	07/09/2020
823	Echols	192	US	0	30.71101099	-82.89687287	Georgia	0	07/10/2020
823	Echols	192	US	0	30.71101099	-82.89687287	Georgia	0	07/11/2020
823	Echols	197	US	0	30.71101099	-82.89687287	Georgia	0	07/12/2020
824	Echols	197	US	0	30.71101099	-82.89687287	Georgia	0	07/13/2020
824	Echols	199	US	0	30.71101099	-82.89687287	Georgia	0	07/14/2020
824	Echols	199	US	0	30.71101099	-82.89687287	Georgia	0	07/15/2020
826	Echols	205	US	0	30.71101099	-82.89687287	Georgia	0	07/16/2020
826	Echols	205	US	0	30.71101099	-82.89687287	Georgia	0	07/17/2020
852	Echols	206	US	0	30.71101099	-82.89687287	Georgia	0	07/18/2020
853	Echols	208	US	0	30.71101099	-82.89687287	Georgia	0	07/19/2020
833	Echols	209	US	0	30.71101099	-82.89687287	Georgia	0	07/20/2020
856	Echols	211	US	0	30.71101099	-82.89687287	Georgia	0	07/21/2020
856	Echols	217	US	0	30.71101099	-82.89687287	Georgia	0	07/22/2020
857	Echols	217	US	0	30.71101099	-82.89687287	Georgia	0	07/23/2020
856	Echols	217	US	0	30.71101099	-82.89687287	Georgia	0	07/24/2020
857	Echols	217	US	0	30.71101099	-82.89687287	Georgia	0	07/25/2020
858	Echols	217	US	0	30.71101099	-82.89687287	Georgia	0	07/26/2020
858	Echols	217	US	0	30.71101099	-82.89687287	Georgia	0	07/27/2020
858	Echols	218	US	0	30.71101099	-82.89687287	Georgia	0	07/28/2020
859	Echols	220	US	0	30.71101099	-82.89687287	Georgia	0	07/29/2020
859	Echols	221	US	1	30.71101099	-82.89687287	Georgia	0	07/30/2020
860	Echols	220	US	1	30.71101099	-82.89687287	Georgia	0	07/31/2020
860	Echols	218	US	2	30.71101099	-82.89687287	Georgia	0	08/01/2020
860	Echols	218	US	2	30.71101099	-82.89687287	Georgia	0	08/02/2020
860	Echols	218	US	2	30.71101099	-82.89687287	Georgia	0	08/03/2020
860	Echols	215	US	2	30.71101099	-82.89687287	Georgia	0	08/04/2020
861	Echols	216	US	2	30.71101099	-82.89687287	Georgia	0	08/05/2020
861	Echols	217	US	2	30.71101099	-82.89687287	Georgia	0	08/06/2020
861	Echols	220	US	2	30.71101099	-82.89687287	Georgia	0	08/07/2020
861	Echols	221	US	2	30.71101099	-82.89687287	Georgia	0	08/08/2020
861	Echols	222	US	2	30.71101099	-82.89687287	Georgia	0	08/09/2020
861	Echols	222	US	2	30.71101099	-82.89687287	Georgia	0	08/10/2020
1123	Echols	225	US	2	30.71101099	-82.89687287	Georgia	0	08/11/2020
1077	Echols	225	US	2	30.71101099	-82.89687287	Georgia	0	08/12/2020
1077	Echols	225	US	2	30.71101099	-82.89687287	Georgia	0	08/13/2020
1077	Echols	226	US	2	30.71101099	-82.89687287	Georgia	0	08/14/2020
1077	Echols	226	US	2	30.71101099	-82.89687287	Georgia	0	08/15/2020
1077	Echols	226	US	2	30.71101099	-82.89687287	Georgia	0	08/16/2020
1077	Echols	226	US	2	30.71101099	-82.89687287	Georgia	0	08/17/2020
1077	Echols	226	US	2	30.71101099	-82.89687287	Georgia	0	08/18/2020
1077	Echols	228	US	2	30.71101099	-82.89687287	Georgia	0	08/19/2020
1077	Echols	228	US	2	30.71101099	-82.89687287	Georgia	0	08/20/2020
1077	Echols	228	US	2	30.71101099	-82.89687287	Georgia	0	08/21/2020
1078	Echols	230	US	2	30.71101099	-82.89687287	Georgia	0	08/22/2020
1078	Echols	230	US	2	30.71101099	-82.89687287	Georgia	0	08/23/2020
1078	Echols	230	US	2	30.71101099	-82.89687287	Georgia	0	08/24/2020
1078	Echols	231	US	2	30.71101099	-82.89687287	Georgia	0	08/25/2020
1078	Echols	231	US	2	30.71101099	-82.89687287	Georgia	0	08/26/2020
1078	Echols	231	US	2	30.71101099	-82.89687287	Georgia	0	08/27/2020
