	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1393	Franklin	0	US	0	34.37525597	-83.23159927	Georgia	0	03/22/2020
959	Franklin	0	US	0	34.37525597	-83.23159927	Georgia	0	03/23/2020
959	Franklin	0	US	0	34.37525597	-83.23159927	Georgia	0	03/24/2020
959	Franklin	0	US	0	34.37525597	-83.23159927	Georgia	0	03/25/2020
958	Franklin	0	US	0	34.37525597	-83.23159927	Georgia	0	03/26/2020
958	Franklin	1	US	0	34.37525597	-83.23159927	Georgia	0	03/27/2020
958	Franklin	2	US	0	34.37525597	-83.23159927	Georgia	0	03/28/2020
958	Franklin	2	US	0	34.37525597	-83.23159927	Georgia	0	03/29/2020
958	Franklin	3	US	0	34.37525597	-83.23159927	Georgia	0	03/30/2020
664	Franklin	4	US	0	34.37525597	-83.23159927	Georgia	0	03/31/2020
682	Franklin	5	US	0	34.37525597	-83.23159927	Georgia	0	04/01/2020
705	Franklin	5	US	0	34.37525597	-83.23159927	Georgia	0	04/02/2020
718	Franklin	5	US	0	34.37525597	-83.23159927	Georgia	0	04/03/2020
733	Franklin	5	US	0	34.37525597	-83.23159927	Georgia	0	04/04/2020
760	Franklin	5	US	0	34.37525597	-83.23159927	Georgia	0	04/05/2020
770	Franklin	5	US	0	34.37525597	-83.23159927	Georgia	0	04/06/2020
787	Franklin	3	US	0	34.37525597	-83.23159927	Georgia	0	04/07/2020
793	Franklin	3	US	0	34.37525597	-83.23159927	Georgia	0	04/08/2020
799	Franklin	3	US	0	34.37525597	-83.23159927	Georgia	0	04/09/2020
804	Franklin	3	US	0	34.37525597	-83.23159927	Georgia	0	04/10/2020
810	Franklin	4	US	0	34.37525597	-83.23159927	Georgia	0	04/11/2020
816	Franklin	4	US	0	34.37525597	-83.23159927	Georgia	0	04/12/2020
822	Franklin	4	US	0	34.37525597	-83.23159927	Georgia	0	04/13/2020
825	Franklin	5	US	0	34.37525597	-83.23159927	Georgia	0	04/14/2020
829	Franklin	7	US	0	34.37525597	-83.23159927	Georgia	0	04/15/2020
830	Franklin	8	US	0	34.37525597	-83.23159927	Georgia	0	04/16/2020
831	Franklin	10	US	0	34.37525597	-83.23159927	Georgia	0	04/17/2020
833	Franklin	10	US	0	34.37525597	-83.23159927	Georgia	0	04/18/2020
837	Franklin	10	US	0	34.37525597	-83.23159927	Georgia	0	04/19/2020
840	Franklin	12	US	0	34.37525597	-83.23159927	Georgia	0	04/20/2020
844	Franklin	12	US	0	34.37525597	-83.23159927	Georgia	0	04/21/2020
847	Franklin	13	US	0	34.37525597	-83.23159927	Georgia	0	04/22/2020
851	Franklin	16	US	0	34.37525597	-83.23159927	Georgia	0	04/23/2020
852	Franklin	16	US	0	34.37525597	-83.23159927	Georgia	0	04/24/2020
852	Franklin	17	US	0	34.37525597	-83.23159927	Georgia	0	04/25/2020
