	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1405	Georgia	US	03/22/2020	33.31535543	-83.68844964	0	0	0	Jasper
1389	Georgia	US	03/23/2020	33.31535543	-83.68844964	0	0	0	Jasper
1389	Georgia	US	03/24/2020	33.31535543	-83.68844964	1	0	0	Jasper
1389	Georgia	US	03/25/2020	33.31535543	-83.68844964	2	0	0	Jasper
1388	Georgia	US	03/26/2020	33.31535543	-83.68844964	2	0	0	Jasper
1388	Georgia	US	03/27/2020	33.31535543	-83.68844964	2	0	0	Jasper
1388	Georgia	US	03/28/2020	33.31535543	-83.68844964	2	0	0	Jasper
1388	Georgia	US	03/29/2020	33.31535543	-83.68844964	2	0	0	Jasper
1388	Georgia	US	03/30/2020	33.31535543	-83.68844964	2	0	0	Jasper
936	Georgia	US	03/31/2020	33.31535543	-83.68844964	2	0	0	Jasper
961	Georgia	US	04/01/2020	33.31535543	-83.68844964	2	0	0	Jasper
997	Georgia	US	04/02/2020	33.31535543	-83.68844964	2	0	0	Jasper
1016	Georgia	US	04/03/2020	33.31535543	-83.68844964	2	0	0	Jasper
1038	Georgia	US	04/04/2020	33.31535543	-83.68844964	2	0	0	Jasper
1075	Georgia	US	04/05/2020	33.31535543	-83.68844964	4	0	0	Jasper
1090	Georgia	US	04/06/2020	33.31535543	-83.68844964	3	0	0	Jasper
1113	Georgia	US	04/07/2020	33.31535543	-83.68844964	6	0	0	Jasper
1126	Georgia	US	04/08/2020	33.31535543	-83.68844964	5	0	0	Jasper
1137	Georgia	US	04/09/2020	33.31535543	-83.68844964	5	0	0	Jasper
1144	Georgia	US	04/10/2020	33.31535543	-83.68844964	6	0	0	Jasper
1157	Georgia	US	04/11/2020	33.31535543	-83.68844964	6	0	0	Jasper
1165	Georgia	US	04/12/2020	33.31535543	-83.68844964	6	0	0	Jasper
1174	Georgia	US	04/13/2020	33.31535543	-83.68844964	8	0	0	Jasper
1178	Georgia	US	04/14/2020	33.31535543	-83.68844964	9	0	0	Jasper
1184	Georgia	US	04/15/2020	33.31535543	-83.68844964	10	0	0	Jasper
1187	Georgia	US	04/16/2020	33.31535543	-83.68844964	10	0	0	Jasper
1187	Georgia	US	04/17/2020	33.31535543	-83.68844964	14	0	0	Jasper
1192	Georgia	US	04/18/2020	33.31535543	-83.68844964	14	0	0	Jasper
1202	Georgia	US	04/19/2020	33.31535543	-83.68844964	17	0	0	Jasper
1206	Georgia	US	04/20/2020	33.31535543	-83.68844964	18	0	0	Jasper
1212	Georgia	US	04/21/2020	33.31535543	-83.68844964	17	0	0	Jasper
1216	Georgia	US	04/22/2020	33.31535543	-83.68844964	18	0	0	Jasper
1224	Georgia	US	04/23/2020	33.31535543	-83.68844964	19	0	0	Jasper
1226	Georgia	US	04/24/2020	33.31535543	-83.68844964	20	0	0	Jasper
1227	Georgia	US	04/25/2020	33.31535543	-83.68844964	20	0	0	Jasper
1232	Georgia	US	04/26/2020	33.31535543	-83.68844964	20	0	0	Jasper
1234	Georgia	US	04/27/2020	33.31535543	-83.68844964	20	0	0	Jasper
1239	Georgia	US	04/28/2020	33.31535543	-83.68844964	21	0	0	Jasper
1241	Georgia	US	04/29/2020	33.31535543	-83.68844964	22	0	0	Jasper
1247	Georgia	US	04/30/2020	33.31535543	-83.68844964	21	0	0	Jasper
1253	Georgia	US	05/01/2020	33.31535543	-83.68844964	22	0	0	Jasper
1256	Georgia	US	05/02/2020	33.31535543	-83.68844964	23	0	0	Jasper
1258	Georgia	US	05/03/2020	33.31535543	-83.68844964	24	0	0	Jasper
1260	Georgia	US	05/04/2020	33.31535543	-83.68844964	25	0	0	Jasper
1265	Georgia	US	05/05/2020	33.31535543	-83.68844964	25	0	0	Jasper
1268	Georgia	US	05/06/2020	33.31535543	-83.68844964	26	0	0	Jasper
1271	Georgia	US	05/07/2020	33.31535543	-83.68844964	26	0	0	Jasper
1275	Georgia	US	05/08/2020	33.31535543	-83.68844964	26	0	0	Jasper
1275	Georgia	US	05/09/2020	33.31535543	-83.68844964	25	0	0	Jasper
1276	Georgia	US	05/10/2020	33.31535543	-83.68844964	25	0	0	Jasper
1276	Georgia	US	05/11/2020	33.31535543	-83.68844964	25	0	0	Jasper
1278	Georgia	US	05/12/2020	33.31535543	-83.68844964	26	0	0	Jasper
1278	Georgia	US	05/13/2020	33.31535543	-83.68844964	26	0	0	Jasper
1279	Georgia	US	05/14/2020	33.31535543	-83.68844964	26	0	0	Jasper
1283	Georgia	US	05/15/2020	33.31535543	-83.68844964	26	0	0	Jasper
1284	Georgia	US	05/16/2020	33.31535543	-83.68844964	26	0	0	Jasper
1285	Georgia	US	05/17/2020	33.31535543	-83.68844964	26	0	0	Jasper
1286	Georgia	US	05/18/2020	33.31535543	-83.68844964	26	0	0	Jasper
1288	Georgia	US	05/19/2020	33.31535543	-83.68844964	26	0	0	Jasper
1291	Georgia	US	05/20/2020	33.31535543	-83.68844964	26	0	0	Jasper
