	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1409	Georgia	US	03/22/2020	32.70211082	-82.66166794	0	0	0	Johnson
1439	Georgia	US	03/23/2020	32.70211082	-82.66166794	0	0	0	Johnson
1439	Georgia	US	03/24/2020	32.70211082	-82.66166794	0	0	0	Johnson
1439	Georgia	US	03/25/2020	32.70211082	-82.66166794	0	0	0	Johnson
1438	Georgia	US	03/26/2020	32.70211082	-82.66166794	0	0	0	Johnson
1438	Georgia	US	03/27/2020	32.70211082	-82.66166794	0	0	0	Johnson
1438	Georgia	US	03/28/2020	32.70211082	-82.66166794	0	0	0	Johnson
1438	Georgia	US	03/29/2020	32.70211082	-82.66166794	0	0	0	Johnson
1438	Georgia	US	03/30/2020	32.70211082	-82.66166794	0	0	0	Johnson
969	Georgia	US	03/31/2020	32.70211082	-82.66166794	1	0	0	Johnson
996	Georgia	US	04/01/2020	32.70211082	-82.66166794	1	0	0	Johnson
1034	Georgia	US	04/02/2020	32.70211082	-82.66166794	1	0	0	Johnson
1053	Georgia	US	04/03/2020	32.70211082	-82.66166794	1	0	0	Johnson
1078	Georgia	US	04/04/2020	32.70211082	-82.66166794	1	0	0	Johnson
1117	Georgia	US	04/05/2020	32.70211082	-82.66166794	3	0	0	Johnson
1133	Georgia	US	04/06/2020	32.70211082	-82.66166794	3	0	0	Johnson
1157	Georgia	US	04/07/2020	32.70211082	-82.66166794	6	0	0	Johnson
1170	Georgia	US	04/08/2020	32.70211082	-82.66166794	13	0	0	Johnson
1183	Georgia	US	04/09/2020	32.70211082	-82.66166794	13	0	0	Johnson
1190	Georgia	US	04/10/2020	32.70211082	-82.66166794	14	1	0	Johnson
1203	Georgia	US	04/11/2020	32.70211082	-82.66166794	15	1	0	Johnson
1211	Georgia	US	04/12/2020	32.70211082	-82.66166794	19	1	0	Johnson
1220	Georgia	US	04/13/2020	32.70211082	-82.66166794	19	1	0	Johnson
1225	Georgia	US	04/14/2020	32.70211082	-82.66166794	20	1	0	Johnson
1231	Georgia	US	04/15/2020	32.70211082	-82.66166794	21	1	0	Johnson
1234	Georgia	US	04/16/2020	32.70211082	-82.66166794	24	1	0	Johnson
1234	Georgia	US	04/17/2020	32.70211082	-82.66166794	32	1	0	Johnson
1239	Georgia	US	04/18/2020	32.70211082	-82.66166794	33	1	0	Johnson
1249	Georgia	US	04/19/2020	32.70211082	-82.66166794	33	1	0	Johnson
1253	Georgia	US	04/20/2020	32.70211082	-82.66166794	34	1	0	Johnson
1259	Georgia	US	04/21/2020	32.70211082	-82.66166794	34	1	0	Johnson
1263	Georgia	US	04/22/2020	32.70211082	-82.66166794	37	1	0	Johnson
1272	Georgia	US	04/23/2020	32.70211082	-82.66166794	38	1	0	Johnson
1274	Georgia	US	04/24/2020	32.70211082	-82.66166794	36	1	0	Johnson
1275	Georgia	US	04/25/2020	32.70211082	-82.66166794	36	2	0	Johnson
1281	Georgia	US	04/26/2020	32.70211082	-82.66166794	36	2	0	Johnson
1283	Georgia	US	04/27/2020	32.70211082	-82.66166794	39	2	0	Johnson
