	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1415	Madison	0	US	0	34.12920917	-83.21218732	Georgia	0	03/22/2020
1758	Madison	1	US	0	34.12920917	-83.21218732	Georgia	0	03/23/2020
1758	Madison	1	US	0	34.12920917	-83.21218732	Georgia	0	03/24/2020
1758	Madison	1	US	0	34.12920917	-83.21218732	Georgia	0	03/25/2020
1757	Madison	2	US	0	34.12920917	-83.21218732	Georgia	0	03/26/2020
1757	Madison	3	US	0	34.12920917	-83.21218732	Georgia	0	03/27/2020
1757	Madison	3	US	0	34.12920917	-83.21218732	Georgia	0	03/28/2020
1757	Madison	3	US	0	34.12920917	-83.21218732	Georgia	0	03/29/2020
1757	Madison	3	US	0	34.12920917	-83.21218732	Georgia	0	03/30/2020
1181	Madison	3	US	1	34.12920917	-83.21218732	Georgia	0	03/31/2020
1213	Madison	3	US	1	34.12920917	-83.21218732	Georgia	0	04/01/2020
1263	Madison	4	US	1	34.12920917	-83.21218732	Georgia	0	04/02/2020
1288	Madison	5	US	1	34.12920917	-83.21218732	Georgia	0	04/03/2020
1318	Madison	7	US	1	34.12920917	-83.21218732	Georgia	0	04/04/2020
1362	Madison	7	US	1	34.12920917	-83.21218732	Georgia	0	04/05/2020
1383	Madison	7	US	1	34.12920917	-83.21218732	Georgia	0	04/06/2020
1413	Madison	9	US	1	34.12920917	-83.21218732	Georgia	0	04/07/2020
1428	Madison	9	US	1	34.12920917	-83.21218732	Georgia	0	04/08/2020
1445	Madison	10	US	1	34.12920917	-83.21218732	Georgia	0	04/09/2020
1452	Madison	9	US	1	34.12920917	-83.21218732	Georgia	0	04/10/2020
1468	Madison	10	US	1	34.12920917	-83.21218732	Georgia	0	04/11/2020
1480	Madison	10	US	1	34.12920917	-83.21218732	Georgia	0	04/12/2020
1490	Madison	10	US	1	34.12920917	-83.21218732	Georgia	0	04/13/2020
1496	Madison	12	US	1	34.12920917	-83.21218732	Georgia	0	04/14/2020
1504	Madison	13	US	1	34.12920917	-83.21218732	Georgia	0	04/15/2020
1509	Madison	14	US	1	34.12920917	-83.21218732	Georgia	0	04/16/2020
1508	Madison	14	US	1	34.12920917	-83.21218732	Georgia	0	04/17/2020
1514	Madison	14	US	1	34.12920917	-83.21218732	Georgia	0	04/18/2020
1524	Madison	14	US	1	34.12920917	-83.21218732	Georgia	0	04/19/2020
1528	Madison	15	US	1	34.12920917	-83.21218732	Georgia	0	04/20/2020
1535	Madison	16	US	1	34.12920917	-83.21218732	Georgia	0	04/21/2020
1540	Madison	18	US	1	34.12920917	-83.21218732	Georgia	0	04/22/2020
1550	Madison	19	US	1	34.12920917	-83.21218732	Georgia	0	04/23/2020
1552	Madison	21	US	1	34.12920917	-83.21218732	Georgia	0	04/24/2020
1554	Madison	23	US	1	34.12920917	-83.21218732	Georgia	0	04/25/2020
