	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
405	Oconee	1	US	0	33.83749973	-83.43679568	Georgia	0	03/22/2020
2115	Oconee	3	US	0	33.83749973	-83.43679568	Georgia	0	03/23/2020
2115	Oconee	5	US	0	33.83749973	-83.43679568	Georgia	0	03/24/2020
2115	Oconee	5	US	0	33.83749973	-83.43679568	Georgia	0	03/25/2020
2114	Oconee	7	US	0	33.83749973	-83.43679568	Georgia	0	03/26/2020
2114	Oconee	10	US	0	33.83749973	-83.43679568	Georgia	0	03/27/2020
2114	Oconee	10	US	0	33.83749973	-83.43679568	Georgia	0	03/28/2020
2114	Oconee	11	US	0	33.83749973	-83.43679568	Georgia	0	03/29/2020
2114	Oconee	11	US	0	33.83749973	-83.43679568	Georgia	0	03/30/2020
1430	Oconee	15	US	0	33.83749973	-83.43679568	Georgia	0	03/31/2020
1467	Oconee	17	US	0	33.83749973	-83.43679568	Georgia	0	04/01/2020
1524	Oconee	18	US	0	33.83749973	-83.43679568	Georgia	0	04/02/2020
1556	Oconee	19	US	0	33.83749973	-83.43679568	Georgia	0	04/03/2020
1594	Oconee	22	US	0	33.83749973	-83.43679568	Georgia	0	04/04/2020
1646	Oconee	24	US	0	33.83749973	-83.43679568	Georgia	0	04/05/2020
1672	Oconee	24	US	0	33.83749973	-83.43679568	Georgia	0	04/06/2020
1709	Oconee	32	US	0	33.83749973	-83.43679568	Georgia	0	04/07/2020
1724	Oconee	33	US	1	33.83749973	-83.43679568	Georgia	0	04/08/2020
1744	Oconee	33	US	1	33.83749973	-83.43679568	Georgia	0	04/09/2020
1756	Oconee	35	US	1	33.83749973	-83.43679568	Georgia	0	04/10/2020
1774	Oconee	36	US	1	33.83749973	-83.43679568	Georgia	0	04/11/2020
1787	Oconee	38	US	1	33.83749973	-83.43679568	Georgia	0	04/12/2020
1801	Oconee	39	US	1	33.83749973	-83.43679568	Georgia	0	04/13/2020
1808	Oconee	42	US	1	33.83749973	-83.43679568	Georgia	0	04/14/2020
1818	Oconee	43	US	0	33.83749973	-83.43679568	Georgia	0	04/15/2020
1826	Oconee	45	US	6	33.83749973	-83.43679568	Georgia	0	04/16/2020
1828	Oconee	48	US	0	33.83749973	-83.43679568	Georgia	0	04/17/2020
1834	Oconee	48	US	0	33.83749973	-83.43679568	Georgia	0	04/18/2020
1845	Oconee	50	US	0	33.83749973	-83.43679568	Georgia	0	04/19/2020
1852	Oconee	51	US	0	33.83749973	-83.43679568	Georgia	0	04/20/2020
1860	Oconee	53	US	0	33.83749973	-83.43679568	Georgia	0	04/21/2020
1867	Oconee	53	US	0	33.83749973	-83.43679568	Georgia	0	04/22/2020
1878	Oconee	54	US	0	33.83749973	-83.43679568	Georgia	0	04/23/2020
1883	Oconee	54	US	0	33.83749973	-83.43679568	Georgia	0	04/24/2020
1887	Oconee	55	US	0	33.83749973	-83.43679568	Georgia	0	04/25/2020
1893	Oconee	53	US	0	33.83749973	-83.43679568	Georgia	0	04/26/2020
1896	Oconee	57	US	0	33.83749973	-83.43679568	Georgia	0	04/27/2020
1903	Oconee	58	US	0	33.83749973	-83.43679568	Georgia	0	04/28/2020
1906	Oconee	59	US	0	33.83749973	-83.43679568	Georgia	0	04/29/2020
1912	Oconee	64	US	0	33.83749973	-83.43679568	Georgia	0	04/30/2020
1921	Oconee	66	US	0	33.83749973	-83.43679568	Georgia	0	05/01/2020
1925	Oconee	65	US	0	33.83749973	-83.43679568	Georgia	0	05/02/2020
1928	Oconee	65	US	0	33.83749973	-83.43679568	Georgia	0	05/03/2020
1930	Oconee	65	US	0	33.83749973	-83.43679568	Georgia	0	05/04/2020
1936	Oconee	67	US	0	33.83749973	-83.43679568	Georgia	0	05/05/2020
1940	Oconee	67	US	0	33.83749973	-83.43679568	Georgia	0	05/06/2020
1944	Oconee	67	US	0	33.83749973	-83.43679568	Georgia	0	05/07/2020
1949	Oconee	66	US	0	33.83749973	-83.43679568	Georgia	0	05/08/2020
1950	Oconee	66	US	0	33.83749973	-83.43679568	Georgia	0	05/09/2020
1951	Oconee	67	US	0	33.83749973	-83.43679568	Georgia	0	05/10/2020
1951	Oconee	66	US	0	33.83749973	-83.43679568	Georgia	0	05/11/2020
1954	Oconee	66	US	0	33.83749973	-83.43679568	Georgia	0	05/12/2020
1954	Oconee	66	US	0	33.83749973	-83.43679568	Georgia	0	05/13/2020
1955	Oconee	80	US	0	33.83749973	-83.43679568	Georgia	0	05/14/2020
1959	Oconee	80	US	2	33.83749973	-83.43679568	Georgia	0	05/15/2020
1963	Oconee	80	US	2	33.83749973	-83.43679568	Georgia	0	05/16/2020
1965	Oconee	79	US	2	33.83749973	-83.43679568	Georgia	0	05/17/2020
1967	Oconee	80	US	3	33.83749973	-83.43679568	Georgia	0	05/18/2020
1969	Oconee	81	US	3	33.83749973	-83.43679568	Georgia	0	05/19/2020
1975	Oconee	82	US	3	33.83749973	-83.43679568	Georgia	0	05/20/2020
1976	Oconee	103	US	3	33.83749973	-83.43679568	Georgia	0	05/21/2020
1981	Oconee	103	US	5	33.83749973	-83.43679568	Georgia	0	05/22/2020
1983	Oconee	103	US	5	33.83749973	-83.43679568	Georgia	0	05/23/2020
