	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
395	Georgia	US	03/22/2020	31.45743864	-83.5236119	2	0	0	Tift
2798	Georgia	US	03/23/2020	31.45743864	-83.5236119	2	0	0	Tift
2798	Georgia	US	03/24/2020	31.45743864	-83.5236119	2	0	0	Tift
2798	Georgia	US	03/25/2020	31.45743864	-83.5236119	5	0	0	Tift
2797	Georgia	US	03/26/2020	31.45743864	-83.5236119	5	0	0	Tift
2797	Georgia	US	03/27/2020	31.45743864	-83.5236119	11	0	0	Tift
2797	Georgia	US	03/28/2020	31.45743864	-83.5236119	13	0	0	Tift
2797	Georgia	US	03/29/2020	31.45743864	-83.5236119	13	0	0	Tift
2797	Georgia	US	03/30/2020	31.45743864	-83.5236119	19	0	0	Tift
1887	Georgia	US	03/31/2020	31.45743864	-83.5236119	19	0	0	Tift
1933	Georgia	US	04/01/2020	31.45743864	-83.5236119	24	0	0	Tift
2001	Georgia	US	04/02/2020	31.45743864	-83.5236119	28	0	0	Tift
2046	Georgia	US	04/03/2020	31.45743864	-83.5236119	30	0	0	Tift
2098	Georgia	US	04/04/2020	31.45743864	-83.5236119	34	0	0	Tift
2170	Georgia	US	04/05/2020	31.45743864	-83.5236119	34	0	0	Tift
2206	Georgia	US	04/06/2020	31.45743864	-83.5236119	42	0	0	Tift
2252	Georgia	US	04/07/2020	31.45743864	-83.5236119	43	1	0	Tift
2275	Georgia	US	04/08/2020	31.45743864	-83.5236119	47	1	0	Tift
2300	Georgia	US	04/09/2020	31.45743864	-83.5236119	52	1	0	Tift
2324	Georgia	US	04/10/2020	31.45743864	-83.5236119	56	1	0	Tift
2349	Georgia	US	04/11/2020	31.45743864	-83.5236119	57	1	0	Tift
2369	Georgia	US	04/12/2020	31.45743864	-83.5236119	59	1	0	Tift
2383	Georgia	US	04/13/2020	31.45743864	-83.5236119	62	2	0	Tift
2392	Georgia	US	04/14/2020	31.45743864	-83.5236119	71	1	0	Tift
2404	Georgia	US	04/15/2020	31.45743864	-83.5236119	74	1	0	Tift
