	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1442	Toombs	0	US	0	32.12059861	-82.32957247	Georgia	0	03/22/2020
2817	Toombs	0	US	0	32.12059861	-82.32957247	Georgia	0	03/23/2020
2817	Toombs	0	US	0	32.12059861	-82.32957247	Georgia	0	03/24/2020
2817	Toombs	0	US	0	32.12059861	-82.32957247	Georgia	0	03/25/2020
2816	Toombs	1	US	0	32.12059861	-82.32957247	Georgia	0	03/26/2020
2816	Toombs	1	US	0	32.12059861	-82.32957247	Georgia	0	03/27/2020
2816	Toombs	1	US	0	32.12059861	-82.32957247	Georgia	0	03/28/2020
2816	Toombs	1	US	0	32.12059861	-82.32957247	Georgia	0	03/29/2020
2816	Toombs	2	US	0	32.12059861	-82.32957247	Georgia	0	03/30/2020
1902	Toombs	3	US	0	32.12059861	-82.32957247	Georgia	0	03/31/2020
1948	Toombs	2	US	0	32.12059861	-82.32957247	Georgia	0	04/01/2020
2016	Toombs	4	US	0	32.12059861	-82.32957247	Georgia	0	04/02/2020
2062	Toombs	5	US	1	32.12059861	-82.32957247	Georgia	0	04/03/2020
2115	Toombs	5	US	1	32.12059861	-82.32957247	Georgia	0	04/04/2020
2187	Toombs	5	US	1	32.12059861	-82.32957247	Georgia	0	04/05/2020
2223	Toombs	7	US	1	32.12059861	-82.32957247	Georgia	0	04/06/2020
2269	Toombs	8	US	1	32.12059861	-82.32957247	Georgia	0	04/07/2020
2292	Toombs	8	US	1	32.12059861	-82.32957247	Georgia	0	04/08/2020
2318	Toombs	8	US	1	32.12059861	-82.32957247	Georgia	0	04/09/2020
2342	Toombs	11	US	1	32.12059861	-82.32957247	Georgia	0	04/10/2020
2367	Toombs	11	US	1	32.12059861	-82.32957247	Georgia	0	04/11/2020
2388	Toombs	11	US	1	32.12059861	-82.32957247	Georgia	0	04/12/2020
2402	Toombs	12	US	1	32.12059861	-82.32957247	Georgia	0	04/13/2020
2411	Toombs	15	US	1	32.12059861	-82.32957247	Georgia	0	04/14/2020
2423	Toombs	16	US	1	32.12059861	-82.32957247	Georgia	0	04/15/2020
2436	Toombs	17	US	2	32.12059861	-82.32957247	Georgia	0	04/16/2020
2439	Toombs	18	US	2	32.12059861	-82.32957247	Georgia	0	04/17/2020
2446	Toombs	20	US	2	32.12059861	-82.32957247	Georgia	0	04/18/2020
2462	Toombs	20	US	2	32.12059861	-82.32957247	Georgia	0	04/19/2020
2470	Toombs	20	US	3	32.12059861	-82.32957247	Georgia	0	04/20/2020
2479	Toombs	20	US	3	32.12059861	-82.32957247	Georgia	0	04/21/2020
2486	Toombs	21	US	3	32.12059861	-82.32957247	Georgia	0	04/22/2020
2503	Toombs	23	US	3	32.12059861	-82.32957247	Georgia	0	04/23/2020
2509	Toombs	26	US	3	32.12059861	-82.32957247	Georgia	0	04/24/2020
2514	Toombs	27	US	3	32.12059861	-82.32957247	Georgia	0	04/25/2020
2522	Toombs	27	US	3	32.12059861	-82.32957247	Georgia	0	04/26/2020
2529	Toombs	28	US	3	32.12059861	-82.32957247	Georgia	0	04/27/2020
2538	Toombs	28	US	3	32.12059861	-82.32957247	Georgia	0	04/28/2020
2543	Toombs	30	US	3	32.12059861	-82.32957247	Georgia	0	04/29/2020
2549	Toombs	31	US	3	32.12059861	-82.32957247	Georgia	0	04/30/2020
2560	Toombs	31	US	3	32.12059861	-82.32957247	Georgia	0	05/01/2020
2563	Toombs	32	US	3	32.12059861	-82.32957247	Georgia	0	05/02/2020
2568	Toombs	34	US	3	32.12059861	-82.32957247	Georgia	0	05/03/2020
2571	Toombs	34	US	3	32.12059861	-82.32957247	Georgia	0	05/04/2020
2579	Toombs	34	US	3	32.12059861	-82.32957247	Georgia	0	05/05/2020
2585	Toombs	37	US	3	32.12059861	-82.32957247	Georgia	0	05/06/2020
2591	Toombs	39	US	3	32.12059861	-82.32957247	Georgia	0	05/07/2020
2598	Toombs	39	US	3	32.12059861	-82.32957247	Georgia	0	05/08/2020
2599	Toombs	40	US	3	32.12059861	-82.32957247	Georgia	0	05/09/2020
2601	Toombs	40	US	3	32.12059861	-82.32957247	Georgia	0	05/10/2020
2601	Toombs	40	US	4	32.12059861	-82.32957247	Georgia	0	05/11/2020
2604	Toombs	41	US	4	32.12059861	-82.32957247	Georgia	0	05/12/2020
2605	Toombs	41	US	4	32.12059861	-82.32957247	Georgia	0	05/13/2020
2606	Toombs	43	US	4	32.12059861	-82.32957247	Georgia	0	05/14/2020
2611	Toombs	43	US	4	32.12059861	-82.32957247	Georgia	0	05/15/2020
2615	Toombs	44	US	4	32.12059861	-82.32957247	Georgia	0	05/16/2020
2618	Toombs	44	US	4	32.12059861	-82.32957247	Georgia	0	05/17/2020
2620	Toombs	46	US	4	32.12059861	-82.32957247	Georgia	0	05/18/2020
2624	Toombs	46	US	4	32.12059861	-82.32957247	Georgia	0	05/19/2020
2630	Toombs	47	US	4	32.12059861	-82.32957247	Georgia	0	05/20/2020
2632	Toombs	48	US	4	32.12059861	-82.32957247	Georgia	0	05/21/2020
2638	Toombs	50	US	4	32.12059861	-82.32957247	Georgia	0	05/22/2020
2640	Toombs	50	US	4	32.12059861	-82.32957247	Georgia	0	05/23/2020
2643	Toombs	50	US	4	32.12059861	-82.32957247	Georgia	0	05/24/2020
2644	Toombs	50	US	4	32.12059861	-82.32957247	Georgia	0	05/25/2020
2645	Toombs	53	US	4	32.12059861	-82.32957247	Georgia	0	05/26/2020
2648	Toombs	54	US	4	32.12059861	-82.32957247	Georgia	0	05/27/2020
2651	Toombs	55	US	4	32.12059861	-82.32957247	Georgia	0	05/28/2020
2654	Toombs	56	US	4	32.12059861	-82.32957247	Georgia	0	05/29/2020
2656	Toombs	56	US	4	32.12059861	-82.32957247	Georgia	0	05/30/2020
2657	Toombs	56	US	4	32.12059861	-82.32957247	Georgia	0	05/31/2020
2659	Toombs	56	US	4	32.12059861	-82.32957247	Georgia	0	06/01/2020
2664	Toombs	56	US	4	32.12059861	-82.32957247	Georgia	0	06/02/2020
2666	Toombs	58	US	4	32.12059861	-82.32957247	Georgia	0	06/03/2020
2667	Toombs	60	US	4	32.12059861	-82.32957247	Georgia	0	06/04/2020
2671	Toombs	62	US	4	32.12059861	-82.32957247	Georgia	0	06/05/2020
2673	Toombs	62	US	4	32.12059861	-82.32957247	Georgia	0	06/06/2020
2673	Toombs	65	US	4	32.12059861	-82.32957247	Georgia	0	06/07/2020
2673	Toombs	68	US	4	32.12059861	-82.32957247	Georgia	0	06/08/2020
2675	Toombs	77	US	4	32.12059861	-82.32957247	Georgia	0	06/09/2020
2677	Toombs	83	US	4	32.12059861	-82.32957247	Georgia	0	06/10/2020
2679	Toombs	91	US	4	32.12059861	-82.32957247	Georgia	0	06/11/2020
2693	Toombs	96	US	4	32.12059861	-82.32957247	Georgia	0	06/12/2020
2696	Toombs	101	US	4	32.12059861	-82.32957247	Georgia	0	06/13/2020
2696	Toombs	102	US	4	32.12059861	-82.32957247	Georgia	0	06/14/2020
2700	Toombs	108	US	4	32.12059861	-82.32957247	Georgia	0	06/15/2020
2698	Toombs	126	US	5	32.12059861	-82.32957247	Georgia	0	06/16/2020
2700	Toombs	129	US	5	32.12059861	-82.32957247	Georgia	0	06/17/2020
2700	Toombs	137	US	5	32.12059861	-82.32957247	Georgia	0	06/18/2020
2701	Toombs	141	US	5	32.12059861	-82.32957247	Georgia	0	06/19/2020
2705	Toombs	143	US	5	32.12059861	-82.32957247	Georgia	0	06/20/2020
2705	Toombs	147	US	5	32.12059861	-82.32957247	Georgia	0	06/21/2020
2708	Toombs	163	US	5	32.12059861	-82.32957247	Georgia	0	06/22/2020
2713	Toombs	170	US	5	32.12059861	-82.32957247	Georgia	0	06/23/2020
2724	Toombs	207	US	5	32.12059861	-82.32957247	Georgia	0	06/24/2020
2729	Toombs	212	US	5	32.12059861	-82.32957247	Georgia	0	06/25/2020
2730	Toombs	221	US	5	32.12059861	-82.32957247	Georgia	0	06/26/2020
2731	Toombs	225	US	5	32.12059861	-82.32957247	Georgia	0	06/27/2020
2731	Toombs	230	US	5	32.12059861	-82.32957247	Georgia	0	06/28/2020
2733	Toombs	236	US	5	32.12059861	-82.32957247	Georgia	0	06/29/2020
2735	Toombs	244	US	5	32.12059861	-82.32957247	Georgia	0	06/30/2020
2737	Toombs	254	US	5	32.12059861	-82.32957247	Georgia	0	07/01/2020
2740	Toombs	256	US	5	32.12059861	-82.32957247	Georgia	0	07/02/2020
2745	Toombs	264	US	5	32.12059861	-82.32957247	Georgia	0	07/03/2020
2746	Toombs	271	US	5	32.12059861	-82.32957247	Georgia	0	07/04/2020
2747	Toombs	274	US	5	32.12059861	-82.32957247	Georgia	0	07/05/2020
2750	Toombs	276	US	5	32.12059861	-82.32957247	Georgia	0	07/06/2020
2750	Toombs	289	US	5	32.12059861	-82.32957247	Georgia	0	07/07/2020
2753	Toombs	296	US	5	32.12059861	-82.32957247	Georgia	0	07/08/2020
2752	Toombs	304	US	5	32.12059861	-82.32957247	Georgia	0	07/09/2020
2756	Toombs	315	US	5	32.12059861	-82.32957247	Georgia	0	07/10/2020
2757	Toombs	321	US	5	32.12059861	-82.32957247	Georgia	0	07/11/2020
2759	Toombs	325	US	5	32.12059861	-82.32957247	Georgia	0	07/12/2020
2761	Toombs	329	US	5	32.12059861	-82.32957247	Georgia	0	07/13/2020
2766	Toombs	342	US	5	32.12059861	-82.32957247	Georgia	0	07/14/2020
2767	Toombs	354	US	5	32.12059861	-82.32957247	Georgia	0	07/15/2020
2769	Toombs	363	US	5	32.12059861	-82.32957247	Georgia	0	07/16/2020
2769	Toombs	372	US	5	32.12059861	-82.32957247	Georgia	0	07/17/2020
2841	Toombs	388	US	5	32.12059861	-82.32957247	Georgia	0	07/18/2020
2841	Toombs	402	US	6	32.12059861	-82.32957247	Georgia	0	07/19/2020
2766	Toombs	412	US	6	32.12059861	-82.32957247	Georgia	0	07/20/2020
2845	Toombs	426	US	6	32.12059861	-82.32957247	Georgia	0	07/21/2020
2846	Toombs	444	US	6	32.12059861	-82.32957247	Georgia	0	07/22/2020
2849	Toombs	463	US	6	32.12059861	-82.32957247	Georgia	0	07/23/2020
2848	Toombs	475	US	6	32.12059861	-82.32957247	Georgia	0	07/24/2020
2849	Toombs	488	US	6	32.12059861	-82.32957247	Georgia	0	07/25/2020
2850	Toombs	506	US	6	32.12059861	-82.32957247	Georgia	0	07/26/2020
2850	Toombs	527	US	6	32.12059861	-82.32957247	Georgia	0	07/27/2020
2850	Toombs	548	US	7	32.12059861	-82.32957247	Georgia	0	07/28/2020
2854	Toombs	558	US	7	32.12059861	-82.32957247	Georgia	0	07/29/2020
2854	Toombs	571	US	6	32.12059861	-82.32957247	Georgia	0	07/30/2020
2856	Toombs	592	US	6	32.12059861	-82.32957247	Georgia	0	07/31/2020
2856	Toombs	622	US	6	32.12059861	-82.32957247	Georgia	0	08/01/2020
2856	Toombs	632	US	6	32.12059861	-82.32957247	Georgia	0	08/02/2020
2856	Toombs	649	US	6	32.12059861	-82.32957247	Georgia	0	08/03/2020
2857	Toombs	667	US	7	32.12059861	-82.32957247	Georgia	0	08/04/2020
2861	Toombs	677	US	7	32.12059861	-82.32957247	Georgia	0	08/05/2020
2861	Toombs	699	US	7	32.12059861	-82.32957247	Georgia	0	08/06/2020
2861	Toombs	710	US	7	32.12059861	-82.32957247	Georgia	0	08/07/2020
2861	Toombs	741	US	8	32.12059861	-82.32957247	Georgia	0	08/08/2020
2861	Toombs	755	US	8	32.12059861	-82.32957247	Georgia	0	08/09/2020
2861	Toombs	759	US	8	32.12059861	-82.32957247	Georgia	0	08/10/2020
1212	Toombs	783	US	9	32.12059861	-82.32957247	Georgia	0	08/11/2020
1166	Toombs	789	US	9	32.12059861	-82.32957247	Georgia	0	08/12/2020
1166	Toombs	816	US	9	32.12059861	-82.32957247	Georgia	0	08/13/2020
1166	Toombs	841	US	9	32.12059861	-82.32957247	Georgia	0	08/14/2020
1166	Toombs	857	US	9	32.12059861	-82.32957247	Georgia	0	08/15/2020
1166	Toombs	871	US	9	32.12059861	-82.32957247	Georgia	0	08/16/2020
1166	Toombs	878	US	9	32.12059861	-82.32957247	Georgia	0	08/17/2020
1166	Toombs	892	US	9	32.12059861	-82.32957247	Georgia	0	08/18/2020
1166	Toombs	902	US	9	32.12059861	-82.32957247	Georgia	0	08/19/2020
1166	Toombs	936	US	10	32.12059861	-82.32957247	Georgia	0	08/20/2020
1166	Toombs	956	US	10	32.12059861	-82.32957247	Georgia	0	08/21/2020
1167	Toombs	962	US	10	32.12059861	-82.32957247	Georgia	0	08/22/2020
1167	Toombs	975	US	10	32.12059861	-82.32957247	Georgia	0	08/23/2020
1167	Toombs	982	US	12	32.12059861	-82.32957247	Georgia	0	08/24/2020
1167	Toombs	1000	US	12	32.12059861	-82.32957247	Georgia	0	08/25/2020
1167	Toombs	1011	US	12	32.12059861	-82.32957247	Georgia	0	08/26/2020
1167	Toombs	1030	US	13	32.12059861	-82.32957247	Georgia	0	08/27/2020
1167	Toombs	1038	US	17	32.12059861	-82.32957247	Georgia	0	08/28/2020
1167	Toombs	1054	US	17	32.12059861	-82.32957247	Georgia	0	08/29/2020
1167	Toombs	1056	US	17	32.12059861	-82.32957247	Georgia	0	08/30/2020
1167	Toombs	1072	US	18	32.12059861	-82.32957247	Georgia	0	08/31/2020
1167	Toombs	1080	US	19	32.12059861	-82.32957247	Georgia	0	09/01/2020
1167	Toombs	1090	US	24	32.12059861	-82.32957247	Georgia	0	09/02/2020
1167	Toombs	1116	US	26	32.12059861	-82.32957247	Georgia	0	09/03/2020
1167	Toombs	1128	US	28	32.12059861	-82.32957247	Georgia	0	09/04/2020
1167	Toombs	1140	US	28	32.12059861	-82.32957247	Georgia	0	09/05/2020
1167	Toombs	1152	US	29	32.12059861	-82.32957247	Georgia	0	09/06/2020
1167	Toombs	1153	US	29	32.12059861	-82.32957247	Georgia	0	09/07/2020
1167	Toombs	1163	US	29	32.12059861	-82.32957247	Georgia	0	09/08/2020
1167	Toombs	1178	US	30	32.12059861	-82.32957247	Georgia	0	09/09/2020
1167	Toombs	1197	US	30	32.12059861	-82.32957247	Georgia	0	09/10/2020
1167	Toombs	1201	US	30	32.12059861	-82.32957247	Georgia	0	09/11/2020
1167	Toombs	1213	US	35	32.12059861	-82.32957247	Georgia	0	09/12/2020
1167	Toombs	1219	US	37	32.12059861	-82.32957247	Georgia	0	09/13/2020
1167	Toombs	1222	US	39	32.12059861	-82.32957247	Georgia	0	09/14/2020
1167	Toombs	1229	US	39	32.12059861	-82.32957247	Georgia	0	09/15/2020
1167	Toombs	1245	US	39	32.12059861	-82.32957247	Georgia	0	09/16/2020
1167	Toombs	1259	US	39	32.12059861	-82.32957247	Georgia	0	09/17/2020
1167	Toombs	1270	US	42	32.12059861	-82.32957247	Georgia	0	09/18/2020
1167	Toombs	1277	US	43	32.12059861	-82.32957247	Georgia	0	09/19/2020
1167	Toombs	1277	US	43	32.12059861	-82.32957247	Georgia	0	09/20/2020
1168	Toombs	1279	US	43	32.12059861	-82.32957247	Georgia	0	09/21/2020
1168	Toombs	1280	US	43	32.12059861	-82.32957247	Georgia	0	09/22/2020
1168	Toombs	1284	US	44	32.12059861	-82.32957247	Georgia	0	09/23/2020
1168	Toombs	1293	US	45	32.12059861	-82.32957247	Georgia	0	09/24/2020
1168	Toombs	1312	US	48	32.12059861	-82.32957247	Georgia	0	09/25/2020
1168	Toombs	1326	US	49	32.12059861	-82.32957247	Georgia	0	09/26/2020
1168	Toombs	1327	US	49	32.12059861	-82.32957247	Georgia	0	09/27/2020
1168	Toombs	1330	US	49	32.12059861	-82.32957247	Georgia	0	09/28/2020
1168	Toombs	1330	US	49	32.12059861	-82.32957247	Georgia	0	09/29/2020
1168	Toombs	1331	US	49	32.12059861	-82.32957247	Georgia	0	09/30/2020
1168	Toombs	1343	US	50	32.12059861	-82.32957247	Georgia	0	10/01/2020
1168	Toombs	1350	US	50	32.12059861	-82.32957247	Georgia	0	10/02/2020
1168	Toombs	1359	US	51	32.12059861	-82.32957247	Georgia	0	10/03/2020
1168	Toombs	1360	US	51	32.12059861	-82.32957247	Georgia	0	10/04/2020
1168	Toombs	1364	US	51	32.12059861	-82.32957247	Georgia	0	10/05/2020
1168	Toombs	1374	US	51	32.12059861	-82.32957247	Georgia	0	10/06/2020
1168	Toombs	1378	US	52	32.12059861	-82.32957247	Georgia	0	10/07/2020
1168	Toombs	1389	US	52	32.12059861	-82.32957247	Georgia	0	10/08/2020
1168	Toombs	1400	US	53	32.12059861	-82.32957247	Georgia	0	10/09/2020
1168	Toombs	1406	US	54	32.12059861	-82.32957247	Georgia	0	10/10/2020
1168	Toombs	1410	US	54	32.12059861	-82.32957247	Georgia	0	10/11/2020
1169	Toombs	1412	US	54	32.12059861	-82.32957247	Georgia	0	10/12/2020
1169	Toombs	1417	US	54	32.12059861	-82.32957247	Georgia	0	10/13/2020
1169	Toombs	1423	US	54	32.12059861	-82.32957247	Georgia	0	10/14/2020
